date,ma200,ma150,ma50
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,-1
20240905,-1,-1,-1
20240906,-1,-1,-1
20240909,-1,-1,-1
20240910,-1,-1,-1
20240911,-1,-1,169.0746
20240912,-1,-1,168.4824
20240913,-1,-1,167.912
20240916,-1,-1,167.266
20240917,-1,-1,166.663
20240918,-1,-1,166.0844
20240919,-1,-1,165.5104
20240920,-1,-1,165.072
20240923,-1,-1,164.615
20240924,-1,-1,164.1106
20240925,-1,-1,163.668
20240926,-1,-1,163.2966
20240927,-1,-1,162.9978
20240930,-1,-1,162.7592
20241001,-1,-1,162.4502
20241002,-1,-1,162.218
20241003,-1,-1,162.083
20241004,-1,-1,162.0972
20241007,-1,-1,162.0232
20241008,-1,-1,161.9472
20241009,-1,-1,161.7862
20241010,-1,-1,161.581
20241011,-1,-1,161.4402
20241014,-1,-1,161.4244
20241015,-1,-1,161.5256
20241016,-1,-1,161.6698
20241017,-1,-1,161.7908
20241018,-1,-1,161.8032
20241021,-1,-1,161.8144
20241022,-1,-1,161.8696
20241023,-1,-1,161.8814
20241024,-1,-1,161.9422
20241025,-1,-1,162.0192
20241028,-1,-1,162.111
20241029,-1,-1,162.3534
20241030,-1,-1,162.4826
20241031,-1,-1,162.5852
20241101,-1,-1,162.7244
20241104,-1,-1,162.7928
20241105,-1,-1,162.8744
20241106,-1,-1,163.114
20241107,-1,-1,163.5006
20241108,-1,-1,163.829
20241111,-1,-1,164.1658
20241112,-1,-1,164.6358
20241113,-1,-1,165.0878
20241114,-1,-1,165.4524
20241115,-1,-1,165.8996
20241118,-1,-1,166.3864
20241119,-1,-1,166.976
20241120,-1,-1,167.4526
20241121,-1,-1,167.6784
20241122,-1,-1,167.837
20241125,-1,-1,168.003
20241126,-1,-1,168.2
20241127,-1,-1,168.373
20241129,-1,-1,168.5052
20241202,-1,-1,168.6592
20241203,-1,-1,168.8538
20241204,-1,-1,169.0898
20241205,-1,-1,169.303
20241206,-1,-1,169.535
20241209,-1,-1,169.8058
20241210,-1,-1,170.2066
20241211,-1,-1,170.8164
20241212,-1,-1,171.3246
20241213,-1,-1,171.8064
20241216,-1,-1,172.4044
20241217,-1,-1,173.05
20241218,-1,-1,173.551
20241219,-1,-1,174.0678
20241220,-1,-1,174.6828
20241223,-1,-1,175.3118
20241224,-1,-1,175.925
20241226,-1,-1,176.5154
20241227,-1,-1,177.0708
20241230,-1,-1,177.6168
20241231,-1,-1,178.134
20250102,-1,-1,178.645
20250103,-1,-1,179.1824
20250106,-1,-1,179.8598
20250107,-1,-1,180.4996
20250108,-1,-1,181.0686
20250110,-1,-1,181.5538
20250113,-1,-1,181.8074
20250114,-1,-1,182.1414
20250115,-1,-1,182.633
20250116,-1,-1,183.0688
20250117,-1,-1,183.6076
20250121,-1,-1,184.157
20250122,-1,-1,184.5968
20250123,-1,-1,184.937
20250124,-1,-1,185.3666
20250127,-1,-1,185.6136
20250128,-1,-1,185.8894
20250129,-1,-1,186.263
20250130,-1,-1,186.7914
20250131,-1,-1,187.3874
20250203,-1,-1,187.9874
20250204,-1,-1,188.235
20250205,-1,175.0267,188.553
20250206,-1,175.0643,189.0322
20250207,-1,175.0586,189.4268
20250210,-1,175.0279,189.8146
20250211,-1,174.9995,190.1356
20250212,-1,174.9601,190.423
20250213,-1,174.9289,190.771
20250214,-1,174.9267,191.0488
20250218,-1,174.9214,191.2954
20250219,-1,174.9049,191.5142
20250220,-1,174.9108,191.7614
20250221,-1,174.8966,191.8582
20250224,-1,174.9007,191.8984
20250225,-1,174.8911,191.7076
20250226,-1,174.8299,191.2232
20250227,-1,174.7671,190.7588
20250228,-1,174.7529,190.3694
20250303,-1,174.7644,189.7916
20250304,-1,174.8021,189.3332
20250305,-1,174.8354,189.008
20250306,-1,174.8545,188.7096
20250307,-1,174.8639,188.328
20250310,-1,174.8239,187.7196
20250311,-1,174.8101,187.0808
20250312,-1,174.8554,186.5252
20250313,-1,174.8972,185.951
20250314,-1,174.9519,185.4482
20250317,-1,174.9627,184.951
20250318,-1,174.9435,184.371
20250319,-1,174.9623,183.835
20250320,-1,174.963,183.1478
20250321,-1,174.9933,182.5382
20250324,-1,175.0345,182.0156
20250325,-1,175.0877,181.5982
20250326,-1,175.0711,181.0524
20250327,-1,175.0363,180.4848
20250328,-1,174.9576,179.6546
20250331,-1,174.8895,178.8752
20250401,-1,174.8359,178.1074
20250402,-1,174.7381,177.183
20250403,-1,174.6483,176.234
20250404,-1,174.5363,175.1712
20250407,-1,174.4481,174.1486
20250408,-1,174.3151,173.166
20250409,-1,174.3231,172.444
20250410,-1,174.2975,171.5416
20250411,-1,174.2986,170.652
20250414,-1,174.3537,169.7742
20250415,-1,174.3933,168.806
20250416,-1,174.4262,168.0676
20250417,173.0843,174.4209,167.257
20250421,172.9021,174.3753,166.4152
20250422,172.7477,174.3596,165.815
20250423,172.5737,174.343,165.2114
20250424,172.461,174.3937,164.8454
20250425,172.3208,174.3995,164.4026
20250428,172.1679,174.3871,163.885
20250429,172.0376,174.3594,163.3702
20250430,171.9135,174.3464,162.89
20250501,171.7848,174.3429,162.4246
20250502,171.6848,174.3571,162.0068
20250505,171.5973,174.3642,161.6994
20250506,171.53,174.3741,161.418
20250507,171.4019,174.2829,160.9344
20250508,171.2643,174.2023,160.5674
20250509,171.1386,174.1121,160.2528
20250512,171.0678,174.0627,160.0124
20250513,171.035,174.0143,159.8468
20250514,171.0249,174.0254,159.693
20250515,171.0082,174.0285,159.5264
20250516,170.976,174.0392,159.3402
20250519,170.95,174.0729,159.208
20250520,170.9203,174.0803,159.2094
20250521,170.9322,174.1015,159.2988
20250522,170.9862,174.1397,159.3786
20250523,171.0392,174.1623,159.465
20250527,171.1181,174.2272,159.6166
20250528,171.1788,174.304,159.827
20250529,171.2151,174.3487,160.0302
20250530,171.2594,174.3893,160.1506
20250602,171.2901,174.4263,160.2712
20250603,171.3243,174.4517,160.3172
20250604,171.3582,174.4712,160.3294
20250605,171.3842,174.4752,160.2736
20250606,171.4156,174.4364,160.4494
20250609,171.4613,174.4543,160.7366
20250610,171.5253,174.5053,161.2282
20250611,171.5897,174.5447,161.6902
20250612,171.6362,174.5841,162.0372
20250613,171.6786,174.6133,162.4998
20250616,171.7341,174.6075,162.9916
20250617,171.8027,174.5701,163.602
20250618,171.8614,174.5389,164.1014
20250620,171.8781,174.4489,164.567
20250623,171.9229,174.352,164.7226
20250624,171.9768,174.2731,165.0148
20250625,172.0487,174.2474,165.2988
20250626,172.1631,174.251,165.5914
20250627,172.3078,174.2815,166.0512
20250630,172.445,174.268,166.5014
20250702,172.5787,174.2873,167.052
20250703,172.6979,174.3711,167.666
20250707,172.7953,174.4481,168.1026
20250708,172.8758,174.5001,168.4744
20250709,172.9613,174.5484,168.6642
20250710,173.0454,174.6029,168.9832
20250711,173.1342,174.6771,169.3754
20250714,173.2221,174.743,169.81
20250715,173.3228,174.8125,170.252
20250716,173.4267,174.8723,170.6782
20250717,173.5392,174.9513,171.0858
20250718,173.6519,175.0243,171.5152
20250721,173.788,175.1154,172.0298
20250722,173.9186,175.1559,172.8258
20250723,174.0547,175.1341,173.6118
20250724,174.186,175.1398,174.4078
20250725,174.3221,175.1607,175.1002
20250728,174.4489,175.1304,175.7528
20250729,174.6091,175.1289,176.3604
20250730,174.7677,175.1732,176.9852
20250731,174.9109,175.1919,177.526
20250801,175.0417,175.1614,177.9482
20250804,175.1989,175.1613,178.5548
20250805,175.3415,175.1471,179.0616
20250806,175.4917,175.1505,179.5478
20250807,175.6499,175.1763,180.113
20250808,175.842,175.2504,180.6864
20250811,176.0285,175.3266,181.2018
20250812,176.2246,175.4178,181.8522
20250813,176.4081,175.4833,182.4644
20250814,176.6062,175.5216,183.1458
20250815,176.8119,175.5826,183.8924
20250818,177.0038,175.6489,184.6016
20250819,177.1704,175.7093,185.256
20250820,177.2675,175.7543,185.761
20250821,177.4025,175.8229,186.2472
20250822,177.5803,175.896,186.8052
20250825,177.7663,175.9989,187.4312
20250826,177.9574,176.0739,188.0772
20250827,178.1413,176.1361,188.7254
20250828,178.3171,176.2239,189.4462
20250829,178.4764,176.3229,190.1956
20250902,178.7152,176.4981,191.2442
20250903,178.9717,176.7577,192.54
20250904,179.2262,177.0051,193.8486
20250905,179.5051,177.2525,195.201
20250908,179.8013,177.4713,196.4632
20250909,180.1363,177.7193,197.7922
20250910,180.4673,177.9606,199.0246
20250911,180.774,178.287,200.292
20250912,181.098,178.613,201.53
20250915,181.5275,179.0259,202.9966
20250916,181.9588,179.4694,204.4906
20250917,182.3835,179.9065,206.0336
20250918,182.8019,180.3573,207.5622
20250919,183.2312,180.8339,209.116
20250922,183.6524,181.2796,210.5784
20250923,184.0563,181.7254,211.996
20250924,184.4355,182.1489,213.3046
20250925,184.8043,182.5677,214.6004
20250926,185.1763,182.9813,215.8514
20250929,185.5219,183.4097,217.0146
20250930,185.8495,183.8332,218.0518
20251001,186.1431,184.2883,219.1048
20251002,186.3893,184.7779,220.1546
20251003,186.6573,185.2901,221.2098
20251006,186.9563,185.8187,222.3434
20251007,187.1996,186.3357,223.4074
20251008,187.4469,186.8181,224.4008
20251009,187.7072,187.2737,225.3094
20251010,187.9471,187.6929,226.2124
20251013,188.2031,188.1615,227.3282
20251014,188.4572,188.7031,228.3452
20251015,188.729,189.2784,229.4748
20251016,189.0041,189.8304,230.5648
20251017,189.311,190.431,231.715
20251020,189.6422,191.0401,232.8174
20251021,189.9723,191.6461,233.9094
20251022,190.2827,192.2533,234.8774
20251023,190.5983,192.8527,235.943
20251024,190.9125,193.5007,237.0852
20251027,191.291,194.2085,238.416
20251028,191.6633,194.8792,239.7066
20251029,192.1696,195.6933,241.5504
20251030,192.6285,196.4873,243.2514
20251031,193.0806,197.2791,244.8536
20251103,193.5109,198.1297,246.3556
20251104,193.9228,198.9387,247.6946
20251105,194.3695,199.7902,249.2562
