datetime,ma200,ma150,ma50
202606300803,315.4605,333.2005,370.3888
202606300811,315.4596,333.1993,370.385
202606300834,315.4589,333.1984,370.3825
202606300845,315.4581,333.1973,370.3791
202606300905,315.4584,333.1977,370.3804
202606300911,315.4584,333.1977,370.3804
202606300914,315.4594,333.1991,370.3844
202606300918,315.4594,333.199,370.3843
202606300929,315.4599,333.1997,370.3864
202606300940,315.4599,333.1997,370.3864
202606300942,315.4599,333.1997,370.3864
202606300943,315.4599,333.1997,370.3864
202606300950,315.4622,333.2028,370.3956
202606300955,315.4611,333.2013,370.3911
202606301002,315.4615,333.2019,370.3928
202606301026,315.4635,333.2045,370.4006
202606301030,315.4646,333.206,370.4052
202606301032,315.4637,333.2047,370.4014
202606301047,315.4624,333.2031,370.3964
202606301055,315.4636,333.2047,370.4012
202606301330,315.4581,333.1973,370.379
202606301331,315.4544,333.1924,370.3644
202606301332,315.4487,333.1849,370.3418
202606301333,315.4521,333.1894,370.3553
202606301334,315.4497,333.1861,370.3454
202606301335,315.4493,333.1856,370.344
202606301336,315.4527,333.1901,370.3576
202606301337,315.4469,333.1824,370.3345
202606301338,315.4467,333.1822,370.3337
202606301339,315.4477,333.1835,370.3376
202606301340,315.4485,333.1846,370.3409
202606301341,315.4493,333.1855,370.3438
202606301342,315.4483,333.1843,370.3401
202606301343,315.4515,333.1885,370.3528
202606301344,315.449,333.1852,370.3428
202606301345,315.4518,333.1889,370.354
202606301346,315.4559,333.1944,370.3704
202606301347,315.4518,333.1889,370.354
202606301348,315.4513,333.1882,370.3519
202606301349,315.4534,333.191,370.3602
202606301350,315.4493,333.1856,370.344
202606301351,315.4524,333.1897,370.3564
202606301352,315.4508,333.1876,370.3501
202606301353,315.4496,333.186,370.3452
202606301354,315.447,333.1826,370.3349
202606301355,315.4511,333.188,370.3512
202606301356,315.4517,333.1887,370.3534
202606301357,315.4514,333.1884,370.3524
202606301358,315.4493,333.1856,370.344
202606301359,315.4515,333.1885,370.3526
202606301400,315.4467,333.1822,370.3337
202606301401,315.4502,333.1868,370.3477
202606301402,315.45,333.1866,370.3469
202606301403,315.4496,333.1859,370.345
202606301404,315.4539,333.1917,370.3624
202606301405,315.4561,333.1947,370.3712
202606301406,315.4578,333.1969,370.3778
202606301407,315.4527,333.1901,370.3575
202606301408,315.4533,333.1909,370.3598
202606301409,315.4533,333.1909,370.3598
202606301410,315.4555,333.1939,370.3688
202606301411,315.4527,333.1901,370.3576
202606301412,315.4542,333.1921,370.3636
202606301413,315.4541,333.192,370.3633
202606301414,315.4546,333.1926,370.3651
202606301415,315.4559,333.1945,370.3706
202606301416,315.4592,333.1988,370.3836
202606301417,315.4579,333.1971,370.3785
202606301418,315.4552,333.1935,370.3676
202606301419,315.456,333.1945,370.3706
202606301420,315.4558,333.1942,370.3699
202606301421,315.4563,333.195,370.3721
202606301422,315.4573,333.1963,370.3762
202606301423,315.459,333.1985,370.3828
202606301424,315.4616,333.202,370.3932
202606301425,315.4593,333.1989,370.3838
202606301426,315.4588,333.1982,370.3819
202606301427,315.4589,333.1984,370.3824
202606301428,315.4584,333.1977,370.3804
202606301429,315.4581,333.1973,370.379
202606301430,315.4592,333.1988,370.3837
202606301431,315.4589,333.1984,370.3824
202606301432,315.458,333.1972,370.3787
202606301433,315.4589,333.1984,370.3824
202606301434,315.4604,333.2004,370.3885
202606301435,315.4602,333.2001,370.3876
202606301436,315.4611,333.2013,370.391
202606301437,315.4618,333.2022,370.3939
202606301438,315.4645,333.2059,370.4048
202606301439,315.4647,333.2061,370.4054
202606301440,315.4661,333.208,370.4112
202606301441,315.4662,333.2081,370.4114
202606301442,315.4646,333.206,370.4052
202606301443,315.4642,333.2055,370.4036
202606301444,315.4632,333.2041,370.3994
202606301445,315.4626,333.2034,370.3974
202606301446,315.4604,333.2003,370.3882
202606301447,315.4599,333.1997,370.3864
202606301448,315.4611,333.2013,370.3911
202606301449,315.4622,333.2028,370.3957
202606301450,315.4621,333.2026,370.395
202606301451,315.4636,333.2047,370.4013
202606301452,315.4634,333.2044,370.4004
202606301453,315.464,333.2052,370.4028
202606301454,315.4637,333.2047,370.4014
202606301455,315.4663,333.2083,370.412
202606301456,315.4669,333.2091,370.4144
202606301457,315.4653,333.2069,370.4078
202606301458,315.4668,333.2089,370.414
202606301459,315.4668,333.2089,370.4138
202606301500,315.466,333.2078,370.4107
202606301501,315.4651,333.2066,370.407
202606301502,315.4662,333.2081,370.4114
202606301503,315.4657,333.2075,370.4096
202606301504,315.4654,333.2071,370.4084
202606301505,315.4669,333.209,370.4143
202606301506,315.4664,333.2084,370.4124
202606301507,315.466,333.2079,370.4108
202606301508,315.4659,333.2077,370.4104
202606301509,315.4643,333.2056,370.404
202606301510,315.4654,333.207,370.4083
202606301511,315.4627,333.2035,370.3976
202606301512,315.4635,333.2045,370.4008
202606301513,315.4658,333.2075,370.4098
202606301514,315.4661,333.208,370.4111
202606301515,315.4654,333.2071,370.4084
202606301516,315.4665,333.2086,370.413
202606301517,315.4676,333.2101,370.4174
202606301518,315.4712,333.2147,370.4314
202606301519,315.4746,333.2193,370.4452
202606301520,315.4763,333.2216,370.452
202606301521,315.4742,333.2188,370.4436
202606301522,315.4735,333.2179,370.4408
202606301523,315.4729,333.2171,370.4386
202606301524,315.4732,333.2174,370.4394
202606301525,315.474,333.2185,370.4426
202606301526,315.4752,333.2202,370.4478
202606301527,315.4753,333.2202,370.4478
202606301528,315.4756,333.2207,370.4492
202606301529,315.4754,333.2204,370.4484
202606301530,315.474,333.2186,370.4429
202606301531,315.4739,333.2184,370.4423
202606301532,315.4737,333.2181,370.4414
202606301533,315.4729,333.2171,370.4386
