datetime,open,close,high,low,volume
20240625,462.25,456.3,464.08,456.3,24418.0
20240626,455.57,448.0,457.93,445.55,32106.0
20240627,449.8,446.2,450.43,442.8,50419.0
20240628,451.02,454.85,457.34,449.0,55523.0
20240701,452.34,462.71,464.02,452.34,29829.0
20240702,461.6,465.61,466.27,459.6,21591.0
20240703,467.18,467.92,469.89,465.82,17113.0
20240705,469.98,464.99,469.98,460.13,24520.0
20240708,465.0,464.82,474.86,464.04,33715.0
20240709,466.76,472.5,479.3,461.58,89043.0
20240710,473.91,479.1,479.86,469.85,31367.0
20240711,480.0,478.28,483.16,476.27,37568.0
20240712,483.99,479.88,483.99,478.0,44068.0
20240715,480.95,492.99,493.2,475.0,57477.0
20240716,490.01,503.1,506.59,490.0,65510.0
20240717,503.5,503.49,509.48,499.43,68250.0
20240718,502.03,487.95,503.69,484.22,49669.0
20240719,484.5,484.02,492.6,483.19,34079.0
20240722,487.08,486.82,489.47,482.38,27749.0
20240723,487.0,491.4,495.81,486.28,30762.0
20240724,488.55,489.0,495.99,485.82,24150.0
20240725,487.0,493.0,496.11,483.23,22657.0
20240726,495.99,498.94,504.0,495.65,40438.0
20240729,500.01,493.0,502.0,491.06,26793.0
20240730,493.33,505.75,509.47,493.33,46098.0
20240731,509.5,509.47,517.26,504.86,43705.0
20240801,509.65,497.51,514.02,494.68,74383.0
20240802,495.8,470.2,496.0,467.21,116173.0
20240805,462.0,462.0,463.19,437.37,70915.0
20240806,464.0,469.25,475.25,457.43,36823.0
20240807,475.49,470.25,488.55,470.25,41763.0
20240808,477.0,485.77,487.73,475.51,32280.0
20240809,486.81,490.99,492.0,482.2,24657.0
20240812,492.0,485.39,493.0,483.75,32163.0
20240813,486.71,490.9,493.27,486.47,20742.0
20240814,492.04,498.7,499.35,488.4,26494.0
20240815,499.61,500.08,506.91,497.38,30366.0
20240816,499.02,504.75,504.91,497.0,26030.0
20240819,503.2,504.68,507.78,501.86,15545.0
20240820,502.0,497.0,504.16,496.5,23112.0
20240821,500.0,497.28,500.78,494.03,14765.0
20240822,496.79,498.5,499.7,494.79,14571.0
20240823,500.1,509.0,512.44,499.84,28797.0
20240826,515.0,507.87,515.0,505.32,14746.0
20240827,507.84,507.26,511.48,506.26,14411.0
20240828,505.16,500.25,508.37,498.47,24820.0
20240829,504.99,511.4,513.24,501.14,25065.0
20240830,509.6,510.25,511.19,505.17,32587.0
20240903,507.51,487.51,509.7,485.4,36832.0
20240904,486.25,490.64,496.2,486.25,24087.0
20240905,491.13,488.0,495.77,483.07,32020.0
20240906,489.13,477.01,495.41,477.01,31099.0
20240909,483.8,486.65,494.28,481.35,27161.0
20240910,485.9,467.0,489.96,461.57,55652.0
20240911,466.1,471.0,472.5,457.48,41659.0
20240912,475.0,474.06,475.0,465.4,25318.0
20240913,475.0,478.9,482.1,474.8,26818.0
20240916,482.0,485.16,487.38,479.49,23140.0
20240917,485.51,485.0,489.73,481.8,22616.0
20240918,488.67,484.7,492.99,481.77,24233.0
20240919,492.5,503.73,506.41,491.0,47024.0
20240920,504.0,498.43,504.51,495.47,73914.0
20240923,498.88,497.98,501.4,495.22,15189.0
20240924,497.81,498.02,499.56,494.1,16294.0
20240925,499.11,491.14,502.0,490.39,26714.0
20240926,493.68,494.0,498.4,492.48,22611.0
20240927,498.7,498.74,505.4,495.86,21874.0
20240930,495.76,494.01,496.52,488.9,26017.0
20241001,495.2,489.0,495.2,484.61,23974.0
20241002,487.08,491.99,494.86,487.08,21617.0
20241003,489.93,485.5,490.51,484.2,19904.0
20241004,487.01,494.5,497.8,486.0,21540.0
20241007,494.0,494.0,499.01,490.79,19029.0
20241008,495.85,496.57,498.34,492.78,21694.0
20241009,496.5,505.18,506.27,495.25,28581.0
20241010,503.4,503.7,506.8,499.59,20707.0
20241011,507.3,516.25,517.97,503.88,38328.0
20241014,518.34,524.0,525.0,515.51,34073.0
20241015,525.0,523.0,542.02,515.51,72057.0
20241016,525.0,530.8,536.22,523.0,40353.0
20241017,527.81,529.01,535.29,525.32,34486.0
20241018,529.11,528.5,530.77,526.87,24272.0
20241021,527.07,517.5,529.85,517.0,28892.0
20241022,518.0,516.02,519.63,512.99,25273.0
20241023,518.0,516.92,520.0,513.4,19678.0
20241024,519.5,524.5,525.0,518.2,29708.0
20241025,526.0,512.59,528.8,510.74,24799.0
20241028,516.99,523.58,524.59,512.63,27213.0
20241029,523.0,524.93,527.24,521.0,17068.0
20241030,524.38,525.0,530.79,523.07,24523.0
20241031,525.0,518.02,525.21,514.53,26503.0
20241101,519.14,519.8,526.64,517.04,22136.0
20241104,519.33,512.0,519.33,510.51,27269.0
20241105,513.0,532.0,532.0,512.6,34323.0
20241106,552.0,596.49,598.61,539.0,122925.0
20241107,597.3,583.0,598.0,581.52,74646.0
20241108,583.0,589.26,595.15,581.3,40460.0
20241111,591.0,601.09,607.15,591.0,39622.0
20241112,601.0,592.59,605.0,591.0,31961.0
20241113,591.9,594.9,603.55,591.9,28072.0
20241114,597.01,587.28,601.53,586.24,25476.0
20241115,586.0,593.99,595.14,585.5,32475.0
20241118,591.31,594.71,596.0,584.71,30835.0
20241119,583.95,585.31,585.31,575.51,32154.0
20241120,582.21,581.22,587.8,576.62,25124.0
