date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,486.5504
20240905,-1,-1,487.1844
20240906,-1,-1,487.7646
20240909,-1,-1,488.5736
20240910,-1,-1,488.8166
20240911,-1,-1,488.9824
20240912,-1,-1,489.1514
20240913,-1,-1,489.371
20240916,-1,-1,489.7744
20240917,-1,-1,490.178
20240918,-1,-1,490.422
20240919,-1,-1,490.9146
20240920,-1,-1,491.3176
20240923,-1,-1,491.6796
20240924,-1,-1,491.7802
20240925,-1,-1,491.541
20240926,-1,-1,491.3512
20240927,-1,-1,491.567
20240930,-1,-1,491.7668
20241001,-1,-1,491.8104
20241002,-1,-1,491.8222
20241003,-1,-1,491.7522
20241004,-1,-1,491.7822
20241007,-1,-1,491.6834
20241008,-1,-1,491.7548
20241009,-1,-1,491.7434
20241010,-1,-1,491.628
20241011,-1,-1,492.0028
20241014,-1,-1,493.0788
20241015,-1,-1,494.2988
20241016,-1,-1,495.5298
20241017,-1,-1,496.705
20241018,-1,-1,497.5596
20241021,-1,-1,498.0898
20241022,-1,-1,498.7024
20241023,-1,-1,499.2228
20241024,-1,-1,499.7388
20241025,-1,-1,499.989
20241028,-1,-1,500.3656
20241029,-1,-1,500.7706
20241030,-1,-1,501.3306
20241031,-1,-1,501.7454
20241101,-1,-1,502.1714
20241104,-1,-1,502.2314
20241105,-1,-1,502.714
20241106,-1,-1,504.4986
20241107,-1,-1,506.1536
20241108,-1,-1,507.7108
20241111,-1,-1,509.5276
20241112,-1,-1,511.6292
20241113,-1,-1,513.7144
20241114,-1,-1,515.7
20241115,-1,-1,518.0396
20241118,-1,-1,520.2008
20241119,-1,-1,522.567
20241120,-1,-1,524.7714
20241121,-1,-1,527.2102
20241122,-1,-1,529.7122
20241125,-1,-1,532.0134
20241126,-1,-1,534.4234
20241127,-1,-1,536.8624
20241129,-1,-1,538.9592
20241202,-1,-1,541.0268
20241203,-1,-1,543.0874
20241204,-1,-1,545.1012
20241205,-1,-1,547.2074
20241206,-1,-1,549.3224
20241209,-1,-1,551.23
20241210,-1,-1,553.0618
20241211,-1,-1,555.102
20241212,-1,-1,557.0944
20241213,-1,-1,559.0934
20241216,-1,-1,560.9432
20241217,-1,-1,562.6192
20241218,-1,-1,563.7968
20241219,-1,-1,564.7744
20241220,-1,-1,566.0404
20241223,-1,-1,567.1396
20241224,-1,-1,568.3296
20241226,-1,-1,569.4942
20241227,-1,-1,570.4018
20241230,-1,-1,571.2936
20241231,-1,-1,572.1336
20250102,-1,-1,573.2848
20250103,-1,-1,574.5666
20250106,-1,-1,575.9282
20250107,-1,-1,577.074
20250108,-1,-1,578.4384
20250110,-1,-1,579.1848
20250113,-1,-1,579.984
20250114,-1,-1,581.024
20250115,-1,-1,582.7864
20250116,-1,-1,584.6104
20250117,-1,-1,586.9222
20250121,-1,-1,588.9466
20250122,-1,-1,589.6576
20250123,-1,-1,590.7866
20250124,-1,-1,591.7414
20250127,-1,-1,592.3786
20250128,-1,-1,593.2682
20250129,-1,531.4767,594.1654
20250130,-1,532.7441,595.3478
