date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,356.0858
20240905,-1,-1,356.5462
20240906,-1,-1,356.9106
20240909,-1,-1,357.3964
20240910,-1,-1,357.9176
20240911,-1,-1,358.604
20240912,-1,-1,359.401
20240913,-1,-1,360.3206
20240916,-1,-1,361.2652
20240917,-1,-1,362.1318
20240918,-1,-1,363.1024
20240919,-1,-1,364.0166
20240920,-1,-1,364.7346
20240923,-1,-1,365.3494
20240924,-1,-1,366.1698
20240925,-1,-1,366.7366
20240926,-1,-1,367.2156
20240927,-1,-1,367.8724
20240930,-1,-1,368.7122
20241001,-1,-1,369.622
20241002,-1,-1,370.6806
20241003,-1,-1,371.9376
20241004,-1,-1,373.0358
20241007,-1,-1,374.0108
20241008,-1,-1,375.0754
20241009,-1,-1,376.1358
20241010,-1,-1,376.9686
20241011,-1,-1,378.035
20241014,-1,-1,379.2488
20241015,-1,-1,380.5684
20241016,-1,-1,381.8888
20241017,-1,-1,383.3808
20241018,-1,-1,384.7556
20241021,-1,-1,385.9084
20241022,-1,-1,387.028
20241023,-1,-1,388.0022
20241024,-1,-1,388.9358
20241025,-1,-1,389.692
20241028,-1,-1,390.5214
20241029,-1,-1,391.156
20241030,-1,-1,391.691
20241031,-1,-1,392.1412
20241101,-1,-1,392.666
20241104,-1,-1,393.0712
20241105,-1,-1,393.689
20241106,-1,-1,394.0016
20241107,-1,-1,394.5506
20241108,-1,-1,395.3326
20241111,-1,-1,396.1272
20241112,-1,-1,396.8942
20241113,-1,-1,397.8056
20241114,-1,-1,398.6756
20241115,-1,-1,399.622
20241118,-1,-1,400.5288
20241119,-1,-1,401.2346
20241120,-1,-1,401.825
20241121,-1,-1,402.5536
20241122,-1,-1,403.3558
20241125,-1,-1,404.2852
20241126,-1,-1,405.2268
20241127,-1,-1,406.0474
20241129,-1,-1,406.8332
20241202,-1,-1,407.5744
20241203,-1,-1,408.3456
20241204,-1,-1,408.9036
20241205,-1,-1,409.4846
20241206,-1,-1,410.1906
20241209,-1,-1,410.7942
20241210,-1,-1,411.1544
20241211,-1,-1,411.4034
20241212,-1,-1,411.4586
20241213,-1,-1,411.5188
20241216,-1,-1,411.569
20241217,-1,-1,411.5778
20241218,-1,-1,411.1738
20241219,-1,-1,410.5182
20241220,-1,-1,410.1648
20241223,-1,-1,409.7718
20241224,-1,-1,409.3812
20241226,-1,-1,408.9724
20241227,-1,-1,408.4582
20241230,-1,-1,407.9348
20241231,-1,-1,407.424
20250102,-1,-1,407.0618
20250103,-1,-1,406.8058
20250106,-1,-1,406.619
20250107,-1,-1,406.2652
20250108,-1,-1,406.0332
20250110,-1,-1,405.7838
20250113,-1,-1,405.68
20250114,-1,-1,405.6796
20250115,-1,-1,405.9574
20250116,-1,-1,406.3198
20250117,-1,-1,406.5904
20250121,-1,-1,406.853
20250122,-1,-1,407.277
20250123,-1,-1,407.5542
20250124,-1,-1,407.7042
20250127,-1,-1,408.0402
20250128,-1,-1,408.3668
20250129,-1,387.4419,408.4344
20250130,-1,387.9454,408.6144
