datetime,open,close,high,low,volume
20240625,202.76,201.91,204.3,201.37,20460.0
20240626,201.4,201.44,201.7,199.23,15300.0
20240627,201.4,202.0,202.9,200.7,12505.0
20240628,202.83,201.2,203.66,198.94,34591.0
20240701,201.31,198.51,203.07,198.51,15582.0
20240702,198.78,200.91,200.95,198.77,13625.0
20240703,201.16,200.18,201.17,199.81,8151.0
20240705,200.12,201.27,201.27,198.56,9147.0
20240708,198.97,199.4,200.91,198.82,13714.0
20240709,199.37,198.43,200.74,198.39,9637.0
20240710,197.86,202.09,202.52,197.86,12704.0
20240711,202.1,202.43,204.15,201.3,19279.0
20240712,203.07,202.57,204.32,200.05,14759.0
20240715,202.69,203.25,203.83,201.07,11828.0
20240716,203.19,205.68,206.35,203.19,20132.0
20240717,205.96,207.52,207.95,205.25,19487.0
20240718,205.64,205.1,208.03,204.95,14848.0
20240719,205.91,202.21,205.97,201.86,19349.0
20240722,202.45,208.21,208.21,201.28,17515.0
20240723,204.44,204.82,206.21,203.7,10138.0
20240724,203.52,201.3,205.18,200.81,20018.0
20240725,199.75,191.41,199.85,187.5,40477.0
20240726,191.74,191.27,195.79,186.78,51513.0
20240729,192.36,189.76,192.36,187.62,20645.0
20240730,189.38,191.27,192.21,188.91,19467.0
20240731,192.47,192.53,194.81,190.46,24829.0
20240801,192.52,192.76,194.81,189.85,27192.0
20240802,190.66,191.46,196.88,189.66,22916.0
20240805,191.64,188.17,192.2,185.52,25669.0
20240806,189.85,187.51,190.49,187.02,24707.0
20240807,188.68,186.49,192.17,185.85,22863.0
20240808,186.79,188.27,188.95,186.48,16366.0
20240809,187.66,186.77,187.66,186.1,13214.0
20240812,186.61,185.42,187.31,185.17,25518.0
20240813,185.94,185.59,186.01,184.3,29522.0
20240814,185.35,186.18,186.36,184.27,26924.0
20240815,186.78,187.64,188.66,186.65,23005.0
20240816,186.2,187.03,188.07,185.45,19654.0
20240819,188.1,187.54,188.1,186.4,14908.0
20240820,187.5,188.86,188.92,186.49,20819.0
20240821,188.53,189.43,190.12,188.34,11157.0
20240822,190.12,188.58,190.12,187.8,9990.0
20240823,188.11,190.1,191.06,188.11,18381.0
20240826,191.46,191.93,192.98,191.18,12745.0
20240827,191.83,194.2,194.38,191.7,17482.0
20240828,193.81,193.85,195.13,192.01,12788.0
20240829,193.97,195.52,196.36,192.62,17172.0
20240830,196.18,195.89,196.68,193.43,13621.0
20240903,195.04,192.7,195.89,192.3,14156.0
20240904,193.15,193.66,195.16,192.3,10187.0
20240905,194.14,191.46,194.14,190.03,9000.0
20240906,190.89,185.88,191.49,185.88,18802.0
20240909,187.14,189.53,190.04,187.14,13594.0
20240910,189.16,189.34,189.55,187.09,9585.0
20240911,188.58,192.68,192.68,185.95,18968.0
20240912,192.15,193.15,193.15,190.2,13182.0
20240913,192.68,192.35,193.74,191.79,12432.0
20240916,192.9,192.85,194.99,191.95,10233.0
20240917,193.05,192.43,193.85,191.78,9944.0
20240918,192.13,189.99,192.89,189.0,16288.0
20240919,192.16,191.74,193.66,190.49,20201.0
20240920,192.21,191.79,192.65,190.29,28800.0
20240923,192.05,191.99,192.59,190.9,16454.0
20240924,192.44,193.41,194.09,190.97,16984.0
20240925,193.62,194.84,195.75,193.4,20715.0
20240926,195.46,195.78,196.45,194.61,10839.0
20240927,195.22,195.63,198.67,195.16,17152.0
20240930,196.34,193.62,196.73,192.43,19537.0
20241001,194.93,194.16,195.98,192.99,16593.0
20241002,193.69,192.34,194.14,191.89,11545.0
20241003,191.56,191.13,191.8,189.95,14533.0
20241004,191.73,191.44,193.23,189.99,10737.0
20241007,191.03,191.4,192.52,190.06,9948.0
20241008,192.68,195.94,197.56,192.01,27339.0
20241009,195.9,201.35,202.57,194.94,31002.0
20241010,199.51,201.25,201.35,198.43,39070.0
20241011,202.22,203.8,204.05,201.38,27079.0
20241014,203.67,204.74,205.4,202.82,13172.0
20241015,206.34,204.24,206.62,203.97,26493.0
20241016,204.23,206.3,206.92,204.04,16043.0
20241017,206.53,205.7,207.36,205.7,24813.0
20241018,206.21,209.2,209.23,204.87,30437.0
20241021,209.09,209.46,210.49,207.37,28332.0
20241022,208.7,209.88,209.96,207.05,28670.0
20241023,209.74,205.52,209.78,205.52,45597.0
20241024,206.81,197.23,207.09,196.83,64640.0
20241025,196.5,195.75,198.2,194.7,40853.0
20241028,196.01,194.14,197.29,193.07,46053.0
20241029,193.8,193.15,195.6,191.29,49248.0
20241030,192.55,192.88,194.69,191.35,37693.0
20241031,192.2,193.79,194.23,191.62,37353.0
20241101,193.79,197.1,197.59,192.72,34736.0
20241104,196.92,196.94,196.94,194.49,28045.0
20241105,196.25,196.34,199.6,194.68,52034.0
20241106,200.08,203.52,204.35,197.0,46332.0
20241107,203.89,204.93,206.1,202.67,41777.0
20241108,204.93,206.91,207.47,203.99,36492.0
20241111,207.51,212.3,212.3,206.53,54270.0
20241112,212.64,221.55,233.6,212.42,89642.0
20241113,220.71,219.6,222.86,218.76,45998.0
20241114,219.91,217.34,221.01,216.97,27451.0
20241115,216.27,215.75,217.84,214.35,28005.0
20241118,214.3,215.29,216.77,214.3,25782.0
20241119,213.89,214.82,215.68,213.19,32018.0
20241120,214.42,213.6,215.66,212.38,26711.0
20241121,214.82,213.01,215.64,211.83,35935.0
20241122,213.63,215.87,216.82,212.0,27921.0
20241125,217.32,216.24,218.58,216.23,25325.0
20241126,218.1,217.08,219.06,215.86,30576.0
20241127,218.46,216.37,219.49,215.67,21928.0
20241129,216.37,219.66,219.79,216.15,14325.0
20241202,219.64,212.94,220.21,207.28,18737.0
20241203,212.48,213.27,215.95,210.26,26769.0
20241204,213.41,215.78,216.84,212.77,17634.0
20241205,217.55,213.21,217.55,212.48,26733.0
20241206,213.21,213.3,214.78,212.66,21609.0
20241209,212.43,213.17,214.58,211.84,17637.0
20241210,212.96,215.85,216.68,211.6,26188.0
20241211,216.58,215.3,220.47,214.69,32786.0
20241212,215.84,213.94,216.65,213.92,20599.0
20241213,214.59,214.11,215.85,212.81,18228.0
20241216,217.08,222.92,224.52,216.85,58968.0
20241217,226.13,219.44,226.13,218.25,40460.0
20241218,220.47,212.47,221.13,212.14,43825.0
20241219,213.75,214.35,220.0,213.22,33314.0
20241220,215.24,214.82,216.47,211.31,50854.0
20241223,215.44,214.75,215.66,212.89,20853.0
20241224,213.55,215.67,216.03,212.61,14339.0
20241226,214.7,218.87,218.87,214.7,25104.0
20241227,217.39,216.24,218.18,215.58,18721.0
20241230,216.23,212.95,216.25,212.37,17384.0
20241231,213.88,212.83,214.4,212.56,13782.0
20250102,216.69,212.94,216.69,211.67,14726.0
20250103,213.12,213.71,214.28,212.81,16886.0
20250106,213.56,208.79,214.35,208.57,19337.0
20250107,208.71,207.88,210.19,207.19,20585.0
20250108,209.39,207.44,209.39,206.34,18000.0
20250110,207.39,205.58,208.69,203.78,26074.0
20250113,204.89,207.05,215.74,204.85,41074.0
20250114,206.81,205.96,207.76,202.2,28364.0
20250115,207.65,206.85,208.88,203.69,32160.0
20250116,207.31,209.4,211.55,205.86,33124.0
20250117,209.83,209.72,214.07,209.27,22791.0
20250121,211.3,211.04,214.57,210.26,32481.0
20250122,211.7,209.82,211.7,209.77,21493.0
20250123,211.04,212.43,213.0,209.88,22208.0
20250124,211.09,208.62,214.02,208.03,50977.0
20250127,204.49,212.66,212.81,204.49,19360.0
20250128,211.13,206.86,211.73,205.4,24145.0
20250129,206.4,209.17,209.92,206.36,10598.0
20250130,209.83,211.0,211.71,208.77,9528.0
20250131,211.31,210.59,212.89,209.68,16455.0
20250203,208.34,209.59,210.63,206.96,21375.0
20250204,208.71,210.36,212.65,208.71,23839.0
20250205,211.3,209.5,211.3,206.32,30528.0
20250206,208.37,198.11,223.16,194.26,87618.0
20250207,199.02,193.47,201.07,193.47,49449.0
20250210,194.5,196.47,197.07,193.23,40464.0
20250211,196.72,194.8,197.24,193.89,19164.0
20250212,194.98,193.39,194.98,192.44,24495.0
20250213,193.25,193.62,195.32,192.78,22142.0
20250214,193.46,191.5,193.62,189.89,40609.0
20250218,191.48,196.46,196.46,191.06,31385.0
20250219,195.98,198.45,199.46,195.49,29859.0
20250220,198.4,199.09,199.28,196.8,19979.0
20250221,199.68,198.44,200.22,197.3,40415.0
20250224,200.18,198.29,202.75,197.5,50226.0
20250225,198.26,199.77,201.46,197.87,25617.0
20250226,199.74,199.16,200.42,197.63,21049.0
20250227,199.28,200.03,202.47,199.28,17551.0
20250228,199.89,200.37,201.41,198.42,28711.0
20250303,201.15,200.14,203.57,198.83,36966.0
20250304,200.56,196.62,200.58,195.82,54681.0
20250305,195.98,197.67,198.27,194.84,36247.0
20250306,197.29,198.39,199.63,195.5,36195.0
20250307,199.04,202.12,202.91,197.77,38714.0
20250310,200.69,201.46,205.85,199.21,30239.0
20250311,202.15,196.53,202.33,194.96,37399.0
20250312,196.82,194.21,196.94,192.9,25621.0
20250313,193.62,195.72,195.88,193.15,27074.0
20250314,196.41,196.76,198.95,195.87,27524.0
20250317,195.97,198.26,198.91,195.71,30663.0
20250318,198.14,197.64,199.28,196.76,25808.0
20250319,198.14,196.64,199.86,195.12,46612.0
20250320,196.08,198.58,199.44,195.31,26574.0
20250321,198.58,197.88,199.23,196.71,47221.0
20250324,199.43,199.85,200.39,198.33,26551.0
20250325,199.63,199.86,200.7,198.11,27002.0
20250326,200.43,200.42,204.62,199.84,39192.0
20250327,200.92,201.79,202.77,200.0,26201.0
20250328,201.16,197.53,202.48,197.52,18508.0
20250331,198.06,198.91,200.16,197.64,25474.0
20250401,198.68,201.4,201.4,197.34,18496.0
20250402,200.21,200.45,204.0,198.8,25733.0
20250403,199.18,193.25,203.79,193.25,47426.0
20250404,192.74,179.92,194.55,179.07,55532.0
20250407,175.93,177.7,184.89,172.79,53395.0
20250408,179.22,170.45,180.12,170.38,46845.0
20250409,170.07,189.34,189.38,168.65,62534.0
20250410,186.08,181.86,188.02,177.89,36663.0
20250411,182.19,186.65,187.88,180.53,33690.0
20250414,188.37,188.68,189.72,186.74,27822.0
20250415,189.22,187.32,190.66,186.92,16219.0
20250416,187.91,181.88,187.91,181.38,30925.0
20250417,183.02,185.24,186.87,183.02,22129.0
20250421,183.71,182.69,184.48,181.02,28647.0
20250422,184.35,188.91,188.91,183.94,30216.0
20250423,188.99,183.87,190.5,183.86,29469.0
20250424,183.92,188.43,189.95,183.92,21152.0
20250425,188.14,186.96,188.99,186.36,25605.0
20250428,187.78,190.06,190.06,186.55,40524.0
20250429,191.08,199.43,200.5,191.08,58838.0
20250430,199.44,196.69,199.75,193.9,33521.0
20250501,198.66,198.56,199.3,197.33,27032.0
20250502,200.26,201.75,202.57,199.76,25284.0
20250505,201.45,203.23,203.23,200.19,52597.0
20250506,201.4,199.78,201.4,197.18,41084.0
20250507,198.95,202.34,204.24,198.95,32296.0
20250508,204.46,202.14,204.46,201.42,25467.0
20250509,202.6,201.02,202.6,200.38,15136.0
20250512,204.46,206.79,206.82,204.0,28143.0
20250513,206.82,205.61,207.63,205.46,30326.0
20250514,206.34,205.21,206.34,203.35,22467.0
20250515,203.66,209.55,210.09,203.66,27425.0
20250516,209.18,208.56,210.1,207.87,21799.0
20250519,209.15,211.06,212.09,207.87,19440.0
20250520,210.88,212.0,212.24,210.36,20369.0
20250521,210.6,209.33,211.96,208.71,22260.0
20250522,211.17,210.94,212.02,208.23,17497.0
20250523,208.23,209.16,210.11,208.06,14152.0
20250527,211.77,213.46,213.65,209.48,20963.0
20250528,212.76,212.92,214.79,210.43,18185.0
20250529,212.03,211.18,212.85,210.28,54069.0
20250530,211.56,213.57,213.9,210.83,57087.0
20250602,212.94,212.48,213.31,210.14,15554.0
20250603,212.0,213.31,214.09,211.97,18073.0
20250604,214.21,214.36,215.55,213.12,13315.0
20250605,214.12,213.88,214.75,213.05,22663.0
20250606,213.76,215.56,217.15,213.76,14035.0
20250609,216.91,213.9,216.91,213.44,14183.0
20250610,213.99,212.94,214.45,212.68,13983.0
20250611,212.47,209.64,213.69,208.84,13896.0
20250612,211.89,212.98,213.61,210.84,11169.0
20250613,211.68,211.33,213.06,210.59,14037.0
20250616,212.53,211.05,213.31,210.61,12309.0
20250617,211.05,209.17,211.52,208.68,20239.0
20250618,209.35,209.05,210.67,208.11,24049.0
20250620,209.17,208.98,211.14,207.47,41134.0
20250623,210.36,211.75,212.24,208.91,18064.0
20250624,212.85,211.56,213.04,210.72,28161.0
20250625,211.69,208.97,211.69,208.37,21293.0
20250626,210.11,213.65,213.76,209.29,18547.0
20250627,213.31,215.58,215.73,212.73,35458.0
20250630,215.79,219.34,220.06,215.12,29932.0
20250701,219.17,225.19,225.24,218.68,26163.0
20250702,225.21,226.13,226.62,223.22,33924.0
20250703,225.28,227.07,227.35,225.28,10104.0
20250707,225.64,225.33,226.98,224.19,19384.0
20250708,226.25,227.97,227.97,224.98,17625.0
20250709,226.79,225.19,227.75,223.04,14208.0
20250710,224.47,222.85,225.54,222.84,15144.0
20250711,222.21,221.65,222.41,220.47,16095.0
20250714,221.68,224.3,224.98,220.55,14868.0
20250715,223.3,221.18,224.08,220.89,13689.0
20250716,222.36,222.99,223.3,219.54,18002.0
20250717,222.99,224.59,224.89,221.07,16391.0
20250718,224.62,222.36,226.4,221.64,27902.0
20250721,224.22,222.08,224.57,221.59,18453.0
20250722,222.04,222.91,223.37,220.79,20629.0
20250723,224.75,227.97,227.97,223.52,26922.0
20250724,230.84,213.03,231.31,210.86,82267.0
20250725,212.81,211.34,213.5,209.44,41306.0
20250728,212.56,212.37,214.59,211.52,29855.0
20250729,212.67,209.08,212.94,208.45,26250.0
20250730,209.55,208.23,211.42,206.82,34806.0
20250731,209.2,209.53,210.8,207.85,20439.0
20250801,208.6,205.24,209.5,204.61,28830.0
20250804,206.62,207.78,208.51,205.21,20422.0
20250805,208.2,207.76,208.65,206.34,17229.0
20250806,208.77,206.34,209.07,206.34,16099.0
20250807,206.25,204.46,207.76,203.15,20269.0
20250808,204.49,204.17,205.59,203.52,18556.0
20250811,204.69,203.8,204.69,201.82,15798.0
20250812,204.46,204.83,205.31,203.09,32253.0
20250813,205.4,207.22,207.26,204.66,27952.0
20250814,207.63,204.93,207.63,204.72,20518.0
20250815,204.46,204.19,205.96,203.31,19025.0
20250818,204.46,203.89,204.84,203.44,26458.0
20250819,203.29,204.26,205.56,203.02,15367.0
20250820,204.1,204.41,206.83,203.72,28614.0
20250821,203.98,205.2,205.2,202.57,16958.0
20250822,205.67,210.0,210.19,205.67,21297.0
20250825,209.47,208.08,209.56,207.76,15038.0
20250826,207.45,209.7,209.93,207.13,28498.0
20250827,209.34,208.7,209.85,207.67,14237.0
20250828,208.89,208.57,209.07,207.08,18211.0
20250829,208.56,206.81,208.79,206.51,14503.0
20250902,206.61,204.43,206.61,202.95,23780.0
