date,symbol,ma200,ma150,ma50
20240625,HON,-1,-1,-1
20240626,HON,-1,-1,-1
20240627,HON,-1,-1,-1
20240628,HON,-1,-1,-1
20240701,HON,-1,-1,-1
20240702,HON,-1,-1,-1
20240703,HON,-1,-1,-1
20240705,HON,-1,-1,-1
20240708,HON,-1,-1,-1
20240709,HON,-1,-1,-1
20240710,HON,-1,-1,-1
20240711,HON,-1,-1,-1
20240712,HON,-1,-1,-1
20240715,HON,-1,-1,-1
20240716,HON,-1,-1,-1
20240717,HON,-1,-1,-1
20240718,HON,-1,-1,-1
20240719,HON,-1,-1,-1
20240722,HON,-1,-1,-1
20240723,HON,-1,-1,-1
20240724,HON,-1,-1,-1
20240725,HON,-1,-1,-1
20240726,HON,-1,-1,-1
20240729,HON,-1,-1,-1
20240730,HON,-1,-1,-1
20240731,HON,-1,-1,-1
20240801,HON,-1,-1,-1
20240802,HON,-1,-1,-1
20240805,HON,-1,-1,-1
20240806,HON,-1,-1,-1
20240807,HON,-1,-1,-1
20240808,HON,-1,-1,-1
20240809,HON,-1,-1,-1
20240812,HON,-1,-1,-1
20240813,HON,-1,-1,-1
20240814,HON,-1,-1,-1
20240815,HON,-1,-1,-1
20240816,HON,-1,-1,-1
20240819,HON,-1,-1,-1
20240820,HON,-1,-1,-1
20240821,HON,-1,-1,-1
20240822,HON,-1,-1,-1
20240823,HON,-1,-1,-1
20240826,HON,-1,-1,-1
20240827,HON,-1,-1,-1
20240828,HON,-1,-1,-1
20240829,HON,-1,-1,-1
20240830,HON,-1,-1,-1
20240903,HON,-1,-1,-1
20240904,HON,-1,-1,195.2444
20240905,HON,-1,-1,195.0354
20240906,HON,-1,-1,194.7242
20240909,HON,-1,-1,194.4748
20240910,HON,-1,-1,194.2376
20240911,HON,-1,-1,194.121
20240912,HON,-1,-1,193.9658
20240913,HON,-1,-1,193.8092
20240916,HON,-1,-1,193.6408
20240917,HON,-1,-1,193.5014
20240918,HON,-1,-1,193.3326
20240919,HON,-1,-1,193.1256
20240920,HON,-1,-1,192.9128
20240923,HON,-1,-1,192.7012
20240924,HON,-1,-1,192.5044
20240925,HON,-1,-1,192.2876
20240926,HON,-1,-1,192.0528
20240927,HON,-1,-1,191.8634
20240930,HON,-1,-1,191.6916
20241001,HON,-1,-1,191.4106
20241002,HON,-1,-1,191.161
20241003,HON,-1,-1,190.9576
20241004,HON,-1,-1,190.9582
20241007,HON,-1,-1,190.9608
20241008,HON,-1,-1,191.0844
20241009,HON,-1,-1,191.286
20241010,HON,-1,-1,191.4604
20241011,HON,-1,-1,191.6812
20241014,HON,-1,-1,191.9468
20241015,HON,-1,-1,192.2682
20241016,HON,-1,-1,192.644
20241017,HON,-1,-1,193.0282
20241018,HON,-1,-1,193.4468
20241021,HON,-1,-1,193.9006
20241022,HON,-1,-1,194.3898
20241023,HON,-1,-1,194.7884
20241024,HON,-1,-1,195.0094
20241025,HON,-1,-1,195.1716
20241028,HON,-1,-1,195.3138
20241029,HON,-1,-1,195.426
20241030,HON,-1,-1,195.5064
20241031,HON,-1,-1,195.5936
20241101,HON,-1,-1,195.764
20241104,HON,-1,-1,195.9008
20241105,HON,-1,-1,195.989
20241106,HON,-1,-1,196.1754
20241107,HON,-1,-1,196.397
20241108,HON,-1,-1,196.6248
20241111,HON,-1,-1,196.953
20241112,HON,-1,-1,197.53
20241113,HON,-1,-1,198.0488
20241114,HON,-1,-1,198.5664
20241115,HON,-1,-1,199.1638
20241118,HON,-1,-1,199.679
20241119,HON,-1,-1,200.1886
20241120,HON,-1,-1,200.607
20241121,HON,-1,-1,201.0042
20241122,HON,-1,-1,201.4746
20241125,HON,-1,-1,201.9424
20241126,HON,-1,-1,202.4354
20241127,HON,-1,-1,202.963
20241129,HON,-1,-1,203.5214
20241202,HON,-1,-1,203.9444
20241203,HON,-1,-1,204.37
20241204,HON,-1,-1,204.8174
20241205,HON,-1,-1,205.1848
20241206,HON,-1,-1,205.5352
20241209,HON,-1,-1,205.886
20241210,HON,-1,-1,206.3306
20241211,HON,-1,-1,206.7534
20241212,HON,-1,-1,207.1854
20241213,HON,-1,-1,207.645
20241216,HON,-1,-1,208.2746
20241217,HON,-1,-1,208.8354
20241218,HON,-1,-1,209.166
20241219,HON,-1,-1,209.426
20241220,HON,-1,-1,209.6974
20241223,HON,-1,-1,209.9164
20241224,HON,-1,-1,210.135
20241226,HON,-1,-1,210.4276
20241227,HON,-1,-1,210.6264
20241230,HON,-1,-1,210.7714
20241231,HON,-1,-1,210.844
20250102,HON,-1,-1,210.9136
20250103,HON,-1,-1,210.9902
20250106,HON,-1,-1,211.0556
20250107,HON,-1,-1,211.2686
20250108,HON,-1,-1,211.5024
20250110,HON,-1,-1,211.7312
20250113,HON,-1,-1,212.0092
20250114,HON,-1,-1,212.2708
20250115,HON,-1,-1,212.532
20250116,HON,-1,-1,212.778
20250117,HON,-1,-1,213.0336
20250121,HON,-1,-1,213.3276
20250122,HON,-1,-1,213.4536
20250123,HON,-1,-1,213.6036
20250124,HON,-1,-1,213.6378
20250127,HON,-1,-1,213.645
20250128,HON,-1,-1,213.3512
20250129,HON,-1,202.1453,213.1426
20250130,HON,-1,202.2059,213.0158
20250131,HON,-1,202.2669,212.9126
20250203,HON,-1,202.3175,212.7986
20250204,HON,-1,202.3785,212.7094
20250205,HON,-1,202.4518,212.6274
20250206,HON,-1,202.4331,212.3294
20250207,HON,-1,202.3884,211.8814
20250210,HON,-1,202.3564,211.486
20250211,HON,-1,202.3257,211.0404
20250212,HON,-1,202.2921,210.5808
20250213,HON,-1,202.2357,210.06
20250214,HON,-1,202.1628,209.6312
20250218,HON,-1,202.1221,209.295
20250219,HON,-1,202.0901,208.9484
20250220,HON,-1,202.0461,208.666
20250221,HON,-1,201.9856,208.3688
20250224,HON,-1,201.9402,208.0712
20250225,HON,-1,201.9239,207.7496
20250226,HON,-1,201.8636,207.4268
20250227,HON,-1,201.8317,207.1486
20250228,HON,-1,201.8255,206.8738
20250303,HON,-1,201.8837,206.4182
20250304,HON,-1,201.9193,205.9618
20250305,HON,-1,201.9721,205.6658
20250306,HON,-1,202.0195,205.3466
20250307,HON,-1,202.0835,205.0926
20250310,HON,-1,202.1415,204.8268
20250311,HON,-1,202.1753,204.444
20250312,HON,-1,202.2155,203.9508
20250313,HON,-1,202.2703,203.5404
20250314,HON,-1,202.3387,203.2166
20250317,HON,-1,202.4053,202.9252
20250318,HON,-1,202.4778,202.6192
20250319,HON,-1,202.5526,202.2778
20250320,HON,-1,202.6392,202.0736
20250321,HON,-1,202.7172,201.8736
20250324,HON,-1,202.7986,201.7218
20250325,HON,-1,202.8841,201.6074
20250326,HON,-1,202.97,201.4748
20250327,HON,-1,203.0562,201.3914
20250328,HON,-1,203.1102,201.205
20250331,HON,-1,203.1791,200.9952
20250401,HON,-1,203.2544,200.8288
20250402,HON,-1,203.3112,200.617
20250403,HON,-1,203.3049,200.2856
20250404,HON,-1,203.212,199.6354
20250407,HON,-1,203.0932,199.017
20250408,HON,-1,202.9236,198.1728
20250409,HON,-1,202.9012,197.8224
20250410,HON,200.928,202.8225,197.2762
20250411,HON,200.8517,202.7905,196.7892
20250414,HON,200.7879,202.8091,196.351
20250415,HON,200.7145,202.7944,195.9056
20250416,HON,200.6179,202.7447,195.336
20250417,HON,200.5515,202.6951,194.8508
20250421,HON,200.4604,202.6253,194.5424
20250422,HON,200.4041,202.6024,194.4512
20250423,HON,200.3171,202.5425,194.1992
20250424,HON,200.2622,202.5159,194.0718
20250425,HON,200.2049,202.4957,193.9432
20250428,HON,200.1447,202.4845,193.872
20250429,HON,200.1297,202.5354,194.0306
20250430,HON,200.1003,202.5667,194.0352
20250501,HON,200.0769,202.6011,194.0374
20250502,HON,200.0572,202.6471,194.0906
20250505,HON,200.0358,202.6968,194.1864
20250506,HON,200.0092,202.7245,194.2162
20250507,HON,200.0099,202.7826,194.2676
20250508,HON,199.9795,202.8358,194.3272
20250509,HON,199.9605,202.8937,194.347
20250512,HON,199.9879,202.9981,194.4754
20250513,HON,200.059,203.0925,194.5848
20250514,HON,200.1287,203.1846,194.7566
20250515,HON,200.2276,203.2753,194.9942
20250516,HON,200.314,203.3234,195.1976
20250519,HON,200.4067,203.3888,195.3764
20250520,HON,200.5029,203.4435,195.5872
20250521,HON,200.5922,203.4741,195.8432
20250522,HON,200.7061,203.5187,196.1778
20250523,HON,200.8144,203.5378,196.4466
20250527,HON,200.9492,203.5895,196.7806
20250528,HON,201.0725,203.6143,197.0738
20250529,HON,201.1945,203.6258,197.3446
20250530,HON,201.3353,203.6504,197.6832
20250602,HON,201.4697,203.6968,197.9612
20250603,HON,201.6053,203.804,198.2698
20250604,HON,201.739,203.9281,198.56
20250605,HON,201.8732,204.0597,198.8404
20250606,HON,202.0133,204.2091,199.1432
20250609,HON,202.1385,204.3492,199.3854
20250610,HON,202.256,204.4769,199.6936
20250611,HON,202.3613,204.5605,199.9082
20250612,HON,202.4758,204.6674,200.1398
