date,ma200,ma150,ma50
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,-1
20240905,-1,-1,188.353
20240906,-1,-1,188.9164
20240909,-1,-1,189.5704
20240910,-1,-1,190.2176
20240911,-1,-1,190.9142
20240912,-1,-1,191.602
20240913,-1,-1,192.3878
20240916,-1,-1,193.2188
20240917,-1,-1,193.9354
20240918,-1,-1,194.7108
20240919,-1,-1,195.424
20240920,-1,-1,196.216
20240923,-1,-1,196.9674
20240924,-1,-1,197.7326
20240925,-1,-1,198.4498
20240926,-1,-1,199.1758
20240927,-1,-1,199.8718
20240930,-1,-1,200.6332
20241001,-1,-1,201.3234
20241002,-1,-1,202.0454
20241003,-1,-1,202.7066
20241004,-1,-1,203.3804
20241007,-1,-1,204.0868
20241008,-1,-1,204.8392
20241009,-1,-1,205.7182
20241010,-1,-1,206.5292
20241011,-1,-1,207.39
20241014,-1,-1,208.3268
20241015,-1,-1,209.292
20241016,-1,-1,210.225
20241017,-1,-1,211.166
20241018,-1,-1,211.9572
20241021,-1,-1,212.7772
20241022,-1,-1,213.6326
20241023,-1,-1,214.3416
20241024,-1,-1,214.8678
20241025,-1,-1,215.274
20241028,-1,-1,215.6538
20241029,-1,-1,215.9748
20241030,-1,-1,216.1462
20241031,-1,-1,216.336
20241101,-1,-1,216.5788
20241104,-1,-1,216.7838
20241105,-1,-1,217.0234
20241106,-1,-1,217.3292
20241107,-1,-1,217.6432
20241108,-1,-1,217.9332
20241111,-1,-1,218.1682
20241112,-1,-1,218.3678
20241113,-1,-1,218.5074
20241114,-1,-1,218.6296
20241115,-1,-1,218.7394
20241118,-1,-1,218.8336
20241119,-1,-1,218.9334
20241120,-1,-1,219.0278
20241121,-1,-1,219.2286
20241122,-1,-1,219.3948
20241125,-1,-1,219.5618
20241126,-1,-1,219.8558
20241127,-1,-1,220.09
20241129,-1,-1,220.368
20241202,-1,-1,220.563
20241203,-1,-1,220.73
20241204,-1,-1,220.9792
20241205,-1,-1,221.245
20241206,-1,-1,221.5196
20241209,-1,-1,221.7146
20241210,-1,-1,221.937
20241211,-1,-1,222.1542
20241212,-1,-1,222.4054
20241213,-1,-1,222.5716
20241216,-1,-1,222.6378
20241217,-1,-1,222.6748
20241218,-1,-1,222.5184
20241219,-1,-1,222.3104
20241220,-1,-1,222.1484
20241223,-1,-1,221.9268
20241224,-1,-1,221.7072
20241226,-1,-1,221.5418
20241227,-1,-1,221.325
20241230,-1,-1,221.064
20241231,-1,-1,220.8066
20250102,-1,-1,220.5248
20250103,-1,-1,220.3392
20250106,-1,-1,220.257
20250107,-1,-1,220.3696
20250108,-1,-1,220.5422
20250110,-1,-1,220.6692
20250113,-1,-1,220.8128
20250114,-1,-1,221.0772
20250115,-1,-1,221.3438
20250116,-1,-1,221.6218
20250117,-1,-1,221.9946
20250121,-1,-1,222.2754
20250122,-1,-1,222.4622
20250123,-1,-1,222.7056
20250124,-1,-1,222.9294
20250127,-1,-1,223.1334
20250128,-1,-1,223.423
20250129,-1,-1,224.1804
20250130,-1,210.7137,225.1584
20250131,-1,211.2695,226.1526
20250203,-1,211.8769,227.2266
20250204,-1,212.4823,228.2958
20250205,-1,213.0753,229.2838
20250206,-1,213.5843,229.9222
20250207,-1,214.0949,230.5022
20250210,-1,214.5843,230.9722
20250211,-1,215.0946,231.4926
20250212,-1,215.6233,232.069
20250213,-1,216.1669,232.7088
20250214,-1,216.7196,233.3798
20250218,-1,217.2555,234.0692
20250219,-1,217.798,234.6822
20250220,-1,218.3259,235.283
20250221,-1,218.8176,235.7574
20250224,-1,219.3313,236.4074
20250225,-1,219.8385,236.9454
20250226,-1,220.3293,237.5102
20250227,-1,220.7892,237.9168
20250228,-1,221.2095,238.3504
20250303,-1,221.5966,238.7716
20250304,-1,222.0126,239.2762
20250305,-1,222.4126,239.8802
20250306,-1,222.8009,240.3742
20250307,-1,223.2593,241.1002
20250310,-1,223.7018,241.7886
20250311,-1,224.1036,242.2768
20250312,-1,224.5389,242.783
20250313,-1,224.9323,243.247
20250314,-1,225.3457,243.807
20250317,-1,225.7447,244.4704
20250318,-1,226.1101,245.0282
20250319,-1,226.5322,245.6248
20250320,-1,226.8776,246.0342
20250321,-1,227.2233,246.4324
20250324,-1,227.5845,246.9372
20250325,-1,227.9598,247.5564
20250326,-1,228.3271,248.1938
20250327,-1,228.662,248.7626
20250328,-1,228.9649,249.2148
20250331,-1,229.3135,249.7398
20250401,-1,229.6751,250.2468
20250402,-1,230.0019,250.7068
20250403,-1,230.2981,251.1028
20250404,-1,230.4913,251.1252
20250407,-1,230.6973,251.2294
20250408,-1,230.8081,251.1226
20250409,-1,231.0353,251.315
20250410,-1,231.2069,250.933
20250411,220.657,231.425,250.487
20250414,220.9926,231.6847,250.162
20250415,221.3356,231.9241,249.712
20250416,221.6659,232.1487,249.2168
20250417,221.9891,232.3475,248.7308
20250421,222.2862,232.5142,248.3918
20250422,222.6274,232.7073,248.2248
20250423,222.8914,232.7823,247.8128
20250424,223.1467,232.8837,247.3028
20250425,223.4265,232.9985,246.8364
20250428,223.7169,233.1478,246.3666
20250429,224.0163,233.2831,245.9066
20250430,224.3113,233.4259,245.4786
20250501,224.5929,233.5463,244.9776
20250502,224.8912,233.7049,244.5868
20250505,225.1997,233.8743,244.346
20250506,225.5269,234.0787,244.114
20250507,225.8782,234.2932,243.9972
20250508,226.229,234.5309,243.9282
20250509,226.5533,234.7226,243.8456
20250512,226.8726,234.9279,243.8616
20250513,227.2036,235.1446,244.0244
20250514,227.5311,235.3459,244.0866
20250515,227.9095,235.5996,244.4002
20250516,228.2792,235.7995,244.714
20250519,228.6553,236.0307,244.8434
20250520,229.0394,236.2559,245.0524
20250521,229.3997,236.4241,245.2882
20250522,229.7683,236.5938,245.4566
20250523,230.1289,236.7635,245.7186
20250527,230.5154,236.9652,246.0246
20250528,230.8674,237.1707,246.2352
20250529,231.2004,237.3415,246.4714
20250530,231.548,237.5198,246.5954
20250602,231.91,237.7661,247.0072
20250603,232.2759,238.0786,247.4338
20250604,232.631,238.4166,247.7704
20250605,232.9967,238.7777,248.1076
20250606,233.3697,239.1681,248.4976
20250609,233.7503,239.6183,249.015
20250610,234.1474,240.0845,249.695
20250611,234.575,240.5737,250.3596
20250612,234.9963,241.0671,250.9598
20250613,235.3913,241.514,251.5598
20250616,235.801,241.9583,252.3098
20250617,236.2254,242.4195,253.4278
20250618,236.6462,242.8839,254.4928
20250620,237.0425,243.3339,255.7456
20250623,237.489,243.8627,256.8502
20250624,237.938,244.4149,258.1312
20250625,238.3787,244.9617,259.2396
20250626,238.8391,245.539,260.3024
20250627,239.2694,246.0813,261.3054
20250630,239.7163,246.644,262.4194
20250701,240.1267,247.1597,263.4644
20250702,240.5055,247.5979,264.4796
20250703,240.8892,248.054,265.435
20250707,241.2649,248.4993,266.713
20250708,241.6468,248.9105,267.936
20250709,242.0155,249.324,269.0666
20250710,242.3922,249.7336,270.1254
20250711,242.721,250.1069,271.0344
20250714,243.0379,250.4739,271.8738
20250715,243.3421,250.7963,272.7292
20250716,243.6398,251.1048,273.4446
20250717,243.9336,251.4049,274.1114
