datetime,open,close,high,low,volume
202606230800,258.7,260.0,261.16,253.0,244.0
202606230801,260.39,260.95,261.21,253.75,55.0
202606230802,261.29,260.05,261.29,260.05,13.0
202606230803,260.54,260.42,260.54,260.42,2.0
202606230804,260.36,259.03,260.36,259.0,32.0
202606230805,259.03,259.03,259.03,259.03,0.0
202606230806,261.29,257.7,261.29,255.92,76.0
202606230807,257.24,254.43,260.54,254.32,111.0
202606230808,254.19,256.0,260.0,254.19,43.0
202606230809,258.56,254.16,259.2,252.99,67.0
202606230810,253.3,255.83,259.64,253.25,43.0
202606230811,255.83,260.46,261.0,253.6,79.0
202606230812,258.38,259.97,260.8,256.56,103.0
202606230813,259.97,260.44,260.44,259.97,15.0
202606230814,260.01,260.1,260.1,259.99,9.0
202606230815,260.1,260.1,260.1,260.1,0.0
202606230816,260.35,260.8,260.8,260.35,4.0
202606230817,261.01,259.93,261.01,259.93,8.0
202606230818,259.93,259.93,259.93,259.93,0.0
202606230819,259.0,258.0,259.0,258.0,69.0
202606230820,258.1,258.0,258.6,258.0,11.0
202606230821,259.1,259.31,259.31,259.1,12.0
202606230822,260.5,260.5,260.5,260.5,1.0
202606230823,260.5,260.5,260.5,260.5,0.0
202606230824,258.8,258.4,258.8,258.4,14.0
202606230825,258.27,258.67,258.67,258.26,9.0
202606230826,258.5,258.05,259.0,258.0,18.0
202606230827,258.1,258.0,258.1,258.0,5.0
202606230828,257.95,258.0,258.0,257.71,7.0
202606230829,259.0,259.0,259.0,259.0,1.0
202606230830,257.15,257.15,257.15,257.15,2.0
202606230831,257.15,257.15,257.15,257.15,0.0
202606230832,257.15,257.15,257.15,257.15,0.0
202606230833,257.15,257.15,257.15,257.15,0.0
202606230834,259.3,259.37,259.47,259.3,18.0
202606230835,259.47,259.47,259.47,259.47,3.0
202606230836,259.49,259.49,259.49,259.49,1.0
202606230837,260.0,260.08,260.08,260.0,3.0
202606230838,260.0,261.0,261.0,260.0,12.0
202606230839,260.88,260.08,260.88,260.08,2.0
202606230840,260.55,260.95,260.95,260.55,8.0
202606230841,261.0,261.6,261.95,260.99,17.0
202606230842,261.21,261.0,261.47,261.0,9.0
202606230843,260.44,260.44,260.44,260.44,8.0
202606230844,261.47,261.47,261.47,261.47,1.0
202606230845,260.75,260.0,260.75,260.0,21.0
202606230846,260.0,260.0,260.0,260.0,4.0
202606230847,260.0,260.0,260.0,260.0,0.0
202606230848,260.03,260.79,260.79,260.03,19.0
202606230849,260.79,260.79,260.79,260.79,0.0
202606230850,260.9,260.9,260.9,260.9,1.0
202606230851,260.9,260.9,260.9,260.9,0.0
202606230852,260.0,260.0,260.0,260.0,3.0
202606230853,259.6,259.06,259.6,259.05,7.0
202606230854,259.06,259.06,259.06,259.06,0.0
202606230855,259.06,259.06,259.06,259.06,0.0
202606230856,259.2,259.2,259.2,259.2,1.0
202606230857,259.15,259.11,259.15,259.11,2.0
202606230858,259.11,259.11,259.11,259.11,0.0
202606230859,259.3,259.4,259.4,259.3,4.0
202606230900,259.4,259.4,259.4,259.4,0.0
202606230901,259.16,259.16,259.17,259.16,3.0
202606230902,259.0,259.0,259.0,259.0,8.0
202606230903,259.37,259.68,259.69,259.37,13.0
202606230904,259.68,259.68,259.68,259.68,0.0
202606230905,259.68,259.68,259.68,259.68,0.0
202606230906,259.0,259.0,259.0,259.0,1.0
202606230907,259.0,259.0,259.0,259.0,0.0
202606230908,259.11,259.0,259.11,259.0,8.0
202606230909,258.5,258.03,258.5,258.03,5.0
202606230910,258.8,258.8,258.8,258.8,1.0
202606230911,259.01,259.01,259.01,259.01,1.0
202606230912,258.7,258.7,258.7,258.7,2.0
202606230913,259.13,259.13,259.13,259.13,3.0
202606230914,258.82,258.82,258.82,258.81,1.0
202606230915,259.2,259.2,259.2,258.65,13.0
202606230916,259.1,259.1,259.1,259.1,2.0
202606230917,259.12,259.12,259.12,259.11,2.0
202606230918,259.12,259.12,259.12,259.12,0.0
202606230919,259.12,259.12,259.12,259.12,0.0
202606230920,259.12,259.12,259.12,259.12,0.0
202606230921,259.12,259.12,259.12,259.12,0.0
202606230922,259.0,259.0,259.0,258.28,5.0
202606230923,259.0,259.25,259.25,259.0,17.0
