date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,26.7326
20240905,-1,-1,26.5064
20240906,-1,-1,26.2736
20240909,-1,-1,26.0434
20240910,-1,-1,25.8028
20240911,-1,-1,25.5776
20240912,-1,-1,25.3438
20240913,-1,-1,25.1168
20240916,-1,-1,24.927
20240917,-1,-1,24.6582
20240918,-1,-1,24.3866
20240919,-1,-1,24.1134
20240920,-1,-1,23.885
20240923,-1,-1,23.643
20240924,-1,-1,23.409
20240925,-1,-1,23.193
20240926,-1,-1,22.9706
20240927,-1,-1,22.7458
20240930,-1,-1,22.553
20241001,-1,-1,22.3384
20241002,-1,-1,22.1328
20241003,-1,-1,21.9394
20241004,-1,-1,21.7654
20241007,-1,-1,21.585
20241008,-1,-1,21.436
20241009,-1,-1,21.295
20241010,-1,-1,21.141
20241011,-1,-1,21.1394
20241014,-1,-1,21.1772
20241015,-1,-1,21.2252
20241016,-1,-1,21.277
20241017,-1,-1,21.349
20241018,-1,-1,21.3924
20241021,-1,-1,21.4524
20241022,-1,-1,21.5116
20241023,-1,-1,21.5434
20241024,-1,-1,21.5892
20241025,-1,-1,21.6264
20241028,-1,-1,21.6702
20241029,-1,-1,21.6966
20241030,-1,-1,21.7254
20241031,-1,-1,21.7574
20241101,-1,-1,21.8092
20241104,-1,-1,21.8458
20241105,-1,-1,21.9134
20241106,-1,-1,22.0142
20241107,-1,-1,22.1532
20241108,-1,-1,22.2706
20241111,-1,-1,22.3286
20241112,-1,-1,22.4068
20241113,-1,-1,22.519
20241114,-1,-1,22.6304
20241115,-1,-1,22.7428
20241118,-1,-1,22.8572
20241119,-1,-1,22.9628
20241120,-1,-1,23.0492
20241121,-1,-1,23.1502
20241122,-1,-1,23.2454
20241125,-1,-1,23.2876
20241126,-1,-1,23.34
20241127,-1,-1,23.3924
20241129,-1,-1,23.4488
20241202,-1,-1,23.487
20241203,-1,-1,23.4896
20241204,-1,-1,23.4716
20241205,-1,-1,23.4102
20241206,-1,-1,23.3532
20241209,-1,-1,23.293
20241210,-1,-1,23.23
20241211,-1,-1,23.1796
20241212,-1,-1,23.1472
20241213,-1,-1,23.109
20241216,-1,-1,23.0734
20241217,-1,-1,23.0338
20241218,-1,-1,22.9584
20241219,-1,-1,22.8698
20241220,-1,-1,22.7978
20241223,-1,-1,22.7316
20241224,-1,-1,22.6682
20241226,-1,-1,22.6212
20241227,-1,-1,22.581
20241230,-1,-1,22.5266
20241231,-1,-1,22.4724
20250102,-1,-1,22.4214
20250103,-1,-1,22.3862
20250106,-1,-1,22.346
20250107,-1,-1,22.3024
20250108,-1,-1,22.247
20250110,-1,-1,22.17
20250113,-1,-1,22.1
20250114,-1,-1,22.0368
20250115,-1,-1,21.9716
20250116,-1,-1,21.909
20250117,-1,-1,21.9022
20250121,-1,-1,21.8726
20250122,-1,-1,21.808
20250123,-1,-1,21.7114
20250124,-1,-1,21.605
20250127,-1,-1,21.5154
20250128,-1,-1,21.4318
20250129,-1,23.5261,21.3266
20250130,-1,23.4592,21.2408
