datetime,open,close,high,low,volume
202606230800,130.81,130.25,136.38,128.4,1402.0
202606230801,130.23,130.98,136.64,128.46,1562.0
202606230802,130.93,130.61,131.0,130.5,104.0
202606230803,130.7,130.38,130.86,130.2,96.0
202606230804,130.21,129.53,130.55,129.53,152.0
202606230805,129.62,130.0,135.72,128.49,323.0
202606230806,131.04,130.54,136.69,129.0,890.0
202606230807,134.39,132.15,135.65,130.05,1721.0
202606230808,132.18,131.2,133.9,130.15,1891.0
202606230809,131.46,129.71,133.6,128.5,1852.0
202606230810,129.13,130.59,133.0,128.51,1827.0
202606230811,130.35,130.68,133.02,129.55,1847.0
202606230812,130.43,130.93,133.0,129.8,438.0
202606230813,130.0,129.51,130.11,129.51,57.0
202606230814,129.55,128.57,129.7,128.57,245.0
202606230815,128.73,128.7,129.0,128.6,218.0
202606230816,128.65,128.68,128.78,128.55,145.0
202606230817,128.68,128.08,128.83,128.08,167.0
202606230818,128.02,128.46,128.75,127.94,265.0
202606230819,128.6,128.23,128.75,128.23,116.0
202606230820,128.36,128.59,128.8,128.36,53.0
202606230821,128.55,128.75,128.75,128.5,168.0
202606230822,128.72,128.78,128.92,128.72,16.0
202606230823,128.92,128.68,128.99,128.58,80.0
202606230824,128.61,128.65,128.7,128.41,133.0
202606230825,128.62,129.26,129.36,128.6,171.0
202606230826,129.15,129.01,129.27,128.91,50.0
202606230827,129.0,129.02,129.17,128.88,42.0
202606230828,129.09,129.3,129.66,128.8,310.0
202606230829,129.5,129.5,129.66,129.41,45.0
202606230830,129.48,129.72,129.72,129.44,58.0
202606230831,129.72,129.81,129.95,129.59,65.0
202606230832,129.77,129.85,129.97,129.74,50.0
202606230833,129.8,129.88,130.0,129.61,111.0
202606230834,129.95,129.94,129.95,129.8,28.0
202606230835,129.83,129.74,129.95,129.69,23.0
202606230836,129.88,129.6,129.95,129.4,69.0
202606230837,129.5,129.5,129.63,129.26,64.0
202606230838,129.5,129.55,129.69,129.47,24.0
202606230839,129.59,129.33,129.59,129.33,36.0
202606230840,129.5,129.81,129.89,129.32,67.0
202606230841,129.9,129.92,130.07,129.88,358.0
202606230842,129.87,129.92,129.97,129.8,44.0
202606230843,129.92,129.6,129.92,129.51,64.0
202606230844,129.56,129.84,129.84,129.56,34.0
202606230845,129.77,129.48,129.8,129.44,50.0
202606230846,129.41,129.27,129.47,129.27,35.0
202606230847,129.35,129.2,129.46,129.2,20.0
202606230848,129.15,129.3,129.3,129.01,28.0
202606230849,129.28,129.25,129.4,129.17,41.0
202606230850,129.26,129.6,129.6,129.25,31.0
202606230851,129.64,129.86,129.86,129.61,16.0
202606230852,129.8,129.67,129.9,129.67,25.0
202606230853,129.75,129.8,129.81,129.61,26.0
202606230854,129.73,129.66,129.73,129.65,3.0
202606230855,129.85,129.74,130.0,129.65,71.0
202606230856,129.8,129.95,130.0,129.67,63.0
202606230857,129.94,129.83,130.08,129.83,149.0
202606230858,129.94,129.78,130.0,129.78,75.0
202606230859,129.9,129.93,130.0,129.84,41.0
202606230900,130.0,130.79,131.0,130.0,292.0
202606230901,130.6,131.0,131.0,130.48,141.0
202606230902,130.91,130.73,130.91,130.6,17.0
202606230903,130.8,130.7,130.8,130.6,54.0
202606230904,130.61,130.75,130.79,130.5,27.0
202606230905,130.7,130.65,130.79,130.44,215.0
202606230906,130.79,130.78,130.79,130.47,64.0
202606230907,130.79,130.61,130.79,130.44,43.0
202606230908,130.44,130.27,130.48,130.27,14.0
202606230909,130.5,130.4,130.5,130.4,16.0
202606230910,130.5,130.9,130.94,130.5,67.0
202606230911,130.85,130.95,131.0,130.77,77.0
202606230912,130.96,131.23,131.3,130.96,73.0
202606230913,131.23,131.2,131.45,131.2,46.0
202606230914,131.18,131.0,131.45,131.0,72.0
202606230915,131.22,131.1,131.22,130.81,31.0
202606230916,131.09,130.9,131.21,130.9,52.0
202606230917,131.0,130.92,131.2,130.9,30.0
202606230918,130.99,130.95,131.03,130.88,25.0
202606230919,130.95,131.15,131.2,130.92,23.0
202606230920,131.21,131.13,131.22,131.0,52.0
202606230921,131.16,130.9,131.16,130.89,25.0
