datetime,open,close,high,low,volume
20240625,148.87,147.3,149.2,146.94,41375.0
20240626,147.44,146.7,147.5,145.78,36790.0
20240627,146.84,145.75,147.36,144.84,40810.0
20240628,146.0,146.28,147.07,145.65,74494.0
20240701,146.41,146.4,148.7,145.62,37077.0
20240702,146.16,146.03,147.15,145.74,41401.0
20240703,146.17,145.5,146.65,144.74,24602.0
20240705,145.84,146.4,146.55,144.5,35298.0
20240708,146.29,145.6,147.22,145.25,35237.0
20240709,145.8,146.8,147.13,145.18,45039.0
20240710,147.0,149.75,149.8,146.68,45956.0
20240711,149.5,149.51,150.58,148.64,44205.0
20240712,149.9,150.0,150.88,149.24,37005.0
20240715,150.54,149.1,150.72,148.87,52363.0
20240716,149.25,151.8,151.84,149.16,44089.0
20240717,151.61,156.6,157.49,147.99,102416.0
20240718,156.72,155.2,157.07,154.62,66689.0
20240719,155.36,154.69,156.64,154.12,50445.0
20240722,154.3,154.01,155.15,153.59,50307.0
20240723,153.83,152.35,153.84,151.57,43115.0
20240724,152.0,156.28,156.44,151.65,49311.0
20240725,156.06,160.05,160.58,155.83,69038.0
20240726,159.46,160.9,161.58,159.26,53185.0
20240729,159.99,158.83,160.4,158.0,39146.0
20240730,158.48,160.59,161.55,158.11,46325.0
20240731,161.1,157.88,161.59,157.27,61075.0
20240801,157.35,160.01,161.0,157.35,51600.0
20240802,160.43,163.62,164.85,159.6,72160.0
20240805,159.72,161.99,165.78,159.72,85428.0
20240806,161.2,158.68,162.17,158.0,53941.0
20240807,159.66,158.6,160.62,158.19,37589.0
20240808,158.64,160.0,160.7,158.03,35154.0
20240809,160.5,160.5,160.93,159.34,28671.0
20240812,160.25,160.48,161.7,158.71,59273.0
20240813,159.88,158.4,160.46,156.44,60987.0
20240814,158.55,159.0,159.54,157.4,34363.0
20240815,158.58,159.0,159.5,157.74,44118.0
20240816,159.49,159.46,159.94,158.18,34291.0
20240819,159.48,159.59,160.3,159.13,28066.0
20240820,159.73,160.1,160.93,159.67,24186.0
20240821,160.38,161.43,161.48,160.31,27540.0
20240822,161.51,162.4,162.55,160.79,43002.0
20240823,162.56,164.13,164.22,161.69,49753.0
20240826,164.01,164.58,165.71,163.54,43103.0
20240827,162.95,162.85,164.04,162.16,29712.0
20240828,162.68,164.2,165.0,162.64,37909.0
20240829,164.22,164.24,165.0,163.36,48467.0
20240830,164.41,165.52,165.98,163.5,45007.0
20240903,165.74,167.4,167.81,164.44,44543.0
20240904,166.75,167.52,168.85,166.04,47413.0
20240905,167.03,164.99,167.5,164.83,29711.0
20240906,164.62,164.4,165.94,164.1,35948.0
20240909,164.79,166.23,167.41,164.47,47331.0
20240910,166.66,167.23,168.46,166.61,49245.0
20240911,167.53,164.9,167.53,164.09,37996.0
20240912,164.82,164.75,165.1,162.71,30925.0
20240913,165.33,165.52,165.75,163.82,23277.0
20240916,165.75,166.93,167.25,165.63,28211.0
20240917,166.64,167.07,167.72,165.93,34184.0
20240918,167.25,166.15,168.35,165.74,34258.0
20240919,166.68,164.95,166.68,164.42,33945.0
20240920,165.0,164.16,165.0,163.55,85195.0
20240923,164.45,163.08,164.6,162.72,33599.0
20240924,163.0,162.92,163.49,161.55,35394.0
20240925,163.5,160.6,163.5,160.36,38066.0
20240926,160.5,161.62,161.62,159.96,40305.0
20240927,161.4,161.31,163.43,161.18,51455.0
20240930,162.08,161.97,162.18,160.68,42838.0
20241001,162.2,161.18,162.75,161.18,28503.0
20241002,162.14,161.19,162.14,160.65,24849.0
20241003,161.16,160.4,161.44,160.22,29642.0
20241004,160.64,160.12,160.8,158.77,30006.0
20241007,160.0,159.26,160.86,159.0,28840.0
20241008,160.0,159.68,160.25,158.95,31590.0
20241009,160.29,160.62,161.22,159.51,42941.0
20241010,161.01,162.0,162.6,159.99,32440.0
20241011,161.6,161.26,162.66,161.2,38141.0
20241014,162.01,161.41,163.0,160.9,43258.0
20241015,162.0,164.1,166.75,158.41,72573.0
20241016,164.26,164.26,164.99,162.64,40997.0
20241017,164.18,164.49,165.0,163.63,31896.0
20241018,164.17,164.99,165.38,163.8,41250.0
20241021,165.0,162.96,165.25,162.31,39614.0
20241022,162.82,163.45,163.73,161.9,42164.0
20241023,163.54,165.69,166.0,162.42,56139.0
20241024,165.37,163.67,165.51,163.34,39997.0
20241025,163.67,160.55,163.92,160.55,46430.0
20241028,161.0,161.42,161.97,160.75,36067.0
20241029,161.7,160.19,162.17,160.0,36179.0
20241030,160.39,160.61,161.28,159.0,40117.0
20241031,160.35,159.54,160.87,159.46,66116.0
