date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,156.48
20240905,-1,-1,156.8338
20240906,-1,-1,157.1878
20240909,-1,-1,157.5974
20240910,-1,-1,158.0164
20240911,-1,-1,158.3864
20240912,-1,-1,158.7608
20240913,-1,-1,159.1612
20240916,-1,-1,159.5718
20240917,-1,-1,160.0012
20240918,-1,-1,160.3882
20240919,-1,-1,160.6922
20240920,-1,-1,160.9852
20240923,-1,-1,161.2468
20240924,-1,-1,161.5232
20240925,-1,-1,161.6992
20240926,-1,-1,161.7996
20240927,-1,-1,161.9218
20240930,-1,-1,162.0674
20241001,-1,-1,162.2108
20241002,-1,-1,162.3876
20241003,-1,-1,162.47
20241004,-1,-1,162.4714
20241007,-1,-1,162.4386
20241008,-1,-1,162.4556
20241009,-1,-1,162.4562
20241010,-1,-1,162.5386
20241011,-1,-1,162.5636
20241014,-1,-1,162.5194
20241015,-1,-1,162.5616
20241016,-1,-1,162.6732
20241017,-1,-1,162.791
20241018,-1,-1,162.8908
20241021,-1,-1,162.94
20241022,-1,-1,162.9994
20241023,-1,-1,163.1452
20241024,-1,-1,163.2386
20241025,-1,-1,163.2696
20241028,-1,-1,163.3088
20241029,-1,-1,163.3208
20241030,-1,-1,163.331
20241031,-1,-1,163.2932
20241101,-1,-1,163.2462
20241104,-1,-1,163.1246
20241105,-1,-1,163.013
20241106,-1,-1,162.914
20241107,-1,-1,162.764
20241108,-1,-1,162.5898
20241111,-1,-1,162.3802
20241112,-1,-1,162.0912
20241113,-1,-1,161.8098
20241114,-1,-1,161.5418
20241115,-1,-1,161.3376
20241118,-1,-1,161.103
20241119,-1,-1,160.8194
20241120,-1,-1,160.5836
20241121,-1,-1,160.4026
20241122,-1,-1,160.1922
20241125,-1,-1,159.9692
20241126,-1,-1,159.7136
20241127,-1,-1,159.4984
20241129,-1,-1,159.3044
20241202,-1,-1,159.1132
20241203,-1,-1,158.9014
20241204,-1,-1,158.6518
20241205,-1,-1,158.4262
20241206,-1,-1,158.1738
20241209,-1,-1,157.9436
20241210,-1,-1,157.6872
20241211,-1,-1,157.3984
20241212,-1,-1,157.0994
20241213,-1,-1,156.826
20241216,-1,-1,156.5016
20241217,-1,-1,156.244
20241218,-1,-1,155.9454
20241219,-1,-1,155.6046
20241220,-1,-1,155.2586
20241223,-1,-1,154.9394
20241224,-1,-1,154.6282
20241226,-1,-1,154.2576
20241227,-1,-1,153.8756
20241230,-1,-1,153.4546
20241231,-1,-1,153.0452
20250102,-1,-1,152.6718
20250103,-1,-1,152.2858
20250106,-1,-1,151.847
20250107,-1,-1,151.4868
20250108,-1,-1,151.1208
20250110,-1,-1,150.7336
20250113,-1,-1,150.4218
20250114,-1,-1,150.11
20250115,-1,-1,149.823
20250116,-1,-1,149.5778
20250117,-1,-1,149.3628
20250121,-1,-1,149.1608
20250122,-1,-1,148.9078
20250123,-1,-1,148.7066
20250124,-1,-1,148.5358
20250127,-1,-1,148.4912
20250128,-1,-1,148.4432
20250129,-1,155.568,148.4142
20250130,-1,155.6043,148.4374
