datetime,open,close,high,low,volume
20240625,199.0,198.29,200.07,197.74,124407.0
20240626,198.0,197.38,199.38,196.27,128894.0
20240627,197.79,199.69,199.86,196.9,139548.0
20240628,200.1,202.43,203.69,199.3,263310.0
20240701,202.39,205.4,207.09,202.39,180693.0
20240702,205.1,208.73,208.88,204.56,137509.0
20240703,209.24,208.85,210.38,207.65,100690.0
20240705,208.01,204.75,208.34,204.52,147904.0
20240708,204.47,205.45,206.9,203.88,153603.0
20240709,205.94,207.68,209.76,205.45,157304.0
20240710,208.0,207.73,208.82,205.58,139430.0
20240711,207.82,207.6,208.5,205.38,189594.0
20240712,208.07,204.88,211.77,202.1,288609.0
20240715,205.69,210.49,211.61,205.5,188206.0
20240716,210.7,213.69,213.74,208.08,191493.0
20240717,213.0,217.05,217.56,212.3,197897.0
20240718,216.43,210.47,217.39,209.23,199621.0
20240719,210.57,209.65,212.35,208.92,145484.0
20240722,210.3,210.4,212.17,209.12,147487.0
20240723,210.4,209.91,211.48,209.35,88617.0
20240724,209.88,209.01,212.03,208.07,135264.0
20240725,208.58,208.67,210.19,207.37,106444.0
20240726,209.42,212.21,213.16,208.62,143833.0
20240729,212.75,210.38,213.61,210.38,118526.0
20240730,210.1,215.02,215.85,210.1,158582.0
20240731,216.39,213.69,216.5,212.67,162359.0
20240801,212.5,207.5,213.83,206.38,203044.0
20240802,206.82,198.58,206.82,196.89,335807.0
20240805,195.0,195.59,196.17,186.0,258253.0
20240806,196.0,199.9,202.6,194.0,203268.0
20240807,201.92,199.0,205.75,199.0,171601.0
20240808,200.15,204.06,204.91,200.0,135906.0
20240809,203.99,205.75,206.47,202.9,99725.0
20240812,205.0,206.1,207.14,203.66,109249.0
20240813,206.19,207.84,208.09,205.4,111197.0
20240814,208.1,210.04,210.76,207.12,133051.0
20240815,210.3,211.5,213.89,210.3,119416.0
20240816,211.5,213.72,214.09,210.88,130192.0
20240819,214.19,215.4,215.53,213.82,108682.0
20240820,214.05,214.44,216.0,213.68,98565.0
20240821,214.61,214.59,215.66,212.84,87984.0
20240822,215.46,216.7,216.8,214.05,97209.0
20240823,217.0,218.2,219.19,216.5,139291.0
20240826,218.6,219.01,219.68,218.05,98153.0
20240827,219.49,220.0,220.42,218.9,88180.0
20240828,220.29,220.5,222.21,219.19,112276.0
20240829,221.54,222.49,222.98,218.94,115893.0
20240830,222.0,224.71,225.48,221.93,153620.0
20240903,224.8,220.15,224.8,219.24,170001.0
20240904,219.5,219.0,222.07,217.21,129332.0
20240905,219.25,217.74,220.8,216.03,140027.0
20240906,217.28,211.75,218.74,211.09,140959.0
20240909,212.21,221.3,222.35,212.21,166342.0
20240910,220.08,205.85,220.4,200.61,561280.0
20240911,205.0,207.25,207.7,201.83,257861.0
20240912,207.4,206.71,208.78,204.89,155090.0
20240913,206.74,204.3,207.85,203.02,191482.0
20240916,205.03,207.86,208.21,204.78,127791.0
20240917,208.26,209.33,209.93,207.66,136184.0
20240918,209.46,208.0,211.34,206.7,147970.0
20240919,208.98,210.66,211.91,207.34,200739.0
20240920,211.0,211.08,211.42,209.5,358832.0
20240923,211.23,211.21,211.8,209.99,126940.0
20240924,212.0,211.59,212.95,210.37,126726.0
20240925,212.0,210.2,212.24,208.61,151650.0
20240926,210.81,209.84,211.7,209.01,141693.0
20240927,210.15,210.3,212.44,209.33,127306.0
20240930,209.39,210.8,210.96,205.29,149701.0
20241001,210.59,206.81,210.95,206.19,150806.0
20241002,206.39,207.31,208.95,205.69,100242.0
20241003,206.81,205.39,207.24,204.34,135223.0
20241004,205.07,211.34,211.67,204.5,156849.0
20241007,211.41,210.8,213.33,209.69,107157.0
20241008,210.85,210.74,212.0,208.38,105431.0
20241009,210.53,213.3,214.24,209.38,123496.0
20241010,213.43,212.5,214.81,211.47,135258.0
20241011,212.4,222.29,224.63,210.13,340548.0
20241014,222.29,221.52,223.7,218.88,152459.0
20241015,221.99,222.5,225.45,221.23,157036.0
20241016,222.75,223.64,224.07,221.04,109847.0
20241017,223.01,224.77,225.85,222.64,118570.0
20241018,224.51,225.4,225.92,223.1,124497.0
20241021,225.5,223.06,225.7,222.81,96217.0
20241022,222.0,224.42,225.28,221.1,169011.0
