date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,209.8854
20240905,-1,-1,210.2744
20240906,-1,-1,210.5618
20240909,-1,-1,210.994
20240910,-1,-1,211.0624
20240911,-1,-1,211.0994
20240912,-1,-1,211.059
20240913,-1,-1,210.968
20240916,-1,-1,211.0302
20240917,-1,-1,211.1078
20240918,-1,-1,211.1142
20240919,-1,-1,211.1728
20240920,-1,-1,211.2424
20240923,-1,-1,211.369
20240924,-1,-1,211.391
20240925,-1,-1,211.3212
20240926,-1,-1,211.177
20240927,-1,-1,211.1736
20240930,-1,-1,211.1966
20241001,-1,-1,211.1248
20241002,-1,-1,211.0728
20241003,-1,-1,211.0004
20241004,-1,-1,211.0538
20241007,-1,-1,211.0256
20241008,-1,-1,211.0328
20241009,-1,-1,210.9984
20241010,-1,-1,210.9746
20241011,-1,-1,211.2704
20241014,-1,-1,211.7292
20241015,-1,-1,212.2674
20241016,-1,-1,212.7422
20241017,-1,-1,213.2576
20241018,-1,-1,213.6844
20241021,-1,-1,214.0306
20241022,-1,-1,214.397
20241023,-1,-1,214.7106
20241024,-1,-1,215.0014
20241025,-1,-1,215.2062
20241028,-1,-1,215.4418
20241029,-1,-1,215.5936
20241030,-1,-1,215.8008
20241031,-1,-1,215.9426
20241101,-1,-1,216.0674
20241104,-1,-1,216.0978
20241105,-1,-1,216.2002
20241106,-1,-1,216.7382
20241107,-1,-1,217.0678
20241108,-1,-1,217.358
20241111,-1,-1,217.6496
20241112,-1,-1,218.0298
20241113,-1,-1,218.473
20241114,-1,-1,218.9464
20241115,-1,-1,219.6204
20241118,-1,-1,220.0954
20241119,-1,-1,220.8522
20241120,-1,-1,221.5272
20241121,-1,-1,222.2784
20241122,-1,-1,223.1784
20241125,-1,-1,224.0348
20241126,-1,-1,224.8642
20241127,-1,-1,225.7082
20241129,-1,-1,226.4946
20241202,-1,-1,227.1996
20241203,-1,-1,227.8646
20241204,-1,-1,228.497
20241205,-1,-1,229.1992
20241206,-1,-1,229.945
20241209,-1,-1,230.619
20241210,-1,-1,231.267
20241211,-1,-1,232.0098
20241212,-1,-1,232.7036
20241213,-1,-1,233.3958
20241216,-1,-1,233.9606
20241217,-1,-1,234.5166
20241218,-1,-1,234.9376
20241219,-1,-1,235.3288
20241220,-1,-1,235.837
20241223,-1,-1,236.161
20241224,-1,-1,236.5708
20241226,-1,-1,236.983
20241227,-1,-1,237.3104
20241230,-1,-1,237.583
20241231,-1,-1,237.8718
20250102,-1,-1,238.2198
20250103,-1,-1,238.5954
20250106,-1,-1,238.9474
20250107,-1,-1,239.3184
20250108,-1,-1,239.7568
20250110,-1,-1,240.0416
20250113,-1,-1,240.4836
20250114,-1,-1,240.9334
20250115,-1,-1,241.5358
20250116,-1,-1,242.1622
20250117,-1,-1,242.9638
20250121,-1,-1,243.7402
20250122,-1,-1,244.0582
20250123,-1,-1,244.621
20250124,-1,-1,245.1756
20250127,-1,-1,245.6996
20250128,-1,-1,246.2592
20250129,-1,225.0431,246.771
20250130,-1,225.5095,247.3078
