datetime,open,close,high,low,volume
20240625,63.88,63.87,64.07,63.51,74115.0
20240626,63.85,64.0,64.11,63.23,72368.0
20240627,64.02,63.87,64.27,63.62,68933.0
20240628,63.93,63.65,64.06,63.52,104777.0
20240701,63.77,63.21,64.3,63.12,82043.0
20240702,63.29,63.1,63.38,62.85,74952.0
20240703,63.28,63.23,63.67,62.93,81280.0
20240705,63.46,63.74,63.79,62.99,85808.0
20240708,63.82,62.99,63.86,62.84,94893.0
20240709,63.09,62.66,63.23,62.59,98530.0
20240710,62.9,62.83,62.9,62.28,99933.0
20240711,62.83,63.15,63.46,62.39,89746.0
20240712,63.25,63.7,64.12,63.19,73695.0
20240715,63.79,63.6,63.94,63.35,63791.0
20240716,63.42,64.17,64.31,63.39,71938.0
20240717,64.25,65.28,65.39,64.18,101038.0
20240718,65.24,65.11,65.81,64.72,83837.0
20240719,65.14,65.35,65.67,64.82,112912.0
20240722,65.37,64.71,65.41,64.31,97586.0
20240723,64.54,64.92,66.04,63.8,96124.0
20240724,64.94,65.73,65.97,64.83,111361.0
20240725,65.85,66.07,66.89,65.66,136165.0
20240726,66.17,67.05,67.11,66.01,115082.0
20240729,67.06,66.75,67.06,66.39,102687.0
20240730,66.8,67.5,67.83,66.35,105157.0
20240731,67.52,66.75,67.72,66.6,117894.0
20240801,66.91,67.61,68.11,66.67,132601.0
20240802,67.75,69.14,69.67,67.64,188419.0
20240805,68.1,68.12,69.55,67.5,208542.0
20240806,68.82,68.2,68.84,67.77,105936.0
20240807,68.15,68.29,69.18,67.83,106037.0
20240808,68.06,68.81,68.87,67.85,108973.0
20240809,68.83,68.8,68.83,68.24,75326.0
20240812,68.67,68.5,68.71,67.83,76551.0
20240813,68.19,68.4,68.61,67.46,81878.0
20240814,68.45,68.49,68.89,68.13,127450.0
20240815,68.64,68.7,68.92,68.3,79591.0
20240816,68.66,69.12,69.3,68.61,99688.0
20240819,69.19,69.07,69.42,68.84,79933.0
20240820,68.98,69.41,69.41,68.76,103397.0
20240821,69.25,69.67,70.13,69.25,70759.0
20240822,69.61,69.37,69.92,68.79,83683.0
20240823,69.3,69.75,69.85,68.93,94262.0
20240826,69.79,70.84,70.92,69.73,107072.0
20240827,70.88,71.6,71.75,70.79,138005.0
20240828,71.7,71.86,71.95,71.29,105282.0
20240829,71.75,72.1,72.22,71.23,146274.0
20240830,72.23,72.49,72.57,71.78,145186.0
20240903,72.7,73.01,73.29,72.23,118080.0
20240904,73.01,72.56,73.53,71.91,140696.0
20240905,72.55,71.11,72.68,70.98,158455.0
20240906,71.06,71.11,71.67,70.74,122107.0
20240909,71.2,71.85,72.31,70.98,96016.0
20240910,71.98,71.58,72.42,71.52,84075.0
20240911,71.71,71.06,71.76,70.57,89249.0
20240912,71.14,71.32,71.45,70.65,102211.0
20240913,70.84,71.55,71.6,70.48,86497.0
20240916,71.44,72.01,72.24,71.44,78954.0
20240917,72.04,71.86,72.35,71.72,72617.0
20240918,71.81,71.76,72.38,71.27,79113.0
20240919,71.66,70.81,71.98,70.6,113572.0
20240920,70.85,71.54,71.8,70.38,328987.0
20240923,71.64,71.58,72.2,71.18,89620.0
20240924,71.7,71.34,71.82,70.6,94940.0
20240925,71.39,71.31,71.92,71.3,77289.0
20240926,71.31,71.47,71.61,70.74,82836.0
20240927,71.41,71.85,72.2,71.4,88520.0
20240930,72.01,71.89,72.2,71.69,150652.0
20241001,71.87,71.71,72.75,71.57,99891.0
20241002,71.85,71.03,71.86,70.41,89049.0
20241003,71.04,70.5,71.09,70.2,72984.0
20241004,70.54,70.15,70.7,69.72,101325.0
20241007,70.17,69.04,70.18,68.87,109272.0
20241008,69.06,69.06,69.44,68.67,109393.0
20241009,69.34,69.55,69.74,69.07,72375.0
20241010,69.62,69.24,69.91,68.98,68929.0
20241011,69.25,69.51,69.59,68.99,69176.0
20241014,69.58,70.34,70.47,69.46,63388.0
20241015,70.34,70.36,71.21,70.16,74827.0
20241016,70.53,70.61,70.7,69.62,64317.0
20241017,70.57,69.97,70.7,69.58,76508.0
20241018,69.91,70.42,70.55,69.6,83052.0
20241021,70.45,69.5,70.54,69.3,93781.0
20241022,69.66,69.43,69.75,68.68,145807.0
20241023,69.8,67.98,70.3,66.5,187395.0
20241024,68.29,67.35,68.34,66.95,148592.0
20241025,67.42,66.97,67.7,66.79,88487.0
20241028,67.03,66.68,67.4,66.6,77246.0
20241029,66.83,65.61,66.83,65.52,131695.0
20241030,65.61,66.24,66.54,65.32,114551.0
20241031,65.97,65.29,66.23,65.21,102376.0
20241101,65.36,65.01,65.66,64.89,87934.0
20241104,65.02,65.13,65.42,64.65,90533.0
20241105,65.2,65.45,65.59,64.57,68296.0
20241106,65.98,63.8,66.04,63.18,184175.0
20241107,63.83,63.75,64.48,63.6,119875.0
20241108,63.9,64.0,64.24,63.74,111476.0
20241111,64.0,63.5,64.2,63.25,108752.0
