date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,67.018
20240905,-1,-1,67.1628
20240906,-1,-1,67.305
20240909,-1,-1,67.4646
20240910,-1,-1,67.6232
20240911,-1,-1,67.7802
20240912,-1,-1,67.9446
20240913,-1,-1,68.111
20240916,-1,-1,68.2764
20240917,-1,-1,68.4538
20240918,-1,-1,68.6358
20240919,-1,-1,68.7954
20240920,-1,-1,68.9632
20240923,-1,-1,69.1208
20240924,-1,-1,69.2756
20240925,-1,-1,69.4184
20240926,-1,-1,69.5422
20240927,-1,-1,69.677
20240930,-1,-1,69.8078
20241001,-1,-1,69.9478
20241002,-1,-1,70.07
20241003,-1,-1,70.1654
20241004,-1,-1,70.247
20241007,-1,-1,70.2868
20241008,-1,-1,70.333
20241009,-1,-1,70.374
20241010,-1,-1,70.4238
20241011,-1,-1,70.4618
20241014,-1,-1,70.4858
20241015,-1,-1,70.5306
20241016,-1,-1,70.5788
20241017,-1,-1,70.6124
20241018,-1,-1,70.6446
20241021,-1,-1,70.6586
20241022,-1,-1,70.6772
20241023,-1,-1,70.6688
20241024,-1,-1,70.646
20241025,-1,-1,70.6114
20241028,-1,-1,70.5626
20241029,-1,-1,70.4934
20241030,-1,-1,70.43
20241031,-1,-1,70.3424
20241101,-1,-1,70.2552
20241104,-1,-1,70.1628
20241105,-1,-1,70.055
20241106,-1,-1,69.899
20241107,-1,-1,69.7368
20241108,-1,-1,69.5748
20241111,-1,-1,69.395
20241112,-1,-1,69.199
20241113,-1,-1,69.0106
20241114,-1,-1,68.8394
20241115,-1,-1,68.6552
20241118,-1,-1,68.4558
20241119,-1,-1,68.2764
20241120,-1,-1,68.1168
20241121,-1,-1,67.968
20241122,-1,-1,67.819
20241125,-1,-1,67.666
20241126,-1,-1,67.5212
20241127,-1,-1,67.3762
20241129,-1,-1,67.2408
20241202,-1,-1,67.0834
20241203,-1,-1,66.9236
20241204,-1,-1,66.7508
20241205,-1,-1,66.5832
20241206,-1,-1,66.406
20241209,-1,-1,66.2224
20241210,-1,-1,66.0432
20241211,-1,-1,65.8626
20241212,-1,-1,65.7172
20241213,-1,-1,65.5748
20241216,-1,-1,65.4224
20241217,-1,-1,65.308
20241218,-1,-1,65.1828
20241219,-1,-1,65.04
20241220,-1,-1,64.9066
20241223,-1,-1,64.7614
20241224,-1,-1,64.6106
20241226,-1,-1,64.4542
20241227,-1,-1,64.292
20241230,-1,-1,64.1318
20241231,-1,-1,63.9688
20250102,-1,-1,63.818
20250103,-1,-1,63.6648
20250106,-1,-1,63.5214
20250107,-1,-1,63.392
20250108,-1,-1,63.2844
20250110,-1,-1,63.1698
20250113,-1,-1,63.0906
20250114,-1,-1,63.007
20250115,-1,-1,62.9366
20250116,-1,-1,62.8784
20250117,-1,-1,62.8314
20250121,-1,-1,62.7696
20250122,-1,-1,62.7288
20250123,-1,-1,62.6844
20250124,-1,-1,62.6412
20250127,-1,-1,62.648
20250128,-1,-1,62.631
20250129,-1,66.2185,62.6268
20250130,-1,66.2187,62.6538
