datetime,open,close,high,low,volume
202606230800,80.45,80.05,80.55,79.75,66.0
202606230801,80.24,80.24,80.47,80.0,8.0
202606230802,80.2,80.15,80.2,80.15,2.0
202606230803,80.15,80.15,80.15,80.15,0.0
202606230804,80.15,80.15,80.15,80.15,0.0
202606230805,80.15,80.15,80.15,80.15,0.0
202606230806,80.17,79.77,80.17,79.74,38.0
202606230807,79.77,80.11,80.11,79.77,14.0
202606230808,80.13,80.16,80.2,80.11,22.0
202606230809,80.28,80.5,80.69,80.28,38.0
202606230810,80.6,80.33,80.64,80.33,11.0
202606230811,80.27,80.15,80.39,80.05,58.0
202606230812,80.18,80.14,80.33,80.14,25.0
202606230813,80.39,80.28,80.39,80.28,2.0
202606230814,80.28,80.28,80.28,80.28,0.0
202606230815,80.28,80.28,80.28,80.28,0.0
202606230816,80.28,80.28,80.28,80.28,0.0
202606230817,80.28,80.28,80.28,80.28,0.0
202606230818,80.42,80.39,80.42,80.39,3.0
202606230819,80.42,80.42,80.42,80.42,1.0
202606230820,80.5,80.55,80.55,80.48,14.0
202606230821,80.55,80.55,80.55,80.55,0.0
202606230822,80.44,80.42,80.44,80.42,5.0
202606230823,80.42,80.42,80.42,80.42,0.0
202606230824,80.42,80.42,80.42,80.42,0.0
202606230825,80.64,80.64,80.64,80.64,1.0
202606230826,80.54,80.69,80.69,80.51,8.0
202606230827,80.6,80.6,80.6,80.6,4.0
202606230828,80.69,80.69,80.7,80.67,14.0
202606230829,80.82,80.82,80.82,80.82,82.0
202606230830,80.77,80.77,80.77,80.77,2.0
202606230831,80.77,80.77,80.77,80.77,0.0
202606230832,80.77,80.77,80.77,80.77,0.0
202606230833,80.77,80.77,80.77,80.77,0.0
202606230834,80.77,80.77,80.77,80.77,0.0
202606230835,80.65,80.65,80.65,80.65,2.0
202606230836,80.65,80.65,80.65,80.65,0.0
202606230837,80.67,80.67,80.67,80.67,2.0
202606230838,80.67,80.67,80.67,80.67,0.0
202606230839,80.67,80.67,80.67,80.67,3.0
202606230840,80.67,80.67,80.67,80.67,0.0
202606230841,80.67,80.67,80.67,80.67,0.0
202606230842,80.67,80.67,80.67,80.67,0.0
202606230843,80.61,80.62,80.62,80.61,19.0
202606230844,80.62,80.62,80.62,80.62,0.0
202606230845,80.59,80.47,80.59,80.47,84.0
202606230846,80.47,80.47,80.47,80.47,0.0
202606230847,80.57,80.57,80.57,80.57,1.0
202606230848,80.57,80.57,80.57,80.57,1.0
202606230849,80.57,80.57,80.57,80.57,0.0
202606230850,80.41,80.41,80.41,80.41,1.0
202606230851,80.41,80.41,80.41,80.41,0.0
202606230852,80.41,80.41,80.41,80.41,0.0
202606230853,80.41,80.41,80.41,80.41,0.0
202606230854,80.55,80.55,80.55,80.55,10.0
202606230855,80.46,80.46,80.46,80.45,10.0
202606230856,80.49,80.49,80.49,80.49,2.0
202606230857,80.49,80.49,80.49,80.49,0.0
202606230858,80.49,80.49,80.49,80.49,0.0
202606230859,80.52,80.52,80.52,80.52,4.0
202606230900,80.52,80.52,80.52,80.52,0.0
202606230901,80.52,80.52,80.52,80.52,0.0
202606230902,80.53,80.53,80.53,80.52,1.0
202606230903,80.52,80.52,80.52,80.52,1.0
202606230904,80.52,80.52,80.52,80.52,0.0
202606230905,80.52,80.52,80.52,80.52,0.0
202606230906,80.52,80.52,80.52,80.52,0.0
202606230907,80.53,80.46,80.54,80.46,5.0
202606230908,80.46,80.46,80.46,80.46,0.0
202606230909,80.46,80.46,80.46,80.46,0.0
202606230910,80.46,80.46,80.46,80.46,0.0
202606230911,80.46,80.46,80.46,80.46,0.0
202606230912,80.53,80.48,80.53,80.48,2.0
202606230913,80.45,80.45,80.46,80.45,2.0
202606230914,80.45,80.45,80.45,80.45,75.0
202606230915,80.45,80.45,80.45,80.45,0.0
202606230916,80.49,80.49,80.49,80.49,4.0
202606230917,80.49,80.49,80.49,80.49,0.0
202606230918,80.49,80.49,80.49,80.49,0.0
202606230919,80.49,80.49,80.49,80.49,0.0
202606230920,80.49,80.49,80.49,80.49,0.0
202606230921,80.49,80.49,80.49,80.49,0.0
202606230922,80.49,80.49,80.49,80.49,0.0
202606230923,80.49,80.49,80.49,80.49,0.0
202606230924,80.49,80.49,80.49,80.49,0.0
202606230925,80.49,80.49,80.49,80.49,0.0
202606230926,80.49,80.49,80.49,80.49,0.0
202606230927,80.49,80.49,80.49,80.49,0.0
