datetime,open,close,high,low,volume
20240625,471.92,468.07,472.22,466.66,7571.0
20240626,469.07,466.04,469.07,463.72,15982.0
20240627,467.6,467.13,468.88,465.3,12873.0
20240628,468.81,467.1,471.75,464.87,46743.0
20240701,467.1,466.44,471.68,464.76,7896.0
20240702,465.6,465.7,466.67,464.02,6783.0
20240703,466.5,465.1,466.5,464.12,4246.0
20240705,464.98,462.2,465.0,459.69,8934.0
20240708,462.2,462.69,464.57,461.12,5803.0
20240709,461.77,460.3,462.93,459.76,7015.0
20240710,460.37,461.15,461.39,457.25,9190.0
20240711,459.72,460.38,465.77,456.11,16106.0
20240712,461.7,463.73,464.9,459.53,7553.0
20240715,468.81,463.88,474.77,462.78,6901.0
20240716,466.52,468.58,469.19,463.75,8159.0
20240717,470.66,478.99,478.99,469.7,15804.0
20240718,478.0,476.51,480.86,473.01,12966.0
20240719,478.15,474.92,479.54,472.81,12402.0
20240722,474.0,475.0,476.13,472.85,11970.0
20240723,479.22,501.29,501.77,475.0,37733.0
20240724,504.82,515.25,519.59,501.41,37592.0
20240725,513.45,523.0,526.69,512.4,27094.0
20240726,523.48,524.01,528.64,520.01,16047.0
20240729,524.0,527.64,529.46,519.26,12552.0
20240730,527.95,537.8,538.94,525.03,17103.0
20240731,540.0,542.0,547.0,538.18,20008.0
20240801,541.61,550.0,550.0,540.69,15405.0
20240802,545.0,548.5,561.12,540.0,20650.0
20240805,549.95,546.33,562.6,535.67,24244.0
20240806,549.91,541.76,549.91,540.0,14727.0
20240807,543.91,548.56,552.17,536.73,18115.0
20240808,548.32,551.62,553.69,543.69,11767.0
20240809,552.8,551.5,553.94,548.12,12530.0
20240812,551.07,556.91,557.56,550.4,11144.0
20240813,558.5,559.08,559.69,552.31,10239.0
20240814,559.4,563.22,564.22,557.0,10579.0
20240815,561.59,560.0,564.08,558.83,11683.0
20240816,559.32,560.96,562.43,557.0,11110.0
20240819,558.0,557.04,562.76,555.25,10670.0
20240820,558.79,557.01,558.9,550.96,10069.0
20240821,558.38,553.7,559.99,553.31,13970.0
20240822,555.53,557.03,558.19,553.27,9342.0
20240823,555.86,555.89,558.87,552.78,14799.0
20240826,556.29,558.0,560.14,556.11,9300.0
20240827,556.66,560.41,562.2,556.63,7516.0
20240828,561.56,562.5,568.73,560.2,8797.0
20240829,564.0,566.85,568.57,563.0,7638.0
20240830,567.01,568.0,569.09,562.55,17993.0
20240903,564.95,567.15,572.0,564.95,13127.0
20240904,566.25,574.78,578.73,562.12,11020.0
20240905,576.57,568.59,576.87,564.41,10181.0
20240906,569.05,565.62,572.11,564.95,13681.0
20240909,567.51,576.57,578.0,567.48,10332.0
20240910,575.81,572.3,577.86,570.42,8554.0
20240911,574.91,566.96,574.91,561.07,10250.0
20240912,565.0,568.45,568.97,563.86,9585.0
20240913,567.0,570.0,572.46,564.53,8277.0
20240916,570.01,572.92,577.0,568.99,7744.0
20240917,570.0,567.01,570.0,563.6,9544.0
20240918,566.32,565.49,569.54,562.28,9209.0
20240919,566.47,565.18,567.53,562.16,12079.0
20240920,567.66,570.1,573.5,562.94,64219.0
20240923,571.5,580.51,581.75,570.82,11918.0
20240924,580.0,578.0,581.16,576.15,9572.0
20240925,580.0,577.0,583.75,576.86,9429.0
20240926,576.0,577.4,582.53,574.0,9347.0
20240927,577.65,582.68,584.08,575.33,10892.0
20240930,581.88,584.95,584.95,579.21,14402.0
20241001,586.12,609.95,611.49,581.91,34367.0
20241002,614.0,603.2,614.0,601.42,16286.0
20241003,605.4,608.68,609.0,601.0,10579.0
20241004,607.33,605.13,607.34,599.32,6818.0
20241007,608.0,605.69,611.59,604.0,13007.0
20241008,605.16,609.9,610.75,603.09,7432.0
20241009,608.27,604.02,608.27,603.02,7371.0
20241010,604.95,597.49,607.29,596.22,9626.0
20241011,596.0,604.17,604.55,590.38,6589.0
20241014,605.0,608.75,611.99,603.77,7630.0
20241015,610.87,605.0,614.62,603.72,10326.0
20241016,606.88,612.83,613.01,602.62,7137.0
20241017,613.5,610.48,614.48,607.24,8409.0
20241018,609.6,612.99,614.0,608.49,13399.0
20241021,613.96,615.95,618.95,611.36,12980.0
20241022,617.44,578.0,621.0,574.0,29449.0
20241023,580.0,571.6,582.18,571.0,15723.0
20241024,572.0,564.6,573.93,564.18,15891.0
20241025,567.39,566.0,569.98,561.07,14262.0
20241028,564.0,555.25,564.0,554.49,18528.0
20241029,554.19,548.0,554.19,545.0,13793.0
20241030,548.02,548.86,551.26,543.2,13576.0
20241031,547.04,546.9,551.68,542.67,17953.0
20241101,551.25,545.35,551.25,544.62,9940.0
20241104,545.9,545.0,548.81,540.41,10054.0
20241105,545.0,548.0,548.0,542.0,8283.0
20241106,555.0,551.82,569.52,540.0,23143.0
20241107,555.0,552.01,557.0,549.67,9460.0
20241108,553.89,566.0,566.81,553.3,16216.0
20241111,568.49,571.88,576.15,568.49,14296.0
20241112,571.01,565.96,576.43,564.8,13353.0
20241113,565.78,557.73,567.7,556.33,15196.0
20241114,556.11,539.0,561.35,533.78,27528.0
20241115,537.0,536.0,542.54,531.42,22748.0
20241118,535.37,530.01,537.98,528.73,16570.0
20241119,533.94,539.71,539.72,531.21,12800.0
20241120,534.18,535.01,535.23,529.2,12400.0
20241121,535.14,542.52,545.73,533.71,16952.0
20241122,544.99,542.22,546.0,539.92,19057.0
20241125,540.01,521.0,540.01,514.9,59185.0
20241126,520.3,521.0,524.06,519.39,17961.0
20241127,522.51,528.71,529.99,520.0,12383.0
20241129,528.71,529.0,529.48,524.24,9289.0
20241202,526.45,520.34,526.79,519.3,13722.0
20241203,519.5,516.9,521.5,516.01,13888.0
20241204,516.4,517.0,519.83,513.14,15839.0
20241205,517.75,518.0,520.56,514.01,16357.0
20241206,516.0,513.03,517.44,509.6,17792.0
20241209,510.92,510.03,516.37,508.55,16110.0
20241210,510.18,512.45,514.93,508.1,13228.0
20241211,514.5,497.0,514.59,483.01,17814.0
20241212,497.0,496.58,501.1,488.71,25219.0
20241213,497.0,495.0,499.23,492.18,11503.0
20241216,494.8,491.69,494.8,490.15,18442.0
20241217,489.34,490.02,493.0,486.8,18936.0
20241218,489.5,482.25,490.24,482.25,19426.0
20241219,481.26,479.66,484.0,477.3,16298.0
20241220,479.51,489.5,490.0,477.77,56206.0
20241223,489.51,489.0,489.51,481.83,12883.0
20241224,486.06,488.13,488.73,484.01,5233.0
20241226,490.14,489.93,493.47,486.04,8838.0
20241227,488.38,489.99,493.4,486.38,12404.0
20241230,488.0,483.37,488.0,481.85,13525.0
20241231,481.9,485.94,486.53,481.9,9916.0
20250102,486.16,482.25,489.72,481.42,13710.0
20250103,482.0,481.82,483.93,480.91,10613.0
20250106,481.8,466.5,482.01,465.86,25949.0
20250107,467.9,463.96,473.42,462.94,19280.0
20250108,465.71,468.0,470.0,461.24,13313.0
20250110,471.0,467.75,473.3,465.73,16897.0
20250113,469.0,481.0,484.82,468.8,19892.0
20250114,485.0,484.46,488.89,477.97,17822.0
20250115,484.97,483.97,488.0,480.37,12003.0
20250116,482.5,484.93,487.0,481.5,12303.0
20250117,488.48,490.32,492.05,484.19,20369.0
20250121,492.94,506.3,509.55,492.4,20827.0
20250122,505.18,502.34,505.53,495.18,17176.0
20250123,501.91,497.59,506.0,493.98,12815.0
20250124,498.99,497.35,498.99,494.6,11083.0
20250127,495.87,503.88,507.11,491.03,27849.0
20250128,502.31,459.5,502.76,457.27,57684.0
20250129,460.06,455.01,462.49,449.4,35670.0
20250130,456.67,459.01,460.0,451.32,28744.0
20250131,459.6,463.0,464.23,457.15,23308.0
20250203,458.74,457.66,461.34,453.57,21146.0
20250204,454.89,451.96,457.69,451.26,17822.0
20250205,456.05,449.9,457.1,448.77,15338.0
20250206,451.52,448.48,452.17,444.63,17730.0
20250207,449.63,444.58,451.5,443.78,18477.0
20250210,446.37,448.01,448.94,440.71,21972.0
20250211,448.59,448.26,451.8,444.99,13291.0
20250212,447.99,442.0,449.14,441.04,18393.0
20250213,440.5,434.7,445.3,432.01,38508.0
20250214,431.56,423.5,435.16,419.7,50923.0
20250218,429.53,428.88,432.93,423.5,38497.0
20250219,431.29,431.5,438.0,425.58,36632.0
20250220,432.99,436.6,438.0,429.31,17877.0
20250221,437.57,442.25,443.73,435.67,22589.0
20250224,442.5,438.0,448.28,438.0,25083.0
20250225,440.27,448.46,451.67,440.27,27007.0
20250226,449.25,441.6,449.25,439.34,18602.0
20250227,442.6,446.5,447.08,441.45,23572.0
20250228,446.46,452.78,452.79,445.03,18422.0
20250303,455.0,452.75,455.0,448.83,20078.0
20250304,452.99,450.0,463.74,448.49,32301.0
20250305,453.55,460.0,463.48,449.0,23472.0
20250306,459.0,461.0,463.5,453.41,18318.0
20250307,461.63,476.4,477.49,457.96,27112.0
20250310,471.92,477.7,494.2,470.61,30866.0
20250311,478.17,468.88,479.11,466.54,19658.0
20250312,467.6,461.01,468.88,456.0,16918.0
20250313,460.24,468.0,470.43,459.86,15852.0
20250314,471.0,466.17,471.0,461.96,11882.0
20250317,464.0,467.0,472.27,462.83,14488.0
20250318,468.12,469.28,471.63,465.39,11414.0
20250319,468.95,470.01,475.69,466.76,16625.0
20250320,470.9,466.74,470.9,464.21,13702.0
20250321,470.0,438.6,482.33,432.51,119155.0
20250324,438.57,434.79,438.6,424.3,46293.0
20250325,434.89,442.99,444.01,433.0,21557.0
20250326,444.5,444.75,451.2,443.0,18747.0
20250327,442.0,442.31,448.15,440.22,22058.0
20250328,441.15,440.06,445.76,439.56,24948.0
20250331,441.11,444.47,451.06,440.74,23918.0
20250401,446.71,452.3,452.3,444.48,15009.0
20250402,449.12,447.0,455.92,442.0,16821.0
20250403,446.94,451.99,461.88,445.0,25522.0
20250404,449.29,430.01,454.93,430.0,33882.0
20250407,423.98,433.0,438.91,415.9,25540.0
20250408,437.1,443.36,451.39,436.8,30543.0
20250409,438.5,462.0,468.33,435.38,33815.0
20250410,461.0,465.5,469.1,450.38,26338.0
20250411,465.29,474.05,478.18,460.32,20349.0
20250414,472.49,474.99,478.75,467.59,13824.0
20250415,475.22,469.58,475.34,468.0,18456.0
20250416,479.0,477.39,482.82,471.15,23299.0
20250417,480.02,464.7,480.02,448.39,47494.0
20250421,465.0,452.82,465.0,452.79,16971.0
20250422,458.0,467.0,477.1,442.35,38191.0
20250423,466.08,464.0,471.39,457.65,17528.0
20250424,465.77,468.02,468.3,460.16,15859.0
20250425,467.68,478.37,478.46,466.86,19953.0
20250428,479.29,476.29,483.79,474.29,12641.0
20250429,479.2,475.88,479.3,473.35,10326.0
20250430,477.0,477.75,478.61,471.13,15856.0
20250501,478.92,477.0,479.45,473.0,10736.0
20250502,483.12,472.7,491.07,467.51,28385.0
20250505,473.46,470.97,476.0,469.34,14388.0
20250506,469.77,469.5,471.16,463.46,16059.0
20250507,472.0,471.32,474.9,467.06,15683.0
20250508,471.95,474.68,479.0,471.73,12531.0
20250509,476.4,474.51,476.63,468.08,11240.0
20250512,470.01,473.16,478.55,465.77,17861.0
20250513,473.0,461.7,475.0,459.13,24089.0
20250514,463.0,451.52,464.4,445.06,26321.0
20250515,453.05,464.55,465.41,453.05,21073.0
20250516,464.87,465.01,468.51,462.66,20071.0
20250519,467.8,472.63,474.44,467.7,12354.0
20250520,473.0,478.03,478.91,470.89,14420.0
20250521,482.98,470.75,483.9,470.0,15432.0
20250522,470.03,472.0,472.87,467.12,10520.0
20250523,469.5,471.7,471.7,465.56,10867.0
20250527,473.65,476.13,478.5,468.65,17425.0
20250528,477.52,471.6,478.98,469.0,11197.0
20250529,472.03,473.04,474.56,465.32,11908.0
20250530,473.67,481.75,482.38,471.06,32360.0
20250602,482.05,478.82,483.0,474.0,15571.0
20250603,479.18,480.2,481.28,476.54,13505.0
20250604,481.0,485.0,486.86,481.0,14218.0
20250605,485.37,478.0,485.37,471.75,12897.0
20250606,478.68,482.82,482.82,476.96,8037.0
20250609,481.67,480.83,485.0,476.62,12103.0
20250610,480.0,476.89,481.65,475.64,12325.0
20250611,475.26,457.0,475.26,443.4,48579.0
20250612,458.4,469.27,469.63,456.5,21278.0
20250613,485.0,491.95,502.1,473.35,34323.0
20250616,493.55,473.81,495.7,464.52,38259.0
20250617,471.27,484.44,484.8,467.5,27068.0
20250618,481.97,470.0,482.4,467.96,22662.0
20250620,471.0,471.95,474.31,461.11,40614.0
20250623,475.0,466.08,482.37,465.0,40473.0
20250624,465.33,460.66,469.0,457.68,26433.0
20250625,463.91,457.0,464.88,456.5,16715.0
20250626,459.5,459.15,464.08,456.63,19876.0
20250627,457.5,458.4,460.0,451.46,27553.0
20250630,459.23,462.34,463.82,457.87,15586.0
20250701,462.28,464.11,469.44,460.0,14765.0
20250702,467.25,462.11,467.42,458.61,13552.0
20250703,464.0,462.98,465.35,460.97,9537.0
20250707,465.47,467.16,470.55,461.37,15310.0
20250708,469.0,463.99,469.0,460.65,16239.0
20250709,465.0,463.25,465.99,460.2,11464.0
20250710,462.38,465.0,466.48,456.0,17451.0
20250711,465.61,468.9,468.91,461.82,15270.0
20250714,468.75,474.0,474.76,468.0,15107.0
20250715,474.06,469.6,474.5,468.51,14099.0
20250716,470.67,469.45,472.6,466.41,11930.0
20250717,471.0,468.8,474.4,467.71,11167.0
20250718,469.01,464.5,471.21,460.97,28736.0
20250721,465.61,462.35,467.36,460.53,18882.0
20250722,465.0,414.7,465.0,410.11,116753.0
20250723,415.3,419.98,423.37,411.0,64382.0
20250724,421.5,421.5,426.89,420.13,46106.0
20250725,423.0,422.32,425.67,418.51,35505.0
20250728,425.82,423.0,428.86,421.17,34136.0
20250729,423.65,420.1,423.99,417.35,31573.0
20250730,419.94,417.41,422.8,417.0,24216.0
20250731,418.0,419.0,422.59,412.55,31945.0
20250801,419.0,421.38,423.96,417.0,26734.0
20250804,421.08,423.5,424.6,419.0,21944.0
20250805,424.78,427.35,430.07,421.86,21844.0
20250806,427.63,434.47,436.62,427.26,31677.0
20250807,436.0,430.49,436.0,428.05,20073.0
20250808,431.26,426.0,433.59,423.91,18844.0
20250811,425.0,425.03,427.82,424.12,20794.0
20250812,425.37,430.5,431.59,425.0,21149.0
20250813,431.28,442.2,443.45,431.1,23760.0
20250814,441.97,438.5,443.9,434.84,19646.0
20250815,437.65,438.38,441.43,436.46,21252.0
20250818,439.25,441.97,443.77,438.38,16611.0
20250819,438.57,438.75,444.5,438.57,16284.0
20250820,440.0,446.99,447.08,440.0,16432.0
20250821,444.36,446.87,448.49,443.0,12728.0
