date,symbol,ma200,ma150,ma50
20240625,LMT,-1,-1,-1
20240626,LMT,-1,-1,-1
20240627,LMT,-1,-1,-1
20240628,LMT,-1,-1,-1
20240701,LMT,-1,-1,-1
20240702,LMT,-1,-1,-1
20240703,LMT,-1,-1,-1
20240705,LMT,-1,-1,-1
20240708,LMT,-1,-1,-1
20240709,LMT,-1,-1,-1
20240710,LMT,-1,-1,-1
20240711,LMT,-1,-1,-1
20240712,LMT,-1,-1,-1
20240715,LMT,-1,-1,-1
20240716,LMT,-1,-1,-1
20240717,LMT,-1,-1,-1
20240718,LMT,-1,-1,-1
20240719,LMT,-1,-1,-1
20240722,LMT,-1,-1,-1
20240723,LMT,-1,-1,-1
20240724,LMT,-1,-1,-1
20240725,LMT,-1,-1,-1
20240726,LMT,-1,-1,-1
20240729,LMT,-1,-1,-1
20240730,LMT,-1,-1,-1
20240731,LMT,-1,-1,-1
20240801,LMT,-1,-1,-1
20240802,LMT,-1,-1,-1
20240805,LMT,-1,-1,-1
20240806,LMT,-1,-1,-1
20240807,LMT,-1,-1,-1
20240808,LMT,-1,-1,-1
20240809,LMT,-1,-1,-1
20240812,LMT,-1,-1,-1
20240813,LMT,-1,-1,-1
20240814,LMT,-1,-1,-1
20240815,LMT,-1,-1,-1
20240816,LMT,-1,-1,-1
20240819,LMT,-1,-1,-1
20240820,LMT,-1,-1,-1
20240821,LMT,-1,-1,-1
20240822,LMT,-1,-1,-1
20240823,LMT,-1,-1,-1
20240826,LMT,-1,-1,-1
20240827,LMT,-1,-1,-1
20240828,LMT,-1,-1,-1
20240829,LMT,-1,-1,-1
20240830,LMT,-1,-1,-1
20240903,LMT,-1,-1,-1
20240904,LMT,-1,-1,518.434
20240905,LMT,-1,-1,520.4444
20240906,LMT,-1,-1,522.436
20240909,LMT,-1,-1,524.6248
20240910,LMT,-1,-1,526.7288
20240911,LMT,-1,-1,528.7392
20240912,LMT,-1,-1,530.7942
20240913,LMT,-1,-1,532.8922
20240916,LMT,-1,-1,535.1066
20240917,LMT,-1,-1,537.193
20240918,LMT,-1,-1,539.2968
20240919,LMT,-1,-1,541.3774
20240920,LMT,-1,-1,543.5718
20240923,LMT,-1,-1,545.9074
20240924,LMT,-1,-1,548.1898
20240925,LMT,-1,-1,550.3582
20240926,LMT,-1,-1,552.3264
20240927,LMT,-1,-1,554.4498
