date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,235.063
20240905,-1,-1,235.5812
20240906,-1,-1,236.0528
20240909,-1,-1,236.5598
20240910,-1,-1,237.0824
20240911,-1,-1,237.7556
20240912,-1,-1,238.5126
20240913,-1,-1,239.3514
20240916,-1,-1,240.2098
20240917,-1,-1,240.9922
20240918,-1,-1,241.7982
20240919,-1,-1,242.6034
20240920,-1,-1,243.2058
20240923,-1,-1,243.7758
20240924,-1,-1,244.4574
20240925,-1,-1,244.9386
20240926,-1,-1,245.383
20240927,-1,-1,245.9344
20240930,-1,-1,246.6092
20241001,-1,-1,247.2496
20241002,-1,-1,247.9206
20241003,-1,-1,248.6688
20241004,-1,-1,249.3036
20241007,-1,-1,249.9002
20241008,-1,-1,250.5742
20241009,-1,-1,251.3054
20241010,-1,-1,251.8516
20241011,-1,-1,252.5554
20241014,-1,-1,253.3694
20241015,-1,-1,254.3096
20241016,-1,-1,255.1776
20241017,-1,-1,256.172
20241018,-1,-1,257.0754
20241021,-1,-1,257.9124
20241022,-1,-1,258.7268
20241023,-1,-1,259.4032
20241024,-1,-1,260.0962
20241025,-1,-1,260.6448
20241028,-1,-1,261.1728
20241029,-1,-1,261.5966
20241030,-1,-1,262.0094
20241031,-1,-1,262.388
20241101,-1,-1,262.8206
20241104,-1,-1,263.1212
20241105,-1,-1,263.5132
20241106,-1,-1,263.787
20241107,-1,-1,264.1344
20241108,-1,-1,264.6124
20241111,-1,-1,265.1326
20241112,-1,-1,265.624
20241113,-1,-1,266.1654
20241114,-1,-1,266.7024
20241115,-1,-1,267.2432
20241118,-1,-1,267.7832
20241119,-1,-1,268.029
20241120,-1,-1,268.3454
20241121,-1,-1,268.6188
20241122,-1,-1,268.8056
20241125,-1,-1,269.1674
20241126,-1,-1,269.5316
20241127,-1,-1,269.8628
20241129,-1,-1,270.0956
20241202,-1,-1,270.3366
20241203,-1,-1,270.5808
20241204,-1,-1,270.692
20241205,-1,-1,270.7928
20241206,-1,-1,270.9406
20241209,-1,-1,271.0868
20241210,-1,-1,271.0898
20241211,-1,-1,270.9942
20241212,-1,-1,270.827
20241213,-1,-1,270.6668
20241216,-1,-1,270.5186
20241217,-1,-1,270.2996
20241218,-1,-1,269.8496
20241219,-1,-1,269.19
20241220,-1,-1,268.6792
20241223,-1,-1,268.139
20241224,-1,-1,267.5288
20241226,-1,-1,266.8392
20241227,-1,-1,266.1182
20241230,-1,-1,265.4266
20241231,-1,-1,264.7326
20250102,-1,-1,264.0774
20250103,-1,-1,263.6026
20250106,-1,-1,263.2124
20250107,-1,-1,262.7166
20250108,-1,-1,262.3016
20250110,-1,-1,261.8936
20250113,-1,-1,261.589
20250114,-1,-1,261.3928
20250115,-1,-1,261.3004
20250116,-1,-1,261.217
20250117,-1,-1,261.1462
20250121,-1,-1,261.035
20250122,-1,-1,260.9628
20250123,-1,-1,260.8624
20250124,-1,-1,260.6844
20250127,-1,-1,260.5532
20250128,-1,-1,260.448
20250129,-1,253.833,260.2706
20250130,-1,254.1423,260.1434
