datetime,open,close,high,low,volume
20240625,458.0,455.65,460.31,453.79,34765.0
20240626,452.75,450.64,456.18,450.25,38889.0
20240627,450.0,442.03,450.03,442.0,57701.0
20240628,444.85,441.1,448.3,438.72,66915.0
20240701,441.16,437.6,442.47,435.55,51959.0
20240702,435.35,444.65,444.76,434.0,30033.0
20240703,446.46,447.03,449.29,444.27,27818.0
20240705,444.6,449.5,449.95,444.27,36397.0
20240708,449.28,446.99,450.61,445.0,28866.0
20240709,446.88,444.06,447.58,442.79,24196.0
20240710,444.83,433.1,444.83,429.05,78220.0
20240711,434.4,436.42,439.22,430.11,59561.0
20240712,435.6,439.21,442.23,435.6,32492.0
20240715,441.4,444.5,445.11,438.74,25990.0
20240716,447.99,443.4,448.0,439.7,36198.0
20240717,441.76,451.17,451.52,441.76,39827.0
20240718,449.0,448.72,455.43,447.48,44355.0
20240719,446.01,443.2,451.24,443.2,32985.0
20240722,443.12,447.8,448.85,443.12,28962.0
20240723,448.05,436.38,448.74,432.0,33961.0
20240724,436.05,432.9,436.05,428.86,61831.0
20240725,432.57,430.4,437.71,429.56,33518.0
20240726,433.0,438.18,440.79,432.11,29976.0
20240729,439.02,440.71,442.92,435.42,38511.0
20240730,442.96,445.0,448.73,442.96,34304.0
20240731,449.77,465.5,474.0,449.77,70671.0
20240801,465.25,462.29,467.5,459.19,39465.0
20240802,459.49,462.02,466.75,458.61,64268.0
20240805,445.49,443.01,461.3,439.59,77877.0
20240806,444.17,447.86,455.45,442.01,45357.0
20240807,453.81,449.49,456.92,449.04,33077.0
20240808,449.84,456.58,456.58,449.76,25518.0
20240809,455.58,456.0,458.8,453.46,25845.0
20240812,457.76,455.69,458.46,453.89,27360.0
20240813,458.01,459.36,459.64,454.89,30868.0
20240814,460.0,460.16,462.0,456.07,29791.0
20240815,464.62,468.71,469.0,464.0,37345.0
20240816,468.0,468.88,470.26,466.04,29999.0
20240819,469.0,466.98,470.15,465.52,28711.0
20240820,467.4,469.12,469.67,465.51,30708.0
20240821,468.54,468.99,469.09,464.52,32066.0
20240822,468.99,468.82,470.91,466.7,25146.0
20240823,470.3,466.6,470.34,461.9,30438.0
20240826,468.0,468.61,470.53,467.0,23914.0
20240827,468.64,475.99,475.99,467.2,28035.0
20240828,475.22,471.8,476.41,468.86,21769.0
20240829,473.18,479.99,481.92,473.18,30110.0
20240830,482.49,481.02,485.74,479.65,48917.0
20240903,480.75,481.95,486.69,480.01,33461.0
20240904,481.0,483.14,486.17,481.0,37174.0
20240905,483.16,477.59,484.16,473.11,35724.0
20240906,475.8,476.07,480.44,474.71,35316.0
20240909,477.51,487.93,489.21,477.2,36130.0
20240910,487.04,486.7,488.33,482.33,33111.0
20240911,486.0,488.05,489.11,477.84,42436.0
20240912,489.08,493.65,493.66,483.0,37487.0
20240913,492.49,493.36,496.85,491.45,39259.0
20240916,494.0,498.32,498.83,493.39,26258.0
20240917,498.5,500.99,501.74,497.85,37823.0
20240918,501.61,497.0,501.8,494.04,38071.0
20240919,499.28,493.8,501.13,487.32,63263.0
20240920,492.7,491.81,493.7,487.74,60794.0
20240923,493.3,492.95,497.69,491.3,31786.0
20240924,496.0,487.9,496.0,484.42,64199.0
20240925,486.76,490.02,490.02,483.5,51711.0
20240926,491.0,491.27,493.63,489.0,54323.0
20240927,491.03,493.03,496.0,490.39,36897.0
20240930,493.49,494.62,495.0,490.11,37053.0
20241001,493.99,496.38,498.03,493.11,32109.0
20241002,494.0,495.38,495.91,489.68,25676.0
20241003,494.27,495.22,497.09,493.0,22622.0
20241004,496.49,497.0,499.05,492.47,27825.0
20241007,496.51,491.35,498.53,490.75,30738.0
20241008,492.6,496.0,497.53,491.53,24694.0
20241009,497.01,499.66,500.75,495.59,27697.0
20241010,498.12,498.02,500.73,495.84,23370.0
20241011,498.02,502.0,502.92,496.46,33010.0
20241014,504.59,506.66,508.79,502.05,24689.0
20241015,508.01,510.0,510.0,504.0,36715.0
20241016,507.5,514.07,515.41,506.0,41547.0
20241017,514.08,513.5,517.05,511.52,32194.0
20241018,512.99,516.3,518.0,511.0,38905.0
20241021,517.87,518.71,518.82,513.94,32652.0
20241022,512.76,513.02,514.55,510.5,24768.0
20241023,512.66,513.65,514.72,511.9,30465.0
20241024,512.8,510.01,513.34,509.46,30117.0
20241025,511.0,506.9,514.73,505.62,26200.0
20241028,508.14,508.52,510.86,506.14,33012.0
20241029,507.75,511.95,512.0,505.7,31496.0
20241030,511.0,515.5,516.45,507.0,49456.0
20241031,516.17,500.1,527.9,499.0,89897.0
20241101,502.96,508.0,510.55,498.53,47735.0
20241104,508.41,505.34,510.0,503.03,33349.0
20241105,505.58,506.5,508.15,503.61,30598.0
20241106,508.0,520.02,523.0,508.0,52885.0
20241107,521.26,518.9,524.03,516.59,35017.0
20241108,520.34,524.5,528.84,519.53,33704.0
20241111,528.0,529.85,534.03,527.0,31489.0
20241112,529.1,529.43,530.9,527.3,38322.0
20241113,531.0,521.62,537.88,516.41,42482.0
20241114,521.52,520.41,522.36,517.65,33666.0
20241115,519.88,521.89,523.39,518.0,38554.0
20241118,523.99,521.63,523.99,517.0,29985.0
20241119,518.78,519.46,522.65,516.75,28877.0
20241120,521.53,512.54,522.5,511.0,36027.0
20241121,513.23,514.84,520.12,511.58,45614.0
20241122,516.18,521.56,521.71,516.18,41904.0
20241125,522.25,524.01,528.25,519.51,66870.0
20241126,527.9,528.48,530.65,525.06,35863.0
20241127,529.05,532.38,533.62,526.58,33552.0
20241129,533.01,532.94,535.77,530.02,27756.0
20241202,533.61,530.55,534.82,526.23,35718.0
20241203,532.01,525.71,534.99,525.0,37504.0
20241204,526.01,521.14,529.85,518.17,44204.0
20241205,520.58,524.77,527.47,520.58,43367.0
20241206,525.65,528.57,531.0,522.5,31615.0
20241209,529.39,523.0,531.59,521.87,43132.0
20241210,524.0,529.06,530.31,520.22,30967.0
20241211,529.75,534.45,535.89,527.27,29659.0
20241212,534.36,532.5,536.9,531.97,26132.0
20241213,534.86,529.26,534.86,528.91,24372.0
20241216,529.9,531.02,535.0,528.99,51181.0
20241217,530.0,534.0,535.5,524.87,64841.0
20241218,532.41,520.33,537.13,519.71,48043.0
20241219,532.93,523.26,532.93,522.2,40406.0
20241220,521.99,528.06,532.08,519.42,115367.0
20241223,525.0,528.96,529.4,521.13,37041.0
20241224,529.27,535.5,535.74,527.83,15878.0
20241226,534.63,536.15,537.7,532.92,17130.0
20241227,533.61,531.51,537.56,530.8,24496.0
20241230,527.0,525.0,528.57,521.33,23148.0
20241231,525.72,526.57,529.19,525.56,26719.0
20250102,529.16,522.4,530.56,517.66,40380.0
20250103,526.2,521.99,526.2,517.68,24333.0
20250106,521.69,512.25,521.69,511.01,42208.0
20250107,512.8,511.5,516.33,511.07,34160.0
20250108,512.75,516.4,517.45,511.53,33390.0
20250110,512.8,504.67,513.76,503.36,42628.0
20250113,503.49,504.91,506.15,499.92,35751.0
20250114,505.92,509.02,509.39,504.21,31434.0
20250115,511.02,522.35,523.77,511.02,47993.0
20250116,523.0,523.14,527.12,520.72,43100.0
20250117,524.01,524.56,528.13,521.01,38451.0
20250121,525.23,528.06,529.98,525.23,35508.0
20250122,526.95,527.18,530.3,525.67,29643.0
20250123,529.04,534.2,534.35,527.39,35404.0
20250124,532.99,533.49,536.06,532.15,34688.0
20250127,534.79,547.64,547.99,531.65,44754.0
20250128,546.17,547.39,551.56,542.66,42947.0
20250129,547.0,552.0,552.99,546.5,41463.0
20250130,553.93,567.66,576.94,550.52,100542.0
20250131,568.0,555.43,568.0,554.64,76575.0
20250203,549.99,563.95,565.0,542.0,51408.0
20250204,564.98,557.15,572.88,557.15,43550.0
20250205,560.24,566.62,566.87,559.8,40979.0
20250206,567.5,566.99,569.75,564.54,30020.0
20250207,567.99,562.76,570.05,561.78,33671.0
20250210,564.41,565.49,567.27,561.0,33539.0
20250211,564.99,565.32,566.43,559.22,25353.0
20250212,562.06,564.5,564.75,559.44,27247.0
20250213,564.13,566.5,567.39,561.47,23853.0
20250214,566.22,564.35,569.24,563.0,31847.0
20250218,565.0,568.01,568.63,561.51,32850.0
20250219,567.49,567.97,570.7,566.64,35668.0
20250220,568.5,563.0,568.5,559.04,26952.0
20250221,564.8,557.51,564.8,556.58,38992.0
20250224,558.43,559.0,561.46,556.79,28917.0
20250225,562.44,564.03,566.05,552.69,54170.0
20250226,562.59,561.27,566.68,559.6,29271.0
20250227,562.0,564.82,574.7,562.0,39354.0
20250228,566.0,576.3,576.43,564.0,52413.0
20250303,578.0,574.92,582.23,570.0,51638.0
20250304,574.39,559.0,574.39,552.01,50612.0
20250305,557.04,558.3,560.99,551.32,45554.0
20250306,553.32,549.82,555.68,546.67,48551.0
20250307,549.0,546.77,550.5,536.28,47654.0
20250310,541.41,530.5,548.56,530.5,60645.0
20250311,536.43,527.5,538.05,522.25,66194.0
20250312,525.8,524.65,532.71,519.26,44729.0
20250313,525.6,519.83,528.53,517.71,35525.0
