date,symbol,ma200,ma150,ma50
20240625,MA,-1,-1,-1
20240626,MA,-1,-1,-1
20240627,MA,-1,-1,-1
20240628,MA,-1,-1,-1
20240701,MA,-1,-1,-1
20240702,MA,-1,-1,-1
20240703,MA,-1,-1,-1
20240705,MA,-1,-1,-1
20240708,MA,-1,-1,-1
20240709,MA,-1,-1,-1
20240710,MA,-1,-1,-1
20240711,MA,-1,-1,-1
20240712,MA,-1,-1,-1
20240715,MA,-1,-1,-1
20240716,MA,-1,-1,-1
20240717,MA,-1,-1,-1
20240718,MA,-1,-1,-1
20240719,MA,-1,-1,-1
20240722,MA,-1,-1,-1
20240723,MA,-1,-1,-1
20240724,MA,-1,-1,-1
20240725,MA,-1,-1,-1
20240726,MA,-1,-1,-1
20240729,MA,-1,-1,-1
20240730,MA,-1,-1,-1
20240731,MA,-1,-1,-1
20240801,MA,-1,-1,-1
20240802,MA,-1,-1,-1
20240805,MA,-1,-1,-1
20240806,MA,-1,-1,-1
20240807,MA,-1,-1,-1
20240808,MA,-1,-1,-1
20240809,MA,-1,-1,-1
20240812,MA,-1,-1,-1
20240813,MA,-1,-1,-1
20240814,MA,-1,-1,-1
20240815,MA,-1,-1,-1
20240816,MA,-1,-1,-1
20240819,MA,-1,-1,-1
20240820,MA,-1,-1,-1
20240821,MA,-1,-1,-1
20240822,MA,-1,-1,-1
20240823,MA,-1,-1,-1
20240826,MA,-1,-1,-1
20240827,MA,-1,-1,-1
20240828,MA,-1,-1,-1
20240829,MA,-1,-1,-1
20240830,MA,-1,-1,-1
20240903,MA,-1,-1,-1
20240904,MA,-1,-1,454.178
20240905,MA,-1,-1,454.6168
20240906,MA,-1,-1,455.1254
20240909,MA,-1,-1,456.0434
20240910,MA,-1,-1,456.9554
20240911,MA,-1,-1,457.9644
20240912,MA,-1,-1,458.9444
20240913,MA,-1,-1,459.871
20240916,MA,-1,-1,460.8474
20240917,MA,-1,-1,461.9274
20240918,MA,-1,-1,462.9862
20240919,MA,-1,-1,464.2002
20240920,MA,-1,-1,465.308
20240923,MA,-1,-1,466.3828
20240924,MA,-1,-1,467.2508
20240925,MA,-1,-1,468.1832
20240926,MA,-1,-1,468.9852
20240927,MA,-1,-1,469.8714
20240930,MA,-1,-1,470.8998
20241001,MA,-1,-1,471.8714
20241002,MA,-1,-1,473.0514
20241003,MA,-1,-1,474.2978
20241004,MA,-1,-1,475.6298
20241007,MA,-1,-1,476.6932
20241008,MA,-1,-1,477.799
20241009,MA,-1,-1,478.8922
20241010,MA,-1,-1,479.5426
