datetime,open,close,high,low,volume
20240625,496.31,511.0,511.24,495.5,210685
20240626,512.52,511.6,513.81,504.67,132640.0
20240627,512.66,520.75,522.88,510.0,161473.0
20240628,521.28,505.11,523.21,503.84,269126.0
20240701,506.0,503.85,508.9,493.17,178549.0
20240702,502.19,509.23,510.5,499.45,129622.0
20240703,509.6,509.75,513.45,506.0,89897.0
20240705,512.19,540.09,540.87,509.0,388729.0
20240708,539.6,530.94,544.79,526.65,239067.0
20240709,531.5,530.36,537.48,528.19,147696.0
20240710,531.06,534.51,538.88,528.36,191970.0
20240711,534.93,511.2,537.79,508.37,282290.0
20240712,511.8,499.53,512.0,494.24,342507.0
20240715,499.01,497.08,506.68,493.37,211564.0
20240716,497.76,486.52,503.95,485.7,230422.0
20240717,485.0,463.85,485.8,459.12,498406.0
20240718,466.2,479.4,479.4,463.53,322145.0
20240719,474.5,477.1,486.71,473.57,258584.0
20240722,479.97,486.86,492.06,479.6,198143.0
20240723,485.0,481.98,495.22,479.4,155799.0
20240724,479.0,463.62,482.01,460.34,307229.0
20240725,461.12,454.3,466.37,442.65,314693.0
20240726,459.0,465.99,469.77,457.68,236663.0
20240729,469.19,463.02,473.96,463.02,205187.0
20240730,467.2,458.51,472.73,441.0,196958.0
20240731,462.0,508.87,515.0,460.0,424661.0
20240801,509.0,499.07,527.18,492.0,776450.0
20240802,494.0,486.0,501.15,476.15,406239.0
20240805,456.01,484.75,484.84,437.2,365563.0
20240806,483.02,489.95,502.56,475.59,379728.0
20240807,494.9,483.23,510.15,480.5,358139.0
20240808,488.0,511.56,512.5,486.2,294925.0
20240809,509.14,517.37,518.34,500.0,222772.0
20240812,517.0,515.97,519.99,509.1,173534.0
20240813,518.82,527.74,531.5,515.95,245600.0
20240814,528.1,526.0,534.0,523.1,201721.0
20240815,528.84,536.82,539.77,526.01,236754.0
20240816,538.48,526.16,538.95,524.66,261288.0
20240819,525.33,528.0,531.66,522.76,175800.0
20240820,529.52,525.91,531.09,525.5,131177.0
20240821,527.04,534.96,539.4,526.35,242860.0
20240822,534.6,532.87,544.23,528.59,240318.0
20240823,535.02,527.8,539.87,525.06,184270.0
20240826,528.0,520.01,530.5,514.95,156801.0
20240827,521.12,517.95,524.01,515.0,98947.0
20240828,520.0,512.75,521.09,511.7,153789.0
20240829,520.2,519.05,527.2,515.67,139593.0
20240830,521.1,521.27,524.48,515.2,159368.0
20240903,520.59,510.56,525.49,508.0,216989.0
20240904,508.88,512.42,516.59,504.07,141396.0
20240905,514.91,516.8,521.63,509.18,145679.0
20240906,512.63,499.6,524.59,498.25,259688.0
20240909,504.0,505.9,511.33,502.08,146893.0
20240910,504.84,504.56,514.18,500.02,139495.0
20240911,506.0,512.2,513.53,495.6,169688.0
20240912,513.78,527.2,527.49,513.07,196522.0
20240913,526.13,523.89,527.94,517.11,166672.0
20240916,524.98,533.22,534.1,517.4,159229.0
20240917,533.84,537.95,542.1,530.57,174027.0
20240918,536.85,542.0,544.2,533.9,158197.0
20240919,545.22,558.49,562.07,545.22,260171.0
20240920,558.78,561.5,564.5,556.3,334771.0
20240923,563.2,563.6,573.98,561.35,209966.0
20240924,565.84,563.4,568.87,554.19,184459.0
20240925,561.47,570.34,576.88,561.2,285232.0
20240926,576.7,567.54,580.0,562.35,247221.0
20240927,566.6,566.1,570.84,564.51,151980.0
20240930,567.03,572.39,574.68,564.51,216531.0
20241001,574.8,575.18,583.04,570.1,270904.0
20241002,574.26,573.66,579.5,569.34,104381.0
20241003,570.26,583.01,583.36,566.4,206677.0
20241004,584.3,595.85,596.85,581.43,248841.0
20241007,594.58,584.29,602.95,583.63,199319.0
20241008,585.49,592.35,593.56,583.01,128865.0
20241009,591.39,589.6,594.43,581.61,162033.0
20241010,590.81,584.94,591.18,582.52,136507.0
20241011,584.76,589.1,591.21,582.71,156772.0
20241014,589.9,591.17,600.1,589.38,140264.0
20241015,590.72,586.33,592.98,580.14,153017.0
20241016,587.48,576.73,587.77,574.03,183444.0
20241017,578.71,578.55,584.97,575.2,144204.0
20241018,579.69,576.15,584.0,575.25,132145.0
20241021,576.99,575.77,577.8,569.11,136981.0
20241022,574.5,581.0,583.53,570.9,142764.0
20241023,581.65,567.35,585.0,562.5,221555.0
20241024,569.0,568.01,569.84,561.52,124534.0
20241025,569.77,572.23,581.29,568.45,181758.0
20241028,578.6,578.5,583.75,574.12,164194.0
20241029,580.01,606.9,606.9,575.39,213993.0
20241030,607.99,573.0,609.5,554.85,461518.0
20241031,569.0,568.4,589.9,563.01,470189.0
20241101,569.91,565.6,573.67,562.56,256480.0
20241104,566.5,560.66,568.69,557.89,215623.0
20241105,563.0,570.0,573.48,560.97,170002.0
20241106,572.5,570.0,573.0,555.16,320275.0
20241107,571.61,592.0,594.8,569.16,255452.0
20241108,593.25,588.16,593.5,584.52,163915.0
20241111,589.0,582.0,591.0,576.51,161523.0
20241112,582.46,582.25,599.66,579.12,295239.0
20241113,583.7,579.68,586.8,575.17,179304.0
20241114,580.0,575.25,581.8,573.01,172748.0
20241115,572.15,554.41,577.16,551.49,308104.0
20241118,557.9,553.98,560.15,550.09,251060.0
20241119,554.15,561.5,561.8,547.71,150812.0
20241120,561.92,565.3,568.36,554.2,170062.0
20241121,566.0,561.18,571.6,549.05,191054.0
20241122,561.75,559.69,564.19,554.59,150115.0
20241125,561.99,560.94,572.6,556.39,235341.0
20241126,564.01,573.9,577.5,564.01,174949.0
20241127,573.1,569.81,575.49,564.1,118668.0
20241129,571.16,574.5,578.46,566.9,106977.0
20241202,573.0,592.55,594.5,573.0,200776.0
20241203,594.5,614.01,616.98,591.25,255679.0
20241204,615.61,612.65,617.78,605.1,228270.0
20241205,613.59,607.41,619.9,607.05,131995.0
20241206,609.24,623.25,629.79,606.77,249565.0
20241209,625.3,613.25,626.4,606.17,165938.0
20241210,612.68,620.04,625.59,612.08,183337.0
20241211,618.82,631.4,638.4,617.33,176133.0
20241212,633.0,627.79,636.66,626.0,125275.0
20241213,626.21,621.01,631.08,616.88,128450.0
20241216,623.19,624.0,631.15,618.58,172326.0
20241217,623.95,619.2,632.37,616.54,182275.0
20241218,619.74,602.84,627.36,593.0,246284.0
20241219,603.83,593.54,612.0,593.0,205881.0
20241220,590.25,588.9,603.11,580.0,745519.0
20241223,591.42,600.4,601.09,585.25,156653.0
20241224,602.0,607.98,608.14,599.28,75426.0
20241226,608.34,602.75,610.7,598.94,95376.0
20241227,601.6,599.61,603.53,589.8,131196.0
20241230,599.12,590.0,599.12,585.58,110306.0
20241231,594.84,585.56,595.5,583.85,96470.0
20250102,591.03,601.17,604.91,587.82,181634.0
20250103,601.87,604.3,609.5,596.41,156623.0
20250106,605.31,631.87,637.34,604.6,246779.0
20250107,632.58,618.5,634.73,608.23,195401.0
20250108,618.21,608.64,620.24,602.79,164602.0
20250110,608.12,615.01,629.91,597.34,341937.0
20250113,610.6,607.5,614.17,598.44,179391.0
20250114,610.33,595.6,610.98,588.55,221922.0
20250115,596.66,610.0,622.46,595.65,245564.0
20250116,614.51,611.2,616.25,606.85,127685.0
20250117,612.75,612.71,625.53,603.67,242918.0
20250121,612.2,621.55,621.88,609.0,196176.0
20250122,621.27,623.48,633.7,619.55,205817.0
20250123,624.13,637.4,637.6,621.15,151896.0
20250124,637.49,646.2,652.0,624.22,311345.0
20250127,622.58,661.55,663.87,606.08,464624.0
20250128,662.37,677.89,682.58,658.37,343664.0
20250129,680.0,692.0,716.17,636.8,342575.0
20250130,699.01,685.91,710.68,676.1,510213.0
20250131,688.0,685.18,705.3,685.0,336045.0
