datetime,open,close,high,low,volume,status
20240703,506.37,509.96,511.28,506.02,6981800.0,1
20240705,511.44,539.91,540.87,511.44,32952800.0,1
20240708,542.35,529.32,542.81,526.65,20440100.0,1
20240709,533.85,530.0,537.48,528.19,12526900.0,1
20240710,530.79,534.69,538.88,528.36,14274900.0,1
20240711,530.89,512.7,535.46,508.37,23032700.0,1
20240712,497.75,498.87,508.09,494.24,29341100.0,1
20240715,498.63,496.16,506.68,493.37,15983900.0,1
20240716,501.49,489.79,503.95,485.79,19400500.0,1
20240717,478.91,461.99,479.17,459.12,43242500.0,1
20240718,475.0,475.85,479.24,464.54,28107600.0,1
20240719,476.87,476.79,486.71,475.71,21832000.0,1
20240722,486.58,487.4,492.06,483.9,16163200.0,1
20240723,489.86,488.69,495.22,487.72,12463600.0,1
20240724,472.23,461.27,476.3,460.58,23866400.0,1
20240725,463.26,453.41,463.55,442.65,27389900.0,1
20240726,464.34,465.7,469.77,459.42,20389300.0,1
20240729,470.25,465.71,473.96,465.02,15692700.0,1
20240730,467.0,463.19,472.73,456.7,15307900.0,1
20240731,471.0,474.83,476.5,466.75,24705200.0,1
20240801,521.0,497.74,527.18,492.1,69622500.0,1
20240802,488.75,488.14,501.15,476.15,33351600.0,1
20240805,451.35,475.73,483.48,450.8,29772600.0,1
20240806,479.0,494.09,502.56,478.65,32767800.0,1
20240807,502.87,488.92,510.15,486.86,32255200.0,1
20240808,497.65,509.63,509.96,494.72,24376400.0,1
20240809,507.71,517.77,518.34,505.7,19279300.0,1
20240812,516.89,515.95,518.02,509.1,14264700.0,1
20240813,519.45,528.54,531.5,518.15,20610000.0,1
20240814,528.06,526.76,534.0,523.13,15556000.0,1
20240815,531.79,537.33,539.77,526.7,18597700.0,1
20240816,532.31,527.42,533.66,524.66,21838900.0,1
20240819,526.87,529.28,531.66,522.76,14491700.0,1
20240820,528.35,526.73,531.09,525.88,10533100.0,1
20240821,527.15,535.16,539.4,526.93,20072500.0,1
20240822,537.0,531.93,544.23,528.59,20905400.0,1
20240823,536.92,528.0,539.87,525.06,14897400.0,1
20240826,527.51,521.12,528.03,514.95,12590800.0,1
20240827,518.98,519.1,524.01,515.31,7965700.0,1
20240828,517.68,516.78,521.09,512.45,12261700.0,1
20240829,519.05,518.22,527.2,515.67,11863900.0,1
20240830,521.35,521.31,523.54,515.2,10930600.0,1
20240903,519.6,511.76,525.49,508.61,16931400.0,1
20240904,506.07,512.74,516.59,504.07,11436800.0,1
20240905,511.72,516.86,521.63,511.15,11532400.0,1
20240906,521.88,500.27,524.59,498.25,19900600.0,1
20240909,506.16,504.79,511.33,502.08,11113900.0,1
20240910,508.16,504.79,514.18,500.02,10922200.0,1
20240911,507.3,511.83,513.12,495.6,13573700.0,1
20240912,517.05,525.6,526.71,515.22,15701100.0,1
20240913,520.44,524.62,527.59,517.11,12206800.0,1
20240916,524.54,533.28,534.1,517.4,12649200.0,1
20240917,537.6,536.32,542.1,530.57,14173600.0,1
20240918,537.07,537.95,544.2,533.9,13473300.0,1
20240919,550.0,559.1,562.07,546.52,20856400.0,1
20240920,560.0,561.35,564.5,556.3,20429100.0,1
20240923,569.5,564.41,573.98,562.41,14657500.0,1
20240924,566.67,563.33,567.75,554.19,14292600.0,1
20240925,564.05,568.31,576.88,563.72,23582900.0,1
20240926,575.73,567.84,577.4,562.35,18824200.0,1
20240927,570.0,567.36,570.84,564.51,10805600.0,1
20240930,567.39,572.44,574.68,564.8,12723900.0,1
20241001,578.09,576.47,583.04,570.1,22734500.0,1
20241002,574.97,572.81,576.0,569.34,8043300.0,1
20241003,570.15,582.77,583.36,568.73,17195600.0,1
20241004,583.7,595.94,596.85,581.43,19486500.0,1
20241007,598.22,584.78,602.95,584.04,15372800.0,1
20241008,589.66,592.89,593.56,585.97,9644400.0,1
20241009,593.89,590.51,594.39,581.61,13957500.0,1
20241010,587.48,583.83,590.23,582.52,10466800.0,1
20241011,584.83,589.95,591.21,582.71,12833900.0,1
20241014,594.22,590.42,600.1,589.96,11086600.0,1
20241015,590.18,586.27,590.61,580.14,12559700.0,1
20241016,581.1,576.79,582.08,574.03,15510000.0,1
20241017,583.33,576.93,584.97,575.2,10859600.0,1
20241018,581.1,576.47,583.97,575.25,10393800.0,1
20241021,575.77,575.16,577.24,569.11,10158700.0,1
20241022,574.58,582.01,583.53,572.12,10761600.0,1
20241023,579.72,563.69,585.0,562.5,18051400.0,1
20241024,567.13,567.78,568.88,561.52,8822200.0,1
20241025,573.6,573.25,581.29,571.72,13814100.0,1
20241028,582.5,578.16,583.75,574.12,12497300.0,1
20241029,580.24,593.28,593.67,575.39,16941500.0,1
20241030,600.98,591.8,601.2,589.38,34027300.0,1
20241031,585.0,567.58,589.9,563.01,38201800.0,1
20241101,567.0,567.16,573.67,562.56,21587300.0,1
20241104,563.71,560.68,568.69,557.89,16958300.0,1
20241105,567.33,572.43,573.48,566.67,12392500.0,1
20241106,563.0,572.05,573.0,555.16,25857300.0,1
20241107,576.71,591.7,594.8,575.21,21117200.0,1
20241108,591.54,589.34,593.1,584.52,12642300.0,1
20241111,586.36,583.17,587.0,576.51,13744000.0,1
20241112,588.8,584.82,599.66,580.38,25056900.0,1
20241113,582.61,580.0,585.64,575.17,13727100.0,1
20241114,577.0,577.16,580.76,573.01,12515100.0,1
20241115,571.22,554.08,572.57,551.5,24108700.0,1
20241118,557.04,554.4,559.9,550.09,17626600.0,1
20241119,551.86,561.09,561.43,550.6,10760900.0,1
20241120,562.94,565.52,566.35,554.2,11982300.0,1
20241121,569.52,563.09,570.0,549.05,14880500.0,1
20241122,563.89,559.14,563.89,554.59,11777700.0,1
20241125,562.5,565.11,572.6,556.39,14598500.0,1
20241126,566.55,573.54,577.5,565.2,14148500.0,1
20241127,574.56,569.2,574.98,564.1,8696300.0,1
20241129,568.91,574.32,578.46,566.9,8153400.0,1
20241202,577.54,592.83,594.5,575.57,15438000.0,1
20241203,595.0,613.65,614.2,591.25,21320900.0,1
20241204,611.01,613.78,617.78,605.1,18235800.0,1
20241205,617.08,608.93,619.9,607.05,10140900.0,1
20241206,609.71,623.77,629.79,608.53,20469700.0,1
20241209,623.93,613.57,626.4,606.17,13250600.0,1
20241210,617.56,619.32,625.59,612.74,11415500.0,1
20241211,623.37,632.68,638.4,621.53,14622500.0,1
20241212,631.5,630.79,636.66,627.2,9434700.0,1
20241213,627.22,620.35,631.08,616.88,9306600.0,1
20241216,630.05,624.24,631.15,618.58,12857700.0,1
20241217,626.17,619.44,632.37,616.54,11800300.0,1
20241218,620.91,597.19,627.36,596.32,18130400.0,1
20241219,610.2,595.57,611.52,595.0,15059400.0,1
20241220,590.04,585.25,603.11,582.0,25285500.0,1
20241223,589.6,599.85,601.09,586.25,12304900.0,1
20241224,602.33,607.75,607.99,599.28,5627700.0,1
20241226,605.89,603.35,606.3,598.94,7537500.0,1
20241227,599.4,599.81,601.85,589.8,9216500.0,1
20241230,588.51,591.24,596.94,585.58,8444900.0,1
20241231,592.26,585.51,593.97,583.85,6548900.0,1
20250102,589.8,599.24,604.91,587.82,15344300.0,1
20250103,604.76,604.63,609.5,596.41,12593700.0,1
20250106,611.51,630.2,630.99,605.62,18813000.0,1
20250107,631.71,617.89,632.11,608.23,15509000.0,1
20250108,613.5,610.72,616.44,602.79,12519000.0,1
20250110,610.03,615.86,629.91,597.34,29732200.0,1
20250113,607.13,608.33,608.97,598.44,14385000.0,1
