date,ma200,ma150,ma50
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,-1
20240905,-1,-1,-1
20240906,-1,-1,-1
20240909,-1,-1,-1
20240910,-1,-1,-1
20240911,-1,-1,505.1988
20240912,-1,-1,505.5582
20240913,-1,-1,505.841
20240916,-1,-1,505.7036
20240917,-1,-1,505.8438
20240918,-1,-1,506.0766
20240919,-1,-1,506.5562
20240920,-1,-1,507.5622
20240923,-1,-1,508.8436
20240924,-1,-1,510.17
20240925,-1,-1,511.8464
20240926,-1,-1,513.9202
20240927,-1,-1,515.6542
20240930,-1,-1,517.56
20241001,-1,-1,519.3264
20241002,-1,-1,521.16
20241003,-1,-1,523.5478
20241004,-1,-1,526.3788
20241007,-1,-1,528.7448
20241008,-1,-1,531.3314
20241009,-1,-1,533.9532
20241010,-1,-1,535.4746
20241011,-1,-1,537.2752
20241014,-1,-1,539.3786
20241015,-1,-1,541.4102
20241016,-1,-1,543.1458
20241017,-1,-1,545.0522
20241018,-1,-1,546.344
20241021,-1,-1,547.512
20241022,-1,-1,548.8126
20241023,-1,-1,549.6048
20241024,-1,-1,550.445
20241025,-1,-1,551.1532
20241028,-1,-1,552.2
20241029,-1,-1,553.778
20241030,-1,-1,554.7198
20241031,-1,-1,555.3886
20241101,-1,-1,556.0432
20241104,-1,-1,556.7004
20241105,-1,-1,557.7002
20241106,-1,-1,558.7412
20241107,-1,-1,560.3262
20241108,-1,-1,561.7084
20241111,-1,-1,562.923
20241112,-1,-1,564.3568
20241113,-1,-1,565.702
20241114,-1,-1,566.871
20241115,-1,-1,567.9672
20241118,-1,-1,568.9288
20241119,-1,-1,570.0676
20241120,-1,-1,571.1296
20241121,-1,-1,571.8092
20241122,-1,-1,572.5252
20241125,-1,-1,573.0796
20241126,-1,-1,573.7986
20241127,-1,-1,574.3548
20241129,-1,-1,574.675
20241202,-1,-1,575.296
20241203,-1,-1,576.3042
20241204,-1,-1,577.2892
20241205,-1,-1,578.0306
20241206,-1,-1,579.1448
20241209,-1,-1,580.0878
20241210,-1,-1,581.0408
20241211,-1,-1,582.1652
20241212,-1,-1,583.2478
20241213,-1,-1,584.0078
20241216,-1,-1,584.5708
20241217,-1,-1,585.269
20241218,-1,-1,585.4788
20241219,-1,-1,585.5576
20241220,-1,-1,585.6368
20241223,-1,-1,585.8628
20241224,-1,-1,586.199
20241226,-1,-1,586.5274
20241227,-1,-1,586.985
20241230,-1,-1,587.214
20241231,-1,-1,587.4022
20250102,-1,-1,587.9102
20250103,-1,-1,588.3762
20250106,-1,-1,589.6666
20250107,-1,-1,590.6764
20250108,-1,-1,591.4046
20250110,-1,-1,592.1348
20250113,-1,-1,592.1468
20250114,-1,-1,592.5988
20250115,-1,-1,593.4308
20250116,-1,-1,594.3428
20250117,-1,-1,595.3838
20250121,-1,-1,596.4148
20250122,-1,-1,597.4844
20250123,-1,-1,598.3924
20250124,-1,-1,599.5532
20250127,-1,-1,601.1442
20250128,-1,-1,603.057
20250129,-1,-1,605.3034
20250130,-1,-1,607.5166
20250131,-1,-1,610.132
20250203,-1,-1,613.0842
20250204,-1,-1,615.9242
20250205,-1,565.0151,618.7168
20250206,-1,566.3699,621.7422
20250207,-1,567.7309,624.8264
20250210,-1,568.9026,627.9246
20250211,-1,570.1622,630.8442
20250212,-1,571.4665,633.968
20250213,-1,572.748,637.0128
20250214,-1,574.2565,639.9114
20250218,-1,575.6995,641.9506
20250219,-1,577.0536,643.7016
20250220,-1,578.4415,645.4474
20250221,-1,579.9025,646.6424
20250224,-1,581.1539,647.7198
20250225,-1,582.3799,648.539
20250226,-1,583.6475,649.451
20250227,-1,584.8389,650.109
20250228,-1,586.2108,651.0768
20250303,-1,587.5651,651.7458
20250304,-1,588.7675,652.2888
20250305,-1,590.0475,653.3322
20250306,-1,591.1774,654.0214
20250307,-1,591.9463,654.7274
20250310,-1,592.5258,654.4394
20250311,-1,593.3325,654.4198
20250312,-1,594.2508,654.8148
20250313,-1,594.9577,654.7424
20250314,-1,595.7881,655.098
20250317,-1,596.4103,655.4848
20250318,-1,596.8362,655.0864
20250319,-1,597.3175,654.7636
20250320,-1,597.7053,653.8446
20250321,-1,598.179,653.4156
20250324,-1,598.7235,653.6128
20250325,-1,599.4016,653.87
20250326,-1,599.9176,653.828
20250327,-1,600.4202,653.942
20250328,-1,600.691,653.2536
20250331,-1,600.9579,652.4876
20250401,-1,601.3492,651.9634
20250402,-1,601.5871,650.6464
20250403,-1,601.6809,648.817
20250404,-1,601.5969,646.072
20250407,-1,601.6365,643.648
20250408,-1,601.4604,640.314
20250409,-1,601.974,638.5082
20250410,-1,602.1646,635.4884
20250411,-1,602.3367,632.6224
20250414,-1,602.5287,629.4868
20250415,-1,602.5726,625.7048
20250416,-1,602.5615,621.6928
20250417,578.1724,602.4969,617.6442
20250421,578.0537,602.2189,613.1052
20250422,578.11,602.1996,609.2472
20250423,578.024,602.1308,605.3882
20250424,578.1443,602.2445,602.0906
20250425,578.2324,602.2844,598.5304
20250428,578.3075,602.2246,594.986
20250429,578.4966,602.1414,591.2168
20250430,578.8909,602.2401,588.4654
20250501,579.2469,602.2725,585.8268
20250502,579.799,602.4499,583.8716
20250505,580.4652,602.6469,582.1536
20250506,581.0308,602.8229,580.6612
20250507,581.6333,602.9911,579.3936
20250508,582.1886,603.1427,577.812
20250509,582.737,603.2627,576.4312
20250512,583.6164,603.6392,575.833
20250513,584.6325,604.0505,575.8348
20250514,585.591,604.5398,576.0616
20250515,586.4827,604.8665,575.7884
20250516,587.3314,605.1241,575.7934
20250519,587.9891,605.4939,576.1176
20250520,588.6712,605.8033,577.1076
20250521,589.414,606.0925,577.6586
20250522,590.1738,606.4283,577.9426
20250523,590.8539,606.7566,578.5424
20250527,591.6437,607.1743,579.2108
20250528,592.3545,607.6913,580.1868
20250529,592.9702,608.1229,581.3722
20250530,593.6239,608.5611,582.5434
20250602,594.343,609.2557,584.256
20250603,595.0504,609.9189,585.6646
20250604,595.808,610.6929,587.0614
20250605,596.6001,611.4002,588.1958
20250606,597.4542,612.0129,590.0638
20250609,598.3046,612.8329,591.9578
20250610,599.1418,613.7262,594.4942
20250611,599.9332,614.5632,596.8592
20250612,600.7536,615.4381,598.967
20250613,601.5664,616.1884,601.504
20250616,602.4581,617.0304,604.7898
20250617,603.3673,617.7143,608.6786
20250618,604.2487,618.4289,612.0854
20250620,605.0614,619.1075,615.8642
20250623,606.0331,619.9251,618.2102
20250624,607.0317,620.8083,621.633
20250625,607.9917,621.6986,624.9568
20250626,609.1275,622.8476,628.924
20250627,610.2568,624.0327,633.3092
20250630,611.4239,625.2094,638.0112
20250702,612.4325,626.2001,642.2392
20250703,613.3835,627.2416,646.8774
20250707,614.3563,628.3,650.8264
20250708,615.2952,629.367,654.7882
20250709,616.2709,630.4283,658.3502
20250710,617.1984,631.4795,661.9402
20250711,617.9884,632.4262,665.2798
20250714,618.7852,633.2815,668.7164
20250715,619.5216,633.9274,671.3662
20250716,620.2257,634.5379,674.0854
20250717,620.8873,635.1729,676.1998
20250718,621.5704,635.7123,678.3408
20250721,622.3068,636.3798,680.7584
20250722,622.978,636.9571,682.9386
20250723,623.6761,637.5131,685.2762
20250724,624.3898,638.1038,687.7712
20250725,625.0438,638.7224,689.2574
20250728,625.655,639.3497,690.4686
20250729,626.2639,639.9289,691.4362
20250730,627.1776,641.0773,694.1112
20250731,628.0736,642.2457,696.9222
20250801,628.889,643.3063,699.074
20250804,629.8304,644.4863,701.912
20250805,630.6884,645.5182,704.4762
20250806,631.6038,646.6293,707.1306
20250807,632.5376,647.7218,709.8806
20250808,633.4929,648.9192,712.4488
20250811,634.4446,650.1255,714.7048
20250812,635.5208,651.391,717.7144
20250813,636.5177,652.5649,720.3878
20250814,637.587,653.5605,722.5808
20250815,638.676,654.6758,724.9472
20250818,639.6498,655.7315,726.5204
20250819,640.4898,656.6081,727.7586
20250820,641.1903,657.5381,728.7226
20250821,642.0158,658.4881,729.5646
20250822,642.9524,659.4595,730.6308
20250825,643.8868,660.4015,731.8578
20250826,644.8546,661.3449,733.1044
20250827,645.7321,662.1712,734.3632
20250828,646.6291,663.0107,735.4254
20250829,647.3581,663.68,736.2894
20250902,648.1105,664.2963,737.1556
20250903,648.885,664.7986,738.2176
20250904,649.7188,665.2727,739.0996
20250905,650.5691,665.6577,739.8516
20250908,651.459,666.1065,740.7404
20250909,652.5089,666.6345,741.4928
20250910,653.509,666.9839,741.9378
20250911,654.4607,667.3063,742.2148
20250912,655.4093,667.6401,743.0368
20250915,656.4263,667.9877,743.9806
20250916,657.5274,668.4277,745.2096
20250917,658.6208,668.8529,746.3822
20250918,659.6588,669.2637,747.3502
20250919,660.6921,669.6001,748.3298
20250922,661.6526,669.8658,749.3316
20250923,662.4698,669.9893,750.0346
20250924,663.2005,670.2838,751.0198
20250925,663.8773,670.6025,751.8952
20250926,664.5576,670.9277,752.7118
20250929,665.1609,671.3337,753.5068
20250930,665.7613,671.7751,753.9058
20251001,666.2559,672.1615,754.1522
20251002,666.7338,672.4948,754.3962
20251003,667.1544,672.8362,754.3062
20251006,667.6243,673.1402,754.3302
20251007,668.0604,673.4987,754.1926
20251008,668.5584,673.9815,754.4468
20251009,669.2116,674.5047,753.6146
20251010,669.7704,675.0201,752.3446
20251013,670.4012,675.6257,751.6856
20251014,670.9479,676.4507,750.3326
20251015,671.4955,677.1873,749.4272
20251016,672.0292,677.7673,748.2288
20251017,672.6132,678.5702,747.2876
20251020,673.3253,679.4011,746.5436
20251021,674.0562,680.2467,745.8486
20251022,674.7105,681.2518,744.6688
20251023,675.3646,682.2315,743.7634
20251024,675.8985,683.2497,742.9124
20251027,676.5742,684.2937,742.2694
20251028,677.303,685.1997,742.0174
20251029,677.7095,685.6559,741.0134
20251030,678.0442,686.1163,739.5624
20251031,678.3219,686.4485,737.8232
20251103,678.4559,686.8567,735.445
20251104,678.5148,687.1905,732.8544
