datetime,ma200,ma150,ma50
202606300824,647.7073,630.2061,606.8174
202606300825,647.7053,630.2034,606.8094
202606300826,647.7053,630.2034,606.8094
202606300829,647.7121,630.2125,606.8366
202606300830,647.7073,630.2061,606.8174
202606300834,647.7016,630.1985,606.7948
202606300840,647.7043,630.2021,606.8054
202606300851,647.7066,630.2051,606.8146
202606300853,647.7062,630.2046,606.813
202606300858,647.7073,630.2061,606.8174
202606300901,647.7078,630.2068,606.8196
202606300903,647.7078,630.2068,606.8196
202606300905,647.7093,630.2087,606.8254
202606300909,647.7073,630.2061,606.8174
202606300910,647.7097,630.2092,606.8269
202606300911,647.705,630.203,606.8082
202606300913,647.706,630.2043,606.8122
202606300916,647.7062,630.2047,606.8132
202606300918,647.7067,630.2053,606.8152
202606300927,647.7057,630.204,606.8112
202606300928,647.706,630.2044,606.8124
202606300938,647.7048,630.2027,606.8072
202606300942,647.7058,630.2041,606.8114
202606300943,647.7058,630.2041,606.8116
202606300948,647.7042,630.202,606.8052
202606300949,647.7043,630.202,606.8052
202606300951,647.7044,630.2022,606.8057
202606300957,647.7058,630.2041,606.8114
202606300958,647.7068,630.2054,606.8154
202606300959,647.7067,630.2053,606.8152
202606301001,647.7068,630.2054,606.8154
202606301002,647.7058,630.2041,606.8114
202606301008,647.7098,630.2094,606.8274
202606301009,647.7102,630.2099,606.829
202606301012,647.71,630.2097,606.8284
202606301013,647.7075,630.2064,606.8184
202606301015,647.7123,630.2127,606.8374
202606301017,647.7115,630.2117,606.8342
202606301027,647.7146,630.2158,606.8465
202606301028,647.7148,630.2161,606.8474
202606301029,647.7142,630.2153,606.8451
202606301032,647.714,630.215,606.8442
202606301033,647.7147,630.2159,606.8468
202606301035,647.7094,630.2089,606.8259
202606301039,647.7146,630.2159,606.8468
202606301041,647.7098,630.2094,606.8274
202606301045,647.7148,630.2161,606.8474
202606301048,647.7146,630.2158,606.8466
202606301055,647.7148,630.2161,606.8474
202606301058,647.7111,630.2112,606.8328
202606301113,647.717,630.2189,606.856
202606301330,647.6897,630.1826,606.7469
202606301331,647.6823,630.1727,606.7174
202606301332,647.6723,630.1594,606.6774
202606301333,647.6716,630.1585,606.6748
202606301334,647.6747,630.1626,606.687
202606301335,647.6865,630.1784,606.7344
202606301336,647.685,630.1763,606.7281
202606301337,647.6774,630.1662,606.6978
202606301338,647.6733,630.1607,606.6813
202606301339,647.6693,630.1553,606.6652
202606301340,647.6767,630.1653,606.695
202606301341,647.6788,630.1681,606.7036
202606301342,647.6782,630.1673,606.701
202606301343,647.6787,630.168,606.7032
202606301344,647.6783,630.1674,606.7014
202606301345,647.6778,630.1667,606.6993
202606301346,647.6808,630.1707,606.7114
202606301347,647.6763,630.1648,606.6935
202606301348,647.6772,630.1659,606.697
202606301349,647.6768,630.1655,606.6956
202606301350,647.6783,630.1674,606.7013
202606301351,647.6749,630.1629,606.688
202606301352,647.6762,630.1646,606.6931
202606301353,647.6716,630.1585,606.6748
202606301354,647.6703,630.1567,606.6694
202606301355,647.6707,630.1573,606.6711
202606301356,647.6755,630.1637,606.6902
202606301357,647.6797,630.1693,606.7072
202606301358,647.6764,630.1649,606.6938
202606301359,647.6738,630.1614,606.6834
202606301400,647.6657,630.1506,606.651
202606301401,647.67,630.1564,606.6684
202606301402,647.6711,630.1578,606.6726
202606301403,647.6709,630.1576,606.6719
202606301404,647.6748,630.1627,606.6874
202606301405,647.6756,630.1638,606.6905
202606301406,647.6761,630.1644,606.6925
202606301407,647.6741,630.1618,606.6845
202606301408,647.6737,630.1612,606.6829
202606301409,647.674,630.1617,606.6842
202606301410,647.6705,630.157,606.6703
202606301411,647.6713,630.1581,606.6736
202606301412,647.6699,630.1562,606.6678
202606301413,647.6673,630.1527,606.6574
202606301414,647.6668,630.152,606.6553
202606301415,647.6705,630.157,606.6702
202606301416,647.6753,630.1635,606.6896
202606301417,647.6737,630.1613,606.683
202606301418,647.6706,630.1572,606.6708
202606301419,647.6727,630.1599,606.679
202606301420,647.6737,630.1613,606.683
202606301421,647.6733,630.1607,606.6813
202606301422,647.6751,630.1631,606.6886
202606301423,647.6753,630.1634,606.6894
202606301424,647.6738,630.1615,606.6836
202606301425,647.6704,630.1569,606.6699
202606301426,647.6694,630.1555,606.6658
202606301427,647.6752,630.1633,606.689
202606301428,647.6731,630.1605,606.6808
202606301429,647.6741,630.1618,606.6845
202606301430,647.6758,630.1641,606.6914
202606301431,647.6759,630.1642,606.6918
202606301432,647.6738,630.1614,606.6835
202606301433,647.6737,630.1613,606.6832
202606301434,647.6757,630.164,606.6912
202606301435,647.6711,630.1578,606.6726
202606301436,647.6677,630.1533,606.659
202606301437,647.6659,630.1509,606.652
202606301438,647.6679,630.1535,606.6598
202606301439,647.6688,630.1547,606.6634
202606301440,647.6681,630.1538,606.6606
202606301441,647.6633,630.1474,606.6414
202606301442,647.6624,630.1462,606.6378
202606301443,647.6636,630.1478,606.6426
202606301444,647.6656,630.1505,606.6508
202606301445,647.6651,630.1499,606.6488
202606301446,647.6635,630.1477,606.6422
202606301447,647.6638,630.148,606.6433
202606301448,647.665,630.1497,606.6484
202606301449,647.6637,630.1479,606.643
202606301450,647.6644,630.1489,606.6458
202606301451,647.6654,630.1503,606.65
202606301452,647.6565,630.1383,606.6142
202606301453,647.6514,630.1316,606.594
202606301454,647.6509,630.1309,606.5919
202606301455,647.6512,630.1313,606.593
202606301456,647.6523,630.1327,606.5974
202606301457,647.6511,630.1311,606.5925
202606301458,647.6541,630.1351,606.6046
202606301459,647.6538,630.1348,606.6036
202606301500,647.654,630.135,606.6042
202606301501,647.6556,630.1372,606.6108
202606301502,647.6584,630.1409,606.6218
202606301503,647.6561,630.1379,606.6128
202606301504,647.6576,630.1398,606.6187
202606301505,647.6588,630.1414,606.6234
202606301506,647.6554,630.1368,606.6097
202606301507,647.657,630.1391,606.6164
202606301508,647.6584,630.1408,606.6217
202606301509,647.6631,630.1472,606.6408
202606301510,647.6641,630.1485,606.6447
202606301511,647.663,630.147,606.6402
202606301512,647.6645,630.1491,606.6464
202606301513,647.6657,630.1506,606.6511
