date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,120.6216
20240905,-1,-1,120.3348
20240906,-1,-1,120.062
20240909,-1,-1,119.756
20240910,-1,-1,119.556
20240911,-1,-1,119.3016
20240912,-1,-1,119.0632
20240913,-1,-1,118.8672
20240916,-1,-1,118.7148
20240917,-1,-1,118.5676
20240918,-1,-1,118.421
20240919,-1,-1,118.2204
20240920,-1,-1,117.9806
20240923,-1,-1,117.7314
20240924,-1,-1,117.4652
20240925,-1,-1,117.2612
20240926,-1,-1,116.993
20240927,-1,-1,116.781
20240930,-1,-1,116.542
20241001,-1,-1,116.3228
20241002,-1,-1,116.0838
20241003,-1,-1,115.7656
20241004,-1,-1,115.4416
20241007,-1,-1,115.1046
20241008,-1,-1,114.7166
20241009,-1,-1,114.6178
20241010,-1,-1,114.5458
20241011,-1,-1,114.4658
20241014,-1,-1,114.3488
20241015,-1,-1,114.33
20241016,-1,-1,114.322
20241017,-1,-1,114.2642
20241018,-1,-1,114.1546
20241021,-1,-1,113.9892
20241022,-1,-1,113.8542
20241023,-1,-1,113.7014
20241024,-1,-1,113.5476
20241025,-1,-1,113.3626
20241028,-1,-1,113.1776
20241029,-1,-1,112.9666
20241030,-1,-1,112.7668
20241031,-1,-1,112.4866
20241101,-1,-1,112.1932
20241104,-1,-1,111.8992
20241105,-1,-1,111.618
20241106,-1,-1,111.3028
20241107,-1,-1,110.983
20241108,-1,-1,110.6968
20241111,-1,-1,110.344
20241112,-1,-1,109.9904
20241113,-1,-1,109.6498
20241114,-1,-1,109.2466
20241115,-1,-1,108.8294
20241118,-1,-1,108.4568
20241119,-1,-1,108.0818
20241120,-1,-1,107.7402
20241121,-1,-1,107.4358
20241122,-1,-1,107.1048
20241125,-1,-1,106.7712
20241126,-1,-1,106.439
20241127,-1,-1,106.1158
20241129,-1,-1,105.8074
20241202,-1,-1,105.4754
20241203,-1,-1,105.1994
20241204,-1,-1,104.9266
20241205,-1,-1,104.7094
20241206,-1,-1,104.5176
20241209,-1,-1,104.3208
20241210,-1,-1,104.073
20241211,-1,-1,103.778
20241212,-1,-1,103.5618
20241213,-1,-1,103.4026
20241216,-1,-1,103.2154
20241217,-1,-1,103.0492
20241218,-1,-1,102.8372
20241219,-1,-1,102.6272
20241220,-1,-1,102.4192
20241223,-1,-1,102.2034
20241224,-1,-1,102.0006
20241226,-1,-1,101.7664
20241227,-1,-1,101.5486
20241230,-1,-1,101.3258
20241231,-1,-1,101.1476
20250102,-1,-1,101.0038
20250103,-1,-1,100.8548
20250106,-1,-1,100.7202
20250107,-1,-1,100.6114
20250108,-1,-1,100.5282
20250110,-1,-1,100.429
20250113,-1,-1,100.3688
20250114,-1,-1,100.2606
20250115,-1,-1,100.2218
20250116,-1,-1,100.1946
20250117,-1,-1,100.1198
20250121,-1,-1,99.9958
20250122,-1,-1,99.8938
20250123,-1,-1,99.8008
20250124,-1,-1,99.6504
20250127,-1,-1,99.5952
20250128,-1,-1,99.5718
20250129,-1,109.9454,99.5648
20250130,-1,109.7202,99.5792
