datetime,open,close,high,low,volume
20240625,97.5,97.68,98.34,96.68,58484.0
20240626,97.76,95.98,97.76,95.49,37800.0
20240627,96.5,95.77,96.5,95.17,41817.0
20240628,96.6,97.25,97.45,95.95,61269.0
20240701,97.55,99.14,99.43,97.44,47251.0
20240702,99.0,99.55,99.8,98.51,44917.0
20240703,99.63,100.2,100.65,99.5,23645.0
20240705,99.93,99.59,100.51,98.91,24702.0
20240708,99.63,100.59,101.27,99.59,27747.0
20240709,101.2,102.57,102.9,99.98,54420.0
20240710,102.5,103.6,103.99,102.06,42228.0
20240711,103.46,104.36,105.29,103.46,58878.0
20240712,104.58,104.0,105.82,103.83,54092.0
20240715,104.9,106.14,106.53,103.24,80342.0
20240716,105.83,106.25,109.11,101.2,127859.0
20240717,106.09,106.97,107.71,104.0,80396.0
20240718,106.64,104.98,107.63,104.33,67404.0
20240719,104.81,102.15,104.81,101.73,101546.0
20240722,102.6,102.44,103.23,101.95,63081.0
20240723,102.5,103.08,104.17,101.61,55789.0
20240724,102.53,102.03,104.0,101.74,67231.0
20240725,101.51,103.56,104.19,101.51,39522.0
20240726,104.73,104.25,105.89,104.03,52414.0
20240729,104.5,102.38,104.94,102.33,38609.0
20240730,102.48,103.75,104.12,102.48,49534.0
20240731,103.3,103.21,104.32,102.25,36963.0
20240801,103.32,100.34,103.99,100.34,44182.0
20240802,99.87,95.84,99.94,95.04,85481.0
20240805,92.05,92.39,93.89,90.94,70058.0
20240806,92.24,92.95,93.84,91.52,45705.0
20240807,94.43,91.9,95.33,91.85,54720.0
20240808,91.81,94.72,95.04,91.71,45978.0
20240809,94.86,94.69,95.33,94.02,26639.0
20240812,95.1,93.96,95.22,93.54,31518.0
20240813,94.99,96.9,96.9,94.85,41839.0
20240814,97.1,99.76,100.59,97.1,76323.0
20240815,100.6,100.64,101.39,100.15,45765.0
20240816,100.28,101.41,101.5,100.0,29659.0
20240819,101.27,101.5,102.04,101.27,29348.0
20240820,100.85,100.23,101.63,100.22,24760.0
20240821,100.66,100.32,101.23,99.96,26501.0
20240822,100.89,100.63,100.98,99.9,19355.0
20240823,101.0,101.92,102.58,100.82,26647.0
20240826,102.4,102.17,103.05,101.98,18917.0
20240827,102.6,102.0,102.86,102.0,19262.0
20240828,101.89,102.4,102.7,101.42,19745.0
20240829,102.6,102.93,103.08,101.28,22262.0
20240830,103.11,103.49,103.81,102.1,35517.0
20240903,103.9,99.35,103.9,98.46,48829.0
20240904,99.5,100.05,101.32,98.5,28675.0
20240905,100.19,99.56,101.3,99.12,32894.0
20240906,99.3,96.53,100.8,96.14,62641.0
20240909,97.55,99.13,99.13,97.45,39104.0
20240910,98.6,95.62,99.0,94.89,58586.0
20240911,95.37,96.26,97.14,94.09,49306.0
20240912,97.41,96.5,97.69,95.68,36302.0
20240913,97.16,98.25,98.74,96.85,40655.0
20240916,98.91,100.58,100.58,98.56,33773.0
20240917,100.5,99.84,100.82,99.44,35254.0
20240918,100.0,99.96,101.01,99.24,37324.0
20240919,101.03,100.67,101.43,99.52,59745.0
20240920,100.66,102.35,102.53,100.1,86137.0
20240923,102.46,102.47,102.53,101.3,29809.0
20240924,102.5,102.58,102.88,101.95,26879.0
20240925,102.95,102.5,102.95,101.72,28403.0
20240926,102.74,104.6,104.79,102.52,37961.0
20240927,104.42,104.15,105.14,104.01,21638.0
20240930,104.2,104.24,104.4,103.12,24665.0
20241001,104.0,104.51,105.19,103.06,38133.0
20241002,104.0,104.8,105.4,103.91,22631.0
20241003,103.99,104.99,105.3,103.15,32292.0
20241004,105.1,107.72,108.08,105.1,37357.0
20241007,107.96,107.45,108.92,107.27,31101.0
20241008,107.74,106.49,108.21,106.49,24819.0
20241009,107.46,108.75,109.37,107.22,31978.0
20241010,109.25,107.82,109.25,107.65,28897.0
20241011,107.82,110.39,111.48,107.5,43895.0
20241014,111.0,112.6,112.9,110.55,41036.0
20241015,112.36,112.48,116.06,112.0,61286.0
20241016,112.8,119.51,121.45,112.5,167579.0
20241017,119.51,119.35,120.36,118.73,71713.0
20241018,119.2,120.94,121.12,119.11,51192.0
20241021,120.68,118.49,120.97,117.88,55454.0
20241022,118.29,118.06,118.61,117.25,30992.0
20241023,117.92,118.28,118.74,117.2,38114.0
20241024,118.39,119.17,119.39,117.94,45717.0
20241025,119.7,116.65,120.0,116.33,42201.0
20241028,117.61,119.13,119.68,117.45,40093.0
20241029,119.23,119.3,120.09,118.7,28593.0
20241030,119.17,118.09,119.32,117.65,38613.0
20241031,117.06,116.25,117.91,115.7,36686.0
20241101,116.45,116.85,118.03,116.3,30917.0
20241104,116.9,116.25,117.49,115.94,27639.0
20241105,116.65,119.5,119.5,116.09,36720.0
20241106,124.35,131.25,133.52,120.5,170065.0
20241107,132.0,129.41,132.64,128.08,54789.0
20241108,128.66,129.21,130.52,127.76,51863.0
20241111,131.79,133.52,134.0,129.8,49362.0
20241112,132.94,132.25,133.82,131.7,36273.0
20241113,132.24,133.0,134.65,132.2,34527.0
20241114,133.79,133.0,134.91,131.98,53325.0
20241115,132.68,134.2,134.9,132.4,47982.0
20241118,134.21,133.86,135.51,133.42,50436.0
