datetime,open,close,high,low,volume
20240625,446.06,450.65,451.54,446.0,275190.0
20240626,452.45,451.3,453.6,447.8,237936.0
20240627,451.52,453.55,456.17,451.51,249845.0
20240628,453.7,447.35,455.38,446.41,524792.0
20240701,448.4,456.68,457.37,445.66,308508.0
20240702,456.2,459.1,459.59,453.11,241500.0
20240703,459.25,459.8,461.02,457.75,175054.0
20240705,461.72,467.48,468.35,458.98,263759.0
20240708,469.15,467.45,469.55,464.46,203416.0
20240709,466.12,460.1,468.2,458.0,301008.0
20240710,461.0,466.02,466.46,458.85,310183.0
20240711,465.96,454.7,467.75,451.55,388130.0
20240712,454.47,452.93,456.36,450.64,265659.0
20240715,454.97,454.74,457.26,451.43,241655.0
20240716,454.78,448.76,454.95,446.66,274471.0
20240717,446.0,444.3,447.33,439.18,366476.0
20240718,445.0,441.59,447.0,434.4,340326.0
20240719,431.59,436.74,442.3,425.2,338882.0
20240722,437.61,442.5,444.6,437.61,268003.0
20240723,442.8,443.71,448.39,440.88,213895.0
20240724,442.85,430.0,443.26,427.58,457747.0
20240725,428.86,418.15,430.49,417.2,488692.0
20240726,420.03,425.44,428.92,417.27,352535.0
20240729,428.54,425.0,432.2,424.7,256789.0
20240730,426.7,411.4,429.05,389.2,558058.0
20240731,412.15,419.2,423.09,406.6,737684.0
20240801,419.96,415.33,427.46,413.0,486781.0
20240802,411.7,406.74,418.16,404.34,465225.0
20240805,389.8,401.8,409.52,368.95,644936.0
20240806,402.03,397.3,405.67,396.03,386694.0
20240807,401.47,394.07,410.08,393.88,322005.0
20240808,397.28,404.85,405.86,396.99,320472.0
20240809,404.75,406.7,408.05,401.6,228202.0
20240812,407.9,406.29,409.0,404.24,225472.0
20240813,408.5,414.8,414.95,406.51,305493.0
20240814,415.07,417.25,418.28,412.41,261962.0
20240815,418.1,421.49,422.35,417.01,317698.0
20240816,422.02,417.75,423.08,417.3,275108.0
20240819,418.01,422.22,422.25,416.46,237010.0
20240820,422.69,424.79,425.86,421.05,233362.0
20240821,421.53,424.2,426.4,419.21,265471.0
20240822,423.82,416.69,426.79,414.61,313959.0
20240823,418.05,416.84,419.26,412.09,277454.0
20240826,417.17,412.61,417.48,411.34,184541.0
20240827,414.15,412.26,414.9,410.25,226584.0
20240828,413.93,408.56,415.16,405.57,232472.0
20240829,411.73,413.8,422.05,410.12,276961.0
20240830,415.52,417.2,417.86,412.13,396902.0
20240903,418.0,408.4,419.88,407.03,342746.0
20240904,407.0,408.29,411.24,404.37,254324.0
20240905,409.19,408.19,413.1,405.25,219019.0
20240906,407.78,400.07,410.65,400.0,331556.0
20240909,404.58,407.03,408.7,402.15,263834.0
20240910,407.2,414.9,416.33,405.07,344333.0
20240911,414.59,422.95,423.99,409.58,308000.0
20240912,423.7,427.9,428.0,419.75,287349.0
20240913,426.31,430.19,431.83,425.46,271389.0
20240916,431.35,434.5,434.95,428.22,226450.0
20240917,436.1,436.33,441.85,432.27,331747.0
20240918,436.87,435.0,437.28,430.41,298083.0
20240919,437.0,438.88,442.47,430.81,372200.0
20240920,438.14,436.03,439.5,434.22,913708.0
20240923,436.56,432.6,437.46,430.38,234210.0
20240924,434.0,429.95,434.48,426.1,296342.0
20240925,429.21,431.87,433.12,428.57,214336.0
20240926,434.69,432.25,436.0,429.13,245208.0
20240927,430.0,427.38,432.95,427.3,235895.0
20240930,428.0,428.99,430.42,425.37,263353.0
20241001,429.51,419.8,430.3,418.81,311751.0
20241002,420.0,418.2,422.88,416.71,268324.0
20241003,416.91,416.33,419.55,414.29,225750.0
20241004,418.06,415.86,420.5,414.9,288202.0
20241007,415.8,409.55,417.11,408.91,358495.0
20241008,410.94,414.65,415.66,405.5,312998.0
20241009,414.74,416.51,420.38,414.21,262710.0
20241010,417.11,416.98,418.79,413.15,236176.0
20241011,416.07,415.76,417.13,413.25,225458.0
20241014,416.34,419.2,424.04,415.56,285372.0
20241015,420.34,419.11,422.48,415.26,248699.0
20241016,419.77,415.5,420.0,410.48,250116.0
20241017,417.99,417.29,422.99,415.44,223390.0
20241018,417.25,418.2,419.65,415.76,267901.0
20241021,417.5,418.73,419.6,413.75,221399.0
20241022,418.0,426.74,430.58,416.41,400664.0
20241023,426.44,424.24,431.41,422.53,295241.0
20241024,426.65,424.44,427.21,422.4,224813.0
20241025,425.25,427.5,432.52,424.94,237453.0
20241028,430.7,426.9,432.79,426.3,213569.0
20241029,427.4,437.03,437.03,425.4,288697.0
20241030,437.5,416.5,444.95,409.77,493829.0
20241031,414.6,408.97,419.7,406.3,908270.0
20241101,409.53,410.3,415.5,406.35,372701.0
20241104,411.91,408.65,412.0,405.57,339122.0
20241105,409.5,412.2,414.9,408.05,262159.0
20241106,415.58,419.5,420.9,410.52,446185.0
20241107,420.06,425.65,426.85,419.55,330869.0
20241108,425.97,422.35,427.0,421.78,290831.0
20241111,423.04,417.6,424.81,416.0,300822.0
20241112,417.28,423.35,424.44,416.79,311450.0
20241113,423.03,425.35,429.33,418.21,329391.0
20241114,425.22,426.2,428.17,420.0,412881.0
20241115,423.77,415.0,426.89,413.64,409237.0
20241118,416.7,415.02,418.41,412.1,418062.0
20241119,414.95,418.0,418.02,411.37,252464.0
20241120,418.06,415.0,420.8,410.58,282421.0
20241121,414.5,412.95,419.97,410.28,318786.0
20241122,412.94,417.0,417.41,411.0,330261.0
20241125,418.51,417.0,421.08,414.85,397552.0
20241126,417.66,426.4,429.05,415.15,364286.0
20241127,425.45,421.98,427.23,419.95,293390.0
20241129,421.63,423.1,424.89,417.8,231901.0
20241202,422.61,430.86,433.0,420.87,282861.0
20241203,431.2,431.6,432.47,427.74,254143.0
20241204,433.05,437.16,439.67,430.12,379963.0
20241205,438.47,442.31,444.66,436.17,322318.0
20241206,442.0,443.0,446.1,440.49,281571.0
20241209,442.95,445.0,448.33,440.5,314890.0
20241210,444.32,443.59,449.62,441.6,312036.0
20241211,442.79,448.4,450.35,441.24,271050.0
20241212,446.99,448.0,456.17,446.55,338465.0
20241213,448.78,447.24,451.43,445.58,281698.0
20241216,447.27,450.75,452.18,445.28,391954.0
20241217,450.32,454.61,455.5,449.5,341975.0
20241218,455.22,441.1,455.23,435.5,407562.0
20241219,440.79,435.99,443.19,435.98,324868.0
20241220,434.3,437.35,443.74,428.63,823050.0
20241223,437.64,433.75,439.92,432.83,288400.0
20241224,434.6,439.25,439.79,433.72,127704.0
20241226,439.91,437.46,440.94,436.63,136653.0
20241227,437.0,430.59,437.77,426.35,299583.0
20241230,430.7,424.1,430.7,421.9,206473.0
20241231,424.87,421.6,427.5,420.66,235806.0
20250102,424.5,419.81,428.3,414.85,264415.0
20250103,420.58,424.5,424.61,418.58,251359.0
20250106,427.15,428.55,434.32,425.47,338447.0
20250107,428.49,423.48,430.65,420.8,300622.0
20250108,424.0,423.99,426.97,421.41,238389.0
20250110,423.6,419.45,425.0,415.02,355011.0
20250113,417.0,418.7,418.71,412.29,285383.0
20250114,419.79,415.86,420.8,410.72,288111.0
20250115,416.16,427.22,428.15,415.69,336944.0
20250116,429.99,423.44,430.29,422.6,243926.0
20250117,425.15,429.5,434.87,425.14,423172.0
20250121,430.26,434.7,440.27,425.59,405832.0
20250122,435.65,445.0,447.27,428.5,438751.0
20250123,443.25,446.35,447.47,441.22,257064.0
20250124,445.8,443.26,447.14,441.4,239313.0
20250127,427.57,434.56,436.54,410.05,557000.0
20250128,437.31,446.6,448.38,431.38,389672.0
20250129,446.59,421.85,447.95,414.11,395161.0
20250130,425.85,418.12,427.59,413.16,908303.0
20250131,419.48,414.1,420.69,414.09,450287.0
20250203,408.0,412.52,415.41,405.1,430419.0
20250204,410.77,411.78,413.92,409.0,348267.0
20250205,410.1,413.73,413.83,409.61,260615.0
20250206,414.0,416.3,418.2,412.93,285634.0
20250207,416.52,409.6,418.65,408.1,350701.0
20250210,411.62,412.22,415.47,408.72,253491.0
20250211,411.0,411.4,412.49,409.3,221854.0
20250212,411.1,409.66,411.9,404.38,248706.0
20250213,409.05,410.4,411.0,406.36,348913.0
20250214,410.54,408.1,411.18,405.88,358455.0
20250218,410.33,409.89,410.6,406.5,324196.0
20250219,409.91,415.57,415.58,407.65,380152.0
20250220,415.91,416.44,419.31,412.54,389990.0
20250221,416.13,408.0,418.25,407.6,385096.0
20250224,409.78,404.0,411.0,399.32,424843.0
20250225,402.08,399.28,403.96,396.7,421080.0
20250226,400.0,399.15,403.6,394.24,257179.0
20250227,401.93,392.0,405.74,391.74,320941.0
20250228,391.64,396.77,397.63,386.57,537226.0
20250303,396.32,390.51,399.95,386.15,360068.0
20250304,388.61,390.35,392.58,381.0,486910.0
20250305,391.2,400.03,401.67,388.55,391858.0
20250306,397.18,397.5,402.15,393.18,382022.0
20250307,396.56,392.53,397.79,385.54,349950.0
20250310,391.74,377.0,392.0,376.77,531922.0
20250311,378.56,381.0,386.0,376.91,438674.0
20250312,381.0,384.05,385.4,378.95,375581.0
20250313,380.78,380.3,385.5,377.45,329877.0
20250314,380.98,387.99,390.23,379.39,333924.0
20250317,386.1,388.95,392.71,385.3,343565.0
20250318,388.52,383.26,388.52,381.1,279109.0
20250319,384.73,389.19,389.68,383.27,323317.0
20250320,389.45,386.99,391.79,383.28,310345.0
20250321,386.97,391.51,391.74,380.46,663736.0
20250324,394.46,393.05,396.71,389.81,339572.0
20250325,392.91,395.02,396.36,392.21,243860.0
20250326,394.8,389.28,395.78,388.57,260913.0
20250327,390.14,389.88,392.24,387.39,212949.0
20250328,388.7,377.62,390.58,376.97,352715.0
20250331,373.94,373.99,377.86,367.24,583201.0
20250401,373.99,382.4,383.3,373.22,305637.0
20250402,380.5,370.5,386.7,369.02,250611.0
20250403,373.85,372.1,377.48,369.35,500869.0
20250404,370.0,359.75,374.59,355.0,791814.0
20250407,343.0,360.5,371.0,338.0,831316.0
20250408,364.37,351.43,373.65,349.1,564471.0
20250409,355.23,391.1,393.23,346.75,852006.0
20250410,385.63,379.81,389.0,367.8,607945.0
20250411,383.7,388.05,390.05,378.89,369421.0
20250414,391.39,385.5,394.74,384.21,298772.0
20250415,389.27,384.82,391.89,383.23,274534.0
20250416,381.04,372.0,385.0,368.0,377241.0
20250417,375.29,368.16,375.62,366.89,342696.0
20250421,363.9,361.12,369.07,355.67,341195.0
20250422,362.46,373.1,374.69,359.12,321137.0
20250423,373.01,376.8,380.39,371.5,354666.0
