date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,429.5774
20240905,-1,-1,428.7282
20240906,-1,-1,427.7036
20240909,-1,-1,426.7732
20240910,-1,-1,426.1242
20240911,-1,-1,425.4496
20240912,-1,-1,424.8256
20240913,-1,-1,424.2334
20240916,-1,-1,423.5738
20240917,-1,-1,422.9514
20240918,-1,-1,422.4494
20240919,-1,-1,421.9066
20240920,-1,-1,421.5332
20240923,-1,-1,421.1266
20240924,-1,-1,420.6308
20240925,-1,-1,420.293
20240926,-1,-1,420.052
20240927,-1,-1,419.7678
20240930,-1,-1,419.6128
20241001,-1,-1,419.1588
20241002,-1,-1,418.6486
20241003,-1,-1,418.3752
20241004,-1,-1,418.3294
20241007,-1,-1,418.0116
20241008,-1,-1,417.8046
20241009,-1,-1,417.9068
20241010,-1,-1,417.8624
20241011,-1,-1,417.871
20241014,-1,-1,418.1202
20241015,-1,-1,418.4664
20241016,-1,-1,418.8304
20241017,-1,-1,419.2948
20241018,-1,-1,419.5618
20241021,-1,-1,419.8024
20241022,-1,-1,420.2114
20241023,-1,-1,420.4002
20241024,-1,-1,420.544
20241025,-1,-1,420.6642
20241028,-1,-1,420.8472
20241029,-1,-1,421.1434
20241030,-1,-1,420.9776
20241031,-1,-1,420.673
20241101,-1,-1,420.5452
20241104,-1,-1,420.3814
20241105,-1,-1,420.3732
20241106,-1,-1,420.518
20241107,-1,-1,420.8598
20241108,-1,-1,421.0308
20241111,-1,-1,421.0388
20241112,-1,-1,421.3378
20241113,-1,-1,421.679
20241114,-1,-1,422.0392
20241115,-1,-1,422.3378
20241118,-1,-1,422.4976
20241119,-1,-1,422.5596
20241120,-1,-1,422.4006
20241121,-1,-1,422.1016
20241122,-1,-1,421.8378
20241125,-1,-1,421.4878
20241126,-1,-1,421.2892
20241127,-1,-1,421.0288
20241129,-1,-1,420.7132
20241202,-1,-1,420.6098
20241203,-1,-1,420.5898
20241204,-1,-1,420.734
20241205,-1,-1,420.9428
20241206,-1,-1,421.1578
20241209,-1,-1,421.5102
20241210,-1,-1,421.8022
20241211,-1,-1,422.3742
20241212,-1,-1,422.9702
20241213,-1,-1,423.5884
20241216,-1,-1,424.2862
20241217,-1,-1,425.1874
20241218,-1,-1,425.7164
20241219,-1,-1,426.106
20241220,-1,-1,426.5134
20241223,-1,-1,426.8732
20241224,-1,-1,427.2742
20241226,-1,-1,427.6412
20241227,-1,-1,427.943
20241230,-1,-1,428.0792
20241231,-1,-1,428.1472
20250102,-1,-1,428.1688
20250103,-1,-1,428.124
20250106,-1,-1,428.2102
20250107,-1,-1,428.191
20250108,-1,-1,428.1208
20250110,-1,-1,427.9718
20250113,-1,-1,427.6052
20250114,-1,-1,427.5924
20250115,-1,-1,427.9574
20250116,-1,-1,428.2202
20250117,-1,-1,428.6372
20250121,-1,-1,429.0872
20250122,-1,-1,429.5972
20250123,-1,-1,430.0112
20250124,-1,-1,430.4294
20250127,-1,-1,430.7686
20250128,-1,-1,431.2336
20250129,-1,427.4733,431.1636
