datetime,open,close,high,low,volume
202606230800,367.6,366.7085,369.58,365.77,0.0
202606230801,366.6,368.0,369.58,365.58,0.0
202606230802,366.62,366.9,368.25,366.51,0.0
202606230803,366.98,368.11,369.0,366.5575,0.0
202606230804,367.0,367.2,368.1,365.8,0.0
202606230805,367.05,367.12,367.25,366.42,0.0
202606230806,367.09,367.22,367.25,366.9,0.0
202606230807,367.21,367.34,367.5,367.21,0.0
202606230808,367.42,367.76,367.76,367.3,0.0
202606230809,367.74,367.58,367.8,367.5075,0.0
202606230810,367.3512,367.7811,367.79,367.34,0.0
202606230811,367.74,367.65,367.74,367.56,0.0
202606230812,367.66,368.0,368.1128,367.21,0.0
202606230813,367.9075,368.13,369.25,365.78,0.0
202606230814,366.92,366.02,369.45,365.66,0.0
202606230815,368.03,368.6,368.6,368.03,0.0
202606230816,368.47,368.95,369.0,368.47,0.0
202606230817,368.91,369.0,369.3,368.78,0.0
202606230818,369.38,369.45,369.4888,369.0,0.0
202606230819,369.45,369.0,369.67,368.91,0.0
202606230820,369.0,369.49,369.5,368.8807,0.0
202606230821,369.49,369.59,369.92,369.28,0.0
202606230822,369.75,369.5,369.99,369.5,0.0
202606230823,369.5,369.62,369.75,369.02,0.0
202606230824,369.6888,370.1,370.15,369.2,0.0
202606230825,370.0832,369.83,370.1,369.632,0.0
202606230826,369.83,369.63,369.89,369.41,0.0
202606230827,369.5107,369.38,369.5167,369.0,0.0
202606230828,369.37,370.5,371.0,369.36,0.0
202606230829,370.6,369.9,371.0,369.72,0.0
202606230830,369.94,370.0,370.01,369.5,0.0
202606230831,370.0,370.0,370.02,369.74,0.0
202606230832,370.0,370.0,370.11,370.0,0.0
202606230833,370.0,370.2967,370.5,370.0,0.0
202606230834,370.28,370.47,370.6,370.28,0.0
202606230835,370.5,370.77,370.9,370.47,0.0
202606230836,370.7,370.8,370.8,370.55,0.0
202606230837,370.74,370.65,370.77,370.49,0.0
202606230838,370.63,370.5,370.75,370.45,0.0
202606230839,370.65,370.65,370.7,370.45,0.0
202606230840,370.75,371.2629,371.55,370.75,0.0
