date,symbol,ma200,ma150,ma50
20240625,MS,-1,-1,-1
20240626,MS,-1,-1,-1
20240627,MS,-1,-1,-1
20240628,MS,-1,-1,-1
20240701,MS,-1,-1,-1
20240702,MS,-1,-1,-1
20240703,MS,-1,-1,-1
20240705,MS,-1,-1,-1
20240708,MS,-1,-1,-1
20240709,MS,-1,-1,-1
20240710,MS,-1,-1,-1
20240711,MS,-1,-1,-1
20240712,MS,-1,-1,-1
20240715,MS,-1,-1,-1
20240716,MS,-1,-1,-1
20240717,MS,-1,-1,-1
20240718,MS,-1,-1,-1
20240719,MS,-1,-1,-1
20240722,MS,-1,-1,-1
20240723,MS,-1,-1,-1
20240724,MS,-1,-1,-1
20240725,MS,-1,-1,-1
20240726,MS,-1,-1,-1
20240729,MS,-1,-1,-1
20240730,MS,-1,-1,-1
20240731,MS,-1,-1,-1
20240801,MS,-1,-1,-1
20240802,MS,-1,-1,-1
20240805,MS,-1,-1,-1
20240806,MS,-1,-1,-1
20240807,MS,-1,-1,-1
20240808,MS,-1,-1,-1
20240809,MS,-1,-1,-1
20240812,MS,-1,-1,-1
20240813,MS,-1,-1,-1
20240814,MS,-1,-1,-1
20240815,MS,-1,-1,-1
20240816,MS,-1,-1,-1
20240819,MS,-1,-1,-1
20240820,MS,-1,-1,-1
20240821,MS,-1,-1,-1
20240822,MS,-1,-1,-1
20240823,MS,-1,-1,-1
20240826,MS,-1,-1,-1
20240827,MS,-1,-1,-1
20240828,MS,-1,-1,-1
20240829,MS,-1,-1,-1
20240830,MS,-1,-1,-1
20240903,MS,-1,-1,-1
20240904,MS,-1,-1,100.4792
20240905,MS,-1,-1,100.5168
20240906,MS,-1,-1,100.5278
20240909,MS,-1,-1,100.595
20240910,MS,-1,-1,100.5624
20240911,MS,-1,-1,100.5048
20240912,MS,-1,-1,100.4438
20240913,MS,-1,-1,100.4048
20240916,MS,-1,-1,100.4246
20240917,MS,-1,-1,100.4096
20240918,MS,-1,-1,100.3574
20240919,MS,-1,-1,100.2988
20240920,MS,-1,-1,100.2586
20240923,MS,-1,-1,100.228
20240924,MS,-1,-1,100.1568
20240925,MS,-1,-1,100.0818
20240926,MS,-1,-1,100.0344
20240927,MS,-1,-1,100.0178
20240930,MS,-1,-1,100.0596
20241001,MS,-1,-1,100.101
20241002,MS,-1,-1,100.1354
20241003,MS,-1,-1,100.1946
20241004,MS,-1,-1,100.2778
20241007,MS,-1,-1,100.3418
20241008,MS,-1,-1,100.424
20241009,MS,-1,-1,100.524
20241010,MS,-1,-1,100.6162
20241011,MS,-1,-1,100.8172
20241014,MS,-1,-1,101.1524
20241015,MS,-1,-1,101.5542
20241016,MS,-1,-1,102.0854
20241017,MS,-1,-1,102.6344
20241018,MS,-1,-1,103.1588
20241021,MS,-1,-1,103.6348
20241022,MS,-1,-1,104.1168
20241023,MS,-1,-1,104.5444
20241024,MS,-1,-1,104.9326
20241025,MS,-1,-1,105.2528
20241028,MS,-1,-1,105.6072
20241029,MS,-1,-1,105.9632
20241030,MS,-1,-1,106.3204
20241031,MS,-1,-1,106.639
20241101,MS,-1,-1,106.9634
20241104,MS,-1,-1,107.25
20241105,MS,-1,-1,107.5966
20241106,MS,-1,-1,108.1816
20241107,MS,-1,-1,108.7218
20241108,MS,-1,-1,109.2474
20241111,MS,-1,-1,109.848
20241112,MS,-1,-1,110.506
20241113,MS,-1,-1,111.165
20241114,MS,-1,-1,111.8338
20241115,MS,-1,-1,112.5872
20241118,MS,-1,-1,113.2818
20241119,MS,-1,-1,114.0506
20241120,MS,-1,-1,114.7592
20241121,MS,-1,-1,115.5292
20241122,MS,-1,-1,116.2636
20241125,MS,-1,-1,116.9116
20241126,MS,-1,-1,117.5428
20241127,MS,-1,-1,118.1688
20241129,MS,-1,-1,118.8082
20241202,MS,-1,-1,119.3862
20241203,MS,-1,-1,119.9368
20241204,MS,-1,-1,120.4852
20241205,MS,-1,-1,121.0416
20241206,MS,-1,-1,121.5488
20241209,MS,-1,-1,122.0418
20241210,MS,-1,-1,122.4942
20241211,MS,-1,-1,122.956
20241212,MS,-1,-1,123.4234
20241213,MS,-1,-1,123.8716
20241216,MS,-1,-1,124.2978
20241217,MS,-1,-1,124.7032
20241218,MS,-1,-1,125.0074
20241219,MS,-1,-1,125.2378
20241220,MS,-1,-1,125.5554
20241223,MS,-1,-1,125.8366
20241224,MS,-1,-1,126.1228
20241226,MS,-1,-1,126.4338
20241227,MS,-1,-1,126.5772
20241230,MS,-1,-1,126.7032
20241231,MS,-1,-1,126.7944
20250102,MS,-1,-1,126.9156
20250103,MS,-1,-1,127.0744
20250106,MS,-1,-1,127.2952
20250107,MS,-1,-1,127.452
20250108,MS,-1,-1,127.6706
20250110,MS,-1,-1,127.765
20250113,MS,-1,-1,127.8828
20250114,MS,-1,-1,128.014
20250115,MS,-1,-1,128.333
20250116,MS,-1,-1,128.707
20250117,MS,-1,-1,129.1434
20250121,MS,-1,-1,129.4934
20250122,MS,-1,-1,129.5884
20250123,MS,-1,-1,129.7542
20250124,MS,-1,-1,129.9264
20250127,MS,-1,-1,129.9868
20250128,MS,-1,-1,130.1078
20250129,MS,-1,113.9572,130.2274
20250130,MS,-1,114.239,130.3664
20250131,MS,-1,114.5149,130.4298
20250203,MS,-1,114.7959,130.5108
20250204,MS,-1,115.0593,130.565
20250205,MS,-1,115.3276,130.7188
20250206,MS,-1,115.6009,130.8298
20250207,MS,-1,115.8676,130.9344
20250210,MS,-1,116.1191,131.021
20250211,MS,-1,116.3685,131.153
20250212,MS,-1,116.5997,131.2728
20250213,MS,-1,116.8223,131.36
20250214,MS,-1,117.0559,131.523
20250218,MS,-1,117.3021,131.7414
20250219,MS,-1,117.5315,131.9524
20250220,MS,-1,117.7187,132.0326
20250221,MS,-1,117.8842,132.0694
20250224,MS,-1,118.0515,132.0948
20250225,MS,-1,118.2387,132.1624
20250226,MS,-1,118.4295,132.2314
20250227,MS,-1,118.6055,132.2578
20250228,MS,-1,118.8127,132.3718
20250303,MS,-1,118.9835,132.3748
20250304,MS,-1,119.1102,132.2856
20250305,MS,-1,119.2515,132.323
20250306,MS,-1,119.3589,132.3148
20250307,MS,-1,119.4651,132.2238
20250310,MS,-1,119.5408,131.9686
20250311,MS,-1,119.6533,131.6848
20250312,MS,-1,119.8029,131.4208
20250313,MS,-1,119.9321,131.1338
20250314,MS,-1,120.0869,130.923
20250317,MS,-1,120.2543,130.8096
20250318,MS,-1,120.4107,130.6816
20250319,MS,-1,120.5856,130.5656
20250320,MS,-1,120.7427,130.3886
20250321,MS,-1,120.8773,130.2472
20250324,MS,-1,121.0331,130.176
20250325,MS,-1,121.1934,130.208
20250326,MS,-1,121.3205,130.1156
20250327,MS,-1,121.4473,130.0074
20250328,MS,-1,121.5455,129.6644
20250331,MS,-1,121.6523,129.2866
20250401,MS,-1,121.745,128.8416
20250402,MS,-1,121.8238,128.3814
20250403,MS,-1,121.8665,127.8296
20250404,MS,-1,121.8449,127.0586
20250407,MS,-1,121.8387,126.3422
20250408,MS,-1,121.8054,125.5814
20250409,MS,-1,121.8901,125.0564
20250410,MS,116.5696,121.9331,124.407
20250411,MS,116.6222,121.9906,123.7716
20250414,MS,116.686,122.0721,123.1992
20250415,MS,116.7579,122.1455,122.6438
20250416,MS,116.8101,122.226,122.0624
20250417,MS,116.8619,122.3143,121.465
20250421,MS,116.8957,122.3797,120.78
20250422,MS,116.9583,122.4761,120.2302
20250423,MS,117.0219,122.5543,119.7302
20250424,MS,117.0983,122.6612,119.2878
20250425,MS,117.1655,122.7683,118.8632
20250428,MS,117.2246,122.8665,118.4314
20250429,MS,117.2828,122.9575,117.9634
20250430,MS,117.3378,123.0411,117.445
20250501,MS,117.3897,123.1339,116.9642
20250502,MS,117.4595,123.2521,116.682
20250505,MS,117.5226,123.3521,116.438
20250506,MS,117.5894,123.4466,116.2032
20250507,MS,117.673,123.5441,115.9756
20250508,MS,117.7707,123.6605,115.7942
20250509,MS,117.8637,123.7732,115.6384
20250512,MS,117.9864,123.917,115.5076
20250513,MS,118.1155,124.0615,115.5118
20250514,MS,118.2483,124.2171,115.6626
20250515,MS,118.3977,124.3889,115.8364
20250516,MS,118.531,124.5333,116.0474
20250519,MS,118.6684,124.6859,116.2784
20250520,MS,118.8124,124.8108,116.6272
20250521,MS,118.9592,124.8949,116.877
20250522,MS,119.1283,124.9863,117.1044
20250523,MS,119.29,125.0248,117.3634
20250527,MS,119.4765,125.0905,117.6454
20250528,MS,119.6469,125.1429,117.8248
20250529,MS,119.8134,125.2063,118.0218
20250530,MS,119.9833,125.2722,118.1766
20250602,MS,120.1408,125.3397,118.3352
20250603,MS,120.2846,125.4019,118.5066
20250604,MS,120.4223,125.4787,118.5896
20250605,MS,120.5672,125.5539,118.6886
20250606,MS,120.7188,125.6373,118.9136
20250609,MS,120.8776,125.7301,119.1688
20250610,MS,121.0345,125.8331,119.5018
20250611,MS,121.1874,125.9287,119.7926
20250612,MS,121.3374,126.0332,120.1146
20250613,MS,121.4755,126.1019,120.4308
20250616,MS,121.6152,126.0931,120.8612
20250617,MS,121.7532,126.097,121.4782
20250618,MS,121.8996,126.117,122.0824
20250620,MS,122.0465,126.1127,122.7698
20250623,MS,122.2225,126.128,123.2198
20250624,MS,122.4022,126.1479,123.8094
20250625,MS,122.5839,126.1673,124.3638
20250626,MS,122.8023,126.2073,124.9928
20250627,MS,123.0106,126.2535,125.6058
20250630,MS,123.2352,126.2967,126.2628
20250701,MS,123.4616,126.3623,126.9032
20250702,MS,123.694,126.4156,127.637
20250703,MS,123.9234,126.4767,128.2656
20250707,MS,124.1368,126.5452,128.8844
20250708,MS,124.3431,126.6099,129.3888
20250709,MS,124.55,126.6771,129.8954
20250710,MS,124.7642,126.7495,130.457
20250711,MS,124.9649,126.8245,130.987
20250714,MS,125.1725,126.9177,131.5668
20250715,MS,125.3671,126.9944,132.0666
20250716,MS,125.5521,127.0556,132.4522
20250717,MS,125.7364,127.1322,132.8892
20250718,MS,125.9198,127.2124,133.3392
20250721,MS,126.1009,127.3031,133.7714
20250722,MS,126.2789,127.3865,134.1338
20250723,MS,126.4649,127.4787,134.5398
20250724,MS,126.6539,127.5813,134.8646
20250725,MS,126.8257,127.6683,135.1182
20250728,MS,127.0034,127.7701,135.3622
20250729,MS,127.189,127.9161,135.589
20250730,MS,127.3658,128.0751,135.8632
20250731,MS,127.5367,128.1972,136.0894
20250801,MS,127.6803,128.2949,136.2888
20250804,MS,127.8258,128.3935,136.6186
20250805,MS,127.9634,128.4733,136.8946
20250806,MS,128.0724,128.5707,137.215
20250807,MS,128.1824,128.6754,137.4578
20250808,MS,128.2953,128.7957,137.7526
20250811,MS,128.4223,128.9246,138.0704
20250812,MS,128.5695,129.0679,138.4616
20250813,MS,128.7146,129.1877,138.8392
20250814,MS,128.8597,129.3289,139.233
20250815,MS,128.9985,129.4411,139.5578
20250818,MS,129.1269,129.5809,139.846
20250819,MS,129.2508,129.7067,140.091
20250820,MS,129.3822,129.8383,140.3388
20250821,MS,129.5212,129.9173,140.5856
20250822,MS,129.6781,130.0018,140.9262
20250825,MS,129.8344,130.0647,141.2378
20250826,MS,129.9823,130.1453,141.6238
20250827,MS,130.0738,130.2357,142.0162
20250828,MS,130.1756,130.316,142.4112
20250829,MS,130.2824,130.4011,142.7786
20250902,MS,130.359,130.4831,143.0982
20250903,MS,130.4404,130.5513,143.3778
20250904,MS,130.5293,130.63,143.6736
20250905,MS,130.605,130.6845,143.9182
20250908,MS,130.6782,130.7609,144.0908
20250909,MS,130.7694,130.8556,144.3172
20250910,MS,130.8698,130.9714,144.589
20250911,MS,130.9964,131.0889,144.8984
20250912,MS,131.1038,131.1952,145.1686
20250915,MS,131.2107,131.3027,145.4124
20250916,MS,131.3226,131.4232,145.655
20250917,MS,131.4511,131.5505,145.975
20250918,MS,131.5916,131.6979,146.335
20250919,MS,131.7263,131.8485,146.657
20250922,MS,131.8712,131.9872,147.0112
20250923,MS,132.025,132.1195,147.3468
20250924,MS,132.1665,132.2379,147.6828
20250925,MS,132.3099,132.4023,148.0728
20250926,MS,132.4601,132.5903,148.4438
20250929,MS,132.6187,132.7933,148.8374
20250930,MS,132.7831,132.99,149.223
20251001,MS,132.9291,133.1616,149.5568
20251002,MS,133.0665,133.336,149.8298
20251003,MS,133.2165,133.498,150.1218
20251006,MS,133.3618,133.6907,150.4422
20251007,MS,133.5032,133.9091,150.7024
20251008,MS,133.6747,134.1253,150.9504
20251009,MS,133.8547,134.3681,151.1936
20251010,MS,133.9941,134.5841,151.3846
20251013,MS,134.15,134.8772,151.7156
20251014,MS,134.2985,135.1697,152.0134
20251015,MS,134.4708,135.4875,152.4636
20251016,MS,134.6376,135.8055,152.838
20251017,MS,134.8048,136.0987,153.193
20251020,MS,134.9873,136.3799,153.5622
20251021,MS,135.1595,136.6522,153.8644
20251022,MS,135.3195,136.9042,154.0744
20251023,MS,135.4695,137.1631,154.315
20251024,MS,135.6553,137.4581,154.6346
20251027,MS,135.8475,137.7379,155.0664
20251028,MS,136.0532,138.0016,155.4702
20251029,MS,136.2448,138.2878,155.8588
20251030,MS,136.4405,138.5849,156.247
20251031,MS,136.5995,138.9112,156.6462
20251103,MS,136.74,139.2245,156.9546
20251104,MS,136.8681,139.5436,157.2784
20251105,MS,137.0099,139.886,157.6034
20251106,MS,137.1479,140.2539,157.8844
20251107,MS,137.2714,140.6756,158.1374
20251110,MS,137.4077,141.0963,158.4278
20251111,MS,137.5585,141.5509,158.7848
20251112,MS,137.7175,141.9379,159.2162
20251113,MS,137.8536,142.3359,159.5246
20251114,MS,137.9732,142.7071,159.8392
20251117,MS,138.0839,143.0455,160.0528
20251118,MS,138.1928,143.3759,160.2046
20251119,MS,138.3254,143.7465,160.3876
20251120,MS,138.4215,144.0737,160.4196
20251121,MS,138.51,144.4201,160.4546
20251124,MS,138.624,144.7552,160.5876
20251125,MS,138.7663,145.1117,160.7958
20251126,MS,138.9179,145.4613,161.02
20251128,MS,139.0779,145.8161,161.2178
20251201,MS,139.2352,146.1698,161.3954
20251202,MS,139.3832,146.5231,161.5712
20251203,MS,139.5451,146.9117,161.8216
20251204,MS,139.715,147.2986,162.1464
20251205,MS,139.9279,147.6765,162.5044
20251208,MS,140.1531,148.0581,162.8412
20251209,MS,140.397,148.4615,163.208
20251210,MS,140.6475,148.8715,163.62
20251211,MS,140.8972,149.2648,164.1038
20251212,MS,141.141,149.6418,164.5558
20251215,MS,141.3632,149.9818,164.959
20251216,MS,141.5996,150.2955,165.3262
20251217,MS,141.8533,150.5835,165.686
20251218,MS,142.0984,150.8525,166.018
20251219,MS,142.3881,151.1683,166.4482
20251222,MS,142.6918,151.4963,167.015
20251223,MS,143.0327,151.8345,167.4992
20251224,MS,143.3766,152.2098,167.9974
20251226,MS,143.7118,152.5809,168.3846
20251229,MS,144.0514,152.9474,168.7892
20251230,MS,144.3714,153.28,169.1892
20251231,MS,144.6601,153.6053,169.501
20260102,MS,144.979,153.9647,169.9594
20260105,MS,145.311,154.3558,170.5314
20260106,MS,145.6536,154.7598,171.1252
20260107,MS,145.9788,155.1362,171.541
20260108,MS,146.2837,155.5151,171.921
20260109,MS,146.5881,155.8879,172.3474
20260112,MS,146.9194,156.2547,172.8144
20260113,MS,147.237,156.5931,173.1934
20260114,MS,147.5667,156.9217,173.5334
20260115,MS,147.9428,157.3263,174.098
20260116,MS,148.3092,157.7074,174.606
20260120,MS,148.6502,158.0567,174.943
20260121,MS,149.0265,158.4149,175.344
20260122,MS,149.4459,158.7685,175.757
20260123,MS,149.8297,159.0787,176.0298
20260126,MS,150.2447,159.4029,176.3258
20260127,MS,150.5979,159.7239,176.5778
20260128,MS,150.9737,160.0285,176.8874
20260129,MS,151.3432,160.3363,177.2514
20260130,MS,151.7126,160.6193,177.7142
20260202,MS,152.0892,160.917,178.2292
20260203,MS,152.4632,161.1967,178.6134
20260204,MS,152.8157,161.4531,179.0414
20260205,MS,153.1581,161.6651,179.3722
20260206,MS,153.4939,161.9033,179.71
20260209,MS,153.8447,162.1647,180.0434
20260210,MS,154.1565,162.4124,180.2422
20260211,MS,154.4615,162.6502,180.3978
20260212,MS,154.7281,162.8185,180.403
20260213,MS,155.0093,163.0168,180.468
20260217,MS,155.2941,163.2032,180.4412
20260218,MS,155.5885,163.4291,180.4582
20260219,MS,155.8604,163.6631,180.4122
20260220,MS,156.1344,163.8829,180.3636
20260223,MS,156.3784,164.0582,180.1292
20260224,MS,156.6177,164.2331,179.8564
20260225,MS,156.874,164.4541,179.7016
20260226,MS,157.1455,164.6807,179.6566
20260227,MS,157.3451,164.8387,179.4352
20260302,MS,157.5292,164.9995,179.2302
20260303,MS,157.7049,165.1525,179.0692
20260304,MS,157.8821,165.3132,178.9712
20260305,MS,158.0428,165.4361,178.6664
20260306,MS,158.1893,165.556,178.2684
20260309,MS,158.3437,165.6953,177.8712
20260310,MS,158.5276,165.8307,177.4812
20260311,MS,158.6829,165.9457,176.9888
20260312,MS,158.8315,166.037,176.4838
20260313,MS,158.9578,166.1244,175.991
20260316,MS,159.0972,166.2121,175.573
20260317,MS,159.2467,166.3055,175.0926
20260318,MS,159.3996,166.3789,174.531
20260319,MS,159.5522,166.4565,173.9292
20260320,MS,159.7291,166.5611,173.5078
20260323,MS,159.9087,166.6924,173.0898
20260324,MS,160.0949,166.8445,172.7158
20260325,MS,160.2648,166.9894,172.295
20260326,MS,160.428,167.1244,171.9328
20260327,MS,160.5584,167.216,171.4684
20260330,MS,160.6934,167.2825,170.7948
20260331,MS,160.8572,167.397,170.3066
20260401,MS,161.0424,167.5153,169.9994
20260402,MS,161.2227,167.6249,169.6464
20260406,MS,161.4066,167.7385,169.321
20260407,MS,161.6114,167.8889,169.2092
20260408,MS,161.825,168.0673,169.0912
20260409,MS,162.0443,168.2665,169.0054
20260410,MS,162.2584,168.4534,168.9482
20260413,MS,162.486,168.6752,168.935
20260414,MS,162.7052,168.9099,168.9628
20260415,MS,162.9602,169.1745,169.0898
20260416,MS,163.1966,169.3992,169.1966
20260417,MS,163.4332,169.6114,169.3732
20260420,MS,163.6727,169.8407,169.6954
20260421,MS,163.9026,170.0661,169.9006
20260422,MS,164.1413,170.3034,170.071
20260423,MS,164.3812,170.5167,170.2878
20260424,MS,164.6143,170.7074,170.5066
20260427,MS,164.8469,170.9102,170.9322
20260428,MS,165.0858,171.1107,171.2928
20260429,MS,165.2983,171.2821,171.5836
20260430,MS,165.5433,171.4968,171.8858
20260501,MS,165.7942,171.7013,172.1874
20260504,MS,166.0294,171.8913,172.4692
20260505,MS,166.2719,172.0833,172.9128
20260506,MS,166.536,172.307,173.4446
20260507,MS,166.7867,172.53,173.7846
20260508,MS,167.042,172.7794,174.1258
20260511,MS,167.2835,173.0041,174.618
20260512,MS,167.5326,173.2293,175.1316
20260513,MS,167.7875,173.4825,175.6924
20260514,MS,168.0396,173.736,176.2188
20260515,MS,168.2808,173.9765,176.815
20260518,MS,168.5247,174.2381,177.431
20260519,MS,168.7833,174.4725,178.047
20260520,MS,169.063,174.7462,178.76
20260521,MS,169.3663,175.0005,179.628
20260522,MS,169.6635,175.272,180.543
20260526,MS,169.9652,175.5559,181.4876
20260527,MS,170.2466,175.8081,182.3502
20260528,MS,170.5484,176.1097,183.2772
20260529,MS,170.8505,176.4425,184.2652
20260601,MS,171.1692,176.7872,185.3072
20260602,MS,171.5007,177.1227,186.3194
20260603,MS,171.8304,177.4185,187.2446
20260604,MS,172.2007,177.7776,188.2696
20260605,MS,172.5383,178.0982,189.1852
20260608,MS,172.8782,178.4219,190.1396
20260609,MS,173.211,178.7325,191.1958
20260610,MS,173.4984,179.013,192.1462
20260611,MS,173.8253,179.341,193.1104
20260612,MS,174.1519,179.668,194.0616
20260615,MS,174.494,180.0305,195.101
20260616,MS,174.8524,180.4241,196.1942
20260617,MS,175.2255,180.8248,197.2354
20260618,MS,175.6008,181.2061,198.2012
20260622,MS,175.996,181.5893,199.1848
20260623,MS,176.3649,181.9783,200.0994
20260624,MS,176.7294,182.3595,200.892
