date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,65.9318
20240905,-1,-1,65.948
20240906,-1,-1,65.9228
20240909,-1,-1,65.9048
20240910,-1,-1,65.903
20240911,-1,-1,65.9218
20240912,-1,-1,65.925
20240913,-1,-1,65.9516
20240916,-1,-1,65.965
20240917,-1,-1,66.0084
20240918,-1,-1,66.022
20240919,-1,-1,66.0754
20240920,-1,-1,66.1686
20240923,-1,-1,66.2876
20240924,-1,-1,66.4148
20240925,-1,-1,66.545
20240926,-1,-1,66.6694
20240927,-1,-1,66.8002
20240930,-1,-1,66.9506
20241001,-1,-1,67.0638
20241002,-1,-1,67.201
20241003,-1,-1,67.3382
20241004,-1,-1,67.5034
20241007,-1,-1,67.647
20241008,-1,-1,67.836
20241009,-1,-1,68.0494
20241010,-1,-1,68.255
20241011,-1,-1,68.4582
20241014,-1,-1,68.6602
20241015,-1,-1,68.864
20241016,-1,-1,69.0542
20241017,-1,-1,69.2872
20241018,-1,-1,69.555
20241021,-1,-1,69.8276
20241022,-1,-1,70.0864
20241023,-1,-1,70.2892
20241024,-1,-1,70.4684
20241025,-1,-1,70.6502
20241028,-1,-1,70.8028
20241029,-1,-1,70.9462
20241030,-1,-1,71.0598
20241031,-1,-1,71.169
20241101,-1,-1,71.3008
20241104,-1,-1,71.4354
20241105,-1,-1,71.592
20241106,-1,-1,71.7618
20241107,-1,-1,71.9906
20241108,-1,-1,72.194
20241111,-1,-1,72.4044
20241112,-1,-1,72.692
20241113,-1,-1,72.9988
20241114,-1,-1,73.3098
20241115,-1,-1,73.6328
20241118,-1,-1,73.9764
20241119,-1,-1,74.379
20241120,-1,-1,74.7838
20241121,-1,-1,75.2128
20241122,-1,-1,75.6176
20241125,-1,-1,75.9512
20241126,-1,-1,76.2834
20241127,-1,-1,76.6542
20241129,-1,-1,77.0188
20241202,-1,-1,77.4148
20241203,-1,-1,77.8082
20241204,-1,-1,78.1822
20241205,-1,-1,78.5736
20241206,-1,-1,79.0194
20241209,-1,-1,79.4348
20241210,-1,-1,79.8498
20241211,-1,-1,80.3086
20241212,-1,-1,80.735
20241213,-1,-1,81.1586
20241216,-1,-1,81.5642
20241217,-1,-1,81.9958
20241218,-1,-1,82.343
20241219,-1,-1,82.6836
20241220,-1,-1,83.0456
20241223,-1,-1,83.4204
20241224,-1,-1,83.8602
20241226,-1,-1,84.2912
20241227,-1,-1,84.7032
20241230,-1,-1,85.0546
20241231,-1,-1,85.3056
20250102,-1,-1,85.5402
20250103,-1,-1,85.7768
20250106,-1,-1,86.04
20250107,-1,-1,86.2952
20250108,-1,-1,86.532
20250110,-1,-1,86.7054
20250113,-1,-1,86.8744
20250114,-1,-1,87.0222
20250115,-1,-1,87.2316
20250116,-1,-1,87.3994
20250117,-1,-1,87.6154
20250121,-1,-1,88.0742
20250122,-1,-1,88.4112
20250123,-1,-1,88.7834
20250124,-1,-1,89.143
20250127,-1,-1,89.4758
20250128,-1,-1,89.7784
20250129,-1,76.334,90.0714
20250130,-1,76.5345,90.3458
