datetime,open,close,high,low,volume
202606230800,72.88,72.84,73.43,72.83,658.0
202606230801,73.07,72.93,73.43,72.81,240.0
202606230802,72.9,73.17,73.17,72.9,54.0
202606230803,73.17,73.24,73.24,73.17,4.0
202606230804,73.24,73.23,73.28,73.08,10.0
202606230805,73.21,73.2,73.21,73.2,12.0
202606230806,73.37,73.1,73.41,73.08,42.0
202606230807,73.3,73.13,73.3,73.11,25.0
202606230808,73.13,73.15,73.36,73.11,40.0
202606230809,73.23,73.32,73.32,73.0,40.0
202606230810,73.0,72.99,73.22,72.87,216.0
202606230811,73.0,73.06,73.37,72.89,125.0
202606230812,73.11,73.11,73.5,73.02,40.0
202606230813,73.5,73.46,73.5,73.37,12.0
202606230814,73.5,73.5,73.5,73.5,7.0
202606230815,73.5,73.56,73.65,73.5,24.0
202606230816,73.67,73.76,73.76,73.67,7.0
202606230817,73.77,73.7,73.77,73.7,6.0
202606230818,73.68,73.68,73.7,73.65,28.0
202606230819,73.76,73.7,73.77,73.7,3.0
202606230820,73.68,73.63,73.68,73.63,7.0
202606230821,73.59,73.59,73.59,73.59,3.0
202606230822,73.6,73.6,73.6,73.6,11.0
202606230823,73.62,73.67,73.68,73.62,12.0
202606230824,73.64,73.64,73.64,73.64,1.0
202606230825,73.7,73.7,73.7,73.7,15.0
202606230826,73.75,73.65,73.75,73.65,13.0
202606230827,73.71,73.75,73.75,73.71,7.0
202606230828,73.77,73.85,73.85,73.76,16.0
202606230829,73.87,73.7,73.87,73.7,31.0
202606230830,73.64,73.76,73.86,73.64,56.0
202606230831,73.71,73.75,73.75,73.69,3.0
202606230832,73.7,73.71,73.71,73.7,2.0
202606230833,73.7,73.61,73.7,73.61,16.0
202606230834,73.61,73.61,73.61,73.61,3.0
202606230835,73.52,73.52,73.52,73.51,16.0
202606230836,73.52,73.52,73.52,73.52,0.0
202606230837,73.65,73.6,73.67,73.6,35.0
202606230838,73.66,73.66,73.66,73.66,1.0
202606230839,73.66,73.66,73.66,73.66,0.0
202606230840,73.61,73.56,73.61,73.56,14.0
202606230841,73.55,73.51,73.55,73.51,17.0
202606230842,73.45,73.45,73.46,73.45,2.0
202606230843,73.53,73.55,73.56,73.51,9.0
202606230844,73.56,73.5,73.56,73.5,12.0
202606230845,73.45,73.51,73.51,73.45,13.0
202606230846,73.5,73.62,73.62,73.45,5.0
202606230847,73.52,73.65,73.65,73.52,11.0
202606230848,73.59,73.58,73.59,73.58,2.0
202606230849,73.56,73.56,73.56,73.56,4.0
202606230850,73.57,73.53,73.57,73.53,23.0
202606230851,73.56,73.57,73.57,73.56,2.0
202606230852,73.6,73.51,73.64,73.51,7.0
202606230853,73.51,73.51,73.51,73.51,0.0
202606230854,73.51,73.51,73.51,73.51,0.0
202606230855,73.5,73.45,73.5,73.45,5.0
202606230856,73.5,73.45,73.5,73.45,7.0
202606230857,73.5,73.45,73.5,73.45,3.0
202606230858,73.45,73.45,73.45,73.45,2.0
202606230859,73.45,73.6,73.6,73.45,2.0
202606230900,73.45,73.5,73.5,73.45,3.0
202606230901,73.5,73.53,73.53,73.5,3.0
202606230902,73.45,73.45,73.45,73.45,3.0
202606230903,73.44,73.41,73.44,73.4,6.0
202606230904,73.4,73.4,73.4,73.4,6.0
202606230905,73.36,73.36,73.36,73.36,1.0
202606230906,73.27,73.27,73.27,73.27,1.0
202606230907,73.23,73.23,73.23,73.22,4.0
202606230908,73.23,73.23,73.4,73.23,7.0
202606230909,73.23,73.23,73.23,73.23,0.0
202606230910,73.23,73.23,73.23,73.23,0.0
202606230911,73.22,73.22,73.22,73.22,1.0
202606230912,73.25,73.25,73.25,73.25,2.0
202606230913,73.25,73.25,73.25,73.25,0.0
202606230914,73.25,73.25,73.25,73.25,0.0
202606230915,73.25,73.25,73.25,73.25,0.0
202606230916,73.27,73.27,73.27,73.27,2.0
202606230917,73.27,73.27,73.27,73.27,0.0
202606230918,73.31,73.5,73.5,73.31,50.0
202606230919,73.46,73.46,73.46,73.46,1.0
202606230920,73.4,73.5,73.5,73.4,11.0
202606230921,73.4,73.4,73.41,73.4,4.0
202606230922,73.43,73.43,73.43,73.43,1.0
202606230923,73.49,73.5,73.5,73.49,2.0
202606230924,73.5,73.5,73.5,73.5,0.0
202606230925,73.49,73.44,73.5,73.44,3.0
202606230926,73.44,73.44,73.44,73.44,0.0
202606230927,73.43,73.43,73.43,73.43,2.0
202606230928,73.42,73.42,73.42,73.42,2.0
202606230929,73.42,73.42,73.42,73.42,1.0
202606230930,73.4,73.4,73.4,73.4,10.0
202606230931,73.4,73.4,73.4,73.4,0.0
202606230932,73.43,73.29,73.43,73.27,57.0
202606230933,73.29,73.29,73.29,73.29,0.0
202606230934,73.31,73.26,73.31,73.24,144.0
202606230935,73.26,73.2,73.26,73.2,153.0
202606230936,73.2,73.2,73.2,73.2,0.0
202606230937,73.2,73.2,73.2,73.2,0.0
202606230938,73.33,73.38,73.38,73.33,36.0
202606230939,73.38,73.38,73.38,73.38,1.0
202606230940,73.38,73.38,73.38,73.38,0.0
202606230941,73.36,73.48,73.48,73.36,55.0
202606230942,73.48,73.49,73.5,73.48,28.0
202606230943,73.49,73.49,73.49,73.49,0.0
202606230944,73.49,73.49,73.49,73.49,0.0
202606230945,73.48,73.48,73.48,73.48,3.0
202606230946,73.5,73.45,73.5,73.45,4.0
202606230947,73.45,73.45,73.45,73.45,0.0
202606230948,73.45,73.45,73.45,73.45,0.0
202606230949,73.45,73.45,73.45,73.45,2.0
202606230950,73.46,73.46,73.46,73.46,22.0
202606230951,73.43,73.43,73.43,73.43,2.0
202606230952,73.43,73.43,73.43,73.43,0.0
202606230953,73.43,73.43,73.43,73.43,0.0
202606230954,73.48,73.56,73.56,73.48,36.0
202606230955,73.56,73.56,73.56,73.56,0.0
202606230956,73.57,73.55,73.57,73.55,13.0
202606230957,73.55,73.55,73.55,73.55,0.0
202606230958,73.6,73.54,73.6,73.54,5.0
202606230959,73.51,73.56,73.56,73.51,16.0
202606231000,73.55,73.6,73.6,73.55,17.0
202606231001,73.6,73.6,73.6,73.6,0.0
202606231002,73.53,73.45,73.53,73.45,5.0
202606231003,73.43,73.35,73.46,73.35,6.0
202606231004,73.32,73.32,73.32,73.3,16.0
202606231005,73.32,73.32,73.32,73.32,0.0
202606231006,73.42,73.5,73.5,73.42,15.0
202606231007,73.48,73.48,73.48,73.48,1.0
202606231008,73.48,73.48,73.48,73.48,0.0
202606231009,73.48,73.48,73.48,73.48,0.0
202606231010,73.48,73.48,73.48,73.48,0.0
202606231011,73.44,73.44,73.44,73.44,1.0
202606231012,73.44,73.44,73.44,73.44,0.0
202606231013,73.44,73.44,73.44,73.44,0.0
202606231014,73.45,73.33,73.45,73.33,3.0
202606231015,73.56,73.34,73.56,73.34,6.0
202606231016,73.46,73.46,73.46,73.46,1.0
202606231017,73.46,73.46,73.46,73.46,0.0
202606231018,73.46,73.46,73.46,73.46,0.0
202606231019,73.51,73.51,73.52,73.51,6.0
202606231020,73.52,73.52,73.52,73.52,2.0
