date,symbol,ma200,ma150,ma50
20240625,NKE,-1,-1,-1
20240626,NKE,-1,-1,-1
20240627,NKE,-1,-1,-1
20240628,NKE,-1,-1,-1
20240701,NKE,-1,-1,-1
20240702,NKE,-1,-1,-1
20240703,NKE,-1,-1,-1
20240705,NKE,-1,-1,-1
20240708,NKE,-1,-1,-1
20240709,NKE,-1,-1,-1
20240710,NKE,-1,-1,-1
20240711,NKE,-1,-1,-1
20240712,NKE,-1,-1,-1
20240715,NKE,-1,-1,-1
20240716,NKE,-1,-1,-1
20240717,NKE,-1,-1,-1
20240718,NKE,-1,-1,-1
20240719,NKE,-1,-1,-1
20240722,NKE,-1,-1,-1
20240723,NKE,-1,-1,-1
20240724,NKE,-1,-1,-1
20240725,NKE,-1,-1,-1
20240726,NKE,-1,-1,-1
20240729,NKE,-1,-1,-1
20240730,NKE,-1,-1,-1
20240731,NKE,-1,-1,-1
20240801,NKE,-1,-1,-1
20240802,NKE,-1,-1,-1
20240805,NKE,-1,-1,-1
20240806,NKE,-1,-1,-1
20240807,NKE,-1,-1,-1
20240808,NKE,-1,-1,-1
20240809,NKE,-1,-1,-1
20240812,NKE,-1,-1,-1
20240813,NKE,-1,-1,-1
20240814,NKE,-1,-1,-1
20240815,NKE,-1,-1,-1
20240816,NKE,-1,-1,-1
20240819,NKE,-1,-1,-1
20240820,NKE,-1,-1,-1
20240821,NKE,-1,-1,-1
20240822,NKE,-1,-1,-1
20240823,NKE,-1,-1,-1
20240826,NKE,-1,-1,-1
20240827,NKE,-1,-1,-1
20240828,NKE,-1,-1,-1
20240829,NKE,-1,-1,-1
20240830,NKE,-1,-1,-1
20240903,NKE,-1,-1,-1
20240904,NKE,-1,-1,77.4812
20240905,NKE,-1,-1,77.1978
20240906,NKE,-1,-1,76.92
20240909,NKE,-1,-1,76.8602
20240910,NKE,-1,-1,76.919
20240911,NKE,-1,-1,76.9516
20240912,NKE,-1,-1,77.0006
20240913,NKE,-1,-1,77.0764
20240916,NKE,-1,-1,77.1662
20240917,NKE,-1,-1,77.3148
20240918,NKE,-1,-1,77.4884
20240919,NKE,-1,-1,77.781
20240920,NKE,-1,-1,78.039
20240923,NKE,-1,-1,78.293
20240924,NKE,-1,-1,78.6112
20240925,NKE,-1,-1,78.915
20240926,NKE,-1,-1,79.2414
20240927,NKE,-1,-1,79.582
20240930,NKE,-1,-1,79.8944
20241001,NKE,-1,-1,80.075
20241002,NKE,-1,-1,80.278
20241003,NKE,-1,-1,80.4978
20241004,NKE,-1,-1,80.7124
20241007,NKE,-1,-1,80.8796
20241008,NKE,-1,-1,81.029
20241009,NKE,-1,-1,81.1948
20241010,NKE,-1,-1,81.3418
20241011,NKE,-1,-1,81.5148
20241014,NKE,-1,-1,81.6726
20241015,NKE,-1,-1,81.8802
20241016,NKE,-1,-1,82.1144
20241017,NKE,-1,-1,82.3424
20241018,NKE,-1,-1,82.5144
20241021,NKE,-1,-1,82.666
20241022,NKE,-1,-1,82.8022
20241023,NKE,-1,-1,82.8372
20241024,NKE,-1,-1,82.8006
20241025,NKE,-1,-1,82.7226
20241028,NKE,-1,-1,82.6374
20241029,NKE,-1,-1,82.544
20241030,NKE,-1,-1,82.4034
20241031,NKE,-1,-1,82.2664
20241101,NKE,-1,-1,82.1574
20241104,NKE,-1,-1,82.0242
20241105,NKE,-1,-1,81.9046
20241106,NKE,-1,-1,81.7076
20241107,NKE,-1,-1,81.579
20241108,NKE,-1,-1,81.4324
20241111,NKE,-1,-1,81.301
20241112,NKE,-1,-1,81.2116
20241113,NKE,-1,-1,81.126
20241114,NKE,-1,-1,81.0368
20241115,NKE,-1,-1,80.9656
20241118,NKE,-1,-1,80.8768
20241119,NKE,-1,-1,80.794
20241120,NKE,-1,-1,80.6926
20241121,NKE,-1,-1,80.6274
20241122,NKE,-1,-1,80.5962
20241125,NKE,-1,-1,80.5504
20241126,NKE,-1,-1,80.4904
20241127,NKE,-1,-1,80.4354
20241129,NKE,-1,-1,80.271
20241202,NKE,-1,-1,80.1274
20241203,NKE,-1,-1,79.9814
20241204,NKE,-1,-1,79.7994
20241205,NKE,-1,-1,79.6172
20241206,NKE,-1,-1,79.4102
20241209,NKE,-1,-1,79.1706
20241210,NKE,-1,-1,78.9422
20241211,NKE,-1,-1,78.8396
20241212,NKE,-1,-1,78.7358
20241213,NKE,-1,-1,78.6342
20241216,NKE,-1,-1,78.5348
20241217,NKE,-1,-1,78.4794
20241218,NKE,-1,-1,78.4084
20241219,NKE,-1,-1,78.292
20241220,NKE,-1,-1,78.1834
20241223,NKE,-1,-1,78.0784
20241224,NKE,-1,-1,77.9768
20241226,NKE,-1,-1,77.8696
20241227,NKE,-1,-1,77.7194
20241230,NKE,-1,-1,77.5424
20241231,NKE,-1,-1,77.3982
20250102,NKE,-1,-1,77.2386
20250103,NKE,-1,-1,77.0806
20250106,NKE,-1,-1,76.9236
20250107,NKE,-1,-1,76.7816
20250108,NKE,-1,-1,76.6332
20250110,NKE,-1,-1,76.4784
20250113,NKE,-1,-1,76.3558
20250114,NKE,-1,-1,76.2488
20250115,NKE,-1,-1,76.1274
20250116,NKE,-1,-1,75.9886
20250117,NKE,-1,-1,75.865
20250121,NKE,-1,-1,75.7674
20250122,NKE,-1,-1,75.7386
20250123,NKE,-1,-1,75.704
20250124,NKE,-1,-1,75.655
20250127,NKE,-1,-1,75.6344
20250128,NKE,-1,-1,75.5874
20250129,NKE,-1,78.0649,75.5874
20250130,NKE,-1,77.9544,75.6286
20250131,NKE,-1,77.8355,75.6208
20250203,NKE,-1,77.7978,75.6564
20250204,NKE,-1,77.8079,75.7108
20250205,NKE,-1,77.7936,75.7366
20250206,NKE,-1,77.7659,75.6698
20250207,NKE,-1,77.7222,75.494
20250210,NKE,-1,77.6921,75.3596
20250211,NKE,-1,77.6801,75.235
20250212,NKE,-1,77.6789,75.113
20250213,NKE,-1,77.6839,74.9996
20250214,NKE,-1,77.681,74.8766
20250218,NKE,-1,77.7066,74.8454
20250219,NKE,-1,77.7411,74.8126
20250220,NKE,-1,77.7707,74.7798
20250221,NKE,-1,77.7926,74.7262
20250224,NKE,-1,77.8466,74.7872
20250225,NKE,-1,77.9074,74.8856
20250226,NKE,-1,77.9489,74.9322
20250227,NKE,-1,77.9926,74.964
20250228,NKE,-1,78.0473,75.01
20250303,NKE,-1,78.0931,75.0322
20250304,NKE,-1,78.1273,75.0228
20250305,NKE,-1,78.1561,75.0308
20250306,NKE,-1,78.1781,75.0474
20250307,NKE,-1,78.2024,75.082
20250310,NKE,-1,78.2187,75.063
20250311,NKE,-1,78.2223,75.0176
20250312,NKE,-1,78.2363,74.959
20250313,NKE,-1,78.2411,74.8896
20250314,NKE,-1,78.2401,74.8356
20250317,NKE,-1,78.2367,74.7976
20250318,NKE,-1,78.229,74.7824
20250319,NKE,-1,78.2205,74.7786
20250320,NKE,-1,78.1515,74.6936
20250321,NKE,-1,78.0641,74.6102
20250324,NKE,-1,77.9625,74.5316
20250325,NKE,-1,77.8509,74.4368
20250326,NKE,-1,77.7309,74.2928
20250327,NKE,-1,77.6129,74.1866
20250328,NKE,-1,77.4737,74.0274
20250331,NKE,-1,77.3405,73.8756
20250401,NKE,-1,77.2143,73.7536
20250402,NKE,-1,77.0549,73.4928
20250403,NKE,-1,76.8597,73.133
20250404,NKE,-1,76.6915,72.7916
20250407,NKE,-1,76.5122,72.4492
20250408,NKE,-1,76.3087,71.9906
20250409,NKE,-1,76.1621,71.6874
20250410,NKE,76.3577,75.9833,71.2364
20250411,NKE,76.1549,75.8073,70.7564
20250414,NKE,75.9592,75.6389,70.3304
20250415,NKE,75.8182,75.4709,69.8794
20250416,NKE,75.7095,75.3063,69.4142
20250417,NKE,75.6049,75.156,69.0388
20250421,NKE,75.5082,75.0107,68.7348
20250422,NKE,75.4264,74.8764,68.539
20250423,NKE,75.3368,74.7271,68.2712
20250424,NKE,75.2617,74.5773,68.0066
20250425,NKE,75.1879,74.4211,67.7148
20250428,NKE,75.1119,74.2222,67.396
20250429,NKE,75.0308,74.0281,67.0802
20250430,NKE,74.9468,73.8314,66.6674
20250501,NKE,74.873,73.6269,66.2688
20250502,NKE,74.8025,73.4317,65.8982
20250505,NKE,74.7249,73.2193,65.5216
20250506,NKE,74.6531,73.0102,65.0728
20250507,NKE,74.583,72.8125,64.6098
20250508,NKE,74.5036,72.6465,64.1678
20250509,NKE,74.4295,72.4799,63.74
20250512,NKE,74.3852,72.3477,63.3988
20250513,NKE,74.3397,72.2155,63.0794
20250514,NKE,74.2847,72.0864,62.757
20250515,NKE,74.2303,71.9641,62.453
20250516,NKE,74.1709,71.8296,62.1494
20250519,NKE,74.1077,71.6963,61.8234
20250520,NKE,74.0524,71.5649,61.5534
20250521,NKE,73.9885,71.4271,61.287
20250522,NKE,73.9358,71.2877,61.0344
20250523,NKE,73.8748,71.1282,60.7756
20250527,NKE,73.8284,70.9904,60.5932
20250528,NKE,73.7784,70.8663,60.4032
20250529,NKE,73.7136,70.7295,60.1674
