datetime,open,close,high,low,volume
202606230800,43.2,43.05,43.2,42.95,228.0
202606230801,43.05,43.03,43.14,43.0,15.0
202606230802,43.03,43.03,43.03,43.03,0.0
202606230803,43.03,43.03,43.03,43.03,0.0
202606230804,43.03,43.03,43.03,43.03,0.0
202606230805,43.03,43.03,43.03,43.03,0.0
202606230806,43.11,43.17,43.18,43.11,16.0
202606230807,43.14,43.11,43.14,43.04,4.0
202606230808,43.06,43.0,43.08,43.0,130.0
202606230809,43.07,43.0,43.07,43.0,12.0
202606230810,43.0,43.0,43.01,42.97,17.0
202606230811,43.0,42.98,43.05,42.97,81.0
202606230812,43.01,43.0,43.05,42.98,29.0
202606230813,43.05,43.05,43.05,43.05,4.0
202606230814,43.05,43.05,43.05,43.05,0.0
202606230815,43.01,43.01,43.01,43.0,4.0
202606230816,43.01,43.01,43.01,43.01,0.0
202606230817,43.01,43.0,43.01,43.0,7.0
202606230818,43.0,43.0,43.0,43.0,0.0
202606230819,43.03,43.03,43.03,43.03,2.0
202606230820,42.96,42.96,42.96,42.96,1.0
202606230821,42.96,42.96,42.96,42.96,0.0
202606230822,42.96,42.96,42.96,42.96,0.0
202606230823,42.96,42.96,42.96,42.96,0.0
202606230824,42.96,42.96,42.96,42.96,0.0
202606230825,42.96,43.0,43.0,42.96,10.0
202606230826,43.0,43.0,43.0,43.0,0.0
202606230827,42.99,43.0,43.0,42.99,8.0
202606230828,43.05,43.05,43.06,43.05,6.0
202606230829,43.05,43.05,43.05,43.05,0.0
202606230830,43.1,43.1,43.1,43.1,1.0
202606230831,43.1,43.1,43.1,43.1,0.0
202606230832,43.1,43.1,43.1,43.1,0.0
202606230833,43.1,43.1,43.1,43.1,0.0
202606230834,43.1,43.1,43.1,43.1,0.0
202606230835,43.09,43.09,43.09,43.09,1.0
202606230836,43.09,43.09,43.09,43.09,0.0
202606230837,43.09,43.09,43.09,43.09,0.0
202606230838,43.09,43.09,43.09,43.09,0.0
202606230839,43.09,43.09,43.09,43.09,0.0
202606230840,43.09,43.09,43.09,43.09,0.0
202606230841,43.05,43.05,43.05,43.04,1.0
202606230842,43.08,43.09,43.09,43.08,7.0
202606230843,43.09,43.09,43.09,43.09,0.0
202606230844,43.09,43.09,43.09,43.09,0.0
202606230845,43.09,43.09,43.09,43.09,0.0
202606230846,43.15,43.15,43.15,43.15,1.0
202606230847,43.09,43.09,43.09,43.09,2.0
202606230848,43.09,43.09,43.09,43.09,0.0
202606230849,43.09,43.09,43.09,43.09,0.0
202606230850,43.15,43.15,43.15,43.15,1.0
202606230851,43.15,43.15,43.15,43.15,0.0
202606230852,43.15,43.15,43.15,43.15,0.0
202606230853,43.15,43.15,43.15,43.15,0.0
202606230854,43.15,43.15,43.15,43.15,0.0
202606230855,43.15,43.15,43.15,43.15,0.0
202606230856,43.15,43.15,43.15,43.15,0.0
202606230857,43.15,43.15,43.15,43.15,0.0
202606230858,43.07,43.07,43.07,43.07,2.0
202606230859,43.07,43.07,43.07,43.07,0.0
202606230900,43.07,43.07,43.07,43.07,1.0
202606230901,43.05,42.94,43.05,42.9,46.0
202606230902,42.94,42.94,42.94,42.94,0.0
202606230903,43.01,43.01,43.01,43.0,1.0
202606230904,42.99,42.99,42.99,42.99,1.0
202606230905,42.99,42.99,42.99,42.99,0.0
202606230906,42.99,42.99,42.99,42.99,0.0
202606230907,42.99,42.99,42.99,42.99,0.0
202606230908,42.99,42.99,42.99,42.99,0.0
202606230909,42.91,42.9,42.91,42.9,8.0
202606230910,42.9,42.9,42.9,42.9,8.0
202606230911,42.93,42.91,42.93,42.91,5.0
202606230912,42.95,42.96,42.96,42.95,8.0
202606230913,42.95,42.96,42.97,42.95,5.0
202606230914,42.92,42.91,42.92,42.88,23.0
202606230915,42.88,42.26,42.88,42.26,115.0
202606230916,42.25,42.5,42.51,42.25,12.0
202606230917,42.58,42.5,42.59,42.41,28.0
202606230918,42.5,42.5,42.5,42.5,0.0
202606230919,42.49,42.52,42.54,42.49,15.0
202606230920,42.45,42.41,42.45,42.41,2.0
202606230921,42.41,42.41,42.41,42.41,0.0
202606230922,42.34,42.34,42.34,42.34,1.0
202606230923,42.36,42.36,42.36,42.36,2.0
202606230924,42.44,42.36,42.45,42.31,103.0
202606230925,42.4,42.4,42.4,42.4,2.0
202606230926,42.31,42.31,42.32,42.31,50.0
202606230927,42.39,42.39,42.39,42.38,1.0
202606230928,42.36,42.36,42.36,42.36,5.0
202606230929,42.39,42.39,42.39,42.39,1.0
202606230930,42.3,42.3,42.3,42.3,1.0
202606230931,42.31,42.32,42.32,42.31,3.0
202606230932,42.35,42.36,42.38,42.35,32.0
202606230933,42.38,42.38,42.38,42.38,1.0
202606230934,42.4,42.44,42.44,42.4,51.0
202606230935,42.45,42.41,42.45,42.41,19.0
202606230936,42.4,42.4,42.4,42.4,36.0
202606230937,42.44,42.44,42.44,42.43,4.0
202606230938,42.44,42.44,42.44,42.44,2.0
202606230939,42.44,42.44,42.44,42.44,47.0
202606230940,42.44,42.44,42.44,42.44,0.0
202606230941,42.4,42.4,42.4,42.4,1.0
202606230942,42.42,42.42,42.42,42.42,1.0
202606230943,42.41,42.41,42.41,42.4,1.0
202606230944,42.43,42.42,42.45,42.42,10.0
202606230945,42.42,42.42,42.42,42.42,0.0
202606230946,42.44,42.42,42.44,42.42,53.0
202606230947,42.42,42.42,42.42,42.42,0.0
202606230948,42.42,42.42,42.42,42.42,0.0
202606230949,42.42,42.42,42.42,42.42,0.0
202606230950,42.38,42.38,42.38,42.38,1.0
202606230951,42.38,42.38,42.38,42.38,0.0
202606230952,42.38,42.38,42.38,42.38,0.0
202606230953,42.38,42.38,42.38,42.38,0.0
202606230954,42.39,42.4,42.4,42.39,12.0
202606230955,42.4,42.4,42.4,42.4,0.0
202606230956,42.4,42.4,42.4,42.4,0.0
202606230957,42.4,42.4,42.4,42.4,0.0
202606230958,42.42,42.44,42.44,42.42,20.0
202606230959,42.44,42.44,42.44,42.44,0.0
202606231000,42.41,42.41,42.41,42.41,1.0
202606231001,42.41,42.41,42.41,42.41,0.0
202606231002,42.41,42.41,42.41,42.41,0.0
202606231003,42.41,42.41,42.41,42.41,0.0
202606231004,42.43,42.43,42.43,42.43,1.0
202606231005,42.43,42.43,42.43,42.43,0.0
202606231006,42.43,42.43,42.43,42.43,0.0
202606231007,42.43,42.43,42.43,42.43,0.0
202606231008,42.41,42.44,42.45,42.41,5.0
202606231009,42.44,42.44,42.44,42.44,0.0
202606231010,42.44,42.44,42.44,42.44,0.0
202606231011,42.44,42.44,42.44,42.44,0.0
202606231012,42.42,42.42,42.42,42.42,1.0
202606231013,42.42,42.42,42.42,42.42,0.0
202606231014,42.42,42.42,42.42,42.42,0.0
202606231015,42.42,42.42,42.42,42.42,0.0
202606231016,42.42,42.42,42.42,42.42,0.0
202606231017,42.42,42.42,42.42,42.42,0.0
202606231018,42.41,42.41,42.41,42.41,10.0
202606231019,42.41,42.41,42.41,42.41,0.0
202606231020,42.4,42.37,42.4,42.37,16.0
202606231021,42.35,42.34,42.35,42.34,4.0
202606231022,42.34,42.34,42.34,42.34,0.0
202606231023,42.34,42.34,42.34,42.34,0.0
202606231024,42.32,42.32,42.32,42.32,3.0
202606231025,42.32,42.32,42.32,42.32,0.0
202606231026,42.32,42.32,42.32,42.32,0.0
202606231027,42.32,42.32,42.32,42.32,1.0
202606231028,42.32,42.32,42.32,42.32,0.0
202606231029,42.32,42.33,42.33,42.32,10.0
202606231030,42.32,42.34,42.34,42.32,5.0
202606231031,42.34,42.34,42.34,42.34,0.0
202606231032,42.31,42.31,42.31,42.3,1.0
202606231033,42.3,42.3,42.3,42.3,52.0
202606231034,42.3,42.3,42.3,42.3,0.0
202606231035,42.25,42.25,42.25,42.25,3.0
202606231036,42.25,42.25,42.25,42.25,0.0
202606231037,42.25,42.25,42.25,42.25,0.0
202606231038,42.25,42.25,42.25,42.25,0.0
202606231039,42.25,42.25,42.25,42.25,0.0
202606231040,42.25,42.25,42.25,42.25,0.0
202606231041,42.25,42.25,42.25,42.25,0.0
202606231042,42.25,42.25,42.25,42.25,0.0
202606231043,42.25,42.25,42.25,42.25,0.0
202606231044,42.25,42.25,42.25,42.25,0.0
202606231045,42.31,42.31,42.31,42.31,2.0
202606231046,42.36,42.36,42.36,42.36,3.0
202606231047,42.36,42.36,42.36,42.36,0.0
202606231048,42.36,42.36,42.36,42.36,0.0
202606231049,42.37,42.37,42.37,42.37,7.0
202606231050,42.37,42.37,42.37,42.37,0.0
202606231051,42.37,42.37,42.37,42.37,0.0
202606231052,42.37,42.37,42.37,42.37,8.0
202606231053,42.44,42.45,42.45,42.44,3.0
202606231054,42.45,42.52,42.52,42.45,43.0
202606231055,42.52,42.52,42.52,42.52,0.0
202606231056,42.52,42.52,42.52,42.52,0.0
202606231057,42.54,42.54,42.54,42.54,3.0
202606231058,42.54,42.5,42.54,42.5,18.0
202606231059,42.5,42.5,42.5,42.5,0.0
202606231100,42.57,42.55,42.58,42.54,55.0
202606231101,42.51,42.51,42.51,42.51,2.0
202606231102,42.57,42.57,42.58,42.57,2.0
202606231103,42.57,42.57,42.57,42.57,0.0
202606231104,42.55,42.53,42.55,42.51,8.0
202606231105,42.53,42.53,42.53,42.52,2.0
202606231106,42.52,42.54,42.54,42.52,3.0
202606231107,42.52,42.55,42.55,42.52,6.0
202606231108,42.58,42.58,42.58,42.57,15.0
202606231109,42.53,42.47,42.54,42.47,103.0
202606231110,42.49,42.49,42.49,42.49,3.0
202606231111,42.49,42.46,42.49,42.45,6.0
202606231112,42.5,42.5,42.5,42.5,2.0
202606231113,42.5,42.5,42.5,42.5,0.0
202606231114,42.46,42.46,42.47,42.46,1.0
202606231115,42.51,42.51,42.51,42.51,1.0
202606231116,42.55,42.46,42.55,42.46,4.0
202606231117,42.5,42.5,42.5,42.5,1.0
202606231118,42.46,42.45,42.46,42.45,3.0
202606231119,42.48,42.48,42.49,42.48,10.0
202606231120,42.49,42.5,42.5,42.49,4.0
202606231121,42.58,42.52,42.58,42.51,9.0
202606231122,42.54,42.44,42.56,42.44,3.0
202606231123,42.44,42.44,42.44,42.44,0.0
202606231124,42.44,42.44,42.44,42.44,0.0
202606231125,42.44,42.44,42.44,42.44,0.0
202606231126,42.53,42.53,42.54,42.53,3.0
202606231127,42.58,42.54,42.58,42.54,8.0
202606231128,42.54,42.54,42.54,42.54,0.0
202606231129,42.55,42.54,42.55,42.54,10.0
202606231130,42.57,42.57,42.57,42.56,1.0
202606231131,42.58,42.58,42.58,42.57,3.0
202606231132,42.58,42.57,42.58,42.56,2.0
202606231133,42.55,42.55,42.55,42.55,1.0
202606231134,42.56,42.56,42.57,42.56,1.0
202606231135,42.51,42.54,42.57,42.51,6.0
202606231136,42.56,42.51,42.57,42.51,2.0
202606231137,42.52,42.55,42.57,42.52,7.0
202606231138,42.55,42.55,42.55,42.55,0.0
202606231139,42.55,42.55,42.55,42.55,0.0
202606231140,42.55,42.52,42.55,42.51,6.0
202606231141,42.52,42.52,42.52,42.52,0.0
202606231142,42.52,42.52,42.52,42.52,0.0
202606231143,42.57,42.64,42.64,42.51,20.0
202606231144,42.64,42.64,42.64,42.64,3.0
202606231145,42.64,42.64,42.64,42.63,3.0
202606231146,42.64,42.64,42.64,42.64,1.0
202606231147,42.64,42.64,42.64,42.64,0.0
202606231148,42.64,42.64,42.64,42.64,1.0
202606231149,42.64,42.64,42.64,42.64,0.0
202606231150,42.63,42.59,42.63,42.59,6.0
202606231151,42.59,42.59,42.59,42.59,0.0
202606231152,42.59,42.59,42.59,42.59,0.0
202606231153,42.59,42.59,42.59,42.59,0.0
202606231154,42.59,42.59,42.59,42.59,0.0
202606231155,42.59,42.59,42.59,42.59,0.0
202606231156,42.64,42.65,42.65,42.62,6.0
202606231157,42.63,42.58,42.64,42.58,8.0
202606231158,42.63,42.63,42.64,42.63,1.0
202606231159,42.65,42.58,42.65,42.58,6.0
202606231200,42.64,42.64,42.65,42.64,4.0
202606231201,42.63,42.64,42.64,42.62,5.0
202606231202,42.64,42.64,42.64,42.64,1.0
202606231203,42.64,42.65,42.65,42.64,6.0
202606231204,42.63,42.63,42.63,42.63,1.0
202606231205,42.55,42.55,42.55,42.55,46.0
202606231206,42.56,42.56,42.56,42.55,2.0
202606231207,42.55,42.54,42.55,42.53,41.0
202606231208,42.53,42.54,42.54,42.53,22.0
202606231209,42.59,42.59,42.59,42.59,2.0
202606231210,42.6,42.62,42.62,42.59,18.0
202606231211,42.52,42.52,42.52,42.52,7.0
202606231212,42.52,42.52,42.52,42.52,0.0
202606231213,42.54,42.54,42.54,42.54,1.0
202606231214,42.53,42.57,42.57,42.53,2.0
202606231215,42.6,42.6,42.6,42.59,11.0
202606231216,42.59,42.55,42.6,42.52,28.0
202606231217,42.52,42.52,42.53,42.52,2.0
202606231218,42.53,42.44,42.53,42.44,61.0
202606231219,42.42,42.49,42.5,42.42,23.0
202606231220,42.49,42.45,42.5,42.45,20.0
202606231221,42.42,42.4,42.42,42.4,10.0
202606231222,42.35,42.35,42.35,42.31,15.0
202606231223,42.43,42.43,42.44,42.43,1.0
202606231224,42.37,42.45,42.45,42.37,15.0
202606231225,42.41,42.45,42.45,42.4,5.0
202606231226,42.41,42.35,42.41,42.35,21.0
202606231227,42.42,42.41,42.45,42.41,6.0
202606231228,42.41,42.41,42.41,42.41,0.0
202606231229,42.34,42.38,42.38,42.34,9.0
202606231230,42.38,42.4,42.4,42.38,2.0
202606231231,42.43,42.42,42.43,42.42,6.0
202606231232,42.45,42.4,42.45,42.4,8.0
202606231233,42.42,42.42,42.42,42.41,4.0
202606231234,42.38,42.4,42.4,42.38,5.0
202606231235,42.4,42.37,42.4,42.32,23.0
202606231236,42.35,42.31,42.35,42.31,7.0
202606231237,42.33,42.33,42.35,42.32,6.0
202606231238,42.31,42.31,42.36,42.31,21.0
202606231239,42.3,42.35,42.35,42.28,82.0
202606231240,42.32,42.32,42.33,42.32,40.0
202606231241,42.32,42.32,42.33,42.32,42.0
202606231242,42.31,42.31,42.32,42.31,1.0
202606231243,42.34,42.33,42.34,42.32,6.0
202606231244,42.29,42.29,42.29,42.29,13.0
202606231245,42.29,42.3,42.3,42.24,49.0
202606231246,42.3,42.29,42.3,42.28,39.0
202606231247,42.26,42.26,42.26,42.26,1.0
202606231248,42.26,42.27,42.27,42.25,49.0
202606231249,42.27,42.27,42.27,42.27,2.0
202606231250,42.26,42.25,42.28,42.25,8.0
202606231251,42.24,42.18,42.24,42.18,25.0
202606231252,42.21,42.24,42.25,42.18,12.0
202606231253,42.21,42.21,42.21,42.21,3.0
202606231254,42.23,42.24,42.24,42.2,15.0
202606231255,42.25,42.25,42.25,42.24,2.0
202606231256,42.28,42.26,42.28,42.26,3.0
202606231257,42.27,42.27,42.27,42.27,4.0
202606231258,42.2,42.25,42.26,42.18,48.0
202606231259,42.2,42.2,42.2,42.2,1.0
202606231300,42.2,42.12,42.2,42.12,45.0
202606231301,42.13,42.12,42.15,42.12,45.0
202606231302,42.14,42.1,42.14,42.1,95.0
202606231303,42.11,42.09,42.14,42.09,143.0
202606231304,42.1,42.05,42.1,42.05,48.0
202606231305,42.09,42.1,42.1,42.09,9.0
202606231306,42.13,42.13,42.14,42.13,10.0
202606231307,42.12,42.1,42.12,42.1,9.0
202606231308,42.13,42.12,42.13,42.12,9.0
202606231309,42.1,42.12,42.15,42.1,12.0
202606231310,42.13,42.1,42.14,42.1,2.0
202606231311,42.12,42.1,42.12,42.09,5.0
202606231312,42.09,42.09,42.09,42.08,28.0
202606231313,42.11,42.08,42.14,42.08,11.0
202606231314,42.1,42.08,42.11,42.08,17.0
202606231315,42.14,42.14,42.14,42.14,3.0
202606231316,42.08,42.08,42.11,42.07,6.0
202606231317,42.07,42.07,42.1,42.07,12.0
202606231318,42.07,42.07,42.07,42.07,0.0
202606231319,42.09,42.06,42.09,42.06,5.0
202606231320,42.06,42.09,42.09,42.06,245.0
202606231321,42.07,42.1,42.1,42.07,11.0
202606231322,42.1,42.1,42.1,42.1,1.0
202606231323,42.13,42.13,42.14,42.11,62.0
202606231324,42.14,42.14,42.14,42.14,19.0
202606231325,42.14,42.14,42.14,42.14,5.0
202606231326,42.14,42.14,42.14,42.14,6.0
202606231327,42.14,42.17,42.17,42.13,206.0
202606231328,42.2,42.22,42.22,42.2,5.0
202606231329,42.28,42.44,42.48,42.28,57.0
202606231330,42.39,42.67,42.73,42.32,6906.0
202606231331,42.61,42.8,42.86,42.57,1233.0
202606231332,42.8,42.88,43.03,42.56,1031.0
202606231333,42.88,42.95,43.03,42.88,1077.0
202606231334,42.95,43.16,43.19,42.93,1244.0
202606231335,43.16,42.99,43.17,42.87,881.0
202606231336,42.99,42.91,43.03,42.87,752.0
202606231337,42.91,42.9,42.95,42.83,405.0
202606231338,42.89,42.96,42.96,42.82,735.0
202606231339,42.95,42.88,42.96,42.83,442.0
202606231340,42.88,42.92,42.92,42.85,534.0
202606231341,42.92,43.02,43.03,42.91,569.0
202606231342,43.03,43.07,43.09,43.01,565.0
202606231343,43.07,42.95,43.1,42.93,646.0
202606231344,42.95,42.86,43.02,42.85,304.0
202606231345,42.86,42.89,42.89,42.75,954.0
202606231346,42.89,42.88,42.95,42.88,341.0
202606231347,42.89,42.77,42.89,42.77,432.0
202606231348,42.77,42.88,42.89,42.77,418.0
202606231349,42.88,42.82,42.9,42.79,769.0
202606231350,42.81,42.86,42.87,42.81,281.0
202606231351,42.86,42.86,42.91,42.81,1254.0
202606231352,42.85,42.79,42.9,42.78,260.0
202606231353,42.79,42.86,42.87,42.78,306.0
202606231354,42.86,42.92,42.96,42.84,1135.0
202606231355,42.92,42.96,42.98,42.87,676.0
202606231356,42.95,42.92,42.96,42.9,452.0
202606231357,42.91,42.98,42.99,42.9,376.0
202606231358,42.98,42.93,42.99,42.9,292.0
202606231359,42.93,42.98,43.02,42.93,927.0
202606231400,42.98,42.96,43.02,42.91,488.0
202606231401,42.97,42.96,43.0,42.93,313.0
202606231402,42.96,42.98,42.99,42.93,444.0
202606231403,42.98,42.94,43.0,42.94,299.0
202606231404,42.92,42.94,42.96,42.88,225.0
202606231405,42.94,42.98,43.02,42.93,533.0
202606231406,42.98,42.96,42.98,42.95,209.0
202606231407,42.96,42.98,42.99,42.92,179.0
202606231408,42.98,42.93,42.98,42.92,205.0
202606231409,42.93,42.98,42.99,42.9,447.0
202606231410,42.98,42.92,43.05,42.91,839.0
202606231411,42.92,42.91,42.96,42.9,212.0
202606231412,42.91,42.91,42.93,42.89,269.0
202606231413,42.91,42.91,42.93,42.86,325.0
202606231414,42.91,42.95,42.95,42.89,263.0
202606231415,42.94,42.92,42.95,42.89,243.0
202606231416,42.92,42.94,42.97,42.9,194.0
202606231417,42.95,42.85,42.97,42.83,287.0
202606231418,42.85,42.82,42.86,42.81,187.0
202606231419,42.83,42.79,42.85,42.79,215.0
202606231420,42.8,42.88,42.9,42.8,544.0
202606231421,42.88,42.84,42.88,42.82,167.0
202606231422,42.84,42.88,42.9,42.84,205.0
202606231423,42.88,42.93,42.93,42.87,138.0
202606231424,42.93,42.93,42.96,42.92,147.0
202606231425,42.93,42.91,42.94,42.91,156.0
202606231426,42.91,42.91,42.92,42.88,256.0
202606231427,42.91,42.83,42.93,42.83,268.0
202606231428,42.84,42.88,42.88,42.83,84.0
202606231429,42.87,42.82,42.89,42.78,290.0
202606231430,42.82,42.7,42.83,42.7,571.0
202606231431,42.7,42.7,42.71,42.67,420.0
202606231432,42.69,42.71,42.72,42.67,269.0
202606231433,42.71,42.71,42.74,42.7,220.0
202606231434,42.7,42.7,42.71,42.65,340.0
202606231435,42.7,42.7,42.71,42.67,145.0
202606231436,42.69,42.64,42.69,42.59,949.0
202606231437,42.65,42.66,42.66,42.63,219.0
202606231438,42.66,42.69,42.69,42.64,537.0
202606231439,42.7,42.71,42.71,42.69,195.0
202606231440,42.7,42.63,42.71,42.61,851.0
202606231441,42.63,42.59,42.64,42.57,281.0
202606231442,42.58,42.58,42.6,42.53,509.0
202606231443,42.58,42.66,42.67,42.58,688.0
202606231444,42.66,42.63,42.66,42.62,321.0
