date,open,high,low,close,price,volume
202406170000,132.93,133.73,129.58,130.98,130.98,213768169.0
202406180000,131.14,136.33,130.69,135.58,135.58,230334735.0
202406200000,139.8,140.76,129.52,130.78,130.78,377927010.0
202406210000,127.11,130.63,124.3,126.57,126.57,324491295.0
202406240000,123.24,124.46,118.04,118.11,118.11,342585677.0
202406250000,121.13,126.5,119.32,126.09,126.09,310612679.0
202406260000,126.13,128.12,122.6,126.4,126.4,256536932.0
202406270000,124.09,126.41,122.92,123.99,123.99,182568928.0
202406280000,124.57,127.71,122.75,123.54,123.54,227551840.0
202407010000,123.5,124.84,118.83,124.3,124.3,226458340.0
202407020000,121.11,123.41,121.03,122.67,122.67,164103360.0
202407030000,121.66,128.28,121.36,128.28,128.28,164203109.0
202407050000,127.3,128.85,125.68,125.83,125.83,158243237.0
202407080000,127.49,130.77,127.04,128.2,128.2,183746739.0
202407090000,130.36,133.82,128.65,131.38,131.38,225077441.0
202407100000,134.03,135.1,132.42,134.91,134.91,177365584.0
202407110000,135.76,136.15,127.05,127.4,127.4,273472507.0
202407120000,128.27,131.92,127.22,129.24,129.24,195434732.0
202407150000,130.62,131.39,127.18,128.44,128.44,158914765.0
202407160000,128.44,129.04,124.58,126.36,126.36,160599187.0
202407170000,121.35,121.85,116.72,117.99,117.99,283250700.0
202407180000,121.89,122.4,116.56,121.09,121.09,247559326.0
202407190000,120.35,121.6,117.37,117.93,117.93,152848409.0
202407220000,120.35,124.07,119.86,123.54,123.54,189117939.0
202407230000,122.78,124.69,122.1,122.59,122.59,129757316.0
202407240000,119.19,119.95,113.44,114.25,114.25,227793220.0
202407250000,113.07,116.63,106.3,112.28,112.28,353202854.0
202407260000,116.18,116.2,111.58,113.06,113.06,212467501.0
202407290000,113.69,116.28,111.3,111.59,111.59,192366489.0
202407300000,111.52,111.99,102.54,103.73,103.73,368614125.0
202407310000,112.9,118.34,110.88,117.02,117.02,337444533.0
202408010000,117.52,120.16,106.81,109.21,109.21,404099947.0
202408020000,103.76,108.72,101.4,107.27,107.27,350883122.0
202408050000,92.11,103.41,90.79,100.45,100.45,372866758.0
202408060000,103.84,107.71,100.55,104.25,104.25,296449466.0
202408070000,107.81,108.68,98.69,98.91,98.91,313543181.0
202408080000,102.0,105.5,97.52,104.97,104.97,299731923.0
