datetime,open,close,high,low,volume,status
20240703,121.66,128.28,128.28,121.36,164203100.0,1
20240705,127.3,125.83,128.85,125.68,158243200.0,1
20240708,127.49,128.2,130.77,127.04,183746700.0,1
20240709,130.36,131.38,133.82,128.65,225077400.0,1
20240710,134.03,134.91,135.1,132.42,177365500.0,1
20240711,135.76,127.4,136.15,127.05,273472500.0,1
20240712,128.27,129.24,131.92,127.22,195434700.0,1
20240715,130.62,128.44,131.39,127.18,158914700.0,1
20240716,128.44,126.36,129.04,124.58,160599100.0,1
20240717,121.35,117.99,121.85,116.72,283250700.0,1
20240718,121.89,121.09,122.4,116.56,247559300.0,1
20240719,120.35,117.93,121.6,117.37,152848400.0,1
20240722,120.35,123.54,124.07,119.86,189117900.0,1
20240723,122.78,122.59,124.69,122.1,129757300.0,1
20240724,119.19,114.25,119.95,113.44,227793200.0,1
20240725,113.07,112.28,116.63,106.3,353202800.0,1
20240726,116.18,113.06,116.2,111.58,212467500.0,1
20240729,113.69,111.59,116.28,111.3,192366400.0,1
20240730,111.52,103.73,111.99,102.54,368614100.0,1
20240731,112.9,117.02,118.34,110.88,337444500.0,1
20240801,117.52,109.21,120.16,106.81,404099900.0,1
20240802,103.76,107.27,108.72,101.4,350883100.0,1
20240805,92.11,100.45,103.41,90.79,372866700.0,1
20240806,103.84,104.25,107.71,100.55,296449400.0,1
20240807,107.81,98.91,108.68,98.69,313543100.0,1
20240808,102.0,104.97,105.5,97.52,299731900.0,1
20240809,105.64,104.75,106.6,103.43,231405300.0,1
20240812,106.32,109.02,111.07,106.26,264846800.0,1
20240813,112.44,116.14,116.23,111.58,233556000.0,1
20240814,118.5,118.08,118.6,114.07,265427600.0,1
20240815,118.72,122.86,123.24,117.47,242705400.0,1
20240816,121.94,124.58,125.0,121.18,225841100.0,1
20240819,124.3,130.0,130.0,123.42,249056900.0,1
20240820,128.4,127.25,129.88,125.89,236168100.0,1
20240821,127.3,128.5,129.35,126.66,207680800.0,1
20240822,130.04,123.74,130.75,123.1,292836500.0,1
20240823,125.85,129.37,129.6,125.22,245821800.0,1
20240826,129.56,126.46,131.26,124.37,257293100.0,1
20240827,125.05,128.3,129.2,123.88,234391200.0,1
20240828,128.05,125.61,128.33,122.64,301759800.0,1
20240829,121.38,117.59,124.43,116.71,325743200.0,1
20240830,119.47,119.37,121.75,117.22,247252900.0,1
20240903,116.01,108.0,116.21,107.29,353878200.0,1
20240904,105.4,106.21,109.99,104.12,300265500.0,1
20240905,104.97,107.21,109.65,104.76,236896000.0,1
20240906,108.06,102.83,108.15,100.95,307106200.0,1
20240909,104.86,106.47,106.55,103.69,207564800.0,1
20240910,107.81,108.1,109.4,104.95,211500600.0,1
20240911,109.44,116.91,117.18,107.42,350983500.0,1
20240912,116.84,119.14,120.79,115.38,288861600.0,1
20240913,119.05,119.1,119.96,117.6,185856200.0,1
20240916,116.79,116.78,118.18,114.36,188907100.0,1
20240917,118.17,115.59,118.8,114.83,182258300.0,1
20240918,115.92,113.37,117.7,113.22,238193700.0,1
20240919,117.35,117.87,119.66,117.25,215714300.0,1
20240920,117.06,116.0,118.62,115.39,203036700.0,1
20240923,116.54,116.26,116.99,114.86,154285200.0,1
20240924,116.5,120.87,121.8,115.38,276243500.0,1
20240925,122.02,123.51,124.94,121.61,222264000.0,1
20240926,126.79,124.04,127.67,121.8,235250600.0,1
20240927,123.97,121.4,124.03,119.26,209568200.0,1
20240930,118.3,121.44,121.5,118.15,167541400.0,1
20241001,121.77,117.0,122.44,115.79,230126600.0,1
20241002,116.41,118.85,119.38,115.14,157181700.0,1
20241003,120.88,122.85,124.36,120.34,223461300.0,1
20241004,124.91,124.92,125.01,121.83,190211000.0,1
20241007,124.96,127.72,130.64,124.94,277105000.0,1
20241008,130.24,132.89,133.48,129.42,224616400.0,1
20241009,134.12,132.65,134.52,131.38,196383200.0,1
20241010,131.91,134.81,135.0,131.0,193379100.0,1
20241011,134.02,134.8,135.78,133.66,133037300.0,1
20241014,136.47,138.07,139.6,136.3,176063300.0,1
20241015,137.87,131.6,138.57,128.74,294111800.0,1
20241016,133.96,135.72,136.62,131.59,210104600.0,1
20241017,139.33,136.93,140.89,136.87,233918300.0,1
20241018,138.66,138.0,138.9,137.28,133009500.0,1
20241021,138.13,143.71,143.71,138.0,201273700.0,1
20241022,142.97,143.59,144.42,141.78,172755100.0,1
20241023,142.02,139.56,142.43,137.46,224351300.0,1
20241024,140.82,140.41,141.35,138.46,131692300.0,1
20241025,140.93,141.54,144.13,140.8,161020100.0,1
20241028,143.03,140.52,143.14,140.05,129589000.0,1
20241029,140.26,141.25,142.26,138.9,115322800.0,1
20241030,139.52,139.34,140.33,136.81,122359500.0,1
20241031,137.6,132.76,137.62,132.11,191689900.0,1
20241101,134.7,135.4,137.31,134.58,142065700.0,1
20241104,137.25,136.05,138.96,135.57,141734800.0,1
20241105,137.45,139.91,140.38,137.33,120425900.0,1
20241106,142.96,145.61,146.49,141.99,172489900.0,1
20241107,146.39,148.88,148.93,146.17,139426400.0,1
20241108,148.79,147.63,149.77,146.26,122144500.0,1
20241111,148.68,145.26,148.85,143.57,131553200.0,1
20241112,146.77,148.29,149.63,146.01,140068300.0,1
20241113,149.04,146.27,149.33,145.9,122582000.0,1
20241114,147.64,146.76,149.0,145.55,136843700.0,1
20241115,144.87,141.98,145.24,140.08,166654800.0,1
20241118,139.51,140.15,141.55,137.15,143242300.0,1
20241119,141.32,147.01,147.13,140.99,158331400.0,1
20241120,147.38,145.89,147.56,142.73,193781100.0,1
20241121,149.35,146.67,152.89,140.7,295583500.0,1
20241122,145.93,141.95,147.16,141.1,176953600.0,1
20241125,141.92,136.02,142.03,135.82,195569600.0,1
20241126,137.7,136.92,139.3,135.67,135080300.0,1
20241127,135.01,135.34,137.22,131.8,162940500.0,1
20241129,136.74,138.25,139.35,136.05,92711600.0,1
20241202,138.83,138.63,140.45,137.82,114183700.0,1
20241203,138.26,140.26,140.54,137.98,107666600.0,1
20241204,142.0,145.14,145.79,140.29,168547000.0,1
20241205,145.12,145.06,146.54,143.95,121408800.0,1
20241206,144.6,142.44,145.7,141.31,129455000.0,1
20241209,138.98,138.81,139.95,137.13,122065200.0,1
20241210,139.01,135.07,141.82,133.79,146259000.0,1
20241211,137.36,139.31,140.17,135.21,127827500.0,1
20241212,137.08,137.34,138.44,135.8,109971700.0,1
20241213,138.99,134.25,139.6,132.54,165950700.0,1
20241216,134.17,132.0,134.4,130.42,164201500.0,1
20241217,129.08,130.39,131.59,126.86,174337800.0,1
20241218,133.88,128.91,136.7,128.28,180031200.0,1
20241219,131.76,130.68,134.03,129.55,142102700.0,1
