date,ma200,ma150,ma50
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,-1
20240905,-1,-1,-1
20240906,-1,-1,-1
20240909,-1,-1,-1
20240910,-1,-1,-1
20240911,-1,-1,-1
20240912,-1,-1,117.6272
20240913,-1,-1,117.4528
20240916,-1,-1,117.2744
20240917,-1,-1,117.0098
20240918,-1,-1,116.6566
20240919,-1,-1,116.302
20240920,-1,-1,116.0992
20240923,-1,-1,115.8234
20240924,-1,-1,115.6872
20240925,-1,-1,115.6612
20240926,-1,-1,115.745
20240927,-1,-1,115.7174
20240930,-1,-1,115.7832
20241001,-1,-1,115.6366
20241002,-1,-1,115.6372
20241003,-1,-1,115.7838
20241004,-1,-1,116.0278
20241007,-1,-1,116.3288
20241008,-1,-1,116.7734
20241009,-1,-1,117.2362
20241010,-1,-1,117.5054
20241011,-1,-1,118.031
20241014,-1,-1,118.6578
20241015,-1,-1,119.2112
20241016,-1,-1,119.8908
20241017,-1,-1,120.6856
20241018,-1,-1,121.3216
20241021,-1,-1,122.1162
20241022,-1,-1,122.8044
20241023,-1,-1,123.2732
20241024,-1,-1,123.7288
20241025,-1,-1,124.091
20241028,-1,-1,124.4108
20241029,-1,-1,124.6564
20241030,-1,-1,124.8956
20241031,-1,-1,125.0138
20241101,-1,-1,125.3094
20241104,-1,-1,125.4286
20241105,-1,-1,125.7002
20241106,-1,-1,126.052
20241107,-1,-1,126.702
20241108,-1,-1,127.2824
20241111,-1,-1,127.793
20241112,-1,-1,128.6492
20241113,-1,-1,129.4502
20241114,-1,-1,130.2496
20241115,-1,-1,131.0538
20241118,-1,-1,131.724
20241119,-1,-1,132.5258
20241120,-1,-1,133.037
20241121,-1,-1,133.5726
20241122,-1,-1,134.0328
20241125,-1,-1,134.4036
20241126,-1,-1,134.82
20241127,-1,-1,135.2486
20241129,-1,-1,135.654
20241202,-1,-1,136.0946
20241203,-1,-1,136.588
20241204,-1,-1,137.0448
20241205,-1,-1,137.4412
20241206,-1,-1,137.8128
20241209,-1,-1,138.1602
20241210,-1,-1,138.4404
20241211,-1,-1,138.9002
20241212,-1,-1,139.2674
20241213,-1,-1,139.49
20241216,-1,-1,139.6202
20241217,-1,-1,139.68
20241218,-1,-1,139.65
20241219,-1,-1,139.6076
20241220,-1,-1,139.6168
20241223,-1,-1,139.7094
20241224,-1,-1,139.7436
20241226,-1,-1,139.9104
20241227,-1,-1,139.9322
20241230,-1,-1,139.9144
20241231,-1,-1,139.8402
20250102,-1,-1,139.719
20250103,-1,-1,139.7522
20250106,-1,-1,139.9536
20250107,-1,-1,139.9844
20250108,-1,-1,139.934
20250110,-1,-1,139.8418
20250113,-1,-1,139.7126
20250114,-1,-1,139.5814
20250115,-1,-1,139.6176
20250116,-1,-1,139.508
20250117,-1,-1,139.5524
20250121,-1,-1,139.6122
20250122,-1,-1,139.6104
20250123,-1,-1,139.5496
20250124,-1,-1,139.4398
20250127,-1,-1,138.9482
20250128,-1,-1,138.537
20250129,-1,-1,138.0672
20250130,-1,-1,137.6054
20250131,-1,-1,137.136
20250203,-1,-1,136.6998
20250204,-1,-1,136.121
20250205,-1,-1,135.7702
20250206,-1,128.8715,135.4146
20250207,-1,128.8798,135.1538
20250210,-1,128.9336,135.1228
20250211,-1,128.9621,135.0566
20250212,-1,128.9543,134.9578
20250213,-1,128.9503,134.895
20250214,-1,129.0321,134.9026
20250218,-1,129.0935,134.8692
20250219,-1,129.1629,134.7566
20250220,-1,129.2569,134.6682
20250221,-1,129.3625,134.5296
20250224,-1,129.4225,134.39
20250225,-1,129.4925,134.254
20250226,-1,129.5325,134.0606
20250227,-1,129.5361,133.7036
20250228,-1,129.5997,133.5254
20250303,-1,129.611,133.185
20250304,-1,129.6438,132.9226
20250305,-1,129.6821,132.623
20250306,-1,129.6988,132.2526
20250307,-1,129.6371,131.789
20250310,-1,129.6142,131.1022
20250311,-1,129.6322,130.4952
20250312,-1,129.7216,130.0432
20250313,-1,129.8207,129.639
20250314,-1,129.9797,129.339
20250317,-1,130.0684,129.0434
20250318,-1,130.1351,128.5702
20250319,-1,130.2009,128.0462
20250320,-1,130.2103,127.404
20250321,-1,130.2127,126.9248
20250324,-1,130.1992,126.5726
20250325,-1,130.1751,126.2726
20250326,-1,130.0624,125.8182
20250327,-1,129.9649,125.4178
20250328,-1,129.835,124.8736
20250331,-1,129.7216,124.3474
20250401,-1,129.5921,123.7954
20250402,-1,129.4426,123.0154
20250403,-1,129.274,122.1596
20250404,-1,129.1117,121.0834
20250407,-1,128.9829,120.2266
20250408,-1,128.8101,119.6892
20250409,-1,128.8581,119.3882
20250410,-1,128.8551,119.048
20250411,-1,128.8841,118.7974
20250414,-1,128.93,118.6002
20250415,-1,128.9167,118.3262
20250416,-1,128.8885,118.0188
20250417,-1,128.7861,117.551
20250421,125.884,128.6363,116.9216
20250422,125.7591,128.5279,116.397
20250423,125.6447,128.4348,115.778
20250424,125.5399,128.3833,115.2732
20250425,125.4333,128.3589,114.8704
20250428,125.296,128.294,114.333
20250429,125.1988,128.232,113.6988
20250430,125.1142,128.2111,113.1762
20250501,125.0267,128.1399,112.6182
20250502,124.9683,128.0707,112.1026
20250505,124.9387,128.0033,111.6676
20250506,124.9016,127.9629,111.3386
20250507,124.8959,127.9335,111.106
20250508,124.8645,127.9405,110.8606
20250509,124.8434,127.9121,110.7654
20250512,124.8803,127.9125,110.722
20250513,124.9755,127.9581,111.069
20250514,125.0914,128.0122,111.434
20250515,125.211,128.0235,111.7976
20250516,125.3265,128.0233,112.2096
20250519,125.3983,128.0292,112.6818
20250520,125.5277,128.0267,113.2684
20250521,125.6499,127.9805,113.7028
20250522,125.7963,127.9913,114.0204
20250523,125.9444,127.9623,114.3156
20250527,126.1342,127.9503,114.5976
20250528,126.3101,127.973,115.0354
20250529,126.4753,127.9283,115.4958
20250530,126.6033,127.8695,115.8102
20250602,126.7068,127.8513,116.1964
20250603,126.8278,127.8609,116.6734
20250604,126.9197,127.8625,117.081
20250605,126.9931,127.8539,117.4472
20250606,127.0571,127.8573,118.041
20250609,127.141,127.8895,118.6692
20250610,127.2174,127.9519,119.3644
20250611,127.3058,127.9712,120.0582
20250612,127.381,128.0318,120.7476
20250613,127.4571,128.0427,121.5006
20250616,127.5369,128.0318,122.3254
20250617,127.6702,127.993,123.346
20250618,127.8032,127.9767,124.2638
20250620,127.925,127.9691,125.2698
20250623,128.1256,127.9511,125.928
20250624,128.3311,127.9581,126.759
20250625,128.5723,128.0132,127.6368
20250626,128.8366,128.0975,128.5564
20250627,129.0891,128.2107,129.6062
20250630,129.3387,128.2763,130.689
20250701,129.5199,128.3476,131.7216
20250703,129.7206,128.4366,132.9736
20250707,129.9168,128.5449,134.0838
20250708,130.136,128.7135,135.2398
20250709,130.3756,128.8941,136.3526
20250710,130.6232,129.0814,137.416
20250711,130.8584,129.2598,138.5514
20250714,131.0974,129.4316,139.6934
20250715,131.3679,129.6278,140.838
20250716,131.615,129.805,142.0402
20250717,131.8593,129.9986,143.225
20250718,132.1043,130.2015,144.4072
20250721,132.3565,130.4219,145.5372
20250722,132.5889,130.6384,146.5552
20250723,132.8733,130.8644,147.672
20250724,133.138,131.0949,148.8156
20250725,133.3913,131.3585,149.828
20250728,133.6549,131.6665,150.7454
20250729,133.8949,131.9665,151.5428
20250730,134.1467,132.3123,152.5164
20250731,134.3695,132.6235,153.4082
20250801,134.5582,132.8719,154.145
20250804,134.7896,133.1497,155.0784
20250805,134.9833,133.3965,155.9916
20250806,135.2295,133.6692,156.944
20250807,135.4599,133.9691,157.9526
20250808,135.687,134.2779,158.8972
20250811,135.9075,134.5965,159.7108
20250812,136.0996,134.8931,160.6134
20250813,136.2893,135.1351,161.5488
20250814,136.4976,135.3457,162.4366
20250815,136.696,135.5999,163.2016
20250818,136.9008,135.8897,164.0154
20250819,137.0748,136.1525,164.7378
20250820,137.2469,136.4251,165.416
20250821,137.4317,136.7151,166.0584
20250822,137.6516,136.9962,166.7506
20250825,137.8565,137.306,167.5124
20250826,138.0912,137.6041,168.2694
20250827,138.2699,137.8225,168.9514
20250828,138.4413,138.0516,169.6698
20250829,138.5624,138.2333,170.2706
20250902,138.6731,138.4176,170.7624
20250903,138.8014,138.7524,171.2982
20250904,138.9168,139.0435,171.8142
20250905,139.0136,139.329,172.18
20250908,139.123,139.6288,172.4522
20250909,139.2806,139.9954,172.8296
20250910,139.4634,140.3845,173.2212
