datetime,ma200,ma150,ma50
202607010800,199.4429,199.44,199.409
202607010801,199.4357,199.4324,199.3864
202607010802,199.4282,199.4239,199.3612
202607010803,199.4211,199.4159,199.3386
202607010804,199.4138,199.4075,199.3148
202607010805,199.4065,199.3991,199.2916
202607010806,199.3987,199.3898,199.2643
202607010807,199.3918,199.3817,199.2409
202607010808,199.3847,199.3734,199.2167
202607010809,199.3778,199.3651,199.1901
202607010810,199.3708,199.3563,199.1637
202607010811,199.3642,199.3483,199.138
202607010812,199.3578,199.3406,199.1135
202607010813,199.3515,199.3331,199.0892
202607010814,199.345,199.3259,199.0652
202607010815,199.3388,199.3192,199.0416
202607010816,199.333,199.3124,199.018
202607010817,199.3269,199.3055,198.9926
202607010818,199.3198,199.2983,198.9672
202607010819,199.3129,199.2913,198.942
202607010820,199.3046,199.2831,198.9136
202607010821,199.2969,199.2751,198.8856
202607010822,199.2889,199.2666,198.8572
202607010823,199.2803,199.2576,198.827
202607010824,199.2726,199.2491,198.7984
202607010825,199.2657,199.2406,198.7696
202607010826,199.259,199.2318,198.741
202607010827,199.2526,199.2234,198.7138
202607010828,199.2459,199.2146,198.6864
202607010829,199.2396,199.2061,198.6618
202607010830,199.2341,199.1974,198.6374
202607010831,199.2282,199.1886,198.6116
202607010832,199.2227,199.1789,198.5844
202607010833,199.2167,199.1689,198.5556
202607010834,199.211,199.1596,198.5288
202607010835,199.2056,199.15,198.5034
202607010836,199.2003,199.1402,198.4785
202607010837,199.1942,199.1294,198.4515
202607010838,199.1881,199.1177,198.4241
202607010839,199.182,199.1062,198.397
202607010840,199.1751,199.096,198.3695
202607010841,199.1689,199.0861,198.343
202607010842,199.1634,199.0769,198.3196
202607010843,199.1581,199.068,198.2976
202607010844,199.1528,199.0593,198.2742
202607010845,199.1474,199.0508,198.2513
202607010846,199.1423,199.0423,198.2285
202607010847,199.1369,199.0335,198.2077
202607010848,199.1319,199.0246,198.1873
202607010849,199.1268,199.0157,198.1639
202607010850,199.1219,199.0072,198.1675
202607010851,199.1172,198.9994,198.1717
202607010852,199.1128,198.9917,198.1797
202607010853,199.109,198.9845,198.1884
202607010854,199.1048,198.977,198.1968
202607010855,199.1004,198.9691,198.204
202607010856,199.0958,198.9611,198.2138
202607010857,199.0912,198.9527,198.2196
202607010858,199.0866,198.9446,198.2262
202607010859,199.0823,198.9369,198.234
202607010900,199.0777,198.9294,198.2417
202607010901,199.0733,198.922,198.2485
202607010902,199.0693,198.915,198.2555
202607010903,199.0655,198.9084,198.2627
202607010904,199.0616,198.9018,198.2685
202607010905,199.0572,198.8949,198.2712
202607010906,199.0529,198.8885,198.2744
202607010907,199.0487,198.8812,198.2784
202607010908,199.0445,198.8741,198.2828
202607010909,199.0403,198.8668,198.2874
202607010910,199.0356,198.8583,198.2934
202607010911,199.0312,198.8509,198.2995
202607010912,199.0267,198.8438,198.3073
202607010913,199.0225,198.8376,198.3175
202607010914,199.0177,198.8303,198.3236
202607010915,199.0132,198.8248,198.3312
202607010916,199.0089,198.82,198.3404
202607010917,199.0045,198.8149,198.3475
202607010918,198.9999,198.8102,198.3561
202607010919,198.995,198.8052,198.3619
202607010920,198.9895,198.8,198.3657
202607010921,198.9842,198.7946,198.3709
202607010922,198.9788,198.7892,198.3783
202607010923,198.9732,198.7834,198.386
202607010924,198.9679,198.778,198.3926
202607010925,198.9613,198.7712,198.395
202607010926,198.9546,198.7645,198.3978
202607010927,198.9481,198.7575,198.4042
202607010928,198.9412,198.7517,198.4116
202607010929,198.9345,198.7458,198.4194
202607010930,198.9289,198.7405,198.4276
202607010931,198.9232,198.735,198.4346
202607010932,198.9173,198.7293,198.4387
202607010933,198.9114,198.7184,198.4418
202607010934,198.9057,198.7129,198.445
202607010935,198.9001,198.7074,198.4481
202607010936,198.8944,198.7014,198.4507
202607010937,198.8883,198.6959,198.4527
202607010938,198.8822,198.6903,198.4548
202607010939,198.8761,198.6844,198.4576
202607010940,198.8707,198.6793,198.4614
202607010941,198.8656,198.674,198.464
202607010942,198.8601,198.6688,198.4654
202607010943,198.8548,198.6643,198.4659
202607010944,198.8498,198.6599,198.4681
202607010945,198.8447,198.6558,198.4716
202607010946,198.8395,198.6509,198.4746
202607010947,198.8342,198.6464,198.4786
202607010948,198.829,198.6418,198.4824
202607010949,198.8239,198.6364,198.4851
202607010950,198.8187,198.6307,198.4866
202607010951,198.8135,198.6248,198.488
202607010952,198.8078,198.6185,198.4864
202607010953,198.8034,198.6133,198.4882
202607010954,198.7986,198.6076,198.4892
202607010955,198.7944,198.602,198.493
202607010956,198.7905,198.5963,198.4964
202607010957,198.7859,198.5904,198.5
202607010958,198.7814,198.5845,198.5034
202607010959,198.7771,198.5792,198.508
202607011000,198.7728,198.5744,198.5162
202607011001,198.7687,198.5691,198.5222
202607011002,198.7648,198.564,198.5277
202607011003,198.7613,198.5589,198.5323
202607011004,198.758,198.5543,198.541
202607011005,198.7555,198.5494,198.5474
202607011006,198.7528,198.5441,198.551
202607011007,198.75,198.5389,198.5553
202607011008,198.7476,198.534,198.5596
202607011009,198.7451,198.5295,198.5648
202607011010,198.7423,198.524,198.569
202607011011,198.7394,198.5188,198.5739
202607011012,198.7365,198.5138,198.5787
202607011013,198.7336,198.5086,198.5841
202607011014,198.7305,198.5032,198.5883
202607011015,198.7275,198.4982,198.5963
202607011016,198.725,198.4943,198.6067
202607011017,198.7222,198.4906,198.6161
202607011018,198.7196,198.4863,198.6233
