datetime,open,close,high,low,volume
202606240800,201.01,201.09,201.8,200.04,0.0
202606240801,201.09,201.2,201.8,200.61,0.0
202606240802,201.74,201.22,201.74,201.14,0.0
202606240803,201.0765,201.38,201.39,200.98,0.0
202606240804,201.3529,201.4025,201.5,201.15,0.0
202606240805,201.504,201.5242,201.59,201.3565,0.0
202606240806,201.42,201.42,201.53,201.1,0.0
202606240807,201.42,201.3342,201.5,201.33,0.0
202606240808,201.45,201.46,201.46,201.36,0.0
202606240809,201.45,201.4,201.79,200.67,0.0
202606240810,201.4,201.5,201.5773,201.4,0.0
202606240811,201.45,201.5013,201.5088,201.42,0.0
202606240812,201.47,201.45,201.5962,201.4,0.0
202606240813,201.45,201.495,201.495,201.26,0.0
202606240814,201.4883,201.56,201.59,201.4883,0.0
202606240815,201.5189,201.4,201.59,201.4,0.0
202606240816,201.44,201.45,201.54,201.4073,0.0
202606240817,201.5,201.53,201.53,201.46,0.0
202606240818,201.49,201.5,201.52,201.4,0.0
202606240819,201.48,201.29,201.5,201.29,0.0
202606240820,201.3,201.34,201.35,201.25,0.0
202606240821,201.31,201.23,201.38,201.2,0.0
202606240822,201.24,201.25,201.3088,201.1373,0.0
202606240823,201.25,201.34,201.4488,201.25,0.0
202606240824,201.34,201.27,201.4175,201.1799,0.0
202606240825,201.3,201.29,201.3288,201.1057,0.0
202606240826,201.29,201.2668,201.29,201.2,0.0
202606240827,201.25,201.36,201.3988,201.25,0.0
202606240828,201.33,201.39,201.39,201.33,0.0
202606240829,201.35,201.3785,201.45,201.34,0.0
202606240830,201.3916,201.4,201.44,201.3312,0.0
202606240831,201.4161,201.4141,201.4392,201.4,0.0
202606240832,201.41,201.493,201.5,201.4,0.0
202606240833,201.5,201.4642,201.54,201.4642,0.0
202606240834,201.46,201.4314,201.5143,201.32,0.0
202606240835,201.47,201.38,201.47,201.33,0.0
202606240836,201.44,201.3,201.44,201.24,0.0
202606240837,201.3,201.2522,201.35,201.22,0.0
202606240838,201.3176,201.3,201.34,201.2522,0.0
202606240839,201.31,201.34,201.34,201.22,0.0
202606240840,201.25,201.2925,201.34,201.2022,0.0
202606240841,201.31,201.28,201.39,201.2535,0.0
202606240842,201.3,201.28,201.39,201.2012,0.0
202606240843,201.2642,201.28,201.3,201.24,0.0
202606240844,201.3,201.28,201.39,201.2535,0.0
202606240845,201.28,201.3688,201.3688,201.28,0.0
202606240846,201.3,201.38,201.38,201.24,0.0
202606240847,201.32,201.27,201.3822,201.24,0.0
202606240848,201.28,201.35,201.35,201.2682,0.0
202606240849,201.31,201.3,201.36,201.28,0.0
202606240850,201.3365,201.3,201.34,201.23,0.0
202606240851,201.3068,201.3388,201.3388,201.2717,0.0
202606240852,201.33,201.3386,201.3386,201.223,0.0
202606240853,201.3,201.33,201.39,201.2,0.0
202606240854,201.33,201.28,201.33,201.2,0.0
202606240855,201.35,201.21,201.35,201.2037,0.0
202606240856,201.21,201.26,201.32,201.21,0.0
202606240857,201.26,201.32,201.33,201.26,0.0
202606240858,201.32,201.32,201.35,201.26,0.0
202606240859,201.35,201.33,201.35,201.25,0.0
202606240900,201.318,201.34,201.35,201.28,0.0
202606240901,201.34,201.39,201.39,201.26,0.0
202606240902,201.3882,201.1815,201.39,201.1815,0.0
202606240903,201.21,201.3388,201.3388,201.1982,0.0
202606240904,201.24,201.2709,201.3467,201.22,0.0
202606240905,201.25,201.3,201.3,201.1312,0.0
202606240906,201.3488,201.26,201.3988,201.145,0.0
202606240907,201.26,201.22,201.3,201.1545,0.0
202606240908,201.2268,201.32,201.3272,201.2025,0.0
202606240909,201.33,201.41,201.43,201.33,0.0
202606240910,201.44,201.4977,201.4977,201.41,0.0
202606240911,201.4122,201.49,201.52,201.4122,0.0
202606240912,201.52,201.63,201.63,201.5,0.0
202606240913,201.63,201.62,201.656,201.58,0.0
202606240914,201.58,201.6357,201.66,201.58,0.0
202606240915,201.64,201.6109,201.6487,201.54,0.0
202606240916,201.61,201.5,201.6388,201.5,0.0
202606240917,201.4816,201.576,201.576,201.47,0.0
202606240918,201.54,201.43,201.578,201.4,0.0
202606240919,201.35,201.4656,201.48,201.35,0.0
202606240920,201.48,201.41,201.5,201.41,0.0
202606240921,201.4514,201.41,201.49,201.41,0.0
202606240922,201.45,201.4679,201.48,201.4,0.0
202606240923,201.4853,201.46,201.4996,201.451,0.0
202606240924,201.46,201.449,201.49,201.43,0.0
202606240925,201.44,201.502,201.51,201.44,0.0
202606240926,201.51,201.48,201.5888,201.434,0.0
202606240927,201.55,201.49,201.55,201.4125,0.0
202606240928,201.4531,201.52,201.52,201.4305,0.0
202606240929,201.45,201.41,201.5488,201.41,0.0
202606240930,201.43,201.4,201.4865,201.4,0.0
202606240931,201.4,201.3259,201.49,201.31,0.0
202606240932,201.3877,201.3237,201.4397,201.3146,0.0
202606240933,201.43,201.33,201.43,201.3,0.0
202606240934,201.35,201.4,201.4267,201.3032,0.0
202606240935,201.36,201.35,201.4088,201.3222,0.0
202606240936,201.3635,201.32,201.3635,201.32,0.0
202606240937,201.3788,201.34,201.3788,201.3,0.0
202606240938,201.3141,201.36,201.3758,201.31,0.0
202606240939,201.3569,201.37,201.378,201.3297,0.0
202606240940,201.35,201.3292,201.35,201.3,0.0
202606240941,201.33,201.3439,201.4,201.32,0.0
202606240942,201.3457,201.3758,201.379,201.302,0.0
202606240943,201.34,201.367,201.38,201.3162,0.0
202606240944,201.36,201.3422,201.4965,201.32,0.0
202606240945,201.3,201.235,201.34,201.2,0.0
202606240946,201.25,201.34,201.4447,201.22,0.0
202606240947,201.45,201.3467,201.45,201.3467,0.0
202606240948,201.3792,201.2222,201.3792,201.2222,0.0
202606240949,201.2909,201.234,201.4542,201.1997,0.0
202606240950,201.39,201.36,201.4888,201.3,0.0
202606240951,201.357,201.45,201.4517,201.3541,0.0
202606240952,201.37,201.36,201.4897,201.35,0.0
202606240953,201.39,201.39,201.45,201.32,0.0
202606240954,201.4,201.41,201.4267,201.3244,0.0
202606240955,201.3,201.45,201.45,201.3,0.0
202606240956,201.456,201.46,201.4697,201.44,0.0
202606240957,201.46,201.4565,201.46,201.304,0.0
202606240958,201.45,201.4488,201.45,201.42,0.0
202606240959,201.43,201.45,201.45,201.4,0.0
202606241000,201.43,201.3707,201.4497,201.3,0.0
202606241001,201.33,201.3465,201.3792,201.33,0.0
202606241002,201.33,201.33,201.331,201.29,0.0
202606241003,201.33,201.39,201.43,201.3,0.0
202606241004,201.42,201.3526,201.42,201.34,0.0
202606241005,201.39,201.4214,201.4282,201.352,0.0
202606241006,201.4,201.4453,201.4827,201.3595,0.0
202606241007,201.44,201.3694,201.48,201.3694,0.0
202606241008,201.45,201.44,201.48,201.3852,0.0
202606241009,201.45,201.33,201.45,201.33,0.0
202606241010,201.3,201.4452,201.4452,201.27,0.0
202606241011,201.402,201.4388,201.4401,201.31,0.0
202606241012,201.43,201.3958,201.43,201.32,0.0
202606241013,201.4,201.42,201.4488,201.37,0.0
202606241014,201.44,201.42,201.44,201.3232,0.0
202606241015,201.42,201.4492,201.45,201.333,0.0
202606241016,201.4207,201.44,201.45,201.3232,0.0
202606241017,201.4,201.4475,201.4475,201.3987,0.0
202606241018,201.42,201.4,201.44,201.3232,0.0
202606241019,201.4,201.3201,201.4467,201.3201,0.0
202606241020,201.37,201.32,201.4337,201.32,0.0
202606241021,201.32,201.39,201.4,201.32,0.0
202606241022,201.4488,201.45,201.45,201.36,0.0
202606241023,201.44,201.37,201.4674,201.37,0.0
202606241024,201.322,201.34,201.45,201.322,0.0
202606241025,201.35,201.4648,201.4648,201.3212,0.0
202606241026,201.44,201.46,201.48,201.4362,0.0
202606241027,201.4571,201.47,201.4788,201.41,0.0
202606241028,201.4507,201.47,201.48,201.4507,0.0
202606241029,201.48,201.51,201.5275,201.4325,0.0
202606241030,201.51,201.5017,201.51,201.461,0.0
202606241031,201.5184,201.62,201.63,201.51,0.0
202606241032,201.63,201.56,201.6499,201.55,0.0
202606241033,201.56,201.52,201.58,201.5003,0.0
202606241034,201.5012,201.5178,201.55,201.45,0.0
202606241035,201.45,201.5988,201.5988,201.45,0.0
202606241036,201.55,201.55,201.5948,201.52,0.0
202606241037,201.5,201.56,201.5962,201.46,0.0
202606241038,201.6,201.5,201.6,201.48,0.0
202606241039,201.5,201.54,201.54,201.47,0.0
202606241040,201.54,201.53,201.54,201.45,0.0
202606241041,201.5,201.48,201.54,201.46,0.0
202606241042,201.54,201.6,201.6482,201.48,0.0
202606241043,201.61,201.65,201.65,201.53,0.0
202606241044,201.65,201.67,201.72,201.5612,0.0
202606241045,201.5042,201.59,201.67,201.5042,0.0
202606241046,201.51,201.5843,201.602,201.5,0.0
202606241047,201.5018,201.48,201.5843,201.48,0.0
202606241048,201.58,201.5,201.61,201.45,0.0
202606241049,201.46,201.47,201.4988,201.4512,0.0
202606241050,201.4987,201.3792,201.5,201.37,0.0
202606241051,201.4082,201.35,201.41,201.3,0.0
202606241052,201.3,201.4,201.4227,201.3,0.0
202606241053,201.354,201.45,201.45,201.333,0.0
202606241054,201.45,201.3502,201.45,201.33,0.0
202606241055,201.3312,201.35,201.38,201.3,0.0
202606241056,201.331,201.4,201.46,201.31,0.0
202606241057,201.41,201.33,201.42,201.33,0.0
202606241058,201.33,201.34,201.45,201.33,0.0
202606241059,201.33,201.3937,201.4299,201.33,0.0
202606241100,201.34,201.55,201.6,201.23,0.0
202606241101,201.6,201.395,201.6,201.2701,0.0
202606241102,201.418,201.5,201.51,201.36,0.0
202606241103,201.59,201.55,201.6,201.47,0.0
202606241104,201.56,201.475,201.56,201.4,0.0
202606241105,201.4518,201.34,201.54,201.3,0.0
202606241106,201.34,201.28,201.4,201.252,0.0
202606241107,201.3096,201.25,201.3096,201.2,0.0
202606241108,201.329,201.3,201.33,201.21,0.0
202606241109,201.3,201.22,201.3,201.19,0.0
202606241110,201.17,201.23,201.25,201.15,0.0
202606241111,201.19,201.23,201.25,201.19,0.0
202606241112,201.2,201.1978,201.25,201.12,0.0
202606241113,201.25,201.11,201.25,201.08,0.0
202606241114,201.0913,201.0516,201.2,201.0497,0.0
202606241115,201.07,200.969,201.16,200.91,0.0
202606241116,200.94,200.87,201.0,200.8506,0.0
202606241117,200.9381,200.9,201.0,200.85,0.0
202606241118,200.95,201.1,201.2,200.9,0.0
202606241119,201.0,200.98,201.08,200.9197,0.0
202606241120,200.99,200.92,201.025,200.81,0.0
202606241121,200.8445,201.0072,201.02,200.8112,0.0
202606241122,200.92,200.98,201.085,200.89,0.0
202606241123,201.0,200.96,201.09,200.91,0.0
202606241124,201.0,201.05,201.08,200.9825,0.0
202606241125,201.04,200.98,201.1,200.8932,0.0
202606241126,201.0167,201.02,201.0462,200.89,0.0
202606241127,201.0755,201.01,201.126,200.9,0.0
202606241128,200.97,201.03,201.1362,200.9,0.0
202606241129,201.0,200.9975,201.03,200.9,0.0
202606241130,200.96,201.2196,201.25,200.9482,0.0
202606241131,201.22,201.19,201.29,201.0155,0.0
202606241132,201.2857,201.25,201.29,201.12,0.0
202606241133,201.2867,201.235,201.2872,201.15,0.0
202606241134,201.2,201.25,201.29,201.15,0.0
202606241135,201.29,201.28,201.29,201.16,0.0
202606241136,201.2,201.14,201.24,201.1,0.0
202606241137,201.19,201.26,201.5,201.1012,0.0
202606241138,201.36,201.425,201.425,201.25,0.0
202606241139,201.35,201.26,201.43,201.225,0.0
