datetime,open,close,high,low,volume
202606230800,170.0,170.42,171.83,169.78,96.0
202606230801,170.42,170.09,171.94,169.36,143.0
202606230802,170.39,170.48,170.48,170.39,2.0
202606230803,170.37,170.58,170.58,170.2,13.0
202606230804,170.07,170.2,170.2,170.07,12.0
202606230805,170.06,170.0,170.06,170.0,12.0
202606230806,169.99,171.47,171.96,169.99,33.0
202606230807,171.69,170.75,171.71,170.4,65.0
202606230808,170.4,170.2,171.0,169.7,39.0
202606230809,170.04,170.12,171.0,169.3,141.0
202606230810,169.8,170.16,171.0,169.45,41.0
202606230811,170.4,170.67,171.0,170.04,84.0
202606230812,170.54,170.32,170.78,169.72,16.0
202606230813,170.6,170.68,170.68,170.56,5.0
202606230814,170.66,170.72,170.72,170.5,4.0
202606230815,170.79,170.92,170.92,170.7,7.0
202606230816,170.78,170.35,170.79,170.35,15.0
202606230817,170.56,170.89,170.89,170.56,8.0
202606230818,170.94,171.14,171.2,170.94,31.0
202606230819,171.46,171.31,171.46,171.31,3.0
202606230820,171.12,171.11,171.12,171.11,10.0
202606230821,171.73,171.31,171.73,171.31,107.0
202606230822,171.12,170.98,171.12,170.98,3.0
202606230823,170.98,170.98,170.98,170.98,0.0
202606230824,171.17,170.71,171.17,170.71,5.0
202606230825,170.66,170.66,170.66,170.66,1.0
202606230826,170.5,170.5,170.5,170.5,3.0
202606230827,170.0,170.0,170.35,170.0,17.0
202606230828,170.0,170.22,170.22,170.0,7.0
202606230829,170.09,170.41,170.41,170.09,2.0
202606230830,170.41,170.41,170.41,170.41,0.0
202606230831,170.23,170.23,170.23,170.23,1.0
202606230832,170.59,170.59,170.59,170.59,2.0
202606230833,170.44,170.44,170.44,170.44,1.0
202606230834,170.6,170.6,170.6,170.6,19.0
202606230835,170.6,170.6,170.6,170.6,0.0
202606230836,170.87,170.67,170.87,170.67,2.0
202606230837,170.43,170.43,170.43,170.43,1.0
202606230838,170.52,170.0,170.52,170.0,112.0
202606230839,170.37,169.99,170.37,169.99,70.0
202606230840,169.99,169.99,169.99,169.99,0.0
202606230841,171.12,171.33,171.34,170.79,5.0
202606230842,170.99,171.27,171.27,170.99,16.0
202606230843,171.0,171.0,171.0,171.0,1.0
202606230844,171.0,171.0,171.0,171.0,0.0
202606230845,170.77,170.77,170.77,170.77,1.0
202606230846,170.25,170.25,170.32,170.23,89.0
202606230847,170.25,170.25,170.25,170.0,7.0
202606230848,170.01,170.01,170.01,170.01,1.0
202606230849,170.06,170.05,170.06,170.05,5.0
202606230850,169.85,169.53,170.1,169.28,38.0
202606230851,169.32,169.3,169.52,169.3,12.0
202606230852,169.73,169.5,169.73,169.5,2.0
202606230853,169.5,169.5,169.5,169.5,0.0
202606230854,169.59,169.55,169.75,169.5,14.0
202606230855,169.5,169.65,169.75,169.5,8.0
202606230856,169.67,169.5,169.74,169.5,19.0
202606230857,169.75,169.75,169.75,169.75,3.0
202606230858,169.5,169.41,169.5,169.4,5.0
202606230859,169.52,169.64,169.64,169.52,2.0
202606230900,169.5,169.5,169.55,169.48,18.0
202606230901,169.67,169.6,169.75,169.5,33.0
202606230902,169.74,169.75,169.75,169.74,3.0
202606230903,169.7,169.73,169.75,169.7,4.0
202606230904,169.6,169.6,169.6,169.6,1.0
202606230905,169.6,169.6,169.6,169.6,0.0
202606230906,169.75,169.75,169.75,169.75,9.0
202606230907,169.75,169.6,169.75,169.6,15.0
202606230908,169.56,169.51,169.6,169.51,4.0
202606230909,169.66,169.75,169.75,169.66,2.0
202606230910,169.75,169.75,169.75,169.75,0.0
202606230911,169.75,169.75,169.75,169.75,0.0
202606230912,169.57,169.75,169.75,169.57,15.0
202606230913,169.75,169.75,169.75,169.75,39.0
202606230914,169.75,169.75,169.75,169.6,15.0
202606230915,169.6,169.52,169.6,169.52,4.0
202606230916,169.51,169.73,169.74,169.51,6.0
202606230917,169.73,169.73,169.73,169.73,0.0
202606230918,169.65,169.65,169.65,169.65,10.0
202606230919,169.47,169.68,169.75,169.47,6.0
202606230920,169.73,169.75,169.75,169.73,59.0
202606230921,169.75,169.75,169.75,169.75,29.0
202606230922,169.75,169.75,169.75,169.75,0.0
202606230923,169.7,169.51,169.75,169.51,25.0
202606230924,169.75,169.75,169.75,169.75,6.0
202606230925,169.75,169.75,169.75,169.75,3.0
202606230926,169.75,169.75,169.75,169.75,1.0
202606230927,169.75,169.75,169.75,169.74,6.0
202606230928,169.75,169.7,169.75,169.7,7.0
202606230929,169.75,169.75,169.75,169.75,10.0
202606230930,169.75,169.75,169.75,169.75,0.0
202606230931,169.35,169.35,169.36,169.35,3.0
202606230932,169.35,169.35,169.35,169.35,0.0
202606230933,169.3,169.0,169.6,169.0,20.0
202606230934,169.0,169.0,169.0,169.0,0.0
202606230935,169.0,169.0,169.0,169.0,0.0
202606230936,168.88,168.88,168.88,168.87,28.0
202606230937,168.86,169.03,169.2,168.86,52.0
202606230938,168.73,168.64,168.8,168.6,17.0
202606230939,168.61,168.41,168.61,168.41,12.0
202606230940,168.44,168.21,168.5,168.18,22.0
202606230941,168.11,168.16,168.4,168.11,10.0
202606230942,168.3,168.23,168.3,168.23,6.0
202606230943,168.33,168.33,168.33,168.33,1.0
202606230944,168.32,168.26,168.32,168.26,3.0
202606230945,168.45,168.45,168.45,168.45,1.0
202606230946,168.15,168.15,168.15,168.15,1.0
202606230947,168.15,168.15,168.15,168.15,0.0
202606230948,168.48,168.8,168.8,168.48,15.0
202606230949,168.8,168.8,168.8,168.8,0.0
202606230950,169.0,169.0,169.0,169.0,1.0
202606230951,168.81,168.81,168.81,168.81,1.0
202606230952,168.9,168.9,168.9,168.9,1.0
202606230953,168.9,168.9,168.9,168.9,0.0
202606230954,168.9,169.0,169.0,168.9,10.0
202606230955,169.15,169.15,169.16,169.15,2.0
202606230956,168.84,169.23,169.23,168.84,5.0
202606230957,169.0,169.23,169.23,169.0,2.0
202606230958,169.0,168.98,169.0,168.98,2.0
202606230959,169.0,169.23,169.23,169.0,2.0
202606231000,169.23,169.0,169.23,169.0,8.0
202606231001,169.23,169.12,169.23,169.12,13.0
202606231002,169.23,169.0,169.49,169.0,7.0
202606231003,169.0,169.0,169.0,169.0,0.0
202606231004,169.5,169.23,169.52,169.23,11.0
202606231005,169.32,169.32,169.32,169.32,2.0
202606231006,169.69,169.65,169.69,169.65,2.0
202606231007,169.33,169.33,169.33,169.33,1.0
202606231008,169.34,169.6,169.6,169.33,3.0
202606231009,169.6,169.6,169.6,169.6,0.0
202606231010,169.5,169.6,169.6,169.11,18.0
202606231011,169.65,169.6,169.65,169.52,6.0
202606231012,169.6,169.6,169.6,169.52,13.0
202606231013,169.58,169.58,169.58,169.58,1.0
202606231014,169.7,169.7,169.7,169.62,5.0
202606231015,169.75,169.75,169.75,169.75,1.0
202606231016,169.62,169.75,169.75,169.61,4.0
202606231017,169.75,169.75,169.75,169.61,10.0
202606231018,169.75,169.75,169.75,169.5,3.0
202606231019,169.75,169.78,169.78,169.75,3.0
202606231020,169.78,169.5,169.78,169.5,19.0
202606231021,169.61,169.11,169.61,169.0,75.0
202606231022,169.3,169.31,169.31,169.3,2.0
202606231023,169.31,169.31,169.31,169.31,2.0
202606231024,169.16,169.0,169.16,169.0,7.0
202606231025,168.75,168.75,168.75,168.75,1.0
202606231026,168.75,168.75,168.75,168.75,0.0
202606231027,168.75,168.61,168.75,168.61,3.0
