date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,170.4438
20240905,-1,-1,170.6958
20240906,-1,-1,170.8964
20240909,-1,-1,171.1274
20240910,-1,-1,171.3828
20240911,-1,-1,171.6448
20240912,-1,-1,171.9226
20240913,-1,-1,172.219
20240916,-1,-1,172.4758
20240917,-1,-1,172.768
20240918,-1,-1,173.0488
20240919,-1,-1,173.2766
20240920,-1,-1,173.4246
20240923,-1,-1,173.5368
20240924,-1,-1,173.6572
20240925,-1,-1,173.746
20240926,-1,-1,173.7418
20240927,-1,-1,173.7396
20240930,-1,-1,173.7476
20241001,-1,-1,173.8218
20241002,-1,-1,173.8828
20241003,-1,-1,173.89
20241004,-1,-1,173.8114
20241007,-1,-1,173.7054
20241008,-1,-1,173.6504
20241009,-1,-1,173.6588
20241010,-1,-1,173.6744
20241011,-1,-1,173.6426
20241014,-1,-1,173.6146
20241015,-1,-1,173.6478
20241016,-1,-1,173.6754
20241017,-1,-1,173.7278
20241018,-1,-1,173.7738
20241021,-1,-1,173.8206
20241022,-1,-1,173.8744
20241023,-1,-1,173.8724
20241024,-1,-1,173.853
20241025,-1,-1,173.8278
20241028,-1,-1,173.7732
20241029,-1,-1,173.648
20241030,-1,-1,173.4636
20241031,-1,-1,173.2656
20241101,-1,-1,173.0648
20241104,-1,-1,172.8794
20241105,-1,-1,172.7242
20241106,-1,-1,172.5136
20241107,-1,-1,172.2856
20241108,-1,-1,172.146
20241111,-1,-1,171.9854
20241112,-1,-1,171.7246
20241113,-1,-1,171.4538
20241114,-1,-1,171.1498
20241115,-1,-1,170.7968
20241118,-1,-1,170.4008
20241119,-1,-1,169.9932
20241120,-1,-1,169.6546
20241121,-1,-1,169.3144
20241122,-1,-1,169.0044
20241125,-1,-1,168.701
20241126,-1,-1,168.4042
20241127,-1,-1,168.1376
20241129,-1,-1,167.9076
20241202,-1,-1,167.7406
20241203,-1,-1,167.5352
20241204,-1,-1,167.3394
20241205,-1,-1,167.1652
20241206,-1,-1,166.9268
20241209,-1,-1,166.7164
20241210,-1,-1,166.5152
20241211,-1,-1,166.231
20241212,-1,-1,165.9962
20241213,-1,-1,165.789
20241216,-1,-1,165.546
20241217,-1,-1,165.321
20241218,-1,-1,164.9998
20241219,-1,-1,164.5756
20241220,-1,-1,164.1716
20241223,-1,-1,163.7084
20241224,-1,-1,163.2368
20241226,-1,-1,162.7748
20241227,-1,-1,162.3526
20241230,-1,-1,161.9046
20241231,-1,-1,161.4446
20250102,-1,-1,160.9632
20250103,-1,-1,160.4732
20250106,-1,-1,159.966
20250107,-1,-1,159.44
20250108,-1,-1,158.9266
20250110,-1,-1,158.3814
20250113,-1,-1,157.9242
20250114,-1,-1,157.4906
20250115,-1,-1,157.0744
20250116,-1,-1,156.6862
20250117,-1,-1,156.3244
20250121,-1,-1,155.932
20250122,-1,-1,155.6006
20250123,-1,-1,155.291
20250124,-1,-1,154.9748
20250127,-1,-1,154.765
20250128,-1,-1,154.4862
20250129,-1,165.3681,154.2068
20250130,-1,165.2628,153.9428
