date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,167.8318
20240905,-1,-1,168.0038
20240906,-1,-1,168.1662
20240909,-1,-1,168.355
20240910,-1,-1,168.6078
20240911,-1,-1,168.8288
20240912,-1,-1,169.0232
20240913,-1,-1,169.2288
20240916,-1,-1,169.467
20240917,-1,-1,169.6494
20240918,-1,-1,169.8182
20240919,-1,-1,169.912
20240920,-1,-1,170.0852
20240923,-1,-1,170.2322
20240924,-1,-1,170.4012
20240925,-1,-1,170.5014
20240926,-1,-1,170.5658
20240927,-1,-1,170.6652
20240930,-1,-1,170.7748
20241001,-1,-1,170.8648
20241002,-1,-1,170.9708
20241003,-1,-1,171.0204
20241004,-1,-1,171.0598
20241007,-1,-1,171.0212
20241008,-1,-1,170.9766
20241009,-1,-1,171.1342
20241010,-1,-1,171.291
20241011,-1,-1,171.4002
20241014,-1,-1,171.4488
20241015,-1,-1,171.5552
20241016,-1,-1,171.6516
20241017,-1,-1,171.7094
20241018,-1,-1,171.7182
20241021,-1,-1,171.699
20241022,-1,-1,171.7568
20241023,-1,-1,171.8026
20241024,-1,-1,171.8164
20241025,-1,-1,171.8304
20241028,-1,-1,171.8586
20241029,-1,-1,171.8376
20241030,-1,-1,171.7612
20241031,-1,-1,171.6532
20241101,-1,-1,171.5602
20241104,-1,-1,171.469
20241105,-1,-1,171.3896
20241106,-1,-1,171.2216
20241107,-1,-1,171.1106
20241108,-1,-1,171.062
20241111,-1,-1,170.954
20241112,-1,-1,170.7774
20241113,-1,-1,170.5946
20241114,-1,-1,170.4224
20241115,-1,-1,170.3098
20241118,-1,-1,170.1996
20241119,-1,-1,170.0618
20241120,-1,-1,169.9994
20241121,-1,-1,170.0
20241122,-1,-1,170.047
20241125,-1,-1,170.0448
20241126,-1,-1,170.119
20241127,-1,-1,170.227
20241129,-1,-1,170.3884
20241202,-1,-1,170.4984
20241203,-1,-1,170.527
20241204,-1,-1,170.564
20241205,-1,-1,170.64
20241206,-1,-1,170.6496
20241209,-1,-1,170.5946
20241210,-1,-1,170.5798
20241211,-1,-1,170.5374
20241212,-1,-1,170.512
20241213,-1,-1,170.5318
20241216,-1,-1,170.5794
20241217,-1,-1,170.6406
20241218,-1,-1,170.6574
20241219,-1,-1,170.6498
20241220,-1,-1,170.642
20241223,-1,-1,170.5832
20241224,-1,-1,170.5096
20241226,-1,-1,170.4382
20241227,-1,-1,170.3746
20241230,-1,-1,170.2684
20241231,-1,-1,170.1962
20250102,-1,-1,170.125
20250103,-1,-1,170.0342
20250106,-1,-1,169.8576
20250107,-1,-1,169.6958
20250108,-1,-1,169.5674
20250110,-1,-1,169.355
20250113,-1,-1,169.1922
20250114,-1,-1,169.054
20250115,-1,-1,168.946
20250116,-1,-1,168.8492
20250117,-1,-1,168.7826
20250121,-1,-1,168.722
20250122,-1,-1,168.7852
20250123,-1,-1,168.8372
20250124,-1,-1,168.7664
20250127,-1,-1,168.8336
20250128,-1,-1,168.8402
20250129,-1,169.0858,168.831
20250130,-1,169.0892,168.8414
