datetime,open,close,high,low,volume
20240625,102.42,102.04,102.42,101.35,41540.0
20240626,101.63,102.39,102.39,101.4,27202.0
20240627,102.0,101.57,102.29,101.09,26741.0
20240628,101.53,101.09,101.76,100.92,55310.0
20240701,101.33,101.47,103.29,101.17,20891.0
20240702,101.44,101.64,101.94,101.11,22009.0
20240703,101.78,101.16,101.93,101.11,13006.0
20240705,101.36,102.29,102.35,100.8,26594.0
20240708,101.9,102.59,102.95,101.85,50934.0
20240709,102.65,101.67,102.9,101.62,35834.0
20240710,101.7,102.76,102.92,101.68,21597.0
20240711,102.4,105.05,105.05,102.39,27669.0
20240712,105.2,105.65,106.63,104.85,26266.0
20240715,105.63,105.07,106.13,104.92,24515.0
20240716,105.4,106.12,106.14,104.84,20452.0
20240717,106.3,108.75,108.81,106.11,37497.0
20240718,108.48,107.57,109.18,106.21,36929.0
20240719,107.7,107.5,108.58,106.97,38858.0
20240722,106.84,107.22,107.72,106.64,41716.0
20240723,107.0,109.56,111.36,106.51,59620.0
20240724,109.62,111.44,111.93,109.36,57954.0
20240725,111.8,114.0,114.0,111.37,54917.0
20240726,113.31,113.46,113.62,112.56,39638.0
20240729,113.25,114.4,114.48,112.43,37572.0
20240730,114.38,114.7,114.83,113.62,40915.0
20240731,114.28,115.12,116.27,113.7,39939.0
20240801,115.4,117.46,117.83,114.91,54874.0
20240802,117.13,116.2,119.06,115.0,53542.0
20240805,113.6,114.0,118.5,112.0,85167.0
20240806,113.9,114.0,115.42,113.2,49674.0
20240807,114.26,115.73,116.43,114.2,27111.0
20240808,115.74,116.0,116.87,114.94,25677.0
20240809,115.82,116.0,116.58,115.62,27405.0
20240812,116.14,116.09,116.77,115.25,37290.0
20240813,115.72,118.07,118.07,115.54,37909.0
20240814,117.89,117.47,118.08,117.09,30942.0
20240815,117.22,117.89,117.95,116.6,32953.0
20240816,118.0,118.0,118.4,117.23,28948.0
20240819,118.06,118.45,118.84,117.95,28854.0
20240820,118.17,119.15,119.15,118.09,30355.0
20240821,119.25,120.01,120.09,118.96,25709.0
20240822,120.0,120.5,120.5,119.1,28360.0
20240823,120.1,120.15,120.27,119.57,17597.0
20240826,120.0,121.25,121.6,119.4,21477.0
20240827,121.0,122.83,122.83,120.8,18319.0
20240828,122.34,122.74,123.05,121.95,27330.0
20240829,122.86,122.06,122.86,121.76,28534.0
20240830,122.73,123.02,123.45,122.32,44663.0
20240903,123.4,125.8,126.92,122.33,49278.0
20240904,125.79,126.61,127.41,125.17,41000.0
20240905,126.72,125.0,127.45,124.56,44392.0
20240906,125.16,125.81,126.45,124.53,66302.0
20240909,125.55,127.45,128.22,125.55,31127.0
20240910,127.97,126.63,128.25,125.63,38760.0
20240911,126.0,125.1,126.63,124.22,31708.0
20240912,124.77,124.63,125.5,123.3,43223.0
20240913,125.19,125.63,125.87,124.34,26183.0
20240916,125.99,126.09,126.99,125.34,35879.0
20240917,125.95,123.55,125.97,122.07,43621.0
20240918,122.91,120.97,123.0,120.39,53613.0
20240919,121.02,119.78,122.02,119.4,51707.0
20240920,119.76,120.77,121.0,119.16,126154.0
20240923,121.0,121.24,121.6,120.42,26681.0
20240924,121.1,121.5,121.57,120.13,25578.0
20240925,121.21,121.9,122.76,120.99,51295.0
20240926,120.6,120.97,121.44,119.69,51184.0
20240927,121.02,120.62,121.49,120.56,37301.0
20240930,121.02,121.2,121.77,120.55,58633.0
20241001,121.4,121.3,121.96,120.33,42063.0
20241002,120.27,119.6,120.6,119.27,25147.0
20241003,119.65,117.77,119.65,117.77,33367.0
20241004,117.68,119.17,119.17,117.53,30856.0
20241007,119.17,118.91,119.21,118.28,27091.0
20241008,119.0,118.27,119.79,118.25,19398.0
20241009,118.8,120.18,120.48,118.71,23998.0
20241010,120.14,119.6,121.58,118.5,26876.0
20241011,119.86,120.13,120.17,119.03,18876.0
20241014,120.33,120.08,120.39,119.54,17792.0
20241015,120.04,120.25,121.32,120.03,32515.0
20241016,120.7,121.0,121.0,119.81,19211.0
20241017,120.9,120.14,121.06,119.82,22573.0
20241018,120.0,120.21,120.76,119.04,27412.0
20241021,120.42,119.3,120.44,118.52,36649.0
20241022,119.98,131.24,131.97,119.98,104260.0
20241023,131.77,131.2,131.77,129.03,51282.0
20241024,131.39,131.97,133.0,131.3,41936.0
20241025,132.87,130.5,133.42,129.57,29136.0
20241028,129.5,130.5,130.89,128.74,34130.0
20241029,130.32,131.57,132.13,130.12,40653.0
20241030,131.57,131.8,132.49,131.0,31946.0
20241031,132.03,132.7,134.15,131.63,39677.0
20241101,132.63,130.65,133.27,130.33,45362.0
20241104,130.66,130.33,131.67,129.68,29793.0
20241105,130.33,132.19,132.33,130.09,24400.0
20241106,133.0,125.31,133.5,125.0,76014.0
20241107,126.3,123.95,126.9,123.64,77157.0
20241108,123.78,126.0,126.82,123.5,44021.0
20241111,126.97,124.95,126.99,124.8,37062.0
20241112,125.04,124.05,125.9,123.85,27450.0
20241113,124.22,125.0,126.42,124.05,34278.0
20241114,125.01,128.2,128.36,123.82,51475.0
20241115,127.84,128.75,130.15,127.84,70006.0
20241118,129.02,131.7,131.96,128.6,36380.0
20241119,131.33,129.8,131.69,128.78,42272.0
20241120,129.54,130.39,131.24,128.74,25932.0
20241121,130.81,131.23,132.12,130.4,25514.0
20241122,131.81,130.25,131.85,129.83,29807.0
20241125,130.11,130.5,131.1,129.16,31012.0
20241126,130.73,132.28,132.94,130.53,25644.0
20241127,132.28,131.9,133.5,131.73,27563.0
20241129,131.6,133.0,133.24,131.43,20131.0
20241202,133.01,131.12,133.02,130.76,24705.0
20241203,131.01,129.41,131.95,129.24,30432.0
20241204,129.24,130.48,130.99,128.92,26936.0
20241205,130.02,132.49,133.2,130.01,32630.0
20241206,132.65,130.56,133.0,130.41,33195.0
20241209,130.7,128.71,131.32,127.91,30975.0
20241210,128.31,129.0,129.5,127.73,27857.0
20241211,129.1,127.15,130.0,126.33,60868.0
20241212,126.51,127.0,128.0,126.36,22917.0
20241213,126.78,127.0,127.8,126.0,23657.0
20241216,126.74,125.94,127.47,125.83,20582.0
20241217,125.96,126.04,126.56,125.28,27206.0
20241218,125.59,124.3,125.84,124.0,28415.0
20241219,124.29,122.35,124.69,122.04,43789.0
20241220,122.1,124.22,124.77,122.1,63472.0
20241223,123.88,123.7,124.23,122.06,23739.0
20241224,123.8,122.92,124.1,122.56,22351.0
20241226,122.5,121.71,122.5,121.2,18169.0
20241227,121.68,121.49,121.98,120.9,29202.0
20241230,121.45,119.8,121.45,119.33,24234.0
20241231,120.0,120.8,120.83,119.95,33097.0
20250102,120.81,121.1,122.14,120.24,24670.0
20250103,121.41,122.02,122.32,121.14,23729.0
20250106,122.51,120.5,122.92,120.5,34048.0
20250107,121.09,121.4,121.91,120.64,29264.0
20250108,121.44,121.61,121.92,120.0,26778.0
20250110,121.52,117.24,121.64,116.98,39268.0
20250113,116.57,117.78,118.0,116.12,33265.0
20250114,117.8,118.47,119.0,117.28,24807.0
20250115,119.0,118.4,119.8,117.18,37102.0
