date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,112.5152
20240905,-1,-1,112.9744
20240906,-1,-1,113.4428
20240909,-1,-1,113.9604
20240910,-1,-1,114.4712
20240911,-1,-1,114.9438
20240912,-1,-1,115.4036
20240913,-1,-1,115.893
20240916,-1,-1,116.369
20240917,-1,-1,116.7882
20240918,-1,-1,117.1742
20240919,-1,-1,117.5146
20240920,-1,-1,117.829
20240923,-1,-1,118.1408
20240924,-1,-1,118.4694
20240925,-1,-1,118.785
20240926,-1,-1,119.0294
20240927,-1,-1,119.2904
20240930,-1,-1,119.5644
20241001,-1,-1,119.846
20241002,-1,-1,120.0468
20241003,-1,-1,120.1734
20241004,-1,-1,120.2768
20241007,-1,-1,120.3858
20241008,-1,-1,120.4632
20241009,-1,-1,120.5728
20241010,-1,-1,120.6624
20241011,-1,-1,120.7158
20241014,-1,-1,120.7934
20241015,-1,-1,120.9184
20241016,-1,-1,121.0584
20241017,-1,-1,121.1466
20241018,-1,-1,121.2308
20241021,-1,-1,121.2968
20241022,-1,-1,121.5998
20241023,-1,-1,121.8624
20241024,-1,-1,122.1524
20241025,-1,-1,122.4046
20241028,-1,-1,122.6546
20241029,-1,-1,122.917
20241030,-1,-1,123.17
20241031,-1,-1,123.4238
20241101,-1,-1,123.6268
20241104,-1,-1,123.8304
20241105,-1,-1,124.0492
20241106,-1,-1,124.0988
20241107,-1,-1,124.123
20241108,-1,-1,124.2018
20241111,-1,-1,124.2404
20241112,-1,-1,124.2054
20241113,-1,-1,124.1732
20241114,-1,-1,124.2372
20241115,-1,-1,124.296
20241118,-1,-1,124.381
20241119,-1,-1,124.4444
20241120,-1,-1,124.5502
20241121,-1,-1,124.6822
20241122,-1,-1,124.7746
20241125,-1,-1,124.8628
20241126,-1,-1,125.0374
20241127,-1,-1,125.256
20241129,-1,-1,125.5204
20241202,-1,-1,125.7274
20241203,-1,-1,125.8908
20241204,-1,-1,126.0704
20241205,-1,-1,126.2822
20241206,-1,-1,126.474
20241209,-1,-1,126.6358
20241210,-1,-1,126.7918
20241211,-1,-1,126.9088
20241212,-1,-1,127.0568
20241213,-1,-1,127.2414
20241216,-1,-1,127.3768
20241217,-1,-1,127.5194
20241218,-1,-1,127.64
20241219,-1,-1,127.6834
20241220,-1,-1,127.7758
20241223,-1,-1,127.8472
20241224,-1,-1,127.904
20241226,-1,-1,127.9332
20241227,-1,-1,127.943
20241230,-1,-1,127.9362
20241231,-1,-1,127.948
20250102,-1,-1,127.984
20250103,-1,-1,127.7996
20250106,-1,-1,127.5856
20250107,-1,-1,127.3742
20250108,-1,-1,127.1964
20250110,-1,-1,126.9312
20250113,-1,-1,126.6554
20250114,-1,-1,126.3888
20250115,-1,-1,126.1028
20250116,-1,-1,125.8858
20250117,-1,-1,125.7118
20250121,-1,-1,125.5442
20250122,-1,-1,125.4958
20250123,-1,-1,125.5256
20250124,-1,-1,125.5572
20250127,-1,-1,125.6682
20250128,-1,-1,125.7622
20250129,-1,120.8535,125.8722
20250130,-1,121.0421,125.9146
