datetime,open,close,high,low,volume
202606230810,174.76,174.76,174.76,174.76,1.0
202606230811,174.76,174.76,174.76,174.76,0.0
202606230812,174.76,174.76,174.76,174.76,0.0
202606230813,174.76,174.76,174.76,174.76,0.0
202606230814,174.76,174.76,174.76,174.76,0.0
202606230815,174.76,174.76,174.76,174.76,0.0
202606230816,174.76,174.76,174.76,174.76,0.0
202606230817,174.76,174.76,174.76,174.76,0.0
202606230818,174.76,174.76,174.76,174.76,0.0
202606230819,174.76,174.76,174.76,174.76,0.0
202606230820,174.76,174.76,174.76,174.76,0.0
202606230821,174.76,174.76,174.76,174.76,0.0
202606230822,174.76,174.76,174.76,174.76,0.0
202606230823,174.76,174.76,174.76,174.76,0.0
202606230824,174.76,174.76,174.76,174.76,0.0
202606230825,174.76,174.76,174.76,174.76,0.0
202606230826,174.76,174.76,174.76,174.76,0.0
202606230827,174.76,174.76,174.76,174.76,0.0
202606230828,174.76,174.76,174.76,174.76,0.0
202606230829,174.76,174.76,174.76,174.76,0.0
202606230830,174.76,174.76,174.76,174.76,0.0
202606230831,174.76,174.76,174.76,174.76,0.0
202606230832,174.76,174.76,174.76,174.76,0.0
202606230833,174.76,174.76,174.76,174.76,0.0
202606230834,174.76,174.76,174.76,174.76,0.0
202606230835,174.76,174.76,174.76,174.76,0.0
202606230836,174.76,174.76,174.76,174.76,0.0
202606230837,174.76,174.76,174.76,174.76,0.0
202606230838,174.76,174.76,174.76,174.76,0.0
202606230839,174.76,174.76,174.76,174.76,0.0
202606230840,174.76,174.76,174.76,174.76,0.0
202606230841,174.76,174.76,174.76,174.76,0.0
202606230842,174.76,174.76,174.76,174.76,0.0
202606230843,174.76,174.76,174.76,174.76,0.0
202606230844,174.76,174.76,174.76,174.76,0.0
202606230845,174.76,174.76,174.76,174.76,0.0
202606230846,174.76,174.76,174.76,174.76,0.0
202606230847,174.76,174.76,174.76,174.76,0.0
202606230848,174.76,174.76,174.76,174.76,0.0
202606230849,174.76,174.76,174.76,174.76,0.0
202606230850,174.76,174.76,174.76,174.76,0.0
202606230851,174.76,174.76,174.76,174.76,0.0
202606230852,174.76,174.76,174.76,174.76,0.0
202606230853,174.76,174.76,174.76,174.76,0.0
202606230854,174.76,174.76,174.76,174.76,0.0
202606230855,174.76,174.76,174.76,174.76,0.0
202606230856,174.76,174.76,174.76,174.76,0.0
202606230857,175.48,175.48,175.48,175.48,1.0
202606230858,175.48,175.48,175.48,175.48,0.0
202606230859,175.48,175.48,175.48,175.48,0.0
202606230900,175.48,175.48,175.48,175.48,0.0
202606230901,175.48,175.48,175.48,175.48,0.0
202606230902,175.48,175.48,175.48,175.48,0.0
202606230903,175.48,175.48,175.48,175.48,0.0
202606230904,175.48,175.48,175.48,175.48,0.0
202606230905,175.48,175.48,175.48,175.48,0.0
202606230906,175.48,175.48,175.48,175.48,0.0
202606230907,175.48,175.48,175.48,175.48,0.0
202606230908,175.48,175.48,175.48,175.48,0.0
202606230909,175.48,175.48,175.48,175.48,0.0
202606230910,175.48,175.48,175.48,175.48,0.0
202606230911,175.48,175.48,175.48,175.48,0.0
202606230912,175.48,175.48,175.48,175.48,0.0
202606230913,175.48,175.48,175.48,175.48,0.0
202606230914,175.48,175.48,175.48,175.48,0.0
202606230915,175.48,175.48,175.48,175.48,0.0
202606230916,175.48,175.48,175.48,175.48,0.0
202606230917,175.48,175.48,175.48,175.48,0.0
202606230918,175.48,175.48,175.48,175.48,0.0
202606230919,175.48,175.48,175.48,175.48,0.0
202606230920,175.48,175.48,175.48,175.48,0.0
202606230921,175.48,175.48,175.48,175.48,1.0
202606230922,175.48,175.48,175.48,175.48,0.0
202606230923,175.48,175.48,175.48,175.48,0.0
202606230924,175.48,175.48,175.48,175.48,0.0
202606230925,175.48,175.48,175.48,175.48,0.0
202606230926,175.48,175.48,175.48,175.48,0.0
202606230927,175.48,175.48,175.48,175.48,0.0
202606230928,175.48,175.48,175.48,175.48,0.0
202606230929,175.48,175.48,175.48,175.48,0.0
202606230930,175.48,175.48,175.48,175.48,0.0
202606230931,175.48,175.48,175.48,175.48,0.0
202606230932,175.48,175.48,175.48,175.48,0.0
202606230933,175.48,175.48,175.48,175.48,0.0
