date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,181.784
20240905,-1,-1,181.007
20240906,-1,-1,180.2468
20240909,-1,-1,179.585
20240910,-1,-1,178.822
20240911,-1,-1,178.17
20240912,-1,-1,177.4754
20240913,-1,-1,176.749
20240916,-1,-1,175.9756
20240917,-1,-1,175.174
20240918,-1,-1,174.4028
20240919,-1,-1,173.7004
20240920,-1,-1,173.082
20240923,-1,-1,172.3488
20240924,-1,-1,171.524
20240925,-1,-1,170.7376
20240926,-1,-1,170.342
20240927,-1,-1,169.8942
20240930,-1,-1,169.574
20241001,-1,-1,168.9964
20241002,-1,-1,168.5346
20241003,-1,-1,168.2604
20241004,-1,-1,168.0934
20241007,-1,-1,167.8194
20241008,-1,-1,167.5834
20241009,-1,-1,167.578
20241010,-1,-1,167.379
20241011,-1,-1,167.494
20241014,-1,-1,167.8588
20241015,-1,-1,168.1124
20241016,-1,-1,168.4232
20241017,-1,-1,168.7606
20241018,-1,-1,168.874
20241021,-1,-1,168.966
20241022,-1,-1,169.1808
20241023,-1,-1,169.1312
20241024,-1,-1,169.1572
20241025,-1,-1,169.0954
20241028,-1,-1,169.102
20241029,-1,-1,169.0616
20241030,-1,-1,169.0088
20241031,-1,-1,168.7816
20241101,-1,-1,168.6966
20241104,-1,-1,168.5148
20241105,-1,-1,168.4648
20241106,-1,-1,168.6772
20241107,-1,-1,168.751
20241108,-1,-1,168.7592
20241111,-1,-1,168.608
20241112,-1,-1,168.6072
20241113,-1,-1,168.5102
20241114,-1,-1,168.5026
20241115,-1,-1,168.5708
20241118,-1,-1,168.6396
20241119,-1,-1,168.7042
20241120,-1,-1,168.4288
20241121,-1,-1,168.2348
20241122,-1,-1,168.0162
20241125,-1,-1,167.8346
20241126,-1,-1,167.5878
20241127,-1,-1,167.3418
20241129,-1,-1,167.0428
20241202,-1,-1,166.9256
20241203,-1,-1,166.8692
20241204,-1,-1,166.7836
20241205,-1,-1,166.599
20241206,-1,-1,166.3296
20241209,-1,-1,166.1412
20241210,-1,-1,165.8678
20241211,-1,-1,165.7498
20241212,-1,-1,165.526
20241213,-1,-1,165.319
20241216,-1,-1,165.0932
20241217,-1,-1,164.9152
20241218,-1,-1,164.6712
20241219,-1,-1,164.2676
20241220,-1,-1,164.0076
20241223,-1,-1,163.7676
20241224,-1,-1,163.3888
20241226,-1,-1,163.0626
20241227,-1,-1,162.7826
20241230,-1,-1,162.4482
20241231,-1,-1,162.101
20250102,-1,-1,161.822
20250103,-1,-1,161.5182
20250106,-1,-1,161.3998
20250107,-1,-1,161.2618
20250108,-1,-1,161.027
20250110,-1,-1,160.7206
20250113,-1,-1,160.4286
20250114,-1,-1,160.2462
20250115,-1,-1,160.279
20250116,-1,-1,160.1926
20250117,-1,-1,160.1912
20250121,-1,-1,160.1892
20250122,-1,-1,159.9182
20250123,-1,-1,159.9554
20250124,-1,-1,159.9846
20250127,-1,-1,160.0576
20250128,-1,-1,160.225
20250129,-1,170.256,160.4738
20250130,-1,170.063,160.6794
