date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,81.7816
20240905,-1,-1,82.0288
20240906,-1,-1,82.266
20240909,-1,-1,82.5256
20240910,-1,-1,82.8442
20240911,-1,-1,83.2642
20240912,-1,-1,83.7152
20240913,-1,-1,84.162
20240916,-1,-1,84.5678
20240917,-1,-1,85.0026
20240918,-1,-1,85.4724
20240919,-1,-1,85.9586
20240920,-1,-1,86.4092
20240923,-1,-1,86.82
20240924,-1,-1,87.2502
20240925,-1,-1,87.6572
20240926,-1,-1,88.1034
20240927,-1,-1,88.5662
20240930,-1,-1,88.9352
20241001,-1,-1,89.3488
20241002,-1,-1,89.7522
20241003,-1,-1,90.1798
20241004,-1,-1,90.6466
20241007,-1,-1,91.085
20241008,-1,-1,91.503
20241009,-1,-1,91.8466
20241010,-1,-1,92.167
20241011,-1,-1,92.5674
20241014,-1,-1,92.9484
20241015,-1,-1,93.3622
20241016,-1,-1,93.7624
20241017,-1,-1,94.1704
20241018,-1,-1,94.5916
20241021,-1,-1,94.9698
20241022,-1,-1,95.2828
20241023,-1,-1,95.3194
20241024,-1,-1,95.3744
20241025,-1,-1,95.4222
20241028,-1,-1,95.4824
20241029,-1,-1,95.585
20241030,-1,-1,95.6764
20241031,-1,-1,95.7672
20241101,-1,-1,95.8944
20241104,-1,-1,95.9526
20241105,-1,-1,95.9862
20241106,-1,-1,95.937
20241107,-1,-1,95.9592
20241108,-1,-1,96.0074
20241111,-1,-1,96.1216
20241112,-1,-1,96.2352
20241113,-1,-1,96.3878
20241114,-1,-1,96.5406
20241115,-1,-1,96.6934
20241118,-1,-1,96.8564
20241119,-1,-1,96.9528
20241120,-1,-1,96.9526
20241121,-1,-1,96.9658
20241122,-1,-1,97.0504
20241125,-1,-1,97.1506
20241126,-1,-1,97.2378
20241127,-1,-1,97.3386
20241129,-1,-1,97.4504
20241202,-1,-1,97.5556
20241203,-1,-1,97.679
20241204,-1,-1,97.801
20241205,-1,-1,97.8736
20241206,-1,-1,97.9264
20241209,-1,-1,97.9728
20241210,-1,-1,97.987
20241211,-1,-1,98.0088
20241212,-1,-1,98.0248
20241213,-1,-1,98.0558
20241216,-1,-1,97.984
20241217,-1,-1,97.9054
20241218,-1,-1,97.7884
20241219,-1,-1,97.646
20241220,-1,-1,97.5272
20241223,-1,-1,97.3704
20241224,-1,-1,97.2686
20241226,-1,-1,97.206
20241227,-1,-1,97.1438
20241230,-1,-1,97.048
20241231,-1,-1,96.936
20250102,-1,-1,96.85
20250103,-1,-1,96.8504
20250106,-1,-1,96.758
20250107,-1,-1,96.6722
20250108,-1,-1,96.5752
20250110,-1,-1,96.4564
20250113,-1,-1,96.3798
20250114,-1,-1,96.2884
20250115,-1,-1,96.2048
20250116,-1,-1,96.1116
20250117,-1,-1,96.0726
20250121,-1,-1,96.0828
20250122,-1,-1,96.119
20250123,-1,-1,96.153
20250124,-1,-1,96.1848
20250127,-1,-1,96.1704
20250128,-1,-1,96.2082
20250129,-1,91.5182,96.3852
20250130,-1,91.7177,96.5838
