date,ma200,ma150,ma50
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,-1
20240905,-1,-1,-1
20240906,-1,-1,-1
20240909,-1,-1,-1
20240910,-1,-1,-1
20240911,-1,-1,224.1204
20240912,-1,-1,224.0868
20240913,-1,-1,223.7182
20240916,-1,-1,223.2196
20240917,-1,-1,222.716
20240918,-1,-1,222.0288
20240919,-1,-1,221.6788
20240920,-1,-1,221.7298
20240923,-1,-1,221.7442
20240924,-1,-1,221.7394
20240925,-1,-1,221.7528
20240926,-1,-1,221.8448
20240927,-1,-1,222.0656
20240930,-1,-1,222.5014
20241001,-1,-1,222.596
20241002,-1,-1,223.0154
20241003,-1,-1,223.512
20241004,-1,-1,224.108
20241007,-1,-1,224.527
20241008,-1,-1,224.7574
20241009,-1,-1,225.0896
20241010,-1,-1,225.2296
20241011,-1,-1,225.247
20241014,-1,-1,225.465
20241015,-1,-1,225.7412
20241016,-1,-1,226.2586
20241017,-1,-1,226.8922
20241018,-1,-1,227.283
20241021,-1,-1,227.6506
20241022,-1,-1,228.0466
20241023,-1,-1,228.698
20241024,-1,-1,229.8314
20241025,-1,-1,230.8738
20241028,-1,-1,231.7494
20241029,-1,-1,232.5054
20241030,-1,-1,233.2388
20241031,-1,-1,233.7838
20241101,-1,-1,234.5316
20241104,-1,-1,234.9868
20241105,-1,-1,235.9012
20241106,-1,-1,237.474
20241107,-1,-1,239.4054
20241108,-1,-1,241.7146
20241111,-1,-1,244.601
20241112,-1,-1,246.925
20241113,-1,-1,249.1412
20241114,-1,-1,250.7
20241115,-1,-1,252.8848
20241118,-1,-1,255.3402
20241119,-1,-1,257.7086
20241120,-1,-1,259.9798
20241121,-1,-1,262.1888
20241122,-1,-1,264.6568
20241125,-1,-1,266.8234
20241126,-1,-1,269.0762
20241127,-1,-1,271.176
20241129,-1,-1,273.2024
20241202,-1,-1,275.4706
20241203,-1,-1,277.5266
20241204,-1,-1,279.57
20241205,-1,-1,281.822
20241206,-1,-1,284.636
20241209,-1,-1,287.261
20241210,-1,-1,290.0854
20241211,-1,-1,293.5302
20241212,-1,-1,296.9638
20241213,-1,-1,300.86
20241216,-1,-1,305.299
20241217,-1,-1,309.885
20241218,-1,-1,313.8482
20241219,-1,-1,317.5772
20241220,-1,-1,321.2492
20241223,-1,-1,325.5538
20241224,-1,-1,330.48
20241226,-1,-1,335.1456
20241227,-1,-1,339.3654
20241230,-1,-1,343.1816
20241231,-1,-1,346.8172
20250102,-1,-1,350.1108
20250103,-1,-1,354.0172
20250106,-1,-1,357.4374
20250107,-1,-1,360.1728
20250108,-1,-1,362.6896
20250110,-1,-1,365.3496
20250113,-1,-1,368.4186
20250114,-1,-1,371.2178
20250115,-1,-1,374.7128
20250116,-1,-1,378.0104
20250117,-1,-1,381.7084
20250121,-1,-1,384.9326
20250122,-1,-1,387.4734
20250123,-1,-1,389.733
20250124,-1,-1,391.3864
20250127,-1,-1,392.155
20250128,-1,-1,393.582
20250129,-1,-1,395.0932
20250130,-1,-1,396.959
20250131,-1,-1,398.5846
20250203,-1,-1,399.5648
20250204,-1,-1,400.4618
20250205,-1,295.0897,401.169
20250206,-1,296.0207,401.7866
20250207,-1,296.7465,401.8644
20250210,-1,297.3905,402.1284
20250211,-1,297.8841,401.86
20250212,-1,298.3972,401.9868
20250213,-1,299.0385,402.2342
20250214,-1,299.8201,402.26
20250218,-1,300.525,402.3042
20250219,-1,301.232,402.3866
20250220,-1,301.8769,402.0558
20250221,-1,302.4629,400.9078
20250224,-1,302.9752,399.599
20250225,-1,303.4147,397.6572
20250226,-1,303.6481,394.8182
20250227,-1,304.0152,392.0664
20250228,-1,304.5356,389.2348
20250303,-1,304.9443,385.426
20250304,-1,305.3189,381.5446
20250305,-1,305.6269,378.2752
20250306,-1,305.8686,374.939
20250307,-1,306.0666,371.721
20250310,-1,306.0527,367.3572
20250311,-1,306.2326,362.7528
20250312,-1,306.5512,358.7668
20250313,-1,306.858,354.95
20250314,-1,307.2599,351.7058
20250317,-1,307.4965,348.3894
20250318,-1,307.6807,345.2808
20250319,-1,307.9622,341.8228
20250320,-1,308.1497,338.3138
20250321,-1,308.4743,335.4188
20250324,-1,308.9235,333.2072
20250325,-1,309.3964,331.0902
20250326,-1,309.7058,328.1934
20250327,-1,310.0617,325.7286
20250328,-1,310.3045,322.417
20250331,-1,310.5987,319.254
20250401,-1,310.9133,316.0446
20250402,-1,311.2255,312.8428
20250403,-1,311.6256,309.9294
20250404,-1,311.8452,306.3972
20250407,-1,312.0596,303.0778
20250408,-1,312.0938,299.5254
20250409,-1,312.4955,296.9796
20250410,-1,312.6878,293.829
20250411,-1,312.843,290.87
20250414,-1,313.0937,287.8116
20250415,-1,313.3141,285.0374
20250416,-1,313.4192,282.0872
20250417,291.1628,313.5102,279.3818
20250421,291.1462,313.4993,276.5224
20250422,291.1576,313.6375,274.3912
20250423,291.1622,313.8098,272.4776
20250424,291.2151,314.0482,271.2084
20250425,291.3218,314.4194,270.0954
20250428,291.4414,314.6956,268.6502
20250429,291.6981,315.0209,267.3322
20250430,291.8674,315.2418,265.8946
20250501,291.9812,315.3951,264.2288
20250502,292.1415,315.6043,262.9352
20250505,292.2855,315.7657,261.7532
20250506,292.4292,315.8838,260.7914
20250507,292.609,315.9783,260.1922
20250508,292.776,316.1694,260.1598
20250509,293.1363,316.51,260.4998
20250512,293.6437,317.0209,260.9678
20250513,294.2234,317.5952,262.0606
20250514,294.849,318.2897,263.4394
20250515,295.3986,318.9456,264.7134
20250516,295.9746,319.6029,266.2924
20250519,296.5287,320.295,267.9148
20250520,297.1625,321.1343,270.492
20250521,297.781,321.8863,272.4262
20250522,298.4661,322.7077,274.2108
20250523,299.19,323.5005,276.186
20250527,300.0796,324.4753,278.5386
20250528,300.8995,325.4383,281.1084
20250529,301.6739,326.3483,283.6534
20250530,302.413,327.2018,285.7654
20250602,303.0869,327.8831,287.8982
20250603,303.8053,328.4633,289.7982
20250604,304.3745,328.8747,290.7272
20250605,304.7274,329.0533,290.7202
20250606,305.1058,329.3059,291.3056
20250609,305.5797,329.6933,292.1336
20250610,306.0872,330.1883,293.4352
20250611,306.6474,330.686,294.7936
20250612,307.1261,331.1726,295.7648
20250613,307.6943,331.6254,297.1008
20250616,308.2788,331.8805,298.2386
20250617,308.8403,331.9852,299.8254
20250618,309.416,331.9832,301.4854
20250620,309.9613,331.748,303.5636
20250623,310.6852,331.9386,305.2542
20250624,311.2818,331.9953,307.0638
20250625,311.7655,332.1206,308.5328
20250626,312.3408,332.1595,310.0822
20250627,312.8682,332.0442,311.5304
20250630,313.2912,331.8188,312.9074
20250702,313.7366,331.6556,314.416
20250703,314.1526,331.4739,316.1128
20250707,314.4803,331.0881,317.0088
20250708,314.8381,330.8429,317.9228
20250709,315.1814,330.5498,318.581
20250710,315.5919,330.3971,319.1092
20250711,315.935,330.1792,319.6532
20250714,316.3186,329.9346,320.2116
20250715,316.6161,329.6459,320.739
20250716,316.9492,329.4089,321.6114
20250717,317.2629,329.0766,322.2388
20250718,317.641,328.6427,323.267
20250721,317.9744,328.2121,324.246
20250722,318.331,327.7461,325.389
20250723,318.6383,327.0077,326.045
20250724,318.9323,326.2552,326.1994
20250725,319.315,325.4667,326.1974
20250728,319.6952,324.4939,325.9952
20250729,320.0899,323.4915,325.4904
20250730,320.4601,322.6641,325.0036
20250731,320.7867,321.8566,324.3384
20250801,321.0938,321.0421,323.4904
20250804,321.551,320.2167,322.801
20250805,321.9916,319.1621,322.3074
20250806,322.4964,318.2801,321.8626
20250807,322.9963,317.5399,321.4838
20250808,323.5406,316.9937,320.7366
20250811,324.139,316.5796,320.241
20250812,324.7477,316.2933,319.9456
20250813,325.3551,315.8011,319.8152
20250814,325.8313,315.2959,319.6756
20250815,326.1949,314.8689,319.3896
20250818,326.5354,314.484,319.5176
20250819,326.861,314.0314,320.2838
20250820,327.1841,313.4393,320.819
20250821,327.5038,312.9324,320.935
20250822,327.9568,312.3714,321.262
20250825,328.4354,311.9104,321.6836
20250826,328.9783,311.4017,322.3956
20250827,329.4111,310.9039,322.7682
20250828,329.7061,310.4504,323.1832
20250829,329.8811,309.9304,323.5686
20250902,329.9238,309.4363,323.7456
20250903,329.8086,309.0265,323.9904
20250904,329.8784,308.6439,323.6978
20250905,329.9769,308.2715,323.9218
20250908,330.1664,307.9023,324.304
20250909,330.2978,307.5355,324.7126
20250910,330.3438,307.2701,325.2426
20250911,330.471,307.1407,326.4276
20250912,330.7448,307.27,328.0122
20250915,331.099,307.5365,329.9742
20250916,331.4461,307.9733,332.52
20250917,331.9181,308.5147,335.1436
20250918,332.3073,309.123,337.5796
20250919,332.7628,309.6881,339.8596
20250922,333.2172,310.2116,342.3314
20250923,333.5842,310.6923,344.533
20250924,334.0471,311.2947,347.2504
20250925,334.3785,311.7091,349.2872
20250926,334.732,312.2907,351.6982
20250929,334.967,312.9867,353.94
20250930,335.2158,313.7547,356.2268
20251001,335.5068,314.79,358.7888
20251002,335.5607,315.8082,361.2198
20251003,335.6113,316.7929,363.6796
20251006,335.7011,317.8565,366.4042
20251007,335.5256,318.8921,368.6204
20251008,335.3604,319.9656,370.967
20251009,335.3252,321.0085,373.3084
20251010,335.2251,321.9871,375.3306
20251013,335.2861,323.1411,378.018
20251014,335.2648,324.5673,380.409
20251015,335.1108,325.8968,382.9568
20251016,334.9743,327.0435,385.057
20251017,335.0134,328.3679,387.4338
20251020,335.1882,329.6823,389.7716
20251021,335.3873,331.0533,391.8104
20251022,335.5828,332.3501,393.4512
20251023,335.7496,333.7252,395.595
20251024,335.8657,335.0497,397.5752
20251027,336.173,336.4244,400.0854
20251028,336.5063,337.6061,402.5734
20251029,336.8358,338.7511,405.2492
20251030,336.9932,339.9264,407.6546
20251031,337.2935,341.1484,410.3766
20251103,337.4925,342.5176,412.8556
20251104,337.6187,343.7402,414.7434
20251105,337.7776,345.0219,416.9054
