datetime,ma200,ma150,ma50
202606300956,418.3427,413.3067,404.5834
202606301330,418.3425,413.3063,404.5824
202606301331,418.3488,413.3147,404.6075
202606301332,418.3443,413.3087,404.5895
202606301333,418.3483,413.3141,404.6056
202606301334,418.3482,413.3139,404.6052
202606301335,418.3493,413.3154,404.6096
202606301336,418.3553,413.3234,404.6337
202606301337,418.3543,413.3221,404.6298
202606301338,418.3598,413.3294,404.6517
202606301339,418.3579,413.3269,404.644
202606301340,418.3537,413.3213,404.6272
202606301341,418.3573,413.3261,404.6416
202606301342,418.3549,413.3229,404.632
202606301343,418.348,413.3136,404.6043
202606301344,418.3469,413.3122,404.5999
202606301345,418.3499,413.3162,404.6121
202606301346,418.3541,413.3218,404.6288
202606301347,418.3502,413.3166,404.6132
202606301348,418.3555,413.3237,404.6344
202606301349,418.3542,413.322,404.6294
202606301350,418.3546,413.3225,404.6308
202606301351,418.3619,413.3323,404.6602
202606301352,418.3612,413.3313,404.6574
202606301353,418.3578,413.3267,404.6436
202606301354,418.3583,413.3275,404.6458
202606301355,418.3608,413.3307,404.6556
202606301356,418.3596,413.3291,404.6506
202606301357,418.3588,413.3281,404.6476
202606301358,418.3593,413.3288,404.6498
202606301359,418.3611,413.3311,404.6567
202606301400,418.3568,413.3254,404.6395
202606301401,418.3591,413.3285,404.6488
202606301402,418.3628,413.3334,404.6635
202606301403,418.3654,413.3369,404.674
202606301404,418.3659,413.3375,404.676
202606301405,418.3758,413.3508,404.7158
202606301406,418.3684,413.3409,404.686
202606301407,418.3745,413.349,404.7104
202606301408,418.3721,413.3457,404.7006
202606301409,418.3715,413.345,404.6985
202606301410,418.3682,413.3407,404.6854
202606301411,418.3749,413.3495,404.712
202606301412,418.3778,413.3535,404.7238
202606301413,418.3791,413.3551,404.7287
202606301414,418.38,413.3563,404.7324
202606301415,418.3795,413.3557,404.7305
202606301416,418.378,413.3537,404.7244
202606301417,418.3727,413.3466,404.7033
202606301418,418.3753,413.3501,404.7138
202606301419,418.3784,413.3543,404.7262
202606301420,418.3753,413.3501,404.7136
202606301421,418.376,413.3511,404.7166
202606301422,418.3778,413.3534,404.7236
202606301423,418.3755,413.3503,404.7142
202606301424,418.3758,413.3508,404.7158
202606301425,418.3735,413.3477,404.7065
202606301426,418.3778,413.3534,404.7237
202606301427,418.3788,413.3547,404.7275
202606301428,418.3765,413.3516,404.7183
202606301429,418.3752,413.35,404.7134
202606301430,418.3794,413.3556,404.7302
202606301431,418.379,413.3551,404.7286
202606301432,418.373,413.347,404.7044
202606301433,418.3708,413.344,404.6954
202606301434,418.3769,413.3522,404.7201
202606301435,418.3747,413.3493,404.7114
202606301436,418.3727,413.3467,404.7034
202606301437,418.3711,413.3445,404.6968
202606301438,418.3735,413.3476,404.7062
202606301439,418.3773,413.3528,404.7218
202606301440,418.3769,413.3523,404.7202
202606301441,418.3725,413.3463,404.7024
202606301442,418.3742,413.3487,404.7094
202606301443,418.3748,413.3493,404.7114
202606301444,418.375,413.3497,404.7126
202606301445,418.3739,413.3482,404.708
202606301446,418.3722,413.3459,404.7012
202606301447,418.3726,413.3465,404.7029
202606301448,418.3719,413.3456,404.7002
202606301449,418.3724,413.3462,404.702
202606301450,418.3743,413.3488,404.7097
202606301451,418.374,413.3483,404.7083
202606301452,418.3724,413.3462,404.7021
202606301453,418.3726,413.3464,404.7027
202606301454,418.3689,413.3415,404.688
202606301455,418.3687,413.3413,404.6874
202606301456,418.371,413.3444,404.6966
202606301457,418.373,413.347,404.7043
202606301458,418.372,413.3457,404.7004
202606301459,418.372,413.3457,404.7004
202606301500,418.3744,413.3489,404.7102
202606301501,418.3792,413.3553,404.7294
202606301502,418.3809,413.3575,404.7359
202606301503,418.3792,413.3553,404.7294
202606301504,418.3775,413.353,404.7225
202606301505,418.3754,413.3502,404.7139
202606301506,418.3754,413.3502,404.7139
202606301507,418.3754,413.3502,404.7141
202606301508,418.3756,413.3505,404.7148
202606301509,418.3687,413.3413,404.6874
202606301510,418.3651,413.3365,404.673
202606301511,418.3683,413.3407,404.6854
202606301512,418.3653,413.3367,404.6736
202606301513,418.3679,413.3402,404.684
202606301514,418.3673,413.3394,404.6817
202606301515,418.3674,413.3395,404.682
202606301516,418.3692,413.3419,404.6891
202606301517,418.3698,413.3427,404.6916
202606301518,418.3694,413.3422,404.69
202606301519,418.37,413.343,404.6925
202606301520,418.3772,413.3526,404.7212
202606301521,418.3766,413.3518,404.7189
202606301522,418.3764,413.3516,404.7182
202606301523,418.3774,413.3529,404.722
202606301524,418.3797,413.356,404.7314
202606301525,418.3775,413.3531,404.7226
202606301526,418.3791,413.3551,404.7288
202606301527,418.3792,413.3553,404.7294
