date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,199.9998
20240905,-1,-1,200.1498
20240906,-1,-1,200.2338
20240909,-1,-1,200.3772
20240910,-1,-1,200.4678
20240911,-1,-1,200.6296
20240912,-1,-1,200.5886
20240913,-1,-1,200.6
20240916,-1,-1,200.5994
20240917,-1,-1,200.5834
20240918,-1,-1,200.6102
20240919,-1,-1,200.6534
20240920,-1,-1,200.7234
20240923,-1,-1,200.752
20240924,-1,-1,200.812
20240925,-1,-1,200.7812
20240926,-1,-1,200.8244
20240927,-1,-1,200.8836
20240930,-1,-1,201.031
20241001,-1,-1,201.051
20241002,-1,-1,201.0466
20241003,-1,-1,201.081
20241004,-1,-1,201.1728
20241007,-1,-1,201.1484
20241008,-1,-1,201.1566
20241009,-1,-1,201.1812
20241010,-1,-1,201.1544
20241011,-1,-1,201.3942
20241014,-1,-1,201.8182
20241015,-1,-1,202.1212
20241016,-1,-1,202.4686
20241017,-1,-1,202.754
20241018,-1,-1,202.869
20241021,-1,-1,202.9402
20241022,-1,-1,203.1268
20241023,-1,-1,203.2338
20241024,-1,-1,203.4658
20241025,-1,-1,203.569
20241028,-1,-1,203.683
20241029,-1,-1,203.8588
20241030,-1,-1,203.9766
20241031,-1,-1,203.8718
20241101,-1,-1,203.8786
20241104,-1,-1,203.762
20241105,-1,-1,203.6462
20241106,-1,-1,203.7172
20241107,-1,-1,203.924
20241108,-1,-1,204.0912
20241111,-1,-1,204.1314
20241112,-1,-1,204.3488
20241113,-1,-1,204.3792
20241114,-1,-1,204.4538
20241115,-1,-1,204.5548
20241118,-1,-1,204.6714
20241119,-1,-1,204.6986
20241120,-1,-1,204.6076
20241121,-1,-1,204.638
20241122,-1,-1,204.606
20241125,-1,-1,204.6746
20241126,-1,-1,204.6696
20241127,-1,-1,204.6254
20241129,-1,-1,204.5388
20241202,-1,-1,204.5084
20241203,-1,-1,204.3902
20241204,-1,-1,204.2192
20241205,-1,-1,203.9778
20241206,-1,-1,203.646
20241209,-1,-1,203.3322
20241210,-1,-1,203.0084
20241211,-1,-1,202.8254
20241212,-1,-1,202.5548
20241213,-1,-1,202.3532
20241216,-1,-1,202.0882
20241217,-1,-1,201.8098
20241218,-1,-1,201.4616
20241219,-1,-1,201.0466
20241220,-1,-1,200.7464
20241223,-1,-1,200.4458
20241224,-1,-1,200.1214
20241226,-1,-1,199.9242
20241227,-1,-1,199.7522
20241230,-1,-1,199.5434
20241231,-1,-1,199.3126
20250102,-1,-1,199.155
20250103,-1,-1,198.936
20250106,-1,-1,198.7276
20250107,-1,-1,198.4398
20250108,-1,-1,198.0952
20250110,-1,-1,197.7732
20250113,-1,-1,197.3888
20250114,-1,-1,197.102
20250115,-1,-1,196.9808
20250116,-1,-1,196.6422
20250117,-1,-1,196.4024
20250121,-1,-1,196.2492
20250122,-1,-1,195.9232
20250123,-1,-1,195.4008
20250124,-1,-1,194.707
20250127,-1,-1,194.1306
20250128,-1,-1,193.4896
20250129,-1,199.1227,192.9892
20250130,-1,199.0614,192.5806
