date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,19.1958
20240905,-1,-1,19.2358
20240906,-1,-1,19.2786
20240909,-1,-1,19.3336
20240910,-1,-1,19.3862
20240911,-1,-1,19.436
20240912,-1,-1,19.4912
20240913,-1,-1,19.5498
20240916,-1,-1,19.619
20240917,-1,-1,19.678
20240918,-1,-1,19.7352
20240919,-1,-1,19.7876
20240920,-1,-1,19.842
20240923,-1,-1,19.8958
20240924,-1,-1,19.9558
20240925,-1,-1,20.01
20240926,-1,-1,20.0606
20240927,-1,-1,20.1158
20240930,-1,-1,20.1742
20241001,-1,-1,20.2446
20241002,-1,-1,20.3264
20241003,-1,-1,20.3858
20241004,-1,-1,20.4404
20241007,-1,-1,20.495
20241008,-1,-1,20.555
20241009,-1,-1,20.6146
20241010,-1,-1,20.6542
20241011,-1,-1,20.6924
20241014,-1,-1,20.73
20241015,-1,-1,20.782
20241016,-1,-1,20.8334
20241017,-1,-1,20.8832
20241018,-1,-1,20.9324
20241021,-1,-1,20.9778
20241022,-1,-1,21.0192
20241023,-1,-1,21.0786
20241024,-1,-1,21.1298
20241025,-1,-1,21.1844
20241028,-1,-1,21.2408
20241029,-1,-1,21.296
20241030,-1,-1,21.3484
20241031,-1,-1,21.4084
20241101,-1,-1,21.4606
20241104,-1,-1,21.5042
20241105,-1,-1,21.55
20241106,-1,-1,21.6036
20241107,-1,-1,21.6486
20241108,-1,-1,21.6988
20241111,-1,-1,21.747
20241112,-1,-1,21.7818
20241113,-1,-1,21.8156
20241114,-1,-1,21.8476
20241115,-1,-1,21.8836
20241118,-1,-1,21.9138
20241119,-1,-1,21.9354
20241120,-1,-1,21.9628
20241121,-1,-1,21.9914
20241122,-1,-1,22.0224
20241125,-1,-1,22.0396
20241126,-1,-1,22.0654
20241127,-1,-1,22.0962
20241129,-1,-1,22.1324
20241202,-1,-1,22.1554
20241203,-1,-1,22.2004
20241204,-1,-1,22.2398
20241205,-1,-1,22.2846
20241206,-1,-1,22.3294
20241209,-1,-1,22.36
20241210,-1,-1,22.3906
20241211,-1,-1,22.418
20241212,-1,-1,22.4412
20241213,-1,-1,22.4722
20241216,-1,-1,22.4914
20241217,-1,-1,22.5136
20241218,-1,-1,22.5264
20241219,-1,-1,22.539
20241220,-1,-1,22.5686
20241223,-1,-1,22.5992
20241224,-1,-1,22.6318
20241226,-1,-1,22.6586
20241227,-1,-1,22.6824
20241230,-1,-1,22.6998
20241231,-1,-1,22.7184
20250102,-1,-1,22.7406
20250103,-1,-1,22.7642
20250106,-1,-1,22.7674
20250107,-1,-1,22.7684
20250108,-1,-1,22.7754
20250110,-1,-1,22.7668
20250113,-1,-1,22.7542
20250114,-1,-1,22.7488
20250115,-1,-1,22.7376
20250116,-1,-1,22.7352
20250117,-1,-1,22.7428
20250121,-1,-1,22.7508
20250122,-1,-1,22.7514
20250123,-1,-1,22.76
20250124,-1,-1,22.7678
20250127,-1,-1,22.802
20250128,-1,-1,22.846
20250129,-1,21.2991,22.8858
20250130,-1,21.3347,22.9208
