datetime,open,close,high,low,volume
202606230800,22.24,22.21,22.24,22.16,12.0
202606230801,22.21,22.15,22.21,22.15,27.0
202606230802,22.27,22.27,22.27,22.27,3.0
202606230803,22.27,22.27,22.27,22.27,1.0
202606230804,22.28,22.32,22.32,22.28,111.0
202606230805,22.32,22.32,22.32,22.32,0.0
202606230806,22.32,22.32,22.32,22.32,0.0
202606230807,22.15,22.15,22.15,22.15,9.0
202606230808,22.16,22.16,22.16,22.16,3.0
202606230809,22.17,22.17,22.2,22.17,11.0
202606230810,22.21,22.21,22.3,22.2,23.0
202606230811,22.23,22.25,22.31,22.21,169.0
202606230812,22.23,22.27,22.27,22.23,30.0
202606230813,22.27,22.27,22.27,22.27,0.0
202606230814,22.27,22.27,22.27,22.27,0.0
202606230815,22.27,22.27,22.27,22.27,0.0
202606230816,22.27,22.27,22.27,22.27,0.0
202606230817,22.27,22.27,22.27,22.27,0.0
202606230818,22.27,22.27,22.27,22.27,0.0
202606230819,22.27,22.27,22.27,22.27,0.0
202606230820,22.3,22.3,22.3,22.3,1.0
202606230821,22.36,22.36,22.36,22.36,11.0
202606230822,22.36,22.36,22.36,22.36,0.0
202606230823,22.36,22.36,22.36,22.36,0.0
202606230824,22.36,22.36,22.36,22.36,0.0
202606230825,22.36,22.36,22.36,22.36,0.0
202606230826,22.34,22.34,22.34,22.34,5.0
202606230827,22.34,22.34,22.34,22.34,0.0
202606230828,22.34,22.34,22.34,22.34,0.0
202606230829,22.34,22.34,22.34,22.34,0.0
202606230830,22.39,22.39,22.39,22.39,3.0
202606230831,22.39,22.39,22.39,22.39,0.0
202606230832,22.39,22.39,22.39,22.39,0.0
202606230833,22.39,22.39,22.39,22.39,0.0
202606230834,22.37,22.37,22.37,22.37,1.0
202606230835,22.37,22.37,22.37,22.37,0.0
202606230836,22.37,22.37,22.37,22.37,0.0
202606230837,22.37,22.37,22.37,22.37,0.0
202606230838,22.37,22.37,22.37,22.37,0.0
202606230839,22.37,22.37,22.37,22.37,0.0
202606230840,22.34,22.34,22.34,22.34,2.0
202606230841,22.34,22.34,22.34,22.34,0.0
202606230842,22.34,22.34,22.34,22.34,0.0
202606230843,22.34,22.34,22.34,22.34,0.0
202606230844,22.34,22.34,22.34,22.34,0.0
202606230845,22.34,22.35,22.35,22.34,9.0
202606230846,22.35,22.35,22.35,22.35,0.0
202606230847,22.35,22.35,22.35,22.35,0.0
202606230848,22.35,22.35,22.35,22.35,0.0
202606230849,22.35,22.35,22.35,22.35,0.0
202606230850,22.35,22.35,22.35,22.35,0.0
202606230851,22.25,22.25,22.25,22.25,3.0
202606230852,22.25,22.25,22.25,22.25,0.0
202606230853,22.25,22.25,22.25,22.25,0.0
202606230854,22.25,22.25,22.25,22.25,0.0
202606230855,22.25,22.25,22.25,22.25,0.0
202606230856,22.25,22.25,22.25,22.25,0.0
202606230857,22.25,22.25,22.25,22.25,0.0
202606230858,22.35,22.35,22.36,22.35,1.0
202606230859,22.35,22.35,22.35,22.35,0.0
202606230900,22.35,22.35,22.35,22.35,0.0
202606230901,22.35,22.35,22.35,22.35,0.0
202606230902,22.35,22.35,22.35,22.35,0.0
202606230903,22.35,22.35,22.35,22.35,0.0
202606230904,22.35,22.35,22.35,22.35,0.0
202606230905,22.35,22.35,22.35,22.35,0.0
202606230906,22.38,22.38,22.38,22.38,1.0
202606230907,22.38,22.38,22.38,22.38,0.0
202606230908,22.38,22.38,22.38,22.38,0.0
202606230909,22.38,22.38,22.38,22.38,0.0
202606230910,22.38,22.38,22.38,22.38,0.0
202606230911,22.38,22.38,22.38,22.38,0.0
202606230912,22.38,22.38,22.38,22.38,0.0
202606230913,22.31,22.3,22.31,22.3,4.0
202606230914,22.3,22.3,22.3,22.3,0.0
202606230915,22.3,22.3,22.3,22.3,0.0
202606230916,22.3,22.3,22.3,22.3,0.0
202606230917,22.3,22.3,22.3,22.3,0.0
202606230918,22.3,22.3,22.3,22.3,0.0
202606230919,22.3,22.3,22.3,22.3,0.0
202606230920,22.3,22.3,22.3,22.3,0.0
202606230921,22.3,22.3,22.3,22.3,0.0
202606230922,22.3,22.3,22.3,22.3,0.0
202606230923,22.3,22.3,22.3,22.3,0.0
202606230924,22.31,22.31,22.32,22.31,2.0
202606230925,22.31,22.31,22.31,22.31,0.0
202606230926,22.35,22.35,22.35,22.35,1.0
202606230927,22.35,22.35,22.35,22.35,0.0
202606230928,22.35,22.35,22.35,22.35,0.0
202606230929,22.35,22.35,22.35,22.35,0.0
202606230930,22.35,22.35,22.35,22.35,0.0
202606230931,22.35,22.35,22.35,22.35,0.0
202606230932,22.35,22.35,22.35,22.35,0.0
202606230933,22.35,22.35,22.35,22.35,0.0
202606230934,22.35,22.35,22.35,22.35,0.0
202606230935,22.35,22.35,22.35,22.35,0.0
202606230936,22.35,22.35,22.35,22.35,0.0
202606230937,22.35,22.35,22.35,22.35,0.0
202606230938,22.35,22.35,22.35,22.35,0.0
202606230939,22.35,22.35,22.35,22.35,0.0
202606230940,22.35,22.35,22.35,22.35,0.0
202606230941,22.35,22.35,22.35,22.35,0.0
202606230942,22.35,22.35,22.35,22.35,0.0
202606230943,22.35,22.35,22.35,22.35,0.0
202606230944,22.35,22.35,22.35,22.35,0.0
202606230945,22.35,22.35,22.35,22.35,0.0
202606230946,22.3,22.3,22.3,22.3,8.0
202606230947,22.3,22.3,22.3,22.3,0.0
202606230948,22.3,22.3,22.3,22.3,0.0
202606230949,22.3,22.3,22.3,22.3,0.0
202606230950,22.3,22.3,22.3,22.3,0.0
202606230951,22.3,22.3,22.3,22.3,0.0
202606230952,22.3,22.3,22.3,22.3,0.0
202606230953,22.3,22.3,22.3,22.3,0.0
202606230954,22.3,22.3,22.3,22.3,0.0
202606230955,22.3,22.3,22.3,22.3,0.0
202606230956,22.3,22.3,22.3,22.3,0.0
202606230957,22.3,22.3,22.3,22.3,0.0
202606230958,22.3,22.3,22.3,22.3,0.0
202606230959,22.3,22.3,22.3,22.3,0.0
202606231000,22.3,22.3,22.3,22.3,0.0
202606231001,22.3,22.3,22.3,22.3,0.0
202606231002,22.3,22.3,22.3,22.3,0.0
202606231003,22.3,22.3,22.3,22.3,0.0
202606231004,22.3,22.3,22.3,22.3,0.0
202606231005,22.3,22.3,22.3,22.3,0.0
202606231006,22.3,22.3,22.3,22.3,0.0
202606231007,22.3,22.3,22.3,22.3,0.0
202606231008,22.3,22.3,22.3,22.3,0.0
202606231009,22.3,22.3,22.3,22.3,0.0
202606231010,22.3,22.3,22.3,22.3,0.0
202606231011,22.3,22.3,22.3,22.3,0.0
202606231012,22.3,22.3,22.3,22.3,0.0
202606231013,22.3,22.3,22.3,22.3,0.0
202606231014,22.28,22.28,22.28,22.28,1.0
202606231015,22.28,22.28,22.28,22.28,0.0
202606231016,22.28,22.28,22.28,22.28,0.0
202606231017,22.32,22.32,22.32,22.32,9.0
202606231018,22.33,22.33,22.33,22.33,5.0
202606231019,22.33,22.33,22.33,22.33,0.0
202606231020,22.33,22.33,22.33,22.33,0.0
202606231021,22.33,22.33,22.33,22.33,0.0
202606231022,22.33,22.33,22.33,22.33,0.0
202606231023,22.33,22.33,22.33,22.33,0.0
202606231024,22.3,22.3,22.3,22.3,1.0
202606231025,22.3,22.3,22.3,22.3,0.0
202606231026,22.3,22.3,22.3,22.3,0.0
202606231027,22.32,22.34,22.34,22.32,28.0
202606231028,22.34,22.34,22.34,22.34,0.0
202606231029,22.34,22.34,22.34,22.34,0.0
202606231030,22.34,22.34,22.34,22.34,0.0
202606231031,22.34,22.34,22.34,22.34,0.0
202606231032,22.34,22.34,22.34,22.34,0.0
202606231033,22.38,22.38,22.38,22.38,1.0
202606231034,22.38,22.38,22.38,22.38,0.0
202606231035,22.38,22.38,22.38,22.38,0.0
202606231036,22.38,22.38,22.38,22.38,0.0
202606231037,22.38,22.38,22.38,22.38,0.0
202606231038,22.38,22.38,22.38,22.38,0.0
202606231039,22.38,22.38,22.38,22.38,0.0
202606231040,22.38,22.38,22.38,22.38,0.0
202606231041,22.38,22.38,22.38,22.38,0.0
202606231042,22.38,22.38,22.38,22.38,0.0
202606231043,22.38,22.38,22.38,22.38,0.0
202606231044,22.38,22.38,22.38,22.38,0.0
202606231045,22.38,22.38,22.38,22.38,0.0
202606231046,22.38,22.38,22.38,22.38,0.0
202606231047,22.38,22.38,22.38,22.38,0.0
202606231048,22.34,22.36,22.36,22.34,4.0
202606231049,22.36,22.36,22.36,22.36,0.0
202606231050,22.36,22.36,22.36,22.36,0.0
202606231051,22.33,22.36,22.36,22.33,25.0
202606231052,22.36,22.36,22.36,22.36,0.0
202606231053,22.36,22.36,22.36,22.36,0.0
202606231054,22.36,22.36,22.36,22.36,0.0
202606231055,22.36,22.36,22.36,22.36,0.0
202606231056,22.36,22.36,22.36,22.36,0.0
202606231057,22.36,22.36,22.36,22.36,0.0
202606231058,22.36,22.36,22.36,22.36,0.0
202606231059,22.36,22.36,22.36,22.36,0.0
202606231100,22.29,22.32,22.32,22.28,75.0
202606231101,22.32,22.29,22.32,22.28,43.0
202606231102,22.29,22.29,22.29,22.29,0.0
202606231103,22.27,22.31,22.31,22.27,65.0
202606231104,22.3,22.31,22.32,22.3,15.0
202606231105,22.31,22.31,22.31,22.31,0.0
202606231106,22.3,22.3,22.3,22.3,1.0
202606231107,22.3,22.31,22.31,22.3,7.0
202606231108,22.31,22.31,22.31,22.31,0.0
202606231109,22.31,22.31,22.31,22.31,10.0
202606231110,22.3,22.31,22.31,22.3,13.0
202606231111,22.3,22.3,22.31,22.3,1.0
202606231112,22.3,22.3,22.3,22.3,0.0
202606231113,22.32,22.32,22.32,22.32,20.0
202606231114,22.33,22.35,22.35,22.3,17.0
202606231115,22.35,22.35,22.35,22.35,0.0
202606231116,22.35,22.35,22.35,22.35,0.0
202606231117,22.31,22.31,22.31,22.31,10.0
202606231118,22.33,22.33,22.33,22.33,4.0
202606231119,22.32,22.3,22.32,22.3,3.0
202606231120,22.32,22.32,22.32,22.31,59.0
202606231121,22.32,22.32,22.33,22.32,5.0
202606231122,22.33,22.33,22.33,22.33,1.0
202606231123,22.32,22.32,22.33,22.32,15.0
202606231124,22.3,22.3,22.31,22.3,3.0
202606231125,22.32,22.32,22.32,22.32,1.0
202606231126,22.32,22.32,22.32,22.32,0.0
202606231127,22.31,22.31,22.32,22.31,1.0
202606231128,22.31,22.31,22.31,22.31,0.0
202606231129,22.31,22.31,22.31,22.31,0.0
202606231130,22.31,22.31,22.31,22.31,2.0
202606231131,22.31,22.31,22.31,22.31,0.0
202606231132,22.31,22.31,22.31,22.31,0.0
202606231133,22.31,22.31,22.31,22.31,0.0
202606231134,22.32,22.35,22.35,22.32,307.0
