datetime,open,close,high,low,volume
20240625,491.0,484.5,492.0,480.6,49183.0
20240626,484.5,484.04,487.44,481.47,46638.0
20240627,484.35,487.42,488.98,482.05,46686.0
20240628,487.0,508.67,510.0,486.38,360619.0
20240701,508.0,494.95,508.91,492.89,75427.0
20240702,493.5,496.41,498.47,493.33,51868.0
20240703,499.75,490.91,499.75,486.52,37589.0
20240705,489.04,488.89,489.67,484.5,62021.0
20240708,487.0,489.34,493.88,486.17,57811.0
20240709,488.35,491.0,495.4,486.09,52502.0
20240710,492.0,499.94,501.5,490.0,50431.0
20240711,499.99,504.36,508.73,497.0,58659.0
20240712,506.4,512.0,514.57,503.43,57292.0
20240715,518.49,518.49,530.83,513.8,77563.0
20240716,519.36,548.4,549.92,501.5,188939.0
20240717,549.0,573.02,574.49,548.93,175085.0
20240718,570.0,563.02,581.5,561.42,115215.0
20240719,559.89,564.4,569.9,557.04,75311.0
20240722,561.0,558.53,564.25,557.0,53819.0
20240723,557.15,557.78,558.84,552.81,37813.0
20240724,556.0,559.75,561.13,553.02,55729.0
20240725,559.0,557.96,569.89,555.0,48833.0
20240726,558.0,569.78,579.13,556.26,49940.0
20240729,574.97,566.75,574.97,561.76,49222.0
20240730,566.9,577.0,579.43,565.99,73883.0
20240731,574.0,576.18,580.91,558.0,80185.0
20240801,576.16,572.02,587.5,567.1,58179.0
20240802,574.5,587.7,591.54,571.0,89158.0
20240805,577.78,574.94,599.0,566.76,72791.0
20240806,568.21,567.99,577.52,562.53,52130.0
20240807,567.99,566.08,571.65,557.02,77805.0
20240808,564.37,566.24,572.45,564.37,47272.0
20240809,566.24,558.76,566.24,557.63,42148.0
20240812,559.22,565.29,569.0,559.22,43486.0
20240813,565.99,573.0,575.73,565.99,37454.0
20240814,575.24,579.67,581.12,573.26,38492.0
20240815,581.6,580.0,583.34,573.51,50786.0
20240816,580.92,578.12,581.65,574.1,32355.0
20240819,578.62,578.78,583.3,577.0,21981.0
20240820,579.85,580.65,583.81,575.5,26174.0
20240821,582.12,579.0,583.39,576.91,30594.0
20240822,580.0,578.75,582.95,570.62,32148.0
20240823,578.25,584.51,585.21,578.25,37395.0
20240826,588.05,587.13,592.09,585.74,20735.0
20240827,589.47,587.35,592.34,583.78,24224.0
20240828,589.01,590.0,592.84,583.87,25264.0
20240829,590.68,591.57,592.61,584.37,31144.0
20240830,590.58,590.5,593.26,586.59,47794.0
20240903,590.5,600.0,600.66,590.5,50365.0
20240904,601.72,606.95,607.94,597.88,45075.0
20240905,605.76,595.49,606.5,589.67,29550.0
20240906,595.5,596.0,600.61,592.26,49602.0
20240909,598.32,594.1,599.48,575.27,53929.0
20240910,595.21,599.03,604.8,591.15,35486.0
20240911,596.0,589.75,596.0,578.97,48055.0
20240912,591.0,588.42,591.0,583.21,53189.0
20240913,591.41,592.0,597.68,587.23,34808.0
20240916,594.09,587.76,598.79,587.76,40775.0
