date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,552.9698
20240905,-1,-1,555.1896
20240906,-1,-1,557.4288
20240909,-1,-1,559.5624
20240910,-1,-1,561.3696
20240911,-1,-1,563.2656
20240912,-1,-1,565.1058
20240913,-1,-1,567.1276
20240916,-1,-1,569.105
20240917,-1,-1,570.9022
20240918,-1,-1,572.6952
20240919,-1,-1,574.226
20240920,-1,-1,575.6388
20240923,-1,-1,576.867
20240924,-1,-1,578.001
20240925,-1,-1,578.5592
20240926,-1,-1,578.518
20240927,-1,-1,578.8946
20240930,-1,-1,579.3002
20241001,-1,-1,579.7956
20241002,-1,-1,580.4862
20241003,-1,-1,581.1462
20241004,-1,-1,581.811
20241007,-1,-1,582.0866
20241008,-1,-1,582.3832
20241009,-1,-1,582.6676
20241010,-1,-1,583.0742
20241011,-1,-1,583.6696
20241014,-1,-1,584.0556
20241015,-1,-1,583.7144
20241016,-1,-1,583.8082
20241017,-1,-1,583.8072
20241018,-1,-1,583.876
20241021,-1,-1,584.1302
20241022,-1,-1,584.2216
20241023,-1,-1,584.0544
20241024,-1,-1,583.681
20241025,-1,-1,583.3722
20241028,-1,-1,583.1146
20241029,-1,-1,582.7816
20241030,-1,-1,582.4688
20241031,-1,-1,582.1788
20241101,-1,-1,581.955
20241104,-1,-1,581.4282
20241105,-1,-1,581.0856
20241106,-1,-1,581.2724
20241107,-1,-1,581.5814
20241108,-1,-1,582.0896
20241111,-1,-1,582.7996
20241112,-1,-1,583.093
20241113,-1,-1,583.072
20241114,-1,-1,583.0408
20241115,-1,-1,582.9516
20241118,-1,-1,582.7896
20241119,-1,-1,582.439
20241120,-1,-1,582.6256
20241121,-1,-1,582.807
20241122,-1,-1,582.887
20241125,-1,-1,583.2484
20241126,-1,-1,583.8244
20241127,-1,-1,584.379
20241129,-1,-1,585.0534
20241202,-1,-1,585.7238
20241203,-1,-1,586.236
20241204,-1,-1,586.9322
20241205,-1,-1,587.0156
20241206,-1,-1,586.5764
20241209,-1,-1,586.1894
20241210,-1,-1,585.816
20241211,-1,-1,584.81
20241212,-1,-1,583.2638
20241213,-1,-1,581.8482
20241216,-1,-1,579.9488
20241217,-1,-1,578.0176
20241218,-1,-1,576.416
20241219,-1,-1,574.3566
20241220,-1,-1,572.4564
20241223,-1,-1,570.5606
20241224,-1,-1,568.5194
20241226,-1,-1,567.5788
20241227,-1,-1,566.3144
20241230,-1,-1,565.1536
20241231,-1,-1,563.861
20250102,-1,-1,562.5014
20250103,-1,-1,561.3642
20250106,-1,-1,560.3458
20250107,-1,-1,559.4258
20250108,-1,-1,558.6046
20250110,-1,-1,557.913
20250113,-1,-1,557.5104
20250114,-1,-1,557.084
20250115,-1,-1,556.694
20250116,-1,-1,555.5532
20250117,-1,-1,554.5878
20250121,-1,-1,553.6622
20250122,-1,-1,552.1024
20250123,-1,-1,550.5948
20250124,-1,-1,548.8552
20250127,-1,-1,547.1946
20250128,-1,-1,545.7014
20250129,-1,560.1317,544.3534
20250130,-1,560.5389,543.3862
