datetime,open,close,high,low,volume
202606230800,405.33,405.08,406.7,404.3912,0.0
202606230801,405.08,404.5,406.0,404.5,0.0
202606230802,404.57,404.5,404.57,404.5,0.0
202606230803,404.5,404.53,404.53,404.5,0.0
202606230804,404.52,404.5,404.53,404.5,0.0
202606230805,406.39,404.54,406.39,404.5,0.0
202606230806,404.54,405.8,405.8,404.2684,0.0
202606230807,405.76,405.59,405.8,404.5,0.0
202606230808,405.5,404.5,405.76,404.135,0.0
202606230809,405.65,405.5,405.65,405.3,0.0
202606230810,405.75,405.26,405.8,405.2,0.0
202606230811,405.41,405.51,406.52,404.173,0.0
202606230812,405.8,406.0,406.52,405.18,0.0
202606230813,405.46,405.5,405.5,405.46,0.0
202606230814,405.5,405.44,405.5,405.44,0.0
202606230815,405.5,405.74,405.74,405.5,0.0
202606230816,405.45,405.48,405.48,405.45,0.0
202606230817,405.32,405.92,406.0,404.1805,0.0
202606230818,406.0,406.15,406.15,405.75,0.0
202606230819,406.11,404.1805,406.11,404.1805,0.0
202606230820,405.0,405.0,405.0,405.0,0.0
202606230821,405.0,404.18,405.0,404.18,0.0
202606230822,404.18,405.99,405.99,404.18,0.0
202606230823,405.68,405.68,405.68,405.68,0.0
202606230824,405.95,405.32,405.99,405.32,0.0
202606230825,405.99,405.44,405.99,405.44,0.0
202606230826,404.1,405.23,405.44,404.1,0.0
202606230827,405.65,405.98,405.98,405.32,0.0
202606230828,405.79,405.79,405.79,405.79,0.0
202606230829,405.4,405.57,405.57,405.4,0.0
202606230830,405.55,405.56,405.65,405.47,0.0
202606230831,405.54,405.64,405.64,405.49,0.0
202606230832,405.65,405.65,405.65,405.65,0.0
202606230833,405.65,405.63,405.65,405.59,0.0
202606230834,405.65,405.59,405.65,405.59,0.0
202606230835,404.5,405.7,405.7,404.5,0.0
202606230836,405.66,405.68,405.7,405.66,0.0
202606230837,405.7,405.81,405.99,405.7,0.0
202606230838,405.99,405.99,405.99,405.91,0.0
202606230839,405.92,405.91,405.92,405.91,0.0
202606230840,405.71,405.63,405.71,405.56,0.0
202606230841,405.59,405.58,405.66,405.58,0.0
202606230842,405.57,405.57,405.57,405.57,0.0
202606230843,405.9,405.9,405.9,405.9,0.0
202606230844,405.51,405.51,405.51,405.51,0.0
202606230845,405.47,405.66,405.66,405.47,0.0
202606230846,405.47,405.47,405.47,405.47,0.0
202606230847,405.0,405.0,405.0,405.0,0.0
202606230848,405.47,405.47,405.47,405.47,0.0
202606230849,405.47,405.49,405.49,405.47,0.0
202606230850,405.45,405.45,405.45,405.45,0.0
202606230851,405.5,405.51,405.63,405.44,0.0
202606230852,405.47,405.47,405.47,405.47,0.0
202606230853,405.99,405.99,405.99,405.99,0.0
202606230854,405.59,405.0,405.6,404.1804,0.0
202606230855,405.41,405.41,405.41,405.41,0.0
202606230856,405.63,405.7,405.7,405.63,0.0
202606230857,405.6,405.7,405.7,405.48,0.0
202606230858,405.6,405.66,405.66,405.6,0.0
202606230859,405.6,405.7,405.7,405.6,0.0
202606230900,405.72,405.74,405.74,405.72,0.0
202606230901,405.74,405.7,405.74,405.7,0.0
202606230902,405.7,405.7,405.7,405.7,0.0
202606230903,405.7,405.7,405.7,405.7,0.0
202606230904,405.7,405.7,405.7,405.7,0.0
202606230905,405.7,405.6,405.7,405.31,0.0
202606230906,405.6,405.6,405.6,405.6,0.0
202606230907,405.6,405.37,405.6,405.37,0.0
202606230908,405.41,405.05,405.41,404.5,0.0
202606230909,404.5,405.05,405.05,404.1,0.0
202606230910,404.5,405.0,405.06,404.5,0.0
202606230911,405.0,404.99,405.0,404.99,0.0
202606230912,405.6,405.6,405.6,405.6,0.0
202606230913,405.6,405.6,405.6,405.6,0.0
202606230914,404.1804,404.5,404.5,404.1804,0.0
202606230915,404.5,405.0,405.0,404.5,0.0
202606230916,405.0,405.0,405.0,405.0,0.0
202606230917,404.99,404.18,404.99,404.18,0.0
202606230918,404.5,405.005,405.075,404.5,0.0
202606230919,405.01,405.2,405.2,405.01,0.0
202606230920,405.36,405.36,405.36,405.36,0.0
202606230921,405.35,405.35,405.35,405.35,0.0
202606230922,405.6,405.6,405.6,405.6,0.0
202606230923,405.35,405.35,405.35,405.35,0.0
202606230924,405.35,405.5,405.5,405.35,0.0
202606230925,405.49,405.49,405.49,405.49,0.0
202606230926,405.6,405.6,405.6,405.6,0.0
202606230927,405.22,405.22,405.22,405.22,0.0
202606230928,405.6,405.6,405.6,405.6,0.0
202606230929,405.18,405.22,405.22,405.18,0.0
202606230930,405.15,405.35,405.35,405.15,0.0
202606230931,405.2,405.2,405.2,405.2,0.0
202606230932,405.6,405.6,405.6,405.6,0.0
202606230933,405.6,405.6,405.6,405.6,0.0
202606230934,405.05,405.04,405.05,405.04,0.0
202606230935,405.05,405.05,405.05,405.05,0.0
202606230936,405.05,405.05,405.05,405.05,0.0
202606230937,405.08,405.08,405.08,405.08,0.0
202606230938,405.01,405.01,405.01,405.01,0.0
202606230939,405.05,405.03,405.2,405.03,0.0
202606230940,404.1,405.08,405.08,404.1,0.0
202606230941,405.02,405.29,405.29,405.02,0.0
202606230942,405.5,405.76,405.89,405.35,0.0
202606230943,405.5,405.5,405.5,405.5,0.0
202606230944,405.03,405.03,405.03,405.03,0.0
202606230945,405.46,405.46,405.46,405.46,0.0
202606230946,405.5,405.76,405.9,405.46,0.0
202606230947,404.142,405.24,405.33,404.142,0.0
202606230948,405.29,405.7688,405.7688,405.24,0.0
202606230949,405.03,405.03,405.03,405.03,0.0
202606230950,405.03,405.03,405.03,405.03,0.0
202606230951,405.6,405.6,405.6,405.6,0.0
202606230952,405.03,405.03,405.03,405.03,0.0
202606230953,405.03,405.03,405.03,405.03,0.0
202606230954,405.6,405.6,405.6,405.6,0.0
202606230955,405.03,405.03,405.03,405.03,0.0
202606230956,405.03,405.03,405.03,405.03,0.0
202606230957,405.03,405.03,405.03,405.03,0.0
202606230958,405.03,405.03,405.03,405.03,0.0
202606230959,405.56,405.22,405.56,405.0,0.0
202606231000,405.03,405.03,405.03,405.03,0.0
202606231001,405.0,405.0,405.0,405.0,0.0
