datetime,open,close,high,low,volume
20240625,224.85,224.06,225.13,219.57,23318.0
20240626,224.0,223.61,225.14,221.5,11067.0
20240627,224.58,223.47,225.33,222.78,11104.0
20240628,224.55,226.26,227.44,224.3,23583.0
20240701,226.26,224.86,227.88,224.15,11966.0
20240702,224.86,225.5,225.54,223.82,10968.0
20240703,225.96,225.57,228.1,225.01,7878.0
20240705,225.16,225.17,226.68,222.82,10505.0
20240708,226.19,223.39,226.19,222.13,11335.0
20240709,222.28,221.78,222.91,220.63,10105.0
20240710,222.34,224.41,224.53,221.93,12701.0
20240711,224.85,228.72,228.97,224.25,10062.0
20240712,229.37,230.22,232.43,228.72,11517.0
20240715,230.6,235.99,236.45,230.28,16689.0
20240716,236.0,243.06,243.82,235.9,22693.0
20240717,240.71,244.25,246.06,240.7,18014.0
20240718,242.64,243.01,245.87,242.18,15112.0
20240719,244.43,242.32,244.86,241.5,29682.0
20240722,243.62,243.27,243.69,240.86,13938.0
20240723,241.54,239.5,242.91,239.1,16971.0
20240724,235.0,237.38,240.75,235.0,19213.0
20240725,237.5,235.35,239.7,230.9,19976.0
20240726,236.5,240.36,243.15,235.89,17790.0
20240729,242.5,242.15,243.89,240.01,12549.0
20240730,243.15,246.29,247.26,242.81,11828.0
20240731,245.45,246.73,249.18,244.48,15505.0
20240801,247.37,244.47,249.34,243.78,14486.0
20240802,242.45,239.53,244.62,235.7,13180.0
20240805,233.0,234.87,238.47,231.26,15427.0
20240806,236.01,238.55,241.51,234.73,18001.0
20240807,239.85,236.41,241.94,236.41,13783.0
20240808,237.24,240.54,240.89,236.9,9742.0
20240809,240.47,237.3,240.47,236.95,10698.0
20240812,238.35,236.75,238.35,234.9,12489.0
20240813,238.03,236.44,239.0,235.23,10321.0
20240814,237.97,241.22,242.25,237.31,13152.0
20240815,243.0,243.46,245.27,242.75,13879.0
20240816,243.98,243.31,245.4,243.31,13816.0
20240819,245.0,246.07,246.66,244.17,11191.0
20240820,246.07,246.5,247.24,245.31,9566.0
20240821,247.73,245.73,248.3,245.0,10528.0
20240822,245.18,244.32,247.0,242.83,7815.0
20240823,245.03,246.85,246.99,244.02,11014.0
20240826,247.76,247.84,249.55,247.0,9419.0
20240827,248.01,250.36,250.5,248.01,9396.0
20240828,250.36,252.67,254.39,249.81,15141.0
20240829,253.81,253.2,254.65,251.39,7499.0
20240830,251.92,256.09,256.3,251.92,15030.0
20240903,256.09,255.21,256.95,254.05,13650.0
20240904,254.64,255.0,258.07,252.09,16689.0
20240905,255.8,251.53,256.11,249.87,13911.0
20240906,251.4,249.63,253.67,249.24,17256.0
20240909,250.71,250.0,252.14,249.82,13511.0
20240910,251.85,252.58,252.62,249.62,11337.0
20240911,252.35,247.38,252.35,243.43,15179.0
20240912,248.11,248.89,249.52,245.41,11596.0
20240913,249.55,248.97,252.0,248.55,13968.0
20240916,248.65,252.43,253.59,248.65,10176.0
20240917,253.27,253.75,255.06,253.0,11403.0
20240918,253.87,251.2,254.56,250.53,9752.0
20240919,253.55,248.62,254.01,246.05,23139.0
20240920,245.66,246.43,246.43,242.54,50899.0
20240923,244.61,244.0,245.36,242.86,19059.0
20240924,243.35,248.96,249.03,241.56,19591.0
20240925,246.63,246.61,249.29,245.07,16062.0
20240926,246.36,243.61,248.3,242.35,15588.0
20240927,245.04,244.22,247.49,243.94,12486.0
20240930,245.01,246.48,247.01,243.46,16471.0
20241001,246.17,245.55,247.35,243.66,11000.0
20241002,246.31,243.35,246.31,242.21,12355.0
20241003,242.43,240.62,243.0,239.6,12622.0
20241004,241.13,238.86,243.18,237.19,14054.0
20241007,239.26,236.87,239.26,235.29,11193.0
20241008,237.01,237.56,238.94,235.04,11526.0
20241009,237.01,237.68,238.66,235.88,13604.0
20241010,236.51,238.82,238.94,236.29,12442.0
20241011,238.82,242.31,242.54,238.82,11291.0
20241014,242.65,245.27,246.17,241.96,10640.0
20241015,246.71,245.79,248.7,245.36,11975.0
20241016,246.7,248.1,250.23,245.5,9600.0
20241017,247.64,241.72,247.64,240.5,14574.0
20241018,242.53,243.58,244.71,241.46,21992.0
20241021,243.73,240.23,243.73,239.41,9103.0
20241022,240.56,241.45,241.94,238.63,12107.0
20241023,241.98,241.5,242.81,240.11,12231.0
20241024,240.1,230.57,243.58,227.56,34596.0
20241025,230.12,230.42,231.88,229.28,19580.0
20241028,231.88,233.48,233.49,230.0,15390.0
20241029,232.86,231.99,234.38,231.46,25363.0
20241030,231.5,232.17,234.65,231.27,20882.0
20241031,232.6,232.07,233.84,230.29,17277.0
20241101,233.55,232.53,234.84,232.3,13160.0
20241104,233.21,229.91,233.23,229.44,14189.0
20241105,230.6,233.87,233.89,229.5,9516.0
20241106,240.13,247.45,251.72,236.0,35516.0
20241107,249.3,244.0,249.89,242.2,19473.0
20241108,241.96,241.49,244.13,240.81,15335.0
20241111,243.22,241.83,245.94,241.83,14744.0
20241112,240.73,238.91,242.64,238.59,14417.0
20241113,238.9,240.41,240.93,238.31,17371.0
20241114,238.81,235.99,241.09,234.82,19254.0
20241115,235.05,235.57,237.83,234.0,13376.0
20241118,235.08,233.38,235.46,233.38,9320.0
20241119,233.07,231.57,234.41,231.57,11171.0
20241120,234.01,233.46,234.32,231.84,6864.0
20241121,234.07,239.02,239.93,233.67,26386.0
20241122,239.11,242.39,242.67,239.11,16956.0
20241125,244.08,249.32,250.58,243.05,28657.0
20241126,249.0,245.76,250.31,242.45,23261.0
20241127,243.0,245.23,247.89,243.0,11141.0
20241129,244.89,243.1,246.89,243.1,9973.0
20241202,244.03,240.78,244.57,240.41,20967.0
20241203,240.54,237.25,241.73,235.11,22832.0
20241204,238.56,235.0,238.71,233.61,21197.0
20241205,235.14,234.63,235.54,233.57,14246.0
20241206,235.93,233.57,236.67,233.37,14784.0
20241209,232.99,233.54,234.97,231.69,19142.0
20241210,233.35,237.0,239.02,231.79,19146.0
20241211,235.9,233.78,238.43,233.31,18546.0
20241212,233.21,233.71,234.55,231.89,13965.0
20241213,233.18,234.98,237.54,233.18,17336.0
20241216,234.42,232.89,235.09,230.43,18419.0
20241217,230.64,229.88,232.51,229.32,19580.0
20241218,229.8,224.54,231.11,224.41,24340.0
20241219,224.42,223.15,226.6,223.06,17847.0
20241220,222.18,226.32,227.92,221.86,40082.0
20241223,225.73,226.38,227.52,224.76,9802.0
20241224,226.69,229.75,230.01,226.64,4243.0
20241226,229.75,230.23,230.8,228.54,6475.0
