date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,238.7874
20240905,-1,-1,239.3368
20240906,-1,-1,239.8572
20240909,-1,-1,240.3878
20240910,-1,-1,240.9142
20240911,-1,-1,241.3646
20240912,-1,-1,241.8324
20240913,-1,-1,242.3004
20240916,-1,-1,242.8456
20240917,-1,-1,243.4528
20240918,-1,-1,244.0412
20240919,-1,-1,244.5254
20240920,-1,-1,244.8796
20240923,-1,-1,245.1552
20240924,-1,-1,245.4146
20240925,-1,-1,245.4856
20240926,-1,-1,245.4728
20240927,-1,-1,245.497
20240930,-1,-1,245.5802
20241001,-1,-1,245.6258
20241002,-1,-1,245.7028
20241003,-1,-1,245.7676
20241004,-1,-1,245.8378
20241007,-1,-1,245.768
20241008,-1,-1,245.6762
20241009,-1,-1,245.504
20241010,-1,-1,245.3458
20241011,-1,-1,245.3026
20241014,-1,-1,245.4174
20241015,-1,-1,245.6358
20241016,-1,-1,245.8268
20241017,-1,-1,245.933
20241018,-1,-1,245.9938
20241021,-1,-1,246.0524
20241022,-1,-1,246.1464
20241023,-1,-1,246.2476
20241024,-1,-1,246.0346
20241025,-1,-1,245.7738
20241028,-1,-1,245.5772
20241029,-1,-1,245.2956
20241030,-1,-1,245.009
20241031,-1,-1,244.7358
20241101,-1,-1,244.5
20241104,-1,-1,244.1612
20241105,-1,-1,243.8818
20241106,-1,-1,243.8236
20241107,-1,-1,243.6502
20241108,-1,-1,243.416
20241111,-1,-1,243.1308
20241112,-1,-1,242.8048
20241113,-1,-1,242.513
20241114,-1,-1,242.2022
20241115,-1,-1,241.921
20241118,-1,-1,241.5886
20241119,-1,-1,241.1684
20241120,-1,-1,240.89
20241121,-1,-1,240.6926
20241122,-1,-1,240.561
20241125,-1,-1,240.4988
20241126,-1,-1,240.339
20241127,-1,-1,240.2196
20241129,-1,-1,240.1092
20241202,-1,-1,239.9962
20241203,-1,-1,239.8612
20241204,-1,-1,239.582
20241205,-1,-1,239.3424
20241206,-1,-1,239.1416
20241209,-1,-1,238.928
20241210,-1,-1,238.7384
20241211,-1,-1,238.503
20241212,-1,-1,238.3102
20241213,-1,-1,238.1974
20241216,-1,-1,238.078
20241217,-1,-1,237.9382
20241218,-1,-1,237.6778
20241219,-1,-1,237.3872
20241220,-1,-1,237.1372
20241223,-1,-1,236.8186
20241224,-1,-1,236.5082
20241226,-1,-1,236.197
20241227,-1,-1,235.765
20241230,-1,-1,235.4864
20241231,-1,-1,235.1716
20250102,-1,-1,234.9494
20250103,-1,-1,234.7534
20250106,-1,-1,234.5236
20250107,-1,-1,234.5382
20250108,-1,-1,234.5662
20250110,-1,-1,234.3998
20250113,-1,-1,234.2952
20250114,-1,-1,234.2394
20250115,-1,-1,234.2152
20250116,-1,-1,234.2446
20250117,-1,-1,234.3316
20250121,-1,-1,234.3792
20250122,-1,-1,234.16
20250123,-1,-1,234.2682
20250124,-1,-1,234.414
20250127,-1,-1,234.6674
20250128,-1,-1,234.8596
20250129,-1,238.7809,235.0424
20250130,-1,238.9533,235.321
