datetime,open,close,high,low,volume
20240625,41.1,41.08,41.63,40.83,151849.0
20240626,41.01,40.98,41.17,40.71,143455.0
20240627,41.02,40.83,41.15,40.56,120375.0
20240628,40.85,41.2,41.58,40.69,219283.0
20240701,41.21,41.78,41.98,41.21,126175.0
20240702,41.75,41.09,41.79,40.71,165358.0
20240703,40.99,41.09,41.39,40.95,57986.0
20240705,41.29,41.27,41.38,40.95,92779.0
20240708,41.27,41.57,41.59,41.08,129684.0
20240709,41.69,41.32,41.81,41.21,164774.0
20240710,40.98,41.01,41.18,40.54,121017.0
20240711,41.07,41.32,41.36,40.75,107510.0
20240712,41.27,41.43,41.57,41.15,98221.0
20240715,41.57,40.79,41.57,40.7,129773.0
20240716,40.86,41.33,41.55,40.81,137241.0
20240717,41.49,42.04,42.19,41.31,158972.0
20240718,41.95,42.01,42.52,41.72,112910.0
20240719,42.03,41.59,42.3,41.43,152063.0
20240722,41.7,39.17,42.01,38.7,476015.0
20240723,39.17,38.85,39.3,38.72,207590.0
20240724,38.91,39.6,39.83,38.89,204538.0
20240725,39.65,40.0,40.97,39.49,172854.0
20240726,40.02,40.03,40.18,39.65,134396.0
20240729,40.14,40.0,40.17,39.67,114670.0
20240730,40.05,39.91,40.26,39.83,113613.0
20240731,40.04,40.56,40.79,39.82,194669.0
20240801,40.49,40.72,41.18,40.28,156071.0
20240802,40.69,40.89,41.94,40.4,220534.0
20240805,40.16,39.92,40.86,38.76,233885.0
20240806,39.8,40.26,40.48,39.76,148201.0
20240807,40.28,40.28,40.72,40.15,99397.0
20240808,40.16,40.5,40.79,40.16,109283.0
20240809,40.53,40.75,40.8,40.03,79936.0
20240812,40.81,40.44,41.0,40.31,78744.0
20240813,40.43,40.74,40.91,40.35,116918.0
20240814,40.99,40.88,41.1,40.49,88221.0
20240815,40.97,40.09,41.1,40.0,157360.0
20240816,40.14,40.52,40.62,40.0,115447.0
20240819,40.51,40.75,40.86,40.51,81403.0
20240820,40.74,40.85,40.96,40.62,68406.0
20240821,40.88,41.0,41.07,40.73,111738.0
20240822,41.05,40.87,41.16,40.61,95150.0
20240823,40.84,41.19,41.23,40.84,100839.0
20240826,41.11,41.45,41.74,41.05,83097.0
20240827,41.52,41.37,41.64,41.17,86418.0
20240828,41.45,41.53,41.71,41.36,104671.0
20240829,41.48,41.29,41.61,41.14,156274.0
20240830,41.3,41.72,41.89,41.17,158630.0
20240903,41.8,42.87,42.93,41.74,198867.0
20240904,42.81,41.6,43.27,41.2,265125.0
