date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,40.8866
20240905,-1,-1,40.891
20240906,-1,-1,40.8944
20240909,-1,-1,40.9298
20240910,-1,-1,40.978
20240911,-1,-1,41.0186
20240912,-1,-1,41.073
20240913,-1,-1,41.1404
20240916,-1,-1,41.215
20240917,-1,-1,41.2652
20240918,-1,-1,41.3174
20240919,-1,-1,41.3748
20240920,-1,-1,41.435
20240923,-1,-1,41.4924
20240924,-1,-1,41.5716
20240925,-1,-1,41.64
20240926,-1,-1,41.6924
20240927,-1,-1,41.75
20240930,-1,-1,41.8168
20241001,-1,-1,41.9374
20241002,-1,-1,42.0614
20241003,-1,-1,42.1618
20241004,-1,-1,42.2454
20241007,-1,-1,42.3226
20241008,-1,-1,42.4038
20241009,-1,-1,42.4904
20241010,-1,-1,42.5392
20241011,-1,-1,42.5846
20241014,-1,-1,42.6312
20241015,-1,-1,42.708
20241016,-1,-1,42.7804
20241017,-1,-1,42.8528
20241018,-1,-1,42.9224
20241021,-1,-1,42.9836
20241022,-1,-1,43.006
20241023,-1,-1,43.0416
20241024,-1,-1,43.0618
20241025,-1,-1,43.0892
20241028,-1,-1,43.1108
20241029,-1,-1,43.1234
20241030,-1,-1,43.135
20241031,-1,-1,43.1582
20241101,-1,-1,43.1688
20241104,-1,-1,43.1662
20241105,-1,-1,43.1666
20241106,-1,-1,43.1628
20241107,-1,-1,43.1446
20241108,-1,-1,43.1288
20241111,-1,-1,43.1044
20241112,-1,-1,43.0542
20241113,-1,-1,43.0462
20241114,-1,-1,43.0378
20241115,-1,-1,43.0474
20241118,-1,-1,43.0394
20241119,-1,-1,43.0068
20241120,-1,-1,42.975
20241121,-1,-1,42.9482
20241122,-1,-1,42.922
20241125,-1,-1,42.8998
20241126,-1,-1,42.9048
20241127,-1,-1,42.9142
20241129,-1,-1,42.9234
20241202,-1,-1,42.9132
20241203,-1,-1,42.9038
20241204,-1,-1,42.8598
20241205,-1,-1,42.8158
20241206,-1,-1,42.7692
20241209,-1,-1,42.7214
20241210,-1,-1,42.6698
20241211,-1,-1,42.6078
20241212,-1,-1,42.5464
20241213,-1,-1,42.499
20241216,-1,-1,42.4336
20241217,-1,-1,42.3728
20241218,-1,-1,42.2976
20241219,-1,-1,42.212
20241220,-1,-1,42.1528
20241223,-1,-1,42.0922
20241224,-1,-1,42.0244
20241226,-1,-1,41.9482
20241227,-1,-1,41.8676
20241230,-1,-1,41.7816
20241231,-1,-1,41.7018
20250102,-1,-1,41.6308
20250103,-1,-1,41.6066
20250106,-1,-1,41.5506
20250107,-1,-1,41.4948
20250108,-1,-1,41.4478
20250110,-1,-1,41.3726
20250113,-1,-1,41.308
20250114,-1,-1,41.2454
20250115,-1,-1,41.1666
20250116,-1,-1,41.1048
20250117,-1,-1,41.06
20250121,-1,-1,41.0132
20250122,-1,-1,40.9696
20250123,-1,-1,40.9432
20250124,-1,-1,40.924
20250127,-1,-1,40.9264
20250128,-1,-1,40.9262
20250129,-1,41.6137,40.9084
20250130,-1,41.6029,40.88
