datetime,open,close,high,low,volume
20240625,69.0,67.58,69.01,66.55,179334.0
20240626,67.61,68.15,68.6,67.0,118505.0
20240627,68.29,67.84,68.58,67.66,90736.0
20240628,68.1,67.46,68.14,67.32,145716.0
20240701,67.83,67.47,68.24,67.25,70856.0
20240702,67.51,67.9,68.09,67.26,77333.0
20240703,68.12,68.19,68.35,67.62,53882.0
20240705,68.34,70.0,70.15,68.1,166909.0
20240708,70.0,69.7,70.14,69.35,99192.0
20240709,69.69,69.99,70.25,69.64,75633.0
20240710,70.12,70.72,70.79,69.72,89551.0
20240711,70.9,69.81,71.0,69.26,127127.0
20240712,69.79,69.24,70.1,69.11,104365.0
20240715,69.41,69.64,69.98,69.24,86308.0
20240716,69.67,69.95,70.24,69.58,80627.0
20240717,69.85,71.2,71.2,69.65,114260.0
20240718,71.11,70.9,71.29,70.4,88768.0
20240719,70.98,70.72,71.33,70.65,99901.0
20240722,70.62,70.45,71.26,70.23,71638.0
20240723,70.5,70.54,70.7,70.11,66541.0
20240724,70.45,70.65,70.84,70.34,184740.0
20240725,70.68,70.17,70.77,69.95,164369.0
20240726,70.2,69.75,70.34,68.83,118741.0
20240729,69.9,69.55,70.0,69.13,84810.0
20240730,69.53,69.02,69.85,68.98,105463.0
20240731,69.19,68.64,69.4,68.29,184749.0
20240801,68.74,69.36,69.81,68.52,138772.0
20240802,69.48,68.33,70.24,67.74,199805.0
20240805,65.59,67.74,68.58,65.0,172906.0
20240806,67.84,67.8,68.63,67.64,127372.0
20240807,67.77,66.7,68.16,66.7,146514.0
20240808,67.0,67.8,67.92,66.67,99829.0
20240809,67.4,68.0,68.22,67.33,105174.0
20240812,68.2,68.78,69.23,68.07,139230.0
20240813,69.0,68.3,69.07,67.14,181818.0
20240814,68.28,69.02,69.02,67.85,192484.0
20240815,68.98,72.83,75.0,65.01,416867.0
20240816,72.89,73.36,73.61,72.21,165255.0
20240819,73.31,73.62,73.98,73.3,95968.0
20240820,73.68,74.61,74.75,73.6,99392.0
20240821,74.63,75.21,75.58,74.58,107900.0
20240822,75.35,75.58,76.22,75.15,103694.0
20240823,75.79,75.65,75.81,75.0,100519.0
20240826,75.79,76.0,76.21,75.57,74100.0
20240827,76.03,76.07,76.45,75.77,92080.0
20240828,76.32,76.0,76.43,75.8,76868.0
20240829,76.23,76.47,76.51,75.67,95391.0
20240830,76.66,77.33,77.48,76.1,195052.0
20240903,77.46,77.17,77.82,76.79,179467.0
20240904,76.93,77.23,77.48,76.73,148747.0
20240905,77.18,76.95,77.45,76.39,102862.0
20240906,76.81,76.53,77.32,76.3,117089.0
20240909,76.63,77.42,77.47,76.49,160399.0
20240910,77.4,78.78,78.9,77.0,147668.0
20240911,78.78,78.85,79.0,77.56,156572.0
20240912,78.96,79.8,79.98,78.62,122829.0
20240913,79.81,80.59,80.69,79.69,96149.0
20240916,80.53,80.63,81.02,80.14,119149.0
20240917,80.56,78.7,80.8,78.26,174761.0
20240918,78.67,79.19,79.41,78.28,130143.0
20240919,79.2,78.15,79.5,77.49,183209.0
20240920,78.12,79.07,79.61,77.97,282727.0
20240923,79.09,80.34,80.44,79.0,98032.0
20240924,80.34,80.72,81.48,80.24,106079.0
20240925,80.88,81.37,81.6,80.68,119303.0
20240926,81.53,79.9,81.56,79.26,130114.0
20240927,79.97,79.78,80.45,79.6,88502.0
20240930,79.71,80.74,80.94,79.66,156641.0
20241001,80.32,81.2,81.53,80.32,126983.0
20241002,81.27,80.5,81.3,80.12,135012.0
20241003,80.44,80.86,80.86,79.85,89898.0
20241004,80.74,80.84,81.12,79.85,86359.0
20241007,80.96,79.2,81.15,78.98,137595.0
20241008,79.28,79.65,79.82,79.07,124292.0
20241009,79.83,80.32,80.5,79.64,97109.0
20241010,80.49,79.64,80.55,79.46,80052.0
20241011,79.63,79.96,80.13,79.37,79616.0
20241014,79.99,80.3,80.51,79.76,82198.0
20241015,80.34,81.73,81.83,80.25,93339.0
20241016,81.99,81.23,81.99,80.62,91756.0
20241017,81.11,80.87,81.5,80.64,72362.0
20241018,80.89,81.26,81.69,80.58,94642.0
20241021,81.49,80.8,81.66,80.71,67670.0
20241022,81.1,82.05,82.23,80.5,91459.0
20241023,81.81,83.27,83.37,81.8,103068.0
20241024,83.3,83.06,83.69,82.58,88967.0
20241025,83.19,82.55,83.3,82.34,68771.0
20241028,82.58,82.78,83.08,82.3,63929.0
20241029,82.82,81.81,82.96,81.66,73941.0
20241030,81.82,81.65,81.99,81.3,70969.0
20241031,81.5,81.9,82.44,81.2,119495.0
20241101,82.0,82.2,82.6,81.54,93873.0
20241104,82.26,82.48,82.91,82.0,92769.0
20241105,82.64,83.75,83.94,82.4,83870.0
20241106,84.2,83.27,85.86,82.06,151122.0
20241107,83.45,84.0,84.39,83.01,100493.0
20241108,84.1,84.9,85.42,83.96,109146.0
20241111,84.93,84.28,85.52,84.11,79842.0
20241112,84.29,85.11,85.53,84.29,92515.0
20241113,84.99,85.72,85.82,84.77,94112.0
20241114,85.68,84.49,85.87,84.34,110472.0
20241115,84.75,84.41,84.82,83.94,131105.0
20241118,84.78,85.44,85.86,83.66,170598.0
20241119,85.2,86.26,88.29,84.0,303470.0
20241120,86.45,87.2,87.29,85.61,141125.0
20241121,86.96,88.33,88.64,86.89,147934.0
20241122,88.6,90.58,90.91,88.18,186137.0
20241125,91.36,89.06,91.46,88.98,191308.0
20241126,89.53,91.5,91.88,89.4,126775.0
20241127,91.57,92.11,92.32,91.31,104665.0
20241129,92.15,92.6,92.69,91.82,78753.0
20241202,92.58,92.71,93.0,91.95,129540.0
20241203,92.79,93.53,93.59,92.26,135977.0
20241204,93.71,94.4,94.52,92.96,122359.0
20241205,94.35,95.34,95.6,94.3,161720.0
20241206,95.53,95.74,96.18,95.18,113299.0
20241209,95.78,94.0,96.4,93.6,145315.0
20241210,93.99,94.63,95.24,93.65,105978.0
20241211,94.55,95.11,95.69,94.34,128911.0
20241212,95.12,94.28,95.72,94.09,98656.0
20241213,94.16,94.17,94.68,93.04,76544.0
20241216,94.21,94.97,95.71,93.89,105450.0
20241217,94.88,95.4,95.51,94.32,159295.0
20241218,95.41,93.71,95.9,93.16,183381.0
20241219,93.95,93.35,94.63,93.35,123287.0
20241220,92.7,92.48,93.75,91.63,373341.0
20241223,92.72,90.23,92.72,88.91,198839.0
20241224,90.46,92.5,92.69,90.06,72785.0
20241226,92.67,92.77,92.95,92.1,78407.0
20241227,92.59,91.51,92.75,91.03,86501.0
20241230,91.3,90.5,91.49,90.13,77413.0
20241231,90.58,90.51,91.15,90.0,83867.0
20250102,90.66,89.85,91.35,89.52,99272.0
20250103,90.1,90.87,91.3,90.0,78243.0
20250106,90.96,91.45,92.47,90.44,115633.0
20250107,91.55,90.89,91.94,90.45,87292.0
20250108,90.81,91.87,92.1,90.5,96514.0
20250110,92.39,92.9,93.58,91.51,143989.0
