date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,70.8838
20240905,-1,-1,71.0712
20240906,-1,-1,71.2388
20240909,-1,-1,71.4304
20240910,-1,-1,71.6568
20240911,-1,-1,71.8844
20240912,-1,-1,72.1224
20240913,-1,-1,72.3704
20240916,-1,-1,72.583
20240917,-1,-1,72.763
20240918,-1,-1,72.947
20240919,-1,-1,73.0956
20240920,-1,-1,73.2808
20240923,-1,-1,73.5028
20240924,-1,-1,73.7244
20240925,-1,-1,73.9528
20240926,-1,-1,74.1268
20240927,-1,-1,74.3044
20240930,-1,-1,74.5048
20241001,-1,-1,74.7198
20241002,-1,-1,74.919
20241003,-1,-1,75.1232
20241004,-1,-1,75.3366
20241007,-1,-1,75.5256
20241008,-1,-1,75.7276
20241009,-1,-1,75.9536
20241010,-1,-1,76.1736
20241011,-1,-1,76.3856
20241014,-1,-1,76.625
20241015,-1,-1,76.9048
20241016,-1,-1,77.1734
20241017,-1,-1,77.4568
20241018,-1,-1,77.726
20241021,-1,-1,77.982
20241022,-1,-1,78.2474
20241023,-1,-1,78.5468
20241024,-1,-1,78.8276
20241025,-1,-1,79.022
20241028,-1,-1,79.2104
20241029,-1,-1,79.3742
20241030,-1,-1,79.515
20241031,-1,-1,79.6488
20241101,-1,-1,79.7812
20241104,-1,-1,79.9178
20241105,-1,-1,80.0728
20241106,-1,-1,80.2168
20241107,-1,-1,80.3768
20241108,-1,-1,80.5454
20241111,-1,-1,80.6844
20241112,-1,-1,80.8432
20241113,-1,-1,81.013
20241114,-1,-1,81.1638
20241115,-1,-1,81.3214
20241118,-1,-1,81.4818
20241119,-1,-1,81.6314
20241120,-1,-1,81.7984
20241121,-1,-1,81.969
20241122,-1,-1,82.1688
20241125,-1,-1,82.3374
20241126,-1,-1,82.5934
20241127,-1,-1,82.8518
20241129,-1,-1,83.1408
20241202,-1,-1,83.4136
20241203,-1,-1,83.6774
20241204,-1,-1,83.951
20241205,-1,-1,84.2304
20241206,-1,-1,84.5472
20241209,-1,-1,84.8316
20241210,-1,-1,85.1094
20241211,-1,-1,85.3876
20241212,-1,-1,85.6632
20241213,-1,-1,85.9294
20241216,-1,-1,86.212
20241217,-1,-1,86.536
20241218,-1,-1,86.8172
20241219,-1,-1,87.0778
20241220,-1,-1,87.3346
20241223,-1,-1,87.54
20241224,-1,-1,87.784
20241226,-1,-1,88.0048
20241227,-1,-1,88.2104
20241230,-1,-1,88.403
20241231,-1,-1,88.588
20250102,-1,-1,88.769
20250103,-1,-1,88.9454
20250106,-1,-1,89.109
20250107,-1,-1,89.2656
20250108,-1,-1,89.452
20250110,-1,-1,89.6544
20250113,-1,-1,89.851
20250114,-1,-1,90.035
20250115,-1,-1,90.226
20250116,-1,-1,90.4056
20250117,-1,-1,90.597
20250121,-1,-1,90.7858
20250122,-1,-1,90.9834
20250123,-1,-1,91.1758
20250124,-1,-1,91.3732
20250127,-1,-1,91.6356
20250128,-1,-1,91.88
20250129,-1,81.3391,92.1206
20250130,-1,81.5463,92.404
